<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ET.US,60,20240411,160000,15.8,15.82,15.73,15.73,560874,0
ET.US,60,20240411,170000,15.73,15.7329,15.6,15.6201,1375577,0
ET.US,60,20240411,180000,15.6228,15.64,15.6,15.633,733092,0
ET.US,60,20240411,190000,15.64,15.64,15.6,15.635,915406,0
ET.US,60,20240411,200000,15.64,15.71,15.6301,15.705,978177,0
ET.US,60,20240411,210000,15.705,15.72,15.65,15.655,1242418,0
ET.US,60,20240411,220000,15.655,15.69,15.64,15.68,1536379,0
ET.US,60,20240412,160000,15.78,15.87,15.76,15.7999,937328,0
ET.US,60,20240412,170000,15.7949,15.82,15.7,15.7,1279333,0
ET.US,60,20240412,180000,15.705,15.7299,15.62,15.665,1386370,0
ET.US,60,20240412,190000,15.665,15.67,15.565,15.5777,1764215,0
ET.US,60,20240412,200000,15.58,15.58,15.5,15.52,1616148,0
ET.US,60,20240412,210000,15.515,15.565,15.41,15.4299,1975841,0
ET.US,60,20240412,220000,15.42,15.48,15.37,15.42,3457123,0
ET.US,60,20240415,160000,15.54,15.5427,15.46,15.475,835774,0
ET.US,60,20240415,170000,15.475,15.52,15.423,15.495,1253612,0
ET.US,60,20240415,180000,15.5,15.51,15.405,15.485,1610467,0
ET.US,60,20240415,190000,15.4885,15.49,15.4225,15.445,1137036,0
ET.US,60,20240415,200000,15.445,15.4499,15.3,15.34,2336361,0
ET.US,60,20240415,210000,15.335,15.36,15.28,15.3,1550868,0
ET.US,60,20240415,220000,15.295,15.2953,15.2,15.23,3534758,0
ET.US,60,20240416,160000,15.2,15.21,15.03,15.075,1471033,0
ET.US,60,20240416,170000,15.075,15.095,14.97,15.025,3174778,0
ET.US,60,20240416,180000,15.0231,15.17,15.02,15.085,2688161,0
ET.US,60,20240416,190000,15.08,15.115,15.0302,15.055,1835172,0
ET.US,60,20240416,200000,15.06,15.1,15.03,15.0653,1540356,0
ET.US,60,20240416,210000,15.065,15.16,15.055,15.155,1802031,0
ET.US,60,20240416,220000,15.16,15.165,15.06,15.1,7071771,0
ET.US,60,20240417,160000,15.01,15.22,14.965,15.2014,1250661,0
ET.US,60,20240417,170000,15.2,15.22,15.15,15.155,1402077,0
ET.US,60,20240417,180000,15.155,15.2,15.085,15.125,1933462,0
ET.US,60,20240417,190000,15.13,15.13,15.055,15.095,1507927,0
ET.US,60,20240417,200000,15.09,15.23,15.075,15.23,968306,0
ET.US,60,20240417,210000,15.225,15.27,15.21,15.22,1069107,0
ET.US,60,20240417,220000,15.21,15.24,15.2,15.23,2152161,0
