<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXR.US,60,20240411,160000,143.45,144.0354,141.205,141.94,29288,0
EXR.US,60,20240411,170000,141.82,141.935,140.04,140.155,42728,0
EXR.US,60,20240411,180000,140.22,141.5,140.08,141.5,38894,0
EXR.US,60,20240411,190000,141.425,142.07,141.31,141.69,62428,0
EXR.US,60,20240411,200000,141.79,143.37,141.7,143.13,45761,0
EXR.US,60,20240411,210000,143.18,143.67,142.78,143.12,25290,0
EXR.US,60,20240411,220000,143.155,143.37,142.71,143.2,308398,0
EXR.US,60,20240412,160000,142.29,142.5,141.35,141.905,13056,0
EXR.US,60,20240412,170000,141.465,142.6116,141.3691,142.485,24220,0
EXR.US,60,20240412,180000,142.5009,142.54,142.09,142.425,26265,0
EXR.US,60,20240412,190000,142.3687,142.5,141.37,141.6,23202,0
EXR.US,60,20240412,200000,141.37,141.37,140.41,141.11,28165,0
EXR.US,60,20240412,210000,141.125,141.24,140.01,140.27,94482,0
EXR.US,60,20240412,220000,140.22,140.71,140.12,140.69,245826,0
EXR.US,60,20240415,160000,140.5,141.18,139.63,140.05,66983,0
EXR.US,60,20240415,170000,140.23,140.23,137.47,137.685,84094,0
EXR.US,60,20240415,180000,137.6,138.635,137.56,138.245,93847,0
EXR.US,60,20240415,190000,138.245,138.65,137.87,138.08,131812,0
EXR.US,60,20240415,200000,138.01,138.4,137.2037,138.095,92162,0
EXR.US,60,20240415,210000,138.06,138.06,136.78,137.055,128858,0
EXR.US,60,20240415,220000,137.045,138.02,136.31,137.73,551501,0
EXR.US,60,20240416,160000,137.19,137.43,134.56,135.1,39381,0
EXR.US,60,20240416,170000,135.17,136.09,134.37,134.37,111207,0
EXR.US,60,20240416,180000,134.52,136.25,134.43,135.815,58970,0
EXR.US,60,20240416,190000,135.9,136.22,135.58,135.77,40135,0
EXR.US,60,20240416,200000,135.62,135.765,134.8,135.455,95059,0
EXR.US,60,20240416,210000,135.37,136.38,134.71,136.045,96832,0
EXR.US,60,20240416,220000,136,136.42,135.75,135.81,363888,0
EXR.US,60,20240417,160000,136.09,137.42,136.01,136.675,38022,0
EXR.US,60,20240417,170000,136.72,137.38,136.17,137.22,41617,0
EXR.US,60,20240417,180000,137.27,137.76,136.915,137.65,49371,0
