<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
F.US,60,20240411,160000,12.583,12.583,12.4775,12.4775,2357709.270308244,0
F.US,60,20240411,170000,12.4822,12.4967,12.3911,12.4247,6301232.0684808,0
F.US,60,20240411,180000,12.4259,12.4775,12.4103,12.4775,4710712.3801988,0
F.US,60,20240411,190000,12.4775,12.4967,12.4535,12.4822,2856809.1995328,0
F.US,60,20240411,200000,12.4822,12.583,12.4775,12.5638,4309313.4664722,0
F.US,60,20240411,210000,12.5735,12.6118,12.5351,12.5542,5319018.777543,0
F.US,60,20240411,220000,12.5591,12.583,12.5158,12.5158,10439341.10761,0
F.US,60,20240412,160000,12.4007,12.4007,12.2471,12.2519,4393869.11425052,0
F.US,60,20240412,170000,12.2568,12.2662,12.1512,12.1992,7913549.9166605,0
F.US,60,20240412,180000,12.1998,12.2183,12.1608,12.1896,5040492.6383778,0
F.US,60,20240412,190000,12.1896,12.1992,12.0839,12.1032,5323973.9466699,0
F.US,60,20240412,200000,12.098,12.1032,12.0072,12.0658,6066902.3705192,0
F.US,60,20240412,210000,12.0648,12.1032,12.0072,12.0167,5942370.9270658,0
F.US,60,20240412,220000,12.0167,12.1223,11.9976,12.1032,15722543.264237,0
F.US,60,20240415,160000,12.2279,12.2999,12.0743,12.0936,3784454.1593052577,0
F.US,60,20240415,170000,12.0936,12.0936,11.9448,11.9531,6137364.5421033,0
F.US,60,20240415,180000,11.9495,11.9879,11.8919,11.9256,5457455.1173732,0
F.US,60,20240415,190000,11.9295,11.9592,11.8632,11.8632,4587568.7175017,0
F.US,60,20240415,200000,11.8632,11.8824,11.7769,11.8392,6193952.0317565,0
F.US,60,20240415,210000,11.8392,11.8392,11.7288,11.7479,8122146.2836158,0
F.US,60,20240415,220000,11.748,11.7769,11.6904,11.7384,20406539.822999,0
F.US,60,20240416,160000,11.652,11.652,11.462,11.5993,6605317.545118969,0
F.US,60,20240416,170000,11.5993,11.6904,11.5369,11.5529,7856889.4955862,0
F.US,60,20240416,180000,11.5465,11.6569,11.5369,11.628,6153627.2071374,0
F.US,60,20240416,190000,11.6234,11.7,11.5944,11.6904,4906230.059591,0
F.US,60,20240416,200000,11.6904,11.7288,11.6233,11.6809,5898403.6989001,0
F.US,60,20240416,210000,11.6809,11.7576,11.6233,11.7193,7369349.1966104,0
F.US,60,20240416,220000,11.7144,11.7193,11.5944,11.604,14380330.059837,0
F.US,60,20240417,160000,11.6472,11.7567,11.6233,11.7194,2375668.1118222824,0
F.US,60,20240417,170000,11.724,11.724,11.6136,11.6184,5155077.2778669,0
F.US,60,20240417,180000,11.6184,11.6617,11.5752,11.6184,4858950.7030287,0
F.US,60,20240417,190000,11.6136,11.6233,11.5561,11.5947,6920976.1964127,0
F.US,60,20240417,200000,11.5993,11.652,11.5944,11.6423,3680958.22146,0
F.US,60,20240417,210000,11.6377,11.652,11.5752,11.5849,4701948.1071342,0
F.US,60,20240417,220000,11.5801,11.5849,11.5369,11.5561,10165428.40177,0
F.US,60,20240418,160000,11.5944,11.6424,11.508,11.5993,2768509.0442182794,0
F.US,60,20240418,170000,11.5993,11.6809,11.5273,11.6472,5224048.5228276,0
F.US,60,20240418,180000,11.6472,11.6712,11.604,11.6274,4179903.9528227,0
F.US,60,20240418,190000,11.6317,11.6423,11.5464,11.5513,4144388.4344883,0
F.US,60,20240418,200000,11.5513,11.5752,11.5273,11.5369,5097492.7114991,0
F.US,60,20240418,210000,11.5369,11.5657,11.4985,11.5224,6859406.448819,0
F.US,60,20240418,220000,11.5177,11.5896,11.5177,11.5752,8933476.0454636,0
F.US,60,20240419,160000,11.5369,11.7384,11.5369,11.6809,3431010.780602587,0
F.US,60,20240419,170000,11.6761,11.7,11.5944,11.6377,5337231.8371535,0
F.US,60,20240419,180000,11.6377,11.6617,11.5944,11.628,3343066.9473742,0
F.US,60,20240419,190000,11.628,11.6424,11.5561,11.629,3485029.0004772,0
F.US,60,20240419,200000,11.628,11.6617,11.604,11.6472,3857156.3673954,0
F.US,60,20240419,210000,11.6424,11.6472,11.5752,11.5993,6762224.2882886,0
F.US,60,20240419,220000,11.5993,11.6712,11.5849,11.652,9086269.4564816,0
F.US,60,20240422,160000,11.8153,12.0072,11.7576,11.9647,9220843.556624342,0
F.US,60,20240422,170000,11.9639,12.2087,11.9495,12.1223,16321239.384031,0
F.US,60,20240422,180000,12.1223,12.2087,12.0648,12.2087,9951182.9753095,0
F.US,60,20240422,190000,12.2087,12.3528,12.2087,12.3096,10174853.225135,0
F.US,60,20240422,200000,12.3096,12.3815,12.228,12.3575,8319319.5062676,0
F.US,60,20240422,210000,12.3622,12.3719,12.2951,12.324,8295815.7929929,0
F.US,60,20240422,220000,12.3288,12.3719,12.2759,12.3622,23152671.423461,0
F.US,60,20240423,160000,12.5254,12.5254,12.3047,12.3671,8905397.448329343,0
F.US,60,20240423,170000,12.3671,12.4582,12.3335,12.4391,12707893.799344,0
F.US,60,20240423,180000,12.4438,12.4582,12.3431,12.3767,8145278.0466427,0
F.US,60,20240423,190000,12.3775,12.4391,12.3719,12.4007,4972409.073,0
F.US,60,20240423,200000,12.4054,12.4391,12.3911,12.4199,3351550.9554062,0
F.US,60,20240423,210000,12.4151,12.4582,12.3911,12.4438,5708217.3063923,0
F.US,60,20240423,220000,12.4438,12.4488,12.3911,12.4199,14629136.644893,0
F.US,60,20240424,160000,12.4199,12.4582,12.3047,12.416,4265826.543808489,0
F.US,60,20240424,170000,12.4199,12.4582,12.3911,12.4126,6539204.169989,0
F.US,60,20240424,180000,12.4151,12.4295,12.2951,12.3191,7532435.3149044,0
F.US,60,20240424,190000,12.3191,12.3431,12.2662,12.3288,5378609.9998692,0
F.US,60,20240424,200000,12.3263,12.4295,12.3047,12.4007,5955834.067406,0
F.US,60,20240424,210000,12.4054,12.4295,12.3528,12.3911,8615358.5634004,0
F.US,60,20240424,220000,12.3862,12.5253,12.3622,12.4295,27403668.925599,0
F.US,60,20240425,160000,12.3335,12.6502,12.1992,12.2625,5535425.057823636,0
F.US,60,20240425,170000,12.2662,12.2951,12.1703,12.1741,8803404.9396368,0
F.US,60,20240425,180000,12.1784,12.2568,12.1752,12.2439,7877969.8019245,0
F.US,60,20240425,190000,12.2423,12.2855,12.2279,12.2567,7158779.5137749,0
F.US,60,20240425,200000,12.2546,12.2855,12.1223,12.2742,10124297.164009,0
F.US,60,20240425,210000,12.2712,12.3288,12.2375,12.2759,12301179.226895,0
F.US,60,20240425,220000,12.2759,12.5527,12.2662,12.5158,28869986.4037,0
F.US,60,20240426,160000,12.2471,12.4391,12.1032,12.4199,9279918.007737992,0
F.US,60,20240426,170000,12.4199,12.4967,12.3815,12.3815,10098961.830186,0
F.US,60,20240426,180000,12.3815,12.3959,12.2759,12.3288,7144265.1190929,0
F.US,60,20240426,190000,12.3325,12.3815,12.3096,12.3662,3211778.9286919,0
F.US,60,20240426,200000,12.3623,12.4199,12.3239,12.3288,5419213.005766,0
