<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCN.US,60,20240411,160000,207.54,207.54,205.83,206.25,1800,0
FCN.US,60,20240411,170000,206.11,206.51,204.98,205.05,3118,0
FCN.US,60,20240411,180000,204.3,205.505,203.955,205.505,2219,0
FCN.US,60,20240411,190000,205.635,205.64,205.205,205.64,890,0
FCN.US,60,20240411,200000,205.66,205.73,204.81,205.04,4023,0
FCN.US,60,20240411,210000,204.95,206.06,204.95,205.55,6401,0
FCN.US,60,20240411,220000,205.3,206.05,205.21,205.29,30480,0
FCN.US,60,20240412,160000,204.43,205.82,204.43,205.12,2786,0
FCN.US,60,20240412,170000,205.8445,205.96,204.93,205.87,4708,0
FCN.US,60,20240412,180000,206.045,206.285,205.23,205.49,10010,0
FCN.US,60,20240412,190000,205.34,205.7055,204.93,205.285,4114,0
FCN.US,60,20240412,200000,205.47,206.34,205.11,206.15,7321,0
FCN.US,60,20240412,210000,205.91,206.135,205.16,205.497,7285,0
FCN.US,60,20240412,220000,205.28,206.38,204.87,205.79,41411,0
FCN.US,60,20240415,160000,207.34,207.34,205.48,206.15,1489,0
FCN.US,60,20240415,170000,205.77,205.78,204.1,204.69,2693,0
FCN.US,60,20240415,180000,204.235,204.93,203.67,204.93,5611,0
FCN.US,60,20240415,190000,205.27,205.27,204.16,204.16,3844,0
FCN.US,60,20240415,200000,204.135,204.715,204.07,204.515,5581,0
FCN.US,60,20240415,210000,204.57,204.61,204.11,204.28,4484,0
FCN.US,60,20240415,220000,204.215,205.12,204.14,205.09,30885,0
FCN.US,60,20240416,160000,206.13,206.13,204.3,204.5,1813,0
FCN.US,60,20240416,170000,205.04,206.09,204.61,205.7,1585,0
FCN.US,60,20240416,180000,205.67,206.49,205.67,206.185,2430,0
FCN.US,60,20240416,190000,206.802,206.9,206.34,206.36,1160,0
FCN.US,60,20240416,200000,206.73,209.15,206.73,208.66,16746,0
FCN.US,60,20240416,210000,208.55,209.92,207.4007,208.33,8968,0
FCN.US,60,20240416,220000,208.31,208.52,207.46,207.62,40880,0
FCN.US,60,20240417,160000,207.62,208.17,207.62,207.7,2359,0
FCN.US,60,20240417,170000,207.475,208.02,207.09,207.09,5061,0
FCN.US,60,20240417,180000,207.54,207.54,205.98,206.22,4506,0
FCN.US,60,20240417,190000,206.545,206.545,205.74,205.8,3463,0
FCN.US,60,20240417,200000,205.67,207.23,205.67,206.655,5844,0
FCN.US,60,20240417,210000,206.57,206.795,205.68,205.68,2790,0
FCN.US,60,20240417,220000,205.34,205.903,204.43,204.46,48420,0
FCN.US,60,20240418,160000,204.74,205.82,204.07,205.33,2401,0
