<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCX.US,60,20240411,160000,51.03,51.3431,50.795,51.155,904661,0
FCX.US,60,20240411,170000,51.16,51.18,50.01,50.065,2040779,0
FCX.US,60,20240411,180000,50.07,50.4199,49.96,50.375,1568025,0
FCX.US,60,20240411,190000,50.37,50.57,50.23,50.5,916547,0
FCX.US,60,20240411,200000,50.485,50.89,50.485,50.77,1192727,0
FCX.US,60,20240411,210000,50.77,50.97,50.725,50.87,1244995,0
FCX.US,60,20240411,220000,50.865,50.94,50.7005,50.74,2976730,0
FCX.US,60,20240412,160000,51.905,52.4,51.48,51.64,1572616,0
FCX.US,60,20240412,170000,51.63,51.655,51.11,51.305,2360093,0
FCX.US,60,20240412,180000,51.315,51.505,50.23,50.425,2614014,0
FCX.US,60,20240412,190000,50.42,50.51,49.7,49.877,1914765,0
FCX.US,60,20240412,200000,49.87,49.975,49.56,49.755,1324522,0
FCX.US,60,20240412,210000,49.755,49.77,49.33,49.515,1735406,0
FCX.US,60,20240412,220000,49.515,49.59,49.33,49.47,3858457,0
FCX.US,60,20240415,160000,50.51,51.05,50.41,50.67,1426993,0
FCX.US,60,20240415,170000,50.69,50.7,50.08,50.25,1274653,0
FCX.US,60,20240415,180000,50.25,50.76,50.15,50.755,1104940,0
FCX.US,60,20240415,190000,50.76,50.775,50.36,50.5372,874002,0
FCX.US,60,20240415,200000,50.535,50.625,49.93,50.178,1615528,0
FCX.US,60,20240415,210000,50.17,50.18,49.67,49.965,1241136,0
FCX.US,60,20240415,220000,49.96,50.2,49.855,50.02,4251962,0
FCX.US,60,20240416,160000,48.42,48.8334,48.075,48.26,2036136,0
FCX.US,60,20240416,170000,48.265,48.795,48.2069,48.51,2791190,0
FCX.US,60,20240416,180000,48.51,49.15,48.47,48.97,2023801,0
FCX.US,60,20240416,190000,48.97,49.385,48.9,49.38,1336335,0
