<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FE.US,60,20240411,160000,38.06,38.06,37.75,37.775,214270,0
FE.US,60,20240411,170000,37.765,37.805,37.56,37.61,98642,0
FE.US,60,20240411,180000,37.6,37.77,37.56,37.77,68534,0
FE.US,60,20240411,190000,37.77,37.845,37.75,37.82,75559,0
FE.US,60,20240411,200000,37.82,37.9286,37.795,37.92,100046,0
FE.US,60,20240411,210000,37.9275,38.005,37.925,37.95,95961,0
FE.US,60,20240411,220000,37.95,37.95,37.6,37.62,1023504,0
FE.US,60,20240412,160000,37.59,37.86,37.57,37.67,112549,0
FE.US,60,20240412,170000,37.67,37.805,37.61,37.725,100712,0
FE.US,60,20240412,180000,37.73,37.76,37.58,37.66,149860,0
FE.US,60,20240412,190000,37.66,37.68,37.43,37.43,191239,0
FE.US,60,20240412,200000,37.425,37.49,37.27,37.49,132444,0
FE.US,60,20240412,210000,37.49,37.55,37.37,37.37,124814,0
FE.US,60,20240412,220000,37.375,37.435,37.31,37.41,698008,0
FE.US,60,20240415,160000,37.62,37.83,37.475,37.55,113966,0
FE.US,60,20240415,170000,37.55,37.55,37.25,37.345,105212,0
FE.US,60,20240415,180000,37.345,37.48,37.29,37.455,71112,0
FE.US,60,20240415,190000,37.45,37.455,37.285,37.35,137832,0
FE.US,60,20240415,200000,37.35,37.435,37.22,37.32,304512,0
FE.US,60,20240415,210000,37.32,37.34,37.135,37.23,178602,0
FE.US,60,20240415,220000,37.225,37.41,37.17,37.4,1086389,0
FE.US,60,20240416,160000,37.28,37.42,36.875,36.985,151879,0
FE.US,60,20240416,170000,36.97,36.97,36.81,36.92,225687,0
FE.US,60,20240416,180000,36.92,37.14,36.84,37.07,154217,0
FE.US,60,20240416,190000,37.055,37.155,37.04,37.15,84335,0
FE.US,60,20240416,200000,37.15,37.15,36.91,37.08,195558,0
FE.US,60,20240416,210000,37.07,37.195,36.955,37.115,149935,0
FE.US,60,20240416,220000,37.11,37.11,36.82,36.83,1087160,0
FE.US,60,20240417,160000,36.98,37.34,36.98,37.295,104437,0
FE.US,60,20240417,170000,37.295,37.33,36.955,37.02,135841,0
FE.US,60,20240417,180000,37.02,37.05,36.915,37.01,109189,0
FE.US,60,20240417,190000,37.01,37.175,37,37.13,102160,0
FE.US,60,20240417,200000,37.12,37.35,37.115,37.34,131112,0
FE.US,60,20240417,210000,37.335,37.52,37.32,37.395,191762,0
FE.US,60,20240417,220000,37.395,37.52,37.385,37.45,1279277,0
FE.US,60,20240418,160000,37.6,37.61,37.36,37.455,39768,0
FE.US,60,20240418,170000,37.455,37.49,37.23,37.275,115928,0
FE.US,60,20240418,180000,37.28,37.405,37.245,37.26,75779,0
FE.US,60,20240418,190000,37.265,37.335,37.23,37.235,94682,0
FE.US,60,20240418,200000,37.23,37.44,37.23,37.435,135705,0
FE.US,60,20240418,210000,37.43,37.545,37.41,37.535,123576,0
FE.US,60,20240418,220000,37.54,37.74,37.535,37.63,826070,0
FE.US,60,20240419,160000,37.87,38.09,37.76,37.905,226464,0
FE.US,60,20240419,170000,37.9,38.145,37.87,38.085,208906,0
FE.US,60,20240419,180000,38.09,38.29,38.075,38.27,157052,0
FE.US,60,20240419,190000,38.275,38.34,38.165,38.325,124114,0
FE.US,60,20240419,200000,38.325,38.42,38.27,38.28,137849,0
FE.US,60,20240419,210000,38.275,38.34,38.2,38.325,204609,0
FE.US,60,20240419,220000,38.33,38.335,38.105,38.18,641707,0
FE.US,60,20240422,160000,38.075,38.155,37.92,38.125,111406,0
FE.US,60,20240422,170000,38.135,38.3,38.07,38.24,190152,0
FE.US,60,20240422,180000,38.23,38.25,38.14,38.17,235175,0
FE.US,60,20240422,190000,38.17,38.245,38.14,38.245,142811,0
FE.US,60,20240422,200000,38.24,38.39,38.22,38.38,165668,0
FE.US,60,20240422,210000,38.38,38.385,38.255,38.275,189059,0
FE.US,60,20240422,220000,38.27,38.28,38.1,38.21,898304,0
FE.US,60,20240423,160000,38.2,38.48,38.08,38.38,85738,0
FE.US,60,20240423,170000,38.39,38.45,38.24,38.28,122228,0
FE.US,60,20240423,180000,38.29,38.45,38.265,38.415,267954,0
FE.US,60,20240423,190000,38.42,38.43,38.33,38.355,67276,0
FE.US,60,20240423,200000,38.36,38.375,38.22,38.27,82531,0
FE.US,60,20240423,210000,38.265,38.28,38.095,38.13,94377,0
FE.US,60,20240423,220000,38.14,38.205,38.07,38.12,844042,0
FE.US,60,20240424,160000,37.89,37.98,37.69,37.9098,136385,0
FE.US,60,20240424,170000,37.91,38.165,37.89,38.075,167488,0
FE.US,60,20240424,180000,38.08,38.255,38.08,38.215,195811,0
FE.US,60,20240424,190000,38.215,38.245,38.13,38.17,83018,0
FE.US,60,20240424,200000,38.16,38.24,38.135,38.235,84516,0
FE.US,60,20240424,210000,38.23,38.2699,38.155,38.195,141339,0
FE.US,60,20240424,220000,38.19,38.38,38.135,38.3,1068706,0
FE.US,60,20240425,160000,38.23,38.375,38.015,38.07,125593,0
FE.US,60,20240425,170000,38.07,38.15,37.85,38.1207,210846,0
FE.US,60,20240425,180000,38.12,38.395,38.11,38.385,290393,0
FE.US,60,20240425,190000,38.385,38.55,38.36,38.55,131066,0
FE.US,60,20240425,200000,38.55,38.59,38.465,38.585,129076,0
FE.US,60,20240425,210000,38.585,38.6,38.4,38.455,238189,0
FE.US,60,20240425,220000,38.455,38.655,38.445,38.57,1482321,0
FE.US,60,20240426,160000,38.2,38.51,37.84,38.07,569853,0
FE.US,60,20240426,170000,38.08,38.51,37.905,38.505,916074,0
FE.US,60,20240426,180000,38.5,38.7,38.3,38.535,553093,0
FE.US,60,20240426,190000,38.53,38.555,38.38,38.52,218247,0
FE.US,60,20240426,200000,38.52,38.575,38.3108,38.315,220742,0
FE.US,60,20240426,210000,38.31,38.525,38.31,38.495,239191,0
FE.US,60,20240426,220000,38.495,38.52,38.11,38.13,1607390,0
FE.US,60,20240429,160000,38.33,38.72,38.3,38.63,218883,0
FE.US,60,20240429,170000,38.625,38.74,38.52,38.7,373003,0
FE.US,60,20240429,180000,38.69,38.83,38.65,38.775,317563,0
FE.US,60,20240429,190000,38.775,38.94,38.775,38.78,295202,0
FE.US,60,20240429,200000,38.78,38.815,38.7,38.7,261674,0
FE.US,60,20240429,210000,38.7,38.81,38.62,38.7,237412,0
FE.US,60,20240429,220000,38.7,38.81,38.6,38.78,1496604,0
FE.US,60,20240430,160000,38.57,38.61,38.21,38.34,160372,0
FE.US,60,20240430,170000,38.34,38.385,38.265,38.35,100987,0
FE.US,60,20240430,180000,38.355,38.56,38.305,38.56,126119,0
FE.US,60,20240430,190000,38.56,38.615,38.52,38.53,120241,0
FE.US,60,20240430,200000,38.52,38.69,38.4901,38.665,185371,0
FE.US,60,20240430,210000,38.665,38.72,38.5,38.57,281854,0
