<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FERG.US,60,20240411,160000,218.64,219.31,217.65,218.04,96755,0
FERG.US,60,20240411,170000,218.06,218.14,215.775,216.13,123598,0
FERG.US,60,20240411,180000,216.21,218.2,216.17,218.2,127833,0
FERG.US,60,20240411,190000,218.185,218.28,216.61,217,55504,0
FERG.US,60,20240411,200000,217.03,218.0773,216.9,218.01,110180,0
FERG.US,60,20240411,210000,218.01,218.76,218.01,218.6266,65564,0
FERG.US,60,20240411,220000,218.6,218.785,217.87,218.26,376492,0
FERG.US,60,20240412,160000,216.34,217.89,216.34,216.88,21926,0
FERG.US,60,20240412,170000,216.42,216.78,215.63,216.09,59633,0
FERG.US,60,20240412,180000,216.06,217.5,215.98,217,34786,0
FERG.US,60,20240412,190000,216.99,217.02,215.84,215.95,51923,0
FERG.US,60,20240412,200000,215.96,216.38,215.35,216.12,58922,0
FERG.US,60,20240412,210000,216.06,216.81,215.9,216.08,47935,0
FERG.US,60,20240412,220000,216,216.75,215.79,216.32,297581,0
FERG.US,60,20240415,160000,219.71,220.36,219.165,219.35,74567,0
FERG.US,60,20240415,170000,219.35,219.4,216.865,217.12,309809,0
FERG.US,60,20240415,180000,217.14,217.915,216.85,217.24,244289,0
FERG.US,60,20240415,190000,217.15,217.15,215.92,216.05,200730,0
FERG.US,60,20240415,200000,216,216.435,214.12,214.79,304048,0
FERG.US,60,20240415,210000,214.72,215.06,214.24,214.495,176164,0
FERG.US,60,20240415,220000,214.43,215.07,212.91,215.01,632164,0
FERG.US,60,20240416,160000,214.01,215.13,213.75,214.32,87055,0
FERG.US,60,20240416,170000,214.3,214.89,213.085,213.91,117028,0
FERG.US,60,20240416,180000,213.835,215.08,213.6075,214.85,67155,0
FERG.US,60,20240416,190000,214.68,215.36,214.46,215.28,32543,0
FERG.US,60,20240416,200000,215.16,215.53,214.5175,215.29,88703,0
FERG.US,60,20240416,210000,215.29,216.04,214.55,216,75753,0
FERG.US,60,20240416,220000,215.96,216.09,214.99,215.4,394249,0
FERG.US,60,20240417,160000,216.18,216.18,214.4,214.81,83451,0
FERG.US,60,20240417,170000,214.81,214.86,212.9,213.335,166489,0
FERG.US,60,20240417,180000,213.25,213.43,211.48,212.415,69306,0
FERG.US,60,20240417,190000,212.415,212.415,210.49,210.855,51404,0
FERG.US,60,20240417,200000,210.79,211.59,210.78,211.5166,50644,0
FERG.US,60,20240417,210000,211.525,212.2,211.0205,211.48,52907,0
FERG.US,60,20240417,220000,211.36,211.97,211.005,211.44,310700,0
FERG.US,60,20240418,160000,210.57,212.13,210.57,211.95,27689,0
FERG.US,60,20240418,170000,212.035,212.52,211.53,212.07,26147,0
FERG.US,60,20240418,180000,212.125,213.22,212.065,212.795,29676,0
FERG.US,60,20240418,190000,212.84,212.89,211.45,211.51,27110,0
FERG.US,60,20240418,200000,211.555,211.68,209.725,209.935,25464,0
FERG.US,60,20240418,210000,209.92,210.045,208.94,209.145,22221,0
FERG.US,60,20240418,220000,209.1,209.93,208.86,209.54,311387,0
FERG.US,60,20240419,160000,210.15,211.19,209.355,211.1,34868,0
FERG.US,60,20240419,170000,211.15,211.15,209.79,210.44,44019,0
FERG.US,60,20240419,180000,210.42,210.685,209.64,209.64,25222,0
FERG.US,60,20240419,190000,209.6921,209.95,208.795,209.5,53326,0
FERG.US,60,20240419,200000,209.56,209.97,209.31,209.41,25102,0
FERG.US,60,20240419,210000,209.39,209.39,208.29,208.785,42620,0
FERG.US,60,20240419,220000,208.71,209.19,208.47,208.8,121244,0
FERG.US,60,20240422,160000,209.16,209.94,208.3,209.7,55421,0
