<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FL.US,60,20240411,160000,22.77,22.84,22.42,22.82,152966,0
FL.US,60,20240411,170000,22.81,22.94,22.55,22.59,282553,0
FL.US,60,20240411,180000,22.58,22.73,22.5,22.72,307584,0
FL.US,60,20240411,190000,22.725,22.77,22.57,22.73,204100,0
FL.US,60,20240411,200000,22.74,23.09,22.7,23.035,276761,0
FL.US,60,20240411,210000,23.03,23.16,23.0201,23.14,307700,0
FL.US,60,20240411,220000,23.13,23.32,23.1,23.25,1507541,0
FL.US,60,20240412,160000,22.99,23.05,22.51,22.55,150170,0
FL.US,60,20240412,170000,22.55,22.665,22.355,22.45,281905,0
FL.US,60,20240412,180000,22.45,22.53,22.35,22.36,177448,0
FL.US,60,20240412,190000,22.36,22.39,22.21,22.29,155271,0
FL.US,60,20240412,200000,22.29,22.35,22,22.14,392849,0
FL.US,60,20240412,210000,22.13,22.22,22.03,22.1,182487,0
FL.US,60,20240412,220000,22.1,22.16,21.91,21.92,1536913,0
FL.US,60,20240415,160000,22.03,22.42,22.03,22.175,131954,0
FL.US,60,20240415,170000,22.16,22.16,21.79,21.89,247495,0
FL.US,60,20240415,180000,21.88,22.12,21.8456,22.07,237943,0
FL.US,60,20240415,190000,22.065,22.15,21.93,21.95,153560,0
FL.US,60,20240415,200000,21.95,22.01,21.8,21.91,259998,0
FL.US,60,20240415,210000,21.91,21.96,21.82,21.9,249134,0
FL.US,60,20240415,220000,21.895,22.12,21.845,22,1236139,0
FL.US,60,20240416,160000,21.89,21.89,21.37,21.44,116130,0
FL.US,60,20240416,170000,21.42,21.55,21.28,21.41,277399,0
FL.US,60,20240416,180000,21.4,21.955,21.38,21.76,384945,0
FL.US,60,20240416,190000,21.75,21.78,21.405,21.405,264652,0
FL.US,60,20240416,200000,21.4,21.48,21.26,21.36,240464,0
FL.US,60,20240416,210000,21.35,21.56,21.27,21.4,190998,0
FL.US,60,20240416,220000,21.4,21.6,21.3,21.52,1265899,0
FL.US,60,20240417,160000,21.71,21.83,21.57,21.62,93548,0
FL.US,60,20240417,170000,21.6,21.6,21.21,21.3,180552,0
FL.US,60,20240417,180000,21.3,21.5,21.3,21.425,126223,0
FL.US,60,20240417,190000,21.42,21.765,21.38,21.67,252767,0
FL.US,60,20240417,200000,21.67,21.87,21.62,21.85,206198,0
FL.US,60,20240417,210000,21.85,22.2,21.85,21.975,291688,0
FL.US,60,20240417,220000,21.97,21.97,21.57,21.65,1630397,0
FL.US,60,20240418,160000,21.81,21.92,21.63,21.83,72481,0
FL.US,60,20240418,170000,21.835,22.16,21.755,22.16,163154,0
FL.US,60,20240418,180000,22.16,22.19,22,22.02,108701,0
FL.US,60,20240418,190000,22.03,22.05,21.72,21.76,107410,0
FL.US,60,20240418,200000,21.745,21.76,21.58,21.69,110324,0
FL.US,60,20240418,210000,21.68,21.72,21.59,21.69,99942,0
FL.US,60,20240418,220000,21.69,21.75,21.55,21.61,956087,0
FL.US,60,20240419,160000,21.57,22.07,21.555,21.935,87926,0
FL.US,60,20240419,170000,21.935,22.2,21.935,22.1,170157,0
FL.US,60,20240419,180000,22.09,22.09,21.87,21.9,129896,0
FL.US,60,20240419,190000,21.905,21.955,21.79,21.945,123402,0
FL.US,60,20240419,200000,21.95,22.02,21.84,21.89,110834,0
FL.US,60,20240419,210000,21.89,21.89,21.76,21.81,147764,0
FL.US,60,20240419,220000,21.8,21.88,21.68,21.69,532506,0
FL.US,60,20240422,160000,21.89,22.07,21.56,21.84,135338,0
FL.US,60,20240422,170000,21.83,21.87,21.52,21.67,279714,0
FL.US,60,20240422,180000,21.67,21.67,21.415,21.5,211061,0
FL.US,60,20240422,190000,21.51,21.73,21.505,21.6678,157270,0
FL.US,60,20240422,200000,21.67,22.08,21.65,21.96,311548,0
FL.US,60,20240422,210000,21.96,22.04,21.74,21.805,232336,0
FL.US,60,20240422,220000,21.8001,21.84,21.53,21.56,1030175,0
FL.US,60,20240423,160000,21.57,22.01,21.57,21.985,101996,0
FL.US,60,20240423,170000,21.98,22.32,21.94,22.24,298359,0
FL.US,60,20240423,180000,22.24,22.33,21.85,21.87,294193,0
FL.US,60,20240423,190000,21.88,22.025,21.835,21.995,187646,0
FL.US,60,20240423,200000,21.97,22.13,21.945,22.0999,254077,0
FL.US,60,20240423,210000,22.0992,22.2,22.07,22.2,172125,0
FL.US,60,20240423,220000,22.19,22.34,22.165,22.24,1229566,0
FL.US,60,20240424,160000,22.13,22.25,21.86,22.09,221915,0
FL.US,60,20240424,170000,22.09,22.295,21.96,22.2625,339641,0
FL.US,60,20240424,180000,22.27,22.4,22.115,22.22,213556,0
FL.US,60,20240424,190000,22.205,22.46,22.19,22.455,141852,0
FL.US,60,20240424,200000,22.45,22.635,22.45,22.61,188779,0
FL.US,60,20240424,210000,22.605,22.665,22.5,22.58,149660,0
FL.US,60,20240424,220000,22.575,22.89,22.56,22.87,896038,0
FL.US,60,20240425,160000,22.54,22.605,21.8701,22.075,111294,0
FL.US,60,20240425,170000,22.04,22.44,21.98,22.37,76511,0
FL.US,60,20240425,180000,22.37,22.5,22.36,22.45,67665,0
FL.US,60,20240425,190000,22.445,22.485,22.34,22.48,54667,0
FL.US,60,20240425,200000,22.48,22.4825,22.3,22.4,291943,0
FL.US,60,20240425,210000,22.4,22.47,22.155,22.22,193202,0
FL.US,60,20240425,220000,22.21,22.33,21.91,21.93,1192544,0
FL.US,60,20240426,160000,22,22.21,21.63,22.195,89551,0
FL.US,60,20240426,170000,22.18,22.425,22.07,22.13,176287,0
FL.US,60,20240426,180000,22.14,22.24,21.91,22.06,118628,0
FL.US,60,20240426,190000,22.06,22.06,21.97,21.98,66585,0
FL.US,60,20240426,200000,21.98,22.04,21.78,21.99,103614,0
FL.US,60,20240426,210000,21.98,22.03,21.8919,22.02,159289,0
FL.US,60,20240426,220000,22.03,22.03,21.875,21.98,776482,0
FL.US,60,20240429,160000,22.09,22.1451,21.83,21.855,105218,0
FL.US,60,20240429,170000,21.855,21.865,21.65,21.65,255192,0
FL.US,60,20240429,180000,21.65,21.72,21.43,21.48,326139,0
FL.US,60,20240429,190000,21.485,21.5236,21.335,21.345,175577,0
FL.US,60,20240429,200000,21.345,21.58,21.345,21.51,274605,0
FL.US,60,20240429,210000,21.5,21.53,21.39,21.445,201990,0
FL.US,60,20240429,220000,21.4475,21.4475,21.2525,21.36,1221256,0
FL.US,60,20240430,160000,21.05,21.26,20.98,21.15,271972,0
FL.US,60,20240430,170000,21.155,21.2,20.83,20.91,274606,0
FL.US,60,20240430,180000,20.905,21.01,20.795,20.875,307265,0
FL.US,60,20240430,190000,20.8825,20.91,20.705,20.7885,218448,0
FL.US,60,20240430,200000,20.785,20.89,20.73,20.88,130627,0
FL.US,60,20240430,210000,20.875,20.875,20.7401,20.825,219559,0
FL.US,60,20240430,220000,20.825,20.91,20.73,20.85,1520392,0
FL.US,60,20240501,160000,20.81,20.95,20.66,20.7,82044,0
FL.US,60,20240501,170000,20.71,20.76,20.58,20.6,159141,0
FL.US,60,20240501,180000,20.59,20.67,20.52,20.555,127596,0
FL.US,60,20240501,190000,20.55,20.65,20.515,20.535,102311,0
FL.US,60,20240501,200000,20.535,20.61,20.47,20.6,266934,0
FL.US,60,20240501,210000,20.6,21.03,20.57,21,224363,0
FL.US,60,20240501,220000,21.01,21.09,20.53,20.59,926430,0
FL.US,60,20240502,160000,20.95,21.28,20.87,21.15,105720,0
FL.US,60,20240502,170000,21.18,21.305,20.995,21.07,211063,0
FL.US,60,20240502,180000,21.06,21.16,20.9801,21.11,72479,0
FL.US,60,20240502,190000,21.11,21.26,21.09,21.23,131278,0
FL.US,60,20240502,200000,21.23,21.365,21.17,21.3308,113048,0
FL.US,60,20240502,210000,21.33,21.425,21.2919,21.3175,273809,0
FL.US,60,20240502,220000,21.3142,21.47,21.19,21.45,755199,0
FL.US,60,20240506,160000,21.87,22.58,21.81,22.42,217966,0
FL.US,60,20240506,170000,22.42,22.92,22.4,22.9,488092,0
FL.US,60,20240506,180000,22.9,23.175,22.84,23.095,568688,0
FL.US,60,20240506,190000,23.09,23.1,22.82,22.965,423352,0
FL.US,60,20240506,200000,22.969,23.14,22.93,23.105,409240,0
FL.US,60,20240506,210000,23.09,23.15,22.96,23.05,252090,0
FL.US,60,20240506,220000,23.049,23.3,22.92,23.28,1791520,0
FL.US,60,20240507,160000,23.5,23.94,23.48,23.5321,329828,0
FL.US,60,20240507,170000,23.535,23.62,23.385,23.57,236301,0
FL.US,60,20240507,180000,23.57,23.71,23.5,23.6,236169,0
FL.US,60,20240507,190000,23.61,23.68,23.42,23.485,184811,0
FL.US,60,20240507,200000,23.49,23.565,23.36,23.41,207455,0
FL.US,60,20240507,210000,23.415,23.44,23.315,23.425,165622,0
FL.US,60,20240507,220000,23.425,23.64,23.37,23.61,1291986,0
FL.US,60,20240508,160000,23.29,23.74,23.15,23.71,127023,0
FL.US,60,20240508,170000,23.72,23.99,23.61,23.9297,225415,0
FL.US,60,20240508,180000,23.9282,24.03,23.645,23.735,307508,0
FL.US,60,20240508,190000,23.735,23.79,23.46,23.55,231638,0
FL.US,60,20240508,200000,23.55,23.71,23.5,23.62,156859,0
FL.US,60,20240508,210000,23.625,23.71,23.575,23.63,155488,0
FL.US,60,20240508,220000,23.635,23.905,23.53,23.84,1339108,0
FL.US,60,20240509,160000,23.85,24.14,23.7801,23.97,95910,0
FL.US,60,20240509,170000,23.975,24.15,23.77,23.85,237865,0
FL.US,60,20240509,180000,23.84,23.93,23.79,23.87,143982,0
FL.US,60,20240509,190000,23.88,23.99,23.85,23.91,126478,0
FL.US,60,20240509,200000,23.91,24.075,23.91,24.02,99238,0
FL.US,60,20240509,210000,24.025,24.08,23.91,23.98,198589,0
FL.US,60,20240509,220000,23.99,24.33,23.99,24.32,747007,0
FL.US,60,20240510,160000,24.5,24.75,24.3344,24.735,135519,0
FL.US,60,20240510,170000,24.73,24.86,24.31,24.375,203884,0
FL.US,60,20240510,180000,24.37,24.49,24.26,24.39,130177,0
FL.US,60,20240510,190000,24.38,24.38,24.09,24.12,160102,0
FL.US,60,20240510,200000,24.11,24.155,23.93,23.96,120931,0
FL.US,60,20240510,210000,23.95,24.0675,23.91,23.94,156588,0
FL.US,60,20240510,220000,23.945,24.215,23.92,24.11,860054,0
FL.US,60,20240513,160000,24.47,24.66,23.93,24.39,167244,0
FL.US,60,20240513,170000,24.385,24.49,23.15,23.18,510551,0
FL.US,60,20240513,180000,23.185,23.717,23.122,23.405,464301,0
FL.US,60,20240513,190000,23.41,23.49,23.265,23.29,244382,0
FL.US,60,20240513,200000,23.295,23.45,23.13,23.13,382633,0
FL.US,60,20240513,210000,23.13,23.16,22.98,22.98,336458,0
FL.US,60,20240513,220000,22.98,23.12,22.74,22.74,1848918,0
FL.US,60,20240514,160000,23.29,23.97,23.28,23.53,277364,0
FL.US,60,20240514,170000,23.54,23.83,23.33,23.455,352828,0
FL.US,60,20240514,180000,23.46,23.54,23.12,23.1393,192257,0
FL.US,60,20240514,190000,23.13,23.18,22.92,23.04,145551,0
FL.US,60,20240514,200000,23.06,23.15,23.01,23.01,126407,0
FL.US,60,20240514,210000,23,23.15,22.94,22.99,156976,0
FL.US,60,20240514,220000,23,23.075,22.9,22.91,934843,0
FL.US,60,20240515,160000,23.1,23.369,22.3,22.31,152814,0
FL.US,60,20240515,170000,22.3,22.5599,22.225,22.5599,388390,0
FL.US,60,20240515,180000,22.56,22.57,22.36,22.39,136153,0
FL.US,60,20240515,190000,22.41,22.415,22.21,22.415,159775,0
FL.US,60,20240515,200000,22.42,22.48,22.34,22.34,126429,0
FL.US,60,20240515,210000,22.34,22.5,22.29,22.485,128192,0
FL.US,60,20240515,220000,22.4846,22.5632,22.13,22.14,1097053,0
FL.US,60,20240516,160000,22.41,22.485,22.17,22.195,131904,0
FL.US,60,20240516,170000,22.21,22.305,22.01,22.28,219484,0
FL.US,60,20240516,180000,22.285,22.31,22.005,22.105,182921,0
FL.US,60,20240516,190000,22.105,22.105,21.92,21.945,138162,0
FL.US,60,20240516,200000,21.94,21.96,21.805,21.915,145662,0
FL.US,60,20240516,210000,21.92,21.94,21.8109,21.91,123797,0
FL.US,60,20240516,220000,21.92,22.065,21.885,22,895766,0
FL.US,60,20240517,160000,22,22.02,21.82,21.94,102256,0
FL.US,60,20240517,170000,21.94,22.1,21.89,22.1,118587,0
FL.US,60,20240517,180000,22.09,22.38,22.08,22.38,234278,0
FL.US,60,20240517,190000,22.38,22.4,22.08,22.145,95485,0
FL.US,60,20240517,200000,22.139,22.16,21.995,21.995,121860,0
FL.US,60,20240517,210000,21.99,22.06,21.95,22.03,113444,0
FL.US,60,20240517,220000,22.035,22.1897,21.87,21.91,1309811,0
FL.US,60,20240520,160000,21.91,22.2432,21.79,22.22,83683,0
FL.US,60,20240520,170000,22.19,22.3525,22.05,22.33,237767,0
FL.US,60,20240520,180000,22.33,22.66,22.295,22.505,284526,0
FL.US,60,20240520,190000,22.5,22.6,22.405,22.535,144409,0
FL.US,60,20240520,200000,22.535,22.71,22.52,22.58,120316,0
FL.US,60,20240520,210000,22.57,22.675,22.52,22.5875,127343,0
FL.US,60,20240520,220000,22.58,22.74,22.565,22.71,1022524,0
FL.US,60,20240521,160000,22.7,23.02,22.64,22.85,84275,0
FL.US,60,20240521,170000,22.86,22.975,22.69,22.8105,170006,0
