<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMC.US,60,20240411,160000,59.5068,59.9369,59.1147,59.2103,98651.28206369482,0
FMC.US,60,20240411,170000,59.2295,59.2295,58.1488,58.2256,81956.111797887,0
FMC.US,60,20240411,180000,58.2065,58.4622,57.9196,58.3212,75541.409427245,0
FMC.US,60,20240411,190000,58.3212,58.3404,57.8049,58.1586,96600.208959369,0
FMC.US,60,20240411,200000,58.1682,58.6033,58.1396,58.4359,78247.236107964,0
FMC.US,60,20240411,210000,58.4503,58.6606,58.2447,58.522,75356.279422418,0
FMC.US,60,20240411,220000,58.5364,59.0286,58.4311,58.8375,602414.08163916,0
FMC.US,60,20240412,160000,58.0344,58.1157,57.0113,57.0783,125471.07632229874,0
FMC.US,60,20240412,170000,57.0591,57.107,56.342,56.3708,107580.40551685,0
FMC.US,60,20240412,180000,56.3134,56.5334,55.386,55.5244,188700.81746244,0
FMC.US,60,20240412,190000,55.5055,55.5581,54.7689,54.9079,161921.81456083,0
FMC.US,60,20240412,200000,54.927,55.0371,54.5446,54.5542,130668.31357645,0
FMC.US,60,20240412,210000,54.535,54.8792,54.3296,54.4394,147397.99960587,0
FMC.US,60,20240412,220000,54.4108,54.4777,54.0379,54.2579,600921.536346,0
FMC.US,60,20240415,160000,54.4968,55.7207,54.4299,54.8028,77873.83830161826,0
FMC.US,60,20240415,170000,54.927,54.927,54.2769,54.7168,70530.348110149,0
FMC.US,60,20240415,180000,54.7311,55.1374,54.5638,54.8888,134907.47690732,0
FMC.US,60,20240415,190000,54.8824,54.9175,54.3916,54.5017,50264.365208865,0
FMC.US,60,20240415,200000,54.4777,54.5064,54.1526,54.4108,86709.873786241,0
FMC.US,60,20240415,210000,54.406,54.406,53.7319,53.7893,99690.938700972,0
FMC.US,60,20240415,220000,53.7415,54.4394,53.7223,54.2483,574516.97718297,0
FMC.US,60,20240416,160000,53.9327,54.3343,53.6364,53.6364,77879.06796277159,0
FMC.US,60,20240416,170000,53.6077,54.2292,53.3687,53.6747,94278.239407302,0
