<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTS.US,60,20240411,160000,38.34,38.39,38,38.01,21473,0
FTS.US,60,20240411,170000,37.98,37.98,37.62,37.645,73197,0
FTS.US,60,20240411,180000,37.63,37.86,37.57,37.84,73205,0
FTS.US,60,20240411,190000,37.85,37.91,37.82,37.85,58315,0
FTS.US,60,20240411,200000,37.855,37.96,37.81,37.955,68582,0
FTS.US,60,20240411,210000,37.96,37.98,37.885,37.89,48074,0
FTS.US,60,20240411,220000,37.88,38,37.82,37.95,303139,0
FTS.US,60,20240412,160000,37.82,38.11,37.66,38,41158,0
FTS.US,60,20240412,170000,38,38.06,37.91,38.02,36521,0
FTS.US,60,20240412,180000,38,38.08,37.77,37.83,44746,0
FTS.US,60,20240412,190000,37.845,37.88,37.69,37.69,25398,0
FTS.US,60,20240412,200000,37.685,37.745,37.53,37.74,22585,0
FTS.US,60,20240412,210000,37.735,37.735,37.555,37.56,34704,0
FTS.US,60,20240412,220000,37.55,37.65,37.49,37.62,149505,0
FTS.US,60,20240415,160000,37.91,37.945,37.58,37.7,30434,0
FTS.US,60,20240415,170000,37.615,37.62,37.4345,37.52,40885,0
FTS.US,60,20240415,180000,37.52,37.68,37.44,37.61,52917,0
FTS.US,60,20240415,190000,37.61,37.635,37.5,37.59,33308,0
FTS.US,60,20240415,200000,37.58,37.59,37.3,37.37,36751,0
FTS.US,60,20240415,210000,37.37,37.41,37.31,37.36,31261,0
FTS.US,60,20240415,220000,37.35,37.595,37.31,37.54,208411,0
FTS.US,60,20240416,160000,37.41,37.42,36.95,37.01,51037,0
FTS.US,60,20240416,170000,36.98,37.1801,36.86,37.08,74479,0
FTS.US,60,20240416,180000,37.06,37.34,37.06,37.31,54906,0
FTS.US,60,20240416,190000,37.29,37.45,37.29,37.42,45225,0
FTS.US,60,20240416,200000,37.42,37.46,37.28,37.41,98675,0
FTS.US,60,20240416,210000,37.4,37.455,37.21,37.37,53619,0
FTS.US,60,20240416,220000,37.37,37.37,37.11,37.14,221334,0
FTS.US,60,20240417,160000,37.29,37.45,37.2,37.36,25326,0
FTS.US,60,20240417,170000,37.36,37.36,37.06,37.13,42516,0
FTS.US,60,20240417,180000,37.14,37.255,37.11,37.115,41493,0
FTS.US,60,20240417,190000,37.135,37.21,37.07,37.21,90959,0
FTS.US,60,20240417,200000,37.21,37.39,37.17,37.38,65949,0
FTS.US,60,20240417,210000,37.375,37.54,37.2991,37.45,74794,0
FTS.US,60,20240417,220000,37.45,37.71,37.4,37.64,253296,0
FTS.US,60,20240418,160000,37.81,37.81,37.47,37.66,21179,0
FTS.US,60,20240418,170000,37.66,37.71,37.59,37.71,28442,0
FTS.US,60,20240418,180000,37.71,37.91,37.71,37.83,36529,0
FTS.US,60,20240418,190000,37.83,37.905,37.74,37.76,101436,0
FTS.US,60,20240418,200000,37.76,37.78,37.665,37.75,44941,0
FTS.US,60,20240418,210000,37.755,37.89,37.72,37.89,24242,0
FTS.US,60,20240418,220000,37.89,38.11,37.88,38.05,198922,0
FTS.US,60,20240419,160000,38.11,38.3717,38.09,38.37,32702,0
FTS.US,60,20240419,170000,38.38,38.55,38.38,38.46,33777,0
FTS.US,60,20240419,180000,38.465,38.55,38.43,38.44,22915,0
FTS.US,60,20240419,190000,38.45,38.48,38.325,38.48,32000,0
FTS.US,60,20240419,200000,38.48,38.5,38.38,38.4,35327,0
FTS.US,60,20240419,210000,38.395,38.49,38.32,38.48,55460,0
FTS.US,60,20240419,220000,38.49,38.51,38.42,38.46,153764,0
FTS.US,60,20240422,160000,38.4,38.78,38.39,38.75,40457,0
FTS.US,60,20240422,170000,38.75,38.85,38.71,38.8,36456,0
FTS.US,60,20240422,180000,38.78,38.84,38.72,38.73,33003,0
FTS.US,60,20240422,190000,38.73,38.875,38.73,38.86,25993,0
FTS.US,60,20240422,200000,38.86,38.95,38.82,38.93,29774,0
FTS.US,60,20240422,210000,38.9375,39.01,38.925,38.975,41940,0
FTS.US,60,20240422,220000,38.97,39.02,38.91,39.01,146647,0
FTS.US,60,20240423,160000,39.05,39.2,38.96,39.18,22258,0
FTS.US,60,20240423,170000,39.19,39.21,39,39.115,43347,0
FTS.US,60,20240423,180000,39.07,39.09,39.01,39.04,24418,0
FTS.US,60,20240423,190000,39.05,39.11,39,39.085,52489,0
FTS.US,60,20240423,200000,39.07,39.13,39.07,39.12,37254,0
FTS.US,60,20240423,210000,39.115,39.22,39.11,39.185,82059,0
FTS.US,60,20240423,220000,39.19,39.2,39.03,39.1,471300,0
FTS.US,60,20240424,160000,38.89,39.06,38.71,38.92,59679,0
FTS.US,60,20240424,170000,38.94,39.05,38.91,38.97,37798,0
FTS.US,60,20240424,180000,38.98,39.14,38.98,39.12,40331,0
FTS.US,60,20240424,190000,39.1,39.13,38.97,39.125,48677,0
FTS.US,60,20240424,200000,39.13,39.195,39.1,39.185,25822,0
FTS.US,60,20240424,210000,39.18,39.18,39.07,39.1,29999,0
FTS.US,60,20240424,220000,39.09,39.27,39.09,39.16,284537,0
FTS.US,60,20240425,160000,39.12,39.18,38.63,38.66,46677,0
FTS.US,60,20240425,170000,38.67,38.94,38.555,38.94,81488,0
FTS.US,60,20240425,180000,38.93,39.23,38.89,39.23,51253,0
FTS.US,60,20240425,190000,39.22,39.28,39.16,39.21,44652,0
FTS.US,60,20240425,200000,39.19,39.27,39.12,39.265,53561,0
FTS.US,60,20240425,210000,39.27,39.27,39.14,39.215,44160,0
FTS.US,60,20240425,220000,39.22,39.33,39.19,39.32,167544,0
FTS.US,60,20240426,160000,39.31,39.43,39.22,39.27,37214,0
FTS.US,60,20240426,170000,39.26,39.445,39.26,39.315,60524,0
FTS.US,60,20240426,180000,39.325,39.33,39.13,39.23,22702,0
FTS.US,60,20240426,190000,39.22,39.33,39.21,39.24,28032,0
FTS.US,60,20240426,200000,39.25,39.26,39.13,39.16,20560,0
FTS.US,60,20240426,210000,39.185,39.23,39.16,39.21,23987,0
FTS.US,60,20240426,220000,39.21,39.245,38.975,39.06,155821,0
FTS.US,60,20240429,160000,39.26,39.3,39.07,39.175,39877,0
FTS.US,60,20240429,170000,39.18,39.38,39.11,39.38,24964,0
FTS.US,60,20240429,180000,39.37,39.455,39.37,39.395,24257,0
FTS.US,60,20240429,190000,39.39,39.435,39.38,39.41,22519,0
FTS.US,60,20240429,200000,39.42,39.48,39.41,39.44,19810,0
FTS.US,60,20240429,210000,39.43,39.455,39.37,39.445,44246,0
FTS.US,60,20240429,220000,39.44,39.59,39.38,39.57,155002,0
FTS.US,60,20240430,160000,39.44,39.485,39.23,39.345,24256,0
FTS.US,60,20240430,170000,39.36,39.47,39.29,39.3,36063,0
FTS.US,60,20240430,180000,39.305,39.34,39.19,39.34,35995,0
FTS.US,60,20240430,190000,39.34,39.41,39.295,39.39,34108,0
FTS.US,60,20240430,200000,39.39,39.485,39.38,39.449,37478,0
FTS.US,60,20240430,210000,39.45,39.45,39.32,39.35,34597,0
FTS.US,60,20240430,220000,39.36,39.385,39.22,39.29,335163,0
FTS.US,60,20240501,160000,39.12,39.35,38.72,38.945,36485,0
FTS.US,60,20240501,170000,38.98,39.32,38.89,39.3095,43073,0
FTS.US,60,20240501,180000,39.31,39.57,39.29,39.555,36119,0
FTS.US,60,20240501,190000,39.565,39.655,39.535,39.615,42235,0
FTS.US,60,20240501,200000,39.62,39.66,39.48,39.525,30945,0
FTS.US,60,20240501,210000,39.51,39.85,39.34,39.825,104141,0
FTS.US,60,20240501,220000,39.83,39.845,39.475,39.52,201758,0
FTS.US,60,20240502,160000,39.85,39.96,39.66,39.81,37237,0
FTS.US,60,20240502,170000,39.825,39.84,39.66,39.78,38953,0
FTS.US,60,20240502,180000,39.78,39.86,39.74,39.85,25566,0
FTS.US,60,20240502,190000,39.86,39.95,39.85,39.88,19930,0
FTS.US,60,20240502,200000,39.89,39.92,39.8,39.835,17576,0
FTS.US,60,20240502,210000,39.86,40.04,39.84,40.01,53696,0
FTS.US,60,20240502,220000,40,40,39.68,39.78,200429,0
FTS.US,60,20240506,160000,40.09,40.16,39.88,39.92,29541,0
FTS.US,60,20240506,170000,39.9,39.92,39.77,39.8,39995,0
FTS.US,60,20240506,180000,39.795,39.865,39.735,39.76,58999,0
FTS.US,60,20240506,190000,39.76,39.88,39.74,39.85,160063,0
FTS.US,60,20240506,200000,39.85,39.935,39.845,39.91,83932,0
FTS.US,60,20240506,210000,39.91,40.07,39.91,40.055,19124,0
FTS.US,60,20240506,220000,40.05,40.105,40.04,40.09,127285,0
FTS.US,60,20240507,160000,40.17,40.23,40,40.11,35795,0
FTS.US,60,20240507,170000,40.1,40.13,39.96,40.05,40807,0
FTS.US,60,20240507,180000,40.04,40.05,39.925,40,29008,0
FTS.US,60,20240507,190000,39.995,40.01,39.94,39.965,13995,0
FTS.US,60,20240507,200000,39.97,40.02,39.96,39.98,14353,0
FTS.US,60,20240507,210000,39.975,40.05,39.945,40.02,22883,0
FTS.US,60,20240507,220000,40.03,40.235,40.025,40.2,213693,0
FTS.US,60,20240508,160000,40.07,40.49,40.07,40.43,30922,0
FTS.US,60,20240508,170000,40.46,40.54,40.34,40.52,31896,0
FTS.US,60,20240508,180000,40.52,40.59,40.495,40.53,20328,0
FTS.US,60,20240508,190000,40.525,40.585,40.47,40.51,44766,0
FTS.US,60,20240508,200000,40.52,40.64,40.5,40.57,20945,0
FTS.US,60,20240508,210000,40.56,40.56,40.49,40.52,29948,0
FTS.US,60,20240508,220000,40.51,40.54,40.37,40.41,101372,0
FTS.US,60,20240509,160000,40.41,40.77,40.39,40.73,24503,0
FTS.US,60,20240509,170000,40.735,40.96,40.72,40.95,28868,0
FTS.US,60,20240509,180000,40.95,41.09,40.9,41.015,24164,0
FTS.US,60,20240509,190000,41.02,41.05,40.92,40.92,18634,0
FTS.US,60,20240509,200000,40.93,41,40.92,41,20317,0
FTS.US,60,20240509,210000,41,41.06,40.95,41.05,15107,0
FTS.US,60,20240509,220000,41.03,41.15,40.92,41.03,269014,0
FTS.US,60,20240510,160000,41.26,41.38,41.2,41.34,42372,0
FTS.US,60,20240510,170000,41.3,41.5,41.3,41.42,81194,0
FTS.US,60,20240510,180000,41.41,41.455,41.35,41.435,35275,0
FTS.US,60,20240510,190000,41.435,41.5,41.33,41.33,35704,0
FTS.US,60,20240510,200000,41.32,41.34,41.205,41.235,44182,0
FTS.US,60,20240510,210000,41.23,41.24,41.145,41.21,18351,0
FTS.US,60,20240510,220000,41.21,41.245,41.05,41.1,182062,0
FTS.US,60,20240513,160000,41.22,41.3,41,41.09,31250,0
FTS.US,60,20240513,170000,41.1,41.19,41.07,41.15,21678,0
FTS.US,60,20240513,180000,41.165,41.17,40.8631,40.89,25395,0
FTS.US,60,20240513,190000,40.885,40.9907,40.885,40.94,23246,0
FTS.US,60,20240513,200000,40.93,40.94,40.81,40.81,32005,0
FTS.US,60,20240513,210000,40.815,40.84,40.77,40.815,28274,0
FTS.US,60,20240513,220000,40.82,40.84,40.705,40.83,119563,0
FTS.US,60,20240514,160000,41.06,41.06,40.76,40.77,35081,0
FTS.US,60,20240514,170000,40.76,40.89,40.76,40.86,30015,0
FTS.US,60,20240514,180000,40.86,40.86,40.71,40.73,33267,0
FTS.US,60,20240514,190000,40.74,40.78,40.69,40.705,21485,0
FTS.US,60,20240514,200000,40.71,40.72,40.625,40.69,18908,0
FTS.US,60,20240514,210000,40.685,40.86,40.655,40.82,41415,0
FTS.US,60,20240514,220000,40.815,40.86,40.75,40.78,149661,0
FTS.US,60,20240515,160000,41.02,41.18,40.87,40.98,36933,0
FTS.US,60,20240515,170000,40.975,41.18,40.97,41.18,42066,0
FTS.US,60,20240515,180000,41.18,41.38,41.18,41.33,36019,0
FTS.US,60,20240515,190000,41.335,41.38,41.29,41.36,31543,0
FTS.US,60,20240515,200000,41.365,41.365,41.24,41.29,36485,0
