<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBCI.US,60,20240411,160000,37.01,37.01,36.63,36.705,7904,0
GBCI.US,60,20240411,170000,36.58,36.74,36.3,36.54,24673,0
GBCI.US,60,20240411,180000,36.53,36.53,36.31,36.47,54883,0
GBCI.US,60,20240411,190000,36.51,36.62,36.392,36.405,36591,0
GBCI.US,60,20240411,200000,36.37,36.74,36.31,36.64,49861,0
GBCI.US,60,20240411,210000,36.62,36.85,36.5,36.51,39026,0
GBCI.US,60,20240411,220000,36.525,36.555,36.295,36.43,290391,0
GBCI.US,60,20240412,160000,36.04,36.515,35.9,36.2,16527,0
GBCI.US,60,20240412,170000,36.23,36.23,35.86,35.965,12952,0
GBCI.US,60,20240412,180000,36.01,36.25,35.94,36.11,9317,0
GBCI.US,60,20240412,190000,36.11,36.355,36.1,36.16,19466,0
GBCI.US,60,20240412,200000,36.145,36.2,35.94,36.09,21852,0
GBCI.US,60,20240412,210000,36.06,36.14,35.96,36.05,26541,0
GBCI.US,60,20240412,220000,36.06,36.4163,35.96,36.07,206553,0
GBCI.US,60,20240415,160000,36.03,36.58,36.03,36.115,7617,0
GBCI.US,60,20240415,170000,36.04,36.04,35.49,35.855,21717,0
GBCI.US,60,20240415,180000,35.8,36.04,35.7,36.02,18578,0
GBCI.US,60,20240415,190000,36.01,36.12,35.81,35.89,34321,0
GBCI.US,60,20240415,200000,35.86,35.975,35.64,35.86,18500,0
GBCI.US,60,20240415,210000,35.8925,35.9598,35.68,35.75,27906,0
GBCI.US,60,20240415,220000,35.7471,36.24,35.66,36.15,188091,0
GBCI.US,60,20240416,160000,35.67,35.9212,35.16,35.31,16894,0
GBCI.US,60,20240416,170000,35.04,35.37,34.9,35.015,77622,0
GBCI.US,60,20240416,180000,35.01,35.395,34.99,35.21,159601,0
GBCI.US,60,20240416,190000,35.225,35.375,35.07,35.105,38247,0
GBCI.US,60,20240416,200000,35.1225,35.22,34.86,35.02,31364,0
GBCI.US,60,20240416,210000,35,35.27,34.86,35.115,27269,0
GBCI.US,60,20240416,220000,35.11,35.11,34.78,34.87,337656,0
GBCI.US,60,20240417,160000,35.29,35.61,35.15,35.23,239562,0
GBCI.US,60,20240417,170000,35.34,35.39,35.01,35.19,172738,0
GBCI.US,60,20240417,180000,35.195,35.36,35.07,35.34,26866,0
GBCI.US,60,20240417,190000,35.305,35.31,35.1,35.24,22104,0
GBCI.US,60,20240417,200000,35.31,35.605,35.31,35.48,72778,0
GBCI.US,60,20240417,210000,35.505,35.5238,35.21,35.33,19839,0
GBCI.US,60,20240417,220000,35.305,35.305,34.82,34.82,292011,0
GBCI.US,60,20240418,160000,34.95,35.66,34.8,35.56,44691,0
GBCI.US,60,20240418,170000,35.47,35.81,35.23,35.77,52886,0
GBCI.US,60,20240418,180000,35.79,35.81,35.5,35.56,33129,0
GBCI.US,60,20240418,190000,35.575,35.68,35.26,35.28,63575,0
GBCI.US,60,20240418,200000,35.28,35.34,35.12,35.31,44751,0
GBCI.US,60,20240418,210000,35.3,35.46,35.13,35.46,64025,0
GBCI.US,60,20240418,220000,35.46,35.49,35.08,35.1,254665,0
GBCI.US,60,20240419,160000,34.92,36.09,34.3499,36,54366,0
GBCI.US,60,20240419,170000,35.96,36.825,35.92,36.72,55561,0
GBCI.US,60,20240419,180000,36.69,37.11,36.11,36.26,157163,0
GBCI.US,60,20240419,190000,36.28,36.5,35.8,36.08,160056,0
GBCI.US,60,20240419,200000,36.04,36.16,35.53,36.14,158128,0
GBCI.US,60,20240419,210000,36.12,36.46,36,36.46,111696,0
GBCI.US,60,20240419,220000,36.44,37.085,36.41,36.97,263882,0
GBCI.US,60,20240422,160000,36.63,37.02,35.83,36.29,34320,0
GBCI.US,60,20240422,170000,36.22,36.78,36.165,36.465,40948,0
GBCI.US,60,20240422,180000,36.455,37.1,36.455,37.09,51792,0
GBCI.US,60,20240422,190000,37.11,37.455,37.04,37.38,38824,0
GBCI.US,60,20240422,200000,37.4,37.575,37.3,37.51,33855,0
GBCI.US,60,20240422,210000,37.5125,37.63,37.29,37.415,44931,0
GBCI.US,60,20240422,220000,37.43,37.71,37.41,37.69,303163,0
GBCI.US,60,20240423,160000,37.6,38.21,37.54,38.205,13930,0
GBCI.US,60,20240423,170000,38.155,38.345,37.98,38.03,30339,0
GBCI.US,60,20240423,180000,38.07,38.4275,38.02,38.39,14057,0
GBCI.US,60,20240423,190000,38.405,38.405,38.105,38.31,33664,0
GBCI.US,60,20240423,200000,38.2951,38.62,38.2951,38.61,23321,0
GBCI.US,60,20240423,210000,38.62,38.62,38.35,38.47,19574,0
GBCI.US,60,20240423,220000,38.45,38.7445,38.24,38.42,256077,0
GBCI.US,60,20240424,160000,37.9,38.515,37.9,38.295,16271,0
GBCI.US,60,20240424,170000,38.295,38.42,37.89,38.01,16984,0
GBCI.US,60,20240424,180000,38.03,38.07,37.73,38,22716,0
GBCI.US,60,20240424,190000,38,38.0796,37.845,38.04,36510,0
GBCI.US,60,20240424,200000,38.04,38.145,37.97,38.035,20621,0
GBCI.US,60,20240424,210000,38.01,38.105,37.91,38.07,24282,0
GBCI.US,60,20240424,220000,38.06,38.105,37.88,37.94,241335,0
GBCI.US,60,20240425,160000,37.84,37.84,37.06,37.18,23911,0
GBCI.US,60,20240425,170000,37.07,37.37,36.9,37.235,36456,0
GBCI.US,60,20240425,180000,37.24,37.27,36.91,36.965,34894,0
GBCI.US,60,20240425,190000,37.015,37.23,36.97,37.17,26311,0
GBCI.US,60,20240425,200000,37.15,37.38,37.11,37.2713,17792,0
GBCI.US,60,20240425,210000,37.31,37.35,37.07,37.31,24039,0
GBCI.US,60,20240425,220000,37.29,37.675,37.29,37.4,318736,0
GBCI.US,60,20240426,160000,37.46,37.85,37.405,37.705,9979,0
GBCI.US,60,20240426,170000,37.5696,37.65,37.23,37.35,14450,0
GBCI.US,60,20240426,180000,37.35,37.42,37.24,37.325,16246,0
GBCI.US,60,20240426,190000,37.3,37.36,37.24,37.3227,13376,0
GBCI.US,60,20240426,200000,37.3,37.3455,37.21,37.215,14134,0
GBCI.US,60,20240426,210000,37.22,37.26,37.12,37.17,22692,0
GBCI.US,60,20240426,220000,37.18,37.26,37.06,37.12,162078,0
GBCI.US,60,20240429,160000,37.33,37.43,37.08,37.1,10106,0
GBCI.US,60,20240429,170000,37.11,37.215,37,37.05,17790,0
GBCI.US,60,20240429,180000,37.045,37.13,36.925,37.1,18484,0
GBCI.US,60,20240429,190000,37.06,37.21,36.97,37.18,22020,0
GBCI.US,60,20240429,200000,37.175,37.33,37.09,37.33,12125,0
GBCI.US,60,20240429,210000,37.29,37.41,37.21,37.32,33690,0
GBCI.US,60,20240429,220000,37.3,37.3,37.06,37.06,189441,0
GBCI.US,60,20240430,160000,36.69,37.01,36.45,36.82,12409,0
GBCI.US,60,20240430,170000,36.86,36.93,36.62,36.65,36939,0
GBCI.US,60,20240430,180000,36.715,36.715,36.49,36.51,15523,0
GBCI.US,60,20240430,190000,36.505,36.51,36.28,36.43,9794,0
GBCI.US,60,20240430,200000,36.4,36.56,36.38,36.53,11806,0
GBCI.US,60,20240430,210000,36.49,36.52,36.27,36.35,11148,0
GBCI.US,60,20240430,220000,36.38,36.46,36.16,36.18,191855,0
GBCI.US,60,20240501,160000,36.65,36.875,36.38,36.6,12832,0
GBCI.US,60,20240501,170000,36.6,36.92,36.495,36.82,14282,0
GBCI.US,60,20240501,180000,36.86,36.99,36.58,36.7,11682,0
GBCI.US,60,20240501,190000,36.74,36.85,36.69,36.756,6954,0
GBCI.US,60,20240501,200000,36.71,37,36.64,36.75,11462,0
GBCI.US,60,20240501,210000,36.929,37.79,36.65,37.62,34238,0
GBCI.US,60,20240501,220000,37.71,37.83,36.83,36.9,179312,0
GBCI.US,60,20240502,160000,37.41,37.65,37.23,37.64,5777,0
GBCI.US,60,20240502,170000,37.56,37.56,37.17,37.395,9620,0
GBCI.US,60,20240502,180000,37.424,37.545,37.3105,37.43,17713,0
GBCI.US,60,20240502,190000,37.45,37.5,37.28,37.3,20009,0
GBCI.US,60,20240502,200000,37.3,37.505,37.26,37.44,23930,0
GBCI.US,60,20240502,210000,37.43,37.72,37.42,37.57,22399,0
GBCI.US,60,20240502,220000,37.6,37.7,37.49,37.65,179049,0
GBCI.US,60,20240506,160000,38.23,38.475,37.91,38.255,10487,0
GBCI.US,60,20240506,170000,38.2575,38.33,38.16,38.205,33254,0
GBCI.US,60,20240506,180000,38.21,38.23,37.94,38.105,21565,0
GBCI.US,60,20240506,190000,38.07,38.12,38.01,38.04,10283,0
GBCI.US,60,20240506,200000,38.05,38.1,37.935,37.99,37400,0
GBCI.US,60,20240506,210000,37.99,38.105,37.96,38.105,28538,0
GBCI.US,60,20240506,220000,38.1,38.11,37.9,37.9,169829,0
GBCI.US,60,20240507,160000,38.05,38.35,37.96,38.23,12869,0
GBCI.US,60,20240507,170000,38.27,38.44,38.195,38.36,21166,0
GBCI.US,60,20240507,180000,38.37,38.43,38.29,38.325,14000,0
GBCI.US,60,20240507,190000,38.335,38.6,38.28,38.5455,24949,0
GBCI.US,60,20240507,200000,38.53,38.58,38.37,38.445,17035,0
GBCI.US,60,20240507,210000,38.445,38.49,38.14,38.15,23299,0
GBCI.US,60,20240507,220000,38.14,38.41,38.09,38.16,353707,0
GBCI.US,60,20240508,160000,37.66,37.905,37.53,37.875,17730,0
GBCI.US,60,20240508,170000,37.875,38.005,37.69,38,44070,0
GBCI.US,60,20240508,180000,37.97,38.25,37.97,38.15,18848,0
GBCI.US,60,20240508,190000,38.18,38.225,37.98,38.115,12417,0
GBCI.US,60,20240508,200000,38.165,38.33,38.04,38.29,10079,0
GBCI.US,60,20240508,210000,38.31,38.42,38.27,38.4,13146,0
GBCI.US,60,20240508,220000,38.395,38.81,38.395,38.79,249029,0
GBCI.US,60,20240509,160000,38.76,38.76,38.485,38.645,6775,0
GBCI.US,60,20240509,170000,38.68,38.9,38.63,38.84,18434,0
GBCI.US,60,20240509,180000,38.82,38.88,38.735,38.75,10586,0
GBCI.US,60,20240509,190000,38.76,38.81,38.65,38.695,14029,0
GBCI.US,60,20240509,200000,38.7,38.83,38.64,38.64,7630,0
GBCI.US,60,20240509,210000,38.64,38.74,38.61,38.74,11841,0
GBCI.US,60,20240509,220000,38.74,39.03,38.74,38.84,229438,0
GBCI.US,60,20240510,160000,38.98,38.99,38.82,38.905,8971,0
GBCI.US,60,20240510,170000,38.87,38.96,38.71,38.72,23132,0
GBCI.US,60,20240510,180000,38.685,38.91,38.535,38.905,20431,0
GBCI.US,60,20240510,190000,38.87,38.93,38.83,38.84,7854,0
GBCI.US,60,20240510,200000,38.83,38.83,38.64,38.8126,15017,0
GBCI.US,60,20240510,210000,38.81,38.95,38.8,38.948,9777,0
GBCI.US,60,20240510,220000,38.94,39.03,38.84,38.87,114136,0
GBCI.US,60,20240513,160000,39.24,39.29,39.01,39.28,7294,0
GBCI.US,60,20240513,170000,39.27,39.35,39.005,39.01,8918,0
GBCI.US,60,20240513,180000,39.005,39.1,38.87,38.91,10776,0
GBCI.US,60,20240513,190000,38.88,38.91,38.81,38.82,6193,0
GBCI.US,60,20240513,200000,38.81,39.0725,38.73,39.04,30260,0
GBCI.US,60,20240513,210000,38.985,38.985,38.795,38.93,10780,0
GBCI.US,60,20240513,220000,38.93,38.99,38.7,38.71,155573,0
GBCI.US,60,20240514,160000,39.43,39.43,38.93,39.17,8895,0
GBCI.US,60,20240514,170000,39.11,39.11,38.7,39,19034,0
GBCI.US,60,20240514,180000,38.98,39.025,38.88,38.88,14288,0
GBCI.US,60,20240514,190000,38.87,38.905,38.68,38.71,9464,0
GBCI.US,60,20240514,200000,38.68,38.68,38.58,38.59,11693,0
GBCI.US,60,20240514,210000,38.58,38.85,38.58,38.71,15661,0
GBCI.US,60,20240514,220000,38.71,39.019,38.62,38.93,137688,0
GBCI.US,60,20240515,160000,39.51,39.68,39.33,39.33,5756,0
GBCI.US,60,20240515,170000,39.33,39.527,39.17,39.195,6477,0
GBCI.US,60,20240515,180000,39.11,39.3,39.05,39.14,12114,0
GBCI.US,60,20240515,190000,39.0624,39.26,39,39.26,12290,0
GBCI.US,60,20240515,200000,39.269,39.269,38.79,38.835,23196,0
GBCI.US,60,20240515,210000,38.81,38.88,38.73,38.86,19073,0
GBCI.US,60,20240515,220000,38.86,39.09,38.82,39.07,186128,0
GBCI.US,60,20240516,160000,38.95,39.38,38.78,38.925,5938,0
GBCI.US,60,20240516,170000,38.935,39.1289,38.89,38.99,5610,0
GBCI.US,60,20240516,180000,38.995,39.08,38.885,38.9518,5647,0
GBCI.US,60,20240516,190000,38.965,39,38.82,38.94,8912,0
GBCI.US,60,20240516,200000,38.91,38.98,38.86,38.9,6442,0
GBCI.US,60,20240516,210000,38.91,39.01,38.84,38.99,12760,0
GBCI.US,60,20240516,220000,38.99,39.02,38.71,38.81,168314,0
GBCI.US,60,20240517,160000,38.87,39.03,38.8,38.91,26381,0
GBCI.US,60,20240517,170000,38.85,39.1,38.85,39.1,3029,0
GBCI.US,60,20240517,180000,39.07,39.3,39,39.25,11331,0
GBCI.US,60,20240517,190000,39.28,39.32,39.19,39.2,6320,0
GBCI.US,60,20240517,200000,39.13,39.29,39.12,39.27,9078,0
GBCI.US,60,20240517,210000,39.23,39.285,39.09,39.1533,11150,0
GBCI.US,60,20240517,220000,39.155,39.305,39.13,39.27,131675,0
GBCI.US,60,20240520,160000,39.28,39.28,39.01,39.1,5986,0
GBCI.US,60,20240520,170000,39.135,39.39,38.97,39.39,7979,0
GBCI.US,60,20240520,180000,39.37,39.44,39.32,39.4,5877,0
GBCI.US,60,20240520,190000,39.4,39.6,39.39,39.575,22131,0
GBCI.US,60,20240520,200000,39.565,39.565,39.391,39.42,19559,0
GBCI.US,60,20240520,210000,39.4,39.41,38.95,39.04,9756,0
GBCI.US,60,20240520,220000,39.05,39.26,39.05,39.19,194793,0
