<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GD.US,60,20240411,160000,287.83,287.91,286.33,287.91,21097,0
GD.US,60,20240411,170000,287.74,287.84,286.16,286.875,27435,0
GD.US,60,20240411,180000,286.75,287.83,286.32,287.81,40910,0
GD.US,60,20240411,190000,287.58,287.61,287.02,287.13,18062,0
GD.US,60,20240411,200000,287.17,288.07,287,288.05,26119,0
GD.US,60,20240411,210000,288.005,288.64,287.9,288.39,38216,0
GD.US,60,20240411,220000,288.335,288.52,287.43,287.5,250021,0
GD.US,60,20240412,160000,288.41,290.75,288.41,289.99,49048,0
GD.US,60,20240412,170000,289.62,289.905,288.81,289.7582,36403,0
GD.US,60,20240412,180000,289.68,290.5,288.91,288.91,58171,0
GD.US,60,20240412,190000,288.93,289.06,287.6401,287.815,40480,0
GD.US,60,20240412,200000,287.775,288.585,287.27,288.44,36800,0
GD.US,60,20240412,210000,288.315,289.03,287.2701,287.43,53923,0
GD.US,60,20240412,220000,287.345,288.32,286.79,287.87,498937,0
GD.US,60,20240415,160000,291.71,291.71,289.86,290.21,42696,0
GD.US,60,20240415,170000,289.9373,290.24,287.9017,288.02,29144,0
GD.US,60,20240415,180000,288,289.25,287.56,288.985,50879,0
GD.US,60,20240415,190000,288.93,289.06,287.31,287.85,25431,0
GD.US,60,20240415,200000,287.83,287.935,286.37,286.895,32450,0
GD.US,60,20240415,210000,286.89,286.89,284.895,285.38,51468,0
GD.US,60,20240415,220000,285.42,285.63,284.355,284.75,304037,0
GD.US,60,20240416,160000,285.46,286.38,285.26,285.835,34979,0
GD.US,60,20240416,170000,285.75,285.98,283.72,284.57,39089,0
GD.US,60,20240416,180000,284.59,285.95,284.39,285.48,47634,0
GD.US,60,20240416,190000,285.41,285.985,285.32,285.465,26222,0
GD.US,60,20240416,200000,285.41,285.5,284.195,284.57,62630,0
GD.US,60,20240416,210000,284.51,285.54,283.68,285.22,57068,0
GD.US,60,20240416,220000,285.34,285.77,284.36,285.3,359375,0
GD.US,60,20240417,160000,286.5,286.5,285.01,285.59,19565,0
GD.US,60,20240417,170000,285.53,285.6,284.045,284.12,31925,0
GD.US,60,20240417,180000,284.125,284.705,283.79,284.405,32070,0
GD.US,60,20240417,190000,284.45,284.525,283.67,284.02,20891,0
GD.US,60,20240417,200000,283.975,284.7499,283.695,284.52,29628,0
GD.US,60,20240417,210000,284.42,285.48,283.97,284.85,72346,0
GD.US,60,20240417,220000,284.89,285.31,284.27,284.46,168909,0
GD.US,60,20240418,160000,284.02,285.56,284.02,285.52,19857,0
GD.US,60,20240418,170000,285.28,286.91,285.25,286.585,39566,0
GD.US,60,20240418,180000,286.55,286.81,285.95,286.68,29398,0
GD.US,60,20240418,190000,286.73,286.73,285.71,285.71,23090,0
GD.US,60,20240418,200000,285.73,285.885,284.91,285.27,15813,0
GD.US,60,20240418,210000,285.3,285.835,284.9402,285.43,26127,0
GD.US,60,20240418,220000,285.4,285.94,284.98,285.27,170684,0
GD.US,60,20240419,160000,287.43,287.875,286.73,287.6573,57277,0
GD.US,60,20240419,170000,287.71,288.57,287.71,287.96,36959,0
GD.US,60,20240419,180000,287.8359,289.24,287.74,289.19,43576,0
GD.US,60,20240419,190000,289.1899,289.29,288.66,289.1837,46269,0
GD.US,60,20240419,200000,289.13,289.24,288.44,288.99,63155,0
GD.US,60,20240419,210000,288.91,289.04,287.9,288.65,52311,0
GD.US,60,20240419,220000,288.74,289.19,288.32,288.67,85612,0
GD.US,60,20240422,160000,289.94,290.2,288.046,289.925,41138,0
GD.US,60,20240422,170000,289.995,290.56,289.715,290.425,51543,0
GD.US,60,20240422,180000,290.39,291.15,290,291.05,46680,0
GD.US,60,20240422,190000,291.13,291.43,290.71,291.37,72312,0
GD.US,60,20240422,200000,291.49,292.63,290.8464,292.2474,37126,0
GD.US,60,20240422,210000,292.39,292.71,292.04,292.14,50448,0
GD.US,60,20240422,220000,292.245,292.31,291.06,291.31,199313,0
GD.US,60,20240423,160000,292.72,293.71,291.68,293.38,30168,0
GD.US,60,20240423,170000,293.465,294.43,292.695,294.1951,51435,0
GD.US,60,20240423,180000,294.165,294.22,293.06,293.9755,47526,0
GD.US,60,20240423,190000,293.935,294.695,293.75,294.48,38174,0
GD.US,60,20240423,200000,294.54,294.59,292.65,292.88,55361,0
GD.US,60,20240423,210000,292.86,293.16,292.47,292.555,33663,0
GD.US,60,20240423,220000,292.6,292.87,292.07,292.68,321105,0
GD.US,60,20240424,160000,289.19,290.365,279.52,279.52,314192,0
GD.US,60,20240424,170000,279.29,279.9,275.31,276.3575,301027,0
GD.US,60,20240424,180000,276.36,277.055,274.315,276.56,233083,0
GD.US,60,20240424,190000,276.56,277.36,275.46,276.175,228188,0
GD.US,60,20240424,200000,276.11,280.77,276.04,280.245,214152,0
GD.US,60,20240424,210000,280.21,280.59,278.77,278.85,165578,0
GD.US,60,20240424,220000,278.775,281.73,278,281.11,800554,0
GD.US,60,20240425,160000,282.76,283.44,279.44,282.02,53070,0
GD.US,60,20240425,170000,281.85,283.76,281.39,282.98,125789,0
GD.US,60,20240425,180000,282.91,284.87,282.36,283.605,92665,0
GD.US,60,20240425,190000,283.52,285.37,282.92,285.19,68614,0
GD.US,60,20240425,200000,285.135,285.31,283.47,284.535,54008,0
GD.US,60,20240425,210000,284.62,285.545,284.4306,285.39,77472,0
GD.US,60,20240425,220000,285.375,285.75,283.46,284.9,534376,0
GD.US,60,20240426,160000,284.73,286.77,284.04,284.47,48466,0
GD.US,60,20240426,170000,284.65,284.87,282.81,284.365,88185,0
GD.US,60,20240426,180000,284.33,284.34,282.8,284.155,116663,0
GD.US,60,20240426,190000,284.24,284.52,284.01,284.385,42443,0
GD.US,60,20240426,200000,284.44,284.57,284.09,284.53,36999,0
GD.US,60,20240426,210000,284.5,285.3,284.44,284.9,63576,0
GD.US,60,20240426,220000,284.905,285.275,284.24,284.41,300214,0
GD.US,60,20240429,160000,287.96,288.155,285.43,286.89,62320,0
GD.US,60,20240429,170000,287.05,289.71,287.0074,288.99,256238,0
GD.US,60,20240429,180000,288.88,289.93,288.3501,288.7607,80705,0
GD.US,60,20240429,190000,288.74,289.36,288.475,288.81,60822,0
GD.US,60,20240429,200000,288.8,289.02,287.72,288.045,59909,0
GD.US,60,20240429,210000,287.98,287.98,287.28,287.32,41748,0
GD.US,60,20240429,220000,287.29,288.29,287.075,287.79,250610,0
GD.US,60,20240430,160000,286.91,287.93,286.66,286.925,26557,0
GD.US,60,20240430,170000,287.01,287.47,286.42,286.87,46220,0
GD.US,60,20240430,180000,286.87,287.81,286.64,287.42,50499,0
GD.US,60,20240430,190000,287.35,288.59,287.09,288.355,51338,0
GD.US,60,20240430,200000,288.45,289.045,287.44,288.98,73725,0
GD.US,60,20240430,210000,288.97,289.1999,288.37,288.7,80507,0
GD.US,60,20240430,220000,288.705,289.04,287.01,287.09,501025,0
GD.US,60,20240501,160000,286.58,287.69,284.83,285.08,34566,0
GD.US,60,20240501,170000,285.37,286.4,284.8353,285.89,32882,0
GD.US,60,20240501,180000,286.0191,287.5399,285.76,287.5399,39994,0
GD.US,60,20240501,190000,287.36,288.09,287.28,287.29,21627,0
GD.US,60,20240501,200000,287.27,287.68,286.411,286.57,39798,0
GD.US,60,20240501,210000,286.66,287.51,285.8,287.31,35440,0
GD.US,60,20240501,220000,287.335,287.42,286.02,286.53,318515,0
GD.US,60,20240502,160000,286.04,286.9899,282.7,283.58,36309,0
GD.US,60,20240502,170000,283.605,283.99,282.51,283.27,66552,0
GD.US,60,20240502,180000,283.33,285.145,283.15,285.1099,54178,0
GD.US,60,20240502,190000,285.06,285.81,284.565,285.49,45503,0
GD.US,60,20240502,200000,285.57,286.55,285.2,286.42,151143,0
GD.US,60,20240502,210000,286.38,288.315,285.67,288.315,90430,0
GD.US,60,20240502,220000,288.32,288.58,286.29,287.36,274035,0
GD.US,60,20240506,160000,289.47,290.8,289.47,289.875,26974,0
GD.US,60,20240506,170000,290.01,290.67,289.46,290.2434,35071,0
GD.US,60,20240506,180000,290.13,290.26,289.52,289.9287,25362,0
GD.US,60,20240506,190000,289.86,290.4,289.77,290.4,38242,0
GD.US,60,20240506,200000,290.4,290.67,290.08,290.35,31947,0
GD.US,60,20240506,210000,290.315,290.9099,290.04,290.15,38740,0
GD.US,60,20240506,220000,290.15,291.61,289.98,291.38,302820,0
GD.US,60,20240507,160000,292.15,293.37,291.2,292.54,9861,0
GD.US,60,20240507,170000,292.455,292.67,291.5201,292.305,63803,0
GD.US,60,20240507,180000,292.41,292.76,292.23,292.455,24516,0
GD.US,60,20240507,190000,292.4,293.42,292.18,293.25,36953,0
GD.US,60,20240507,200000,293.245,293.74,293.1,293.1,48116,0
GD.US,60,20240507,210000,292.96,293.05,292.2,292.41,22715,0
GD.US,60,20240507,220000,292.365,293.51,291.94,293.37,210885,0
GD.US,60,20240508,160000,294,294.07,292.9,293,54822,0
GD.US,60,20240508,170000,293.095,293.495,292.6716,293.29,41416,0
GD.US,60,20240508,180000,293.3,293.44,292.6,292.995,35910,0
GD.US,60,20240508,190000,293.05,293.11,292.53,292.6164,35978,0
GD.US,60,20240508,200000,292.62,292.79,291.83,292.79,29141,0
GD.US,60,20240508,210000,292.72,292.7975,292.37,292.7,62336,0
GD.US,60,20240508,220000,292.64,293.25,292.14,292.74,277172,0
GD.US,60,20240509,160000,292.75,293.62,292,293.1,16174,0
GD.US,60,20240509,170000,293.13,294.99,293.01,294.99,34172,0
GD.US,60,20240509,180000,294.905,294.96,294.16,294.755,25595,0
GD.US,60,20240509,190000,294.72,295.35,294.54,294.9,56116,0
GD.US,60,20240509,200000,295.005,295.45,294.57,294.6225,41724,0
