<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GE.US,60,20240411,160000,156.791,156.811,155.304,155.843,456415.47901485604,0
GE.US,60,20240411,170000,155.833,155.838,154.474,155.404,427299.776856,0
GE.US,60,20240411,180000,155.404,156.252,155.344,156.181,253133.50138692,0
GE.US,60,20240411,190000,156.192,156.751,155.843,156.616,268473.74179288,0
GE.US,60,20240411,200000,156.601,157.599,156.362,157.575,393786.26529453,0
GE.US,60,20240411,210000,157.575,158.159,157.36,157.819,403890.20735255,0
GE.US,60,20240411,220000,157.794,157.859,156.871,157.4,2222400.4237935,0
GE.US,60,20240412,160000,155.9,156.98,155.59,156.295,341077,0
GE.US,60,20240412,170000,156.28,156.28,153.63,154.215,877303,0
GE.US,60,20240412,180000,154.225,155.125,153.03,154.985,724641,0
GE.US,60,20240412,190000,155.01,155.06,153.46,154.06,578784,0
GE.US,60,20240412,200000,154.0205,154.98,153.695,154.76,551446,0
GE.US,60,20240412,210000,154.76,155.03,153.6843,154.02,594181,0
GE.US,60,20240412,220000,153.98,154.74,153.76,154.63,1549735,0
GE.US,60,20240415,160000,157.2,158.685,156.63,157.02,612204,0
GE.US,60,20240415,170000,157.005,157.543,155.06,155.06,692368,0
GE.US,60,20240415,180000,155.09,155.65,154.81,155.5,325666,0
GE.US,60,20240415,190000,155.475,155.62,154.7001,155.1,270634,0
GE.US,60,20240415,200000,155.05,155.09,152.69,153.85,387122,0
GE.US,60,20240415,210000,153.825,153.8785,152.96,153.295,381133,0
GE.US,60,20240415,220000,153.28,153.76,152.7811,153.7,1885503,0
GE.US,60,20240416,160000,152.7,155,152.0009,154.61,324447,0
GE.US,60,20240416,170000,154.62,155.38,153.55,154.0675,581152,0
GE.US,60,20240416,180000,154.08,155.4,154.03,155.015,384019,0
GE.US,60,20240416,190000,155.01,156,154.78,155.69,474094,0
GE.US,60,20240416,200000,155.7,156.34,154.94,155.625,426171,0
GE.US,60,20240416,210000,155.61,156.95,155.29,156.95,547549,0
GE.US,60,20240416,220000,156.96,157.02,155.92,156.76,1706004,0
GE.US,60,20240417,160000,158,158.6799,156.51,157.865,607495,0
GE.US,60,20240417,170000,157.91,157.983,155.6167,155.75,774222,0
GE.US,60,20240417,180000,155.82,156.32,155.07,155.1,431416,0
GE.US,60,20240417,190000,155.11,155.15,153.63,154,557631,0
GE.US,60,20240417,200000,154.02,155.52,153.97,155.4673,355989,0
GE.US,60,20240417,210000,155.47,156.04,154.99,155.42,397094,0
GE.US,60,20240417,220000,155.4,156.31,155.26,155.67,1732062,0
GE.US,60,20240418,160000,156.68,157.7101,156.6,157.23,344908,0
GE.US,60,20240418,170000,157.25,158,156.52,156.955,531738,0
GE.US,60,20240418,180000,156.97,157.27,156.36,156.635,399378,0
GE.US,60,20240418,190000,156.66,156.87,155.53,155.66,322396,0
GE.US,60,20240418,200000,155.62,155.77,154.12,154.31,644327,0
GE.US,60,20240418,210000,154.28,154.41,153.46,153.6,527065,0
GE.US,60,20240418,220000,153.6,154.125,152.88,152.94,1650231,0
GE.US,60,20240419,160000,153.45,153.525,151.43,153.025,915741,0
GE.US,60,20240419,170000,153.025,153.18,150.75,150.83,1102634,0
GE.US,60,20240419,180000,150.82,151.27,149.15,149.35,837947,0
GE.US,60,20240419,190000,149.33,149.725,146.78,149.19,1270808,0
GE.US,60,20240419,200000,149.17,150.08,148.6401,149.5003,421187,0
GE.US,60,20240419,210000,149.5,149.5,147.9,148.3,443649,0
GE.US,60,20240419,220000,148.29,148.63,147.63,148.09,1015857,0
GE.US,60,20240422,160000,148.83,150.69,148.83,149.9716,574209,0
GE.US,60,20240422,170000,150,150.31,148.93,149.275,608918,0
GE.US,60,20240422,180000,149.26,149.93,148.83,149.91,473899,0
GE.US,60,20240422,190000,149.96,150.49,149.88,150.425,451112,0
