<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEO.US,60,20240411,160000,15.72,15.99,15.64,15.9494,137735,0
GEO.US,60,20240411,170000,15.95,15.97,15.625,15.6801,166191,0
GEO.US,60,20240411,180000,15.69,15.705,15.575,15.63,83554,0
GEO.US,60,20240411,190000,15.63,15.63,15.47,15.545,204143,0
GEO.US,60,20240411,200000,15.545,15.675,15.53,15.66,134539,0
GEO.US,60,20240411,210000,15.66,15.69,15.58,15.61,67631,0
GEO.US,60,20240411,220000,15.61,15.69,15.605,15.68,447633,0
GEO.US,60,20240412,160000,15.58,15.7799,15.575,15.73,85535,0
GEO.US,60,20240412,170000,15.73,15.745,15.52,15.535,131412,0
GEO.US,60,20240412,180000,15.535,15.65,15.455,15.63,107075,0
GEO.US,60,20240412,190000,15.625,15.63,15.4,15.46,115413,0
GEO.US,60,20240412,200000,15.455,15.485,15.415,15.475,107005,0
GEO.US,60,20240412,210000,15.475,15.54,15.41,15.42,106378,0
GEO.US,60,20240412,220000,15.425,15.44,15.331,15.37,513491,0
GEO.US,60,20240415,160000,15.37,15.48,15.35,15.399,97983,0
GEO.US,60,20240415,170000,15.395,15.4,15.2,15.225,182123,0
GEO.US,60,20240415,180000,15.22,15.335,15.115,15.335,281018,0
GEO.US,60,20240415,190000,15.33,15.47,15.315,15.46,278468,0
GEO.US,60,20240415,200000,15.45,15.455,15.23,15.295,229642,0
GEO.US,60,20240415,210000,15.295,15.3499,15.175,15.235,220882,0
GEO.US,60,20240415,220000,15.2397,15.24,15.16,15.2,679303,0
GEO.US,60,20240416,160000,15.12,15.35,15.1,15.34,92560,0
GEO.US,60,20240416,170000,15.34,15.45,15.2,15.225,167482,0
GEO.US,60,20240416,180000,15.22,15.375,15.2001,15.34,179224,0
GEO.US,60,20240416,190000,15.34,15.41,15.32,15.355,196438,0
GEO.US,60,20240416,200000,15.3525,15.355,15.185,15.275,172889,0
GEO.US,60,20240416,210000,15.28,15.35,15.25,15.3206,285963,0
GEO.US,60,20240416,220000,15.32,15.33,15.16,15.18,527506,0
GEO.US,60,20240417,160000,15.3,15.42,15.25,15.335,106655,0
GEO.US,60,20240417,170000,15.33,15.405,15.24,15.28,282381,0
GEO.US,60,20240417,180000,15.285,15.315,15.16,15.185,217876,0
GEO.US,60,20240417,190000,15.185,15.185,15.05,15.115,130756,0
GEO.US,60,20240417,200000,15.11,15.25,15.08,15.245,197867,0
GEO.US,60,20240417,210000,15.245,15.28,15.1,15.15,390681,0
GEO.US,60,20240417,220000,15.15,15.16,14.98,14.99,1248970,0
GEO.US,60,20240418,160000,14.99,15.175,14.82,15.04,160831,0
GEO.US,60,20240418,170000,15.04,15.16,15.015,15.065,167361,0
GEO.US,60,20240418,180000,15.065,15.13,14.99,14.995,150630,0
GEO.US,60,20240418,190000,14.99,15.03,14.87,14.875,141865,0
GEO.US,60,20240418,200000,14.87,14.8953,14.71,14.77,172889,0
GEO.US,60,20240418,210000,14.77,14.8,14.645,14.665,323261,0
GEO.US,60,20240418,220000,14.67,14.835,14.6675,14.77,961167,0
GEO.US,60,20240419,160000,14.7,15,14.69,15,106783,0
GEO.US,60,20240419,170000,14.985,15.07,14.7,14.7154,233465,0
GEO.US,60,20240419,180000,14.715,14.775,14.65,14.705,262971,0
GEO.US,60,20240419,190000,14.7,14.7075,14.54,14.6499,248261,0
GEO.US,60,20240419,200000,14.65,14.715,14.565,14.63,137853,0
GEO.US,60,20240419,210000,14.635,14.64,14.46,14.55,264891,0
GEO.US,60,20240419,220000,14.545,14.6,14.44,14.57,586981,0
GEO.US,60,20240422,160000,14.69,14.875,14.63,14.85,114196,0
GEO.US,60,20240422,170000,14.865,14.98,14.825,14.9,291205,0
GEO.US,60,20240422,180000,14.905,14.96,14.86,14.88,164503,0
GEO.US,60,20240422,190000,14.87,14.87,14.75,14.83,167975,0
GEO.US,60,20240422,200000,14.83,14.89,14.8,14.85,148790,0
GEO.US,60,20240422,210000,14.85,14.9,14.81,14.885,136195,0
GEO.US,60,20240422,220000,14.885,14.92,14.84,14.86,889320,0
GEO.US,60,20240423,160000,14.8,15.05,14.8,14.93,101037,0
GEO.US,60,20240423,170000,14.95,15.25,14.935,15.17,247311,0
GEO.US,60,20240423,180000,15.1799,15.185,15.055,15.09,132398,0
GEO.US,60,20240423,190000,15.09,15.13,15.05,15.08,190910,0
GEO.US,60,20240423,200000,15.08,15.13,15.05,15.09,71110,0
GEO.US,60,20240423,210000,15.09,15.14,15.01,15.05,147877,0
GEO.US,60,20240423,220000,15.0575,15.07,14.965,14.99,1147233,0
GEO.US,60,20240424,160000,15.19,15.19,15.0514,15.0514,178017,0
GEO.US,60,20240424,170000,15.06,15.12,14.995,15.03,111496,0
GEO.US,60,20240424,180000,15.04,15.05,14.965,14.995,97570,0
GEO.US,60,20240424,190000,14.99,15.05,14.935,15.005,116291,0
GEO.US,60,20240424,200000,15,15.08,14.98,15.055,68697,0
GEO.US,60,20240424,210000,15.05,15.085,15.02,15.02,81138,0
GEO.US,60,20240424,220000,15.0275,15.11,15,15.07,427972,0
GEO.US,60,20240425,160000,14.72,14.825,14.57,14.7,218887,0
GEO.US,60,20240425,170000,14.71,14.76,14.61,14.66,268037,0
GEO.US,60,20240425,180000,14.65,14.73,14.645,14.69,142575,0
GEO.US,60,20240425,190000,14.685,14.74,14.64,14.7,144928,0
GEO.US,60,20240425,200000,14.7,14.84,14.675,14.8,137668,0
GEO.US,60,20240425,210000,14.79,14.795,14.63,14.72,290835,0
GEO.US,60,20240425,220000,14.72,14.83,14.72,14.79,546486,0
GEO.US,60,20240426,160000,14.81,14.94,14.77,14.87,79535,0
GEO.US,60,20240426,170000,14.87,14.93,14.81,14.83,103168,0
GEO.US,60,20240426,180000,14.825,14.91,14.805,14.9,65161,0
GEO.US,60,20240426,190000,14.9,14.97,14.87,14.97,75516,0
GEO.US,60,20240426,200000,14.965,14.965,14.9,14.94,41796,0
GEO.US,60,20240426,210000,14.94,14.97,14.865,14.88,113775,0
GEO.US,60,20240426,220000,14.875,14.95,14.86,14.87,471360,0
GEO.US,60,20240429,160000,14.94,15.1,14.94,15.1,128434,0
GEO.US,60,20240429,170000,15.11,15.14,15.07,15.1,202762,0
GEO.US,60,20240429,180000,15.1,15.105,14.96,14.995,126199,0
GEO.US,60,20240429,190000,14.9898,15.005,14.955,14.955,71656,0
GEO.US,60,20240429,200000,14.965,15.075,14.96,15.05,189834,0
GEO.US,60,20240429,210000,15.05,15.07,14.94,14.97,99587,0
GEO.US,60,20240429,220000,14.965,15.03,14.9,15.03,473127,0
GEO.US,60,20240430,160000,14.98,15.12,14.95,15.025,101786,0
GEO.US,60,20240430,170000,15.025,15.035,14.915,14.935,112883,0
GEO.US,60,20240430,180000,14.935,15,14.87,14.89,170525,0
GEO.US,60,20240430,190000,14.88,14.97,14.87,14.8725,115387,0
GEO.US,60,20240430,200000,14.875,14.965,14.865,14.95,80667,0
GEO.US,60,20240430,210000,14.95,15.02,14.9,14.9501,125574,0
GEO.US,60,20240430,220000,14.96,14.99,14.85,14.86,508484,0
GEO.US,60,20240501,160000,14.83,15.04,14.77,14.955,209992,0
GEO.US,60,20240501,170000,14.96,15.01,14.86,14.94,124786,0
GEO.US,60,20240501,180000,14.94,15,14.875,14.875,114789,0
GEO.US,60,20240501,190000,14.87,14.955,14.8552,14.92,166930,0
GEO.US,60,20240501,200000,14.92,14.93,14.865,14.895,75664,0
GEO.US,60,20240501,210000,14.89,15.065,14.88,15.03,220137,0
GEO.US,60,20240501,220000,15.035,15.065,14.73,14.74,586454,0
GEO.US,60,20240502,160000,14.9,15.08,14.86,14.985,86617,0
GEO.US,60,20240502,170000,14.99,15.065,14.9347,15.045,94954,0
GEO.US,60,20240502,180000,15.04,15.08,14.98,15.05,89340,0
GEO.US,60,20240502,190000,15.045,15.08,15.03,15.055,87036,0
GEO.US,60,20240502,200000,15.055,15.07,14.97,14.995,112433,0
GEO.US,60,20240502,210000,14.99,15.015,14.975,14.995,90731,0
GEO.US,60,20240502,220000,14.995,15.055,14.96,14.98,624723,0
GEO.US,60,20240506,160000,14.66,14.705,14.59,14.685,120611,0
GEO.US,60,20240506,170000,14.685,14.7,14.31,14.315,289806,0
GEO.US,60,20240506,180000,14.312,14.48,14.21,14.432,374112,0
GEO.US,60,20240506,190000,14.43,14.49,14.355,14.405,139734,0
GEO.US,60,20240506,200000,14.405,14.41,14.31,14.34,237853,0
GEO.US,60,20240506,210000,14.335,14.48,14.33,14.38,273252,0
GEO.US,60,20240506,220000,14.3848,14.45,14.36,14.43,1009785,0
GEO.US,60,20240507,160000,13.66,13.97,13.25,13.49,1101925,0
GEO.US,60,20240507,170000,13.485,13.875,13.35,13.87,522002,0
GEO.US,60,20240507,180000,13.8789,13.9197,13.365,13.38,689913,0
GEO.US,60,20240507,190000,13.385,13.46,13.09,13.4291,798732,0
GEO.US,60,20240507,200000,13.4201,13.4201,12.915,13.04,545292,0
GEO.US,60,20240507,210000,13.035,13.38,12.98,13.36,448256,0
GEO.US,60,20240507,220000,13.355,13.64,13.35,13.63,927667,0
GEO.US,60,20240508,160000,13.44,13.5,13.195,13.275,211012,0
GEO.US,60,20240508,170000,13.275,13.38,13.18,13.2901,317763,0
GEO.US,60,20240508,180000,13.2901,13.48,13.25,13.44,203288,0
GEO.US,60,20240508,190000,13.435,13.46,13.385,13.435,170936,0
GEO.US,60,20240508,200000,13.44,13.52,13.395,13.515,120502,0
GEO.US,60,20240508,210000,13.52,13.6101,13.51,13.595,180774,0
GEO.US,60,20240508,220000,13.595,13.655,13.53,13.6,734906,0
GEO.US,60,20240509,160000,13.67,13.7467,13.56,13.7467,136451,0
GEO.US,60,20240509,170000,13.745,13.82,13.65,13.805,229759,0
GEO.US,60,20240509,180000,13.8,13.83,13.655,13.68,164267,0
GEO.US,60,20240509,190000,13.685,13.71,13.65,13.6899,166528,0
GEO.US,60,20240509,200000,13.68,13.685,13.545,13.555,135066,0
GEO.US,60,20240509,210000,13.555,13.7399,13.545,13.68,274287,0
GEO.US,60,20240509,220000,13.67,13.675,13.41,13.63,1044254,0
GEO.US,60,20240510,160000,13.63,13.635,13.47,13.56,104890,0
GEO.US,60,20240510,170000,13.54,13.58,13.44,13.49,137151,0
GEO.US,60,20240510,180000,13.485,13.585,13.475,13.51,212918,0
GEO.US,60,20240510,190000,13.51,13.54,13.49,13.53,97939,0
GEO.US,60,20240510,200000,13.53,13.535,13.495,13.51,150948,0
GEO.US,60,20240510,210000,13.52,13.52,13.4297,13.445,272528,0
GEO.US,60,20240510,220000,13.445,13.5,13.44,13.48,1042461,0
GEO.US,60,20240513,160000,13.47,13.56,13.1101,13.22,226621,0
GEO.US,60,20240513,170000,13.2261,13.26,13.06,13.105,384879,0
GEO.US,60,20240513,180000,13.105,13.229,13.0499,13.1675,401472,0
GEO.US,60,20240513,190000,13.1501,13.17,13.03,13.065,241329,0
GEO.US,60,20240513,200000,13.065,13.09,12.91,13,289986,0
GEO.US,60,20240513,210000,13.005,13.11,12.96,13.075,229216,0
GEO.US,60,20240513,220000,13.08,13.11,13.015,13.08,838752,0
GEO.US,60,20240514,160000,13.15,13.18,13.07,13.16,81465,0
GEO.US,60,20240514,170000,13.16,13.16,12.955,12.98,191589,0
GEO.US,60,20240514,180000,12.98,13.1,12.98,13.05,252217,0
GEO.US,60,20240514,190000,13.045,13.18,13.02,13.16,348283,0
GEO.US,60,20240514,200000,13.16,13.24,13.07,13.08,472257,0
GEO.US,60,20240514,210000,13.08,13.14,13.06,13.105,316011,0
GEO.US,60,20240514,220000,13.105,13.165,13.05,13.12,1017758,0
GEO.US,60,20240515,160000,13.09,13.16,12.97,12.975,134764,0
GEO.US,60,20240515,170000,12.975,13,12.745,12.78,389630,0
GEO.US,60,20240515,180000,12.78,12.79,12.63,12.7,419962,0
GEO.US,60,20240515,190000,12.7,12.715,12.64,12.7,240385,0
GEO.US,60,20240515,200000,12.695,12.72,12.55,12.56,493527,0
GEO.US,60,20240515,210000,12.56,12.665,12.515,12.61,506406,0
GEO.US,60,20240515,220000,12.6,12.75,12.57,12.71,1030462,0
GEO.US,60,20240516,160000,12.72,13.05,12.7,13.05,391804,0
GEO.US,60,20240516,170000,13.05,13.56,13.04,13.51,452100,0
GEO.US,60,20240516,180000,13.51,13.51,13.34,13.5,267255,0
GEO.US,60,20240516,190000,13.5,13.5,13.26,13.305,277531,0
GEO.US,60,20240516,200000,13.31,13.385,13.28,13.3212,250920,0
GEO.US,60,20240516,210000,13.325,13.405,13.315,13.39,178260,0
GEO.US,60,20240516,220000,13.39,13.395,13.185,13.23,616752,0
GEO.US,60,20240517,160000,13.29,13.44,13.235,13.31,123178,0
GEO.US,60,20240517,170000,13.305,13.47,13.27,13.375,163705,0
GEO.US,60,20240517,180000,13.375,13.44,13.3235,13.425,132235,0
GEO.US,60,20240517,190000,13.425,13.44,13.375,13.42,109491,0
GEO.US,60,20240517,200000,13.42,13.47,13.39,13.46,122221,0
GEO.US,60,20240517,210000,13.455,13.54,13.43,13.515,218238,0
GEO.US,60,20240517,220000,13.515,13.57,13.42,13.42,863956,0
GEO.US,60,20240520,160000,13.48,13.59,13.42,13.52,204296,0
GEO.US,60,20240520,170000,13.52,13.63,13.48,13.535,179667,0
GEO.US,60,20240520,180000,13.52,13.58,13.47,13.58,158736,0
GEO.US,60,20240520,190000,13.58,13.67,13.555,13.625,152101,0
GEO.US,60,20240520,200000,13.625,13.64,13.555,13.58,67905,0
GEO.US,60,20240520,210000,13.575,13.59,13.54,13.56,104762,0
GEO.US,60,20240520,220000,13.55,13.59,13.515,13.58,599036,0
GEO.US,60,20240521,160000,13.58,13.7,13.545,13.58,118643,0
GEO.US,60,20240521,170000,13.58,13.66,13.5,13.655,145299,0
GEO.US,60,20240521,180000,13.655,13.71,13.625,13.7,53748,0
GEO.US,60,20240521,190000,13.705,13.705,13.57,13.61,112988,0
GEO.US,60,20240521,200000,13.61,13.65,13.61,13.62,103391,0
GEO.US,60,20240521,210000,13.625,13.68,13.615,13.675,134702,0
GEO.US,60,20240521,220000,13.68,13.88,13.665,13.84,572926,0
GEO.US,60,20240522,160000,13.83,14.05,13.83,14.01,88357,0
GEO.US,60,20240522,170000,14.01,14.07,13.93,14.06,149234,0
GEO.US,60,20240522,180000,14.06,14.15,14.01,14.135,140428,0
GEO.US,60,20240522,190000,14.135,14.23,14.1,14.155,205173,0
GEO.US,60,20240522,200000,14.155,14.18,14.05,14.15,137525,0
GEO.US,60,20240522,210000,14.14,14.17,14.03,14.17,174504,0
GEO.US,60,20240522,220000,14.17,14.2,14.11,14.2,840730,0
GEO.US,60,20240523,160000,14.28,14.28,13.97,13.97,82454,0
GEO.US,60,20240523,170000,13.98,14.05,13.8,13.905,200330,0
GEO.US,60,20240523,180000,13.9,13.965,13.87,13.935,126937,0
GEO.US,60,20240523,190000,13.93,13.95,13.87,13.875,49907,0
GEO.US,60,20240523,200000,13.875,13.88,13.71,13.7525,75087,0
GEO.US,60,20240523,210000,13.75,13.82,13.735,13.815,117266,0
GEO.US,60,20240523,220000,13.82,13.89,13.77,13.89,554013,0
GEO.US,60,20240524,160000,13.7,13.82,13.6503,13.81,91268,0
GEO.US,60,20240524,170000,13.8351,13.96,13.825,13.9129,58632,0
GEO.US,60,20240524,180000,13.915,13.915,13.86,13.865,114215,0
GEO.US,60,20240524,190000,13.865,13.94,13.85,13.9101,94572,0
GEO.US,60,20240524,200000,13.92,13.99,13.895,13.905,99042,0
GEO.US,60,20240524,210000,13.905,13.94,13.88,13.93,77630,0
GEO.US,60,20240524,220000,13.93,14,13.91,13.92,448914,0
GEO.US,60,20240528,160000,14.02,14.08,13.85,13.865,66161,0
GEO.US,60,20240528,170000,13.87,13.935,13.845,13.88,92366,0
GEO.US,60,20240528,180000,13.88,13.89,13.79,13.83,116855,0
GEO.US,60,20240528,190000,13.82,13.8701,13.8,13.855,154376,0
GEO.US,60,20240528,200000,13.86,13.89,13.7903,13.81,98910,0
GEO.US,60,20240528,210000,13.805,13.83,13.715,13.83,112768,0
GEO.US,60,20240528,220000,13.84,13.91,13.815,13.9,581852,0
GEO.US,60,20240529,160000,13.78,13.82,13.68,13.685,35839,0
GEO.US,60,20240529,170000,13.685,13.775,13.665,13.72,123593,0
GEO.US,60,20240529,180000,13.73,13.735,13.61,13.62,115314,0
GEO.US,60,20240529,190000,13.615,13.865,13.6,13.74,323590,0
GEO.US,60,20240529,200000,13.74,13.77,13.715,13.77,63650,0
GEO.US,60,20240529,210000,13.77,13.8,13.74,13.76,24428,0
GEO.US,60,20240529,220000,13.755,13.765,13.67,13.68,334937,0
GEO.US,60,20240530,160000,13.78,13.91,13.78,13.89,41791,0
GEO.US,60,20240530,170000,13.905,14.175,13.901,14.13,155239,0
GEO.US,60,20240530,180000,14.13,14.24,14.095,14.145,154020,0
GEO.US,60,20240530,190000,14.15,14.285,14.15,14.27,223750,0
GEO.US,60,20240530,200000,14.27,14.28,14.15,14.195,138000,0
GEO.US,60,20240530,210000,14.195,14.2,14.08,14.15,145209,0
GEO.US,60,20240530,220000,14.145,14.1675,14.035,14.14,966996,0
GEO.US,60,20240531,160000,14.14,14.24,14.11,14.175,45153,0
GEO.US,60,20240531,170000,14.18,14.255,14.15,14.1799,69821,0
GEO.US,60,20240531,180000,14.18,14.25,14.14,14.2004,60956,0
GEO.US,60,20240531,190000,14.2,14.28,14.1425,14.27,67986,0
GEO.US,60,20240531,200000,14.27,14.36,14.27,14.3,110603,0
GEO.US,60,20240531,210000,14.3,14.35,14.29,14.3397,62879,0
GEO.US,60,20240531,220000,14.335,14.54,14.335,14.53,491336,0
GEO.US,60,20240603,160000,14.65,14.96,14.65,14.93,471325,0
GEO.US,60,20240603,170000,14.93,15.11,14.715,15.01,348750,0
GEO.US,60,20240603,180000,14.995,15.36,14.9,15.24,518618,0
GEO.US,60,20240603,190000,15.23,15.32,15.12,15.2,348552,0
GEO.US,60,20240603,200000,15.2,15.2,14.965,15.005,294827,0
GEO.US,60,20240603,210000,15,15.035,14.885,15,244240,0
GEO.US,60,20240603,220000,15,15.12,14.97,14.97,879056,0
GEO.US,60,20240604,160000,14.99,15.285,14.965,15.245,207899,0
GEO.US,60,20240604,170000,15.25,15.4,15.16,15.165,512960,0
