<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIS.US,60,20240411,160000,69.05,69.27,68.14,68.14,262096,0
GIS.US,60,20240411,170000,68.13,68.16,67.29,67.36,544714,0
GIS.US,60,20240411,180000,67.36,67.46,67.03,67.38,454718,0
GIS.US,60,20240411,190000,67.38,67.42,67.025,67.22,321983,0
GIS.US,60,20240411,200000,67.2,67.42,67.19,67.37,380027,0
GIS.US,60,20240411,210000,67.375,67.45,67.25,67.3,308930,0
GIS.US,60,20240411,220000,67.3,67.43,66.99,67,1690611,0
GIS.US,60,20240412,160000,67.16,67.16,66.56,66.59,144251,0
GIS.US,60,20240412,170000,66.57,66.865,66.5,66.84,283775,0
GIS.US,60,20240412,180000,66.86,66.91,66.585,66.67,157595,0
GIS.US,60,20240412,190000,66.68,66.83,66.4,66.4,141258,0
GIS.US,60,20240412,200000,66.39,66.455,66.31,66.43,193116,0
GIS.US,60,20240412,210000,66.4,66.47,66.17,66.175,164890,0
GIS.US,60,20240412,220000,66.17,66.31,66.11,66.2,1513538,0
GIS.US,60,20240415,160000,66.43,66.86,66.39,66.705,275132,0
GIS.US,60,20240415,170000,66.705,66.71,66.3,66.5,489716,0
GIS.US,60,20240415,180000,66.5,66.94,66.495,66.855,317644,0
GIS.US,60,20240415,190000,66.87,67.03,66.82,67.0255,254288,0
GIS.US,60,20240415,200000,67.02,67.2,66.95,67.02,298216,0
GIS.US,60,20240415,210000,67.02,67.23,66.96,67.11,347895,0
GIS.US,60,20240415,220000,67.11,67.504,67.11,67.32,1564014,0
GIS.US,60,20240416,160000,67.51,67.74,67.36,67.6,267263,0
GIS.US,60,20240416,170000,67.61,67.995,67.4,67.56,443468,0
GIS.US,60,20240416,180000,67.56,67.76,67.31,67.62,376329,0
GIS.US,60,20240416,190000,67.62,67.825,67.59,67.73,206688,0
GIS.US,60,20240416,200000,67.72,67.76,67.53,67.67,203313,0
GIS.US,60,20240416,210000,67.68,67.96,67.65,67.905,348775,0
GIS.US,60,20240416,220000,67.905,68.01,67.605,67.84,1449652,0
GIS.US,60,20240417,160000,68.22,68.8,68.19,68.45,233255,0
GIS.US,60,20240417,170000,68.45,68.575,68.09,68.439,364209,0
GIS.US,60,20240417,180000,68.44,68.45,68.13,68.165,377867,0
GIS.US,60,20240417,190000,68.17,68.42,68.13,68.355,161859,0
GIS.US,60,20240417,200000,68.35,68.38,68.22,68.29,156797,0
GIS.US,60,20240417,210000,68.3,68.36,68.17,68.31,242687,0
GIS.US,60,20240417,220000,68.29,68.535,68.21,68.51,1279184,0
GIS.US,60,20240418,160000,69,69.11,68.61,68.99,383910,0
GIS.US,60,20240418,170000,68.98,69.25,68.87,68.965,330468,0
GIS.US,60,20240418,180000,68.98,68.995,68.76,68.89,241126,0
GIS.US,60,20240418,190000,68.89,68.95,68.82,68.89,188447,0
GIS.US,60,20240418,200000,68.89,69.04,68.86,68.93,167938,0
GIS.US,60,20240418,210000,68.92,69.04,68.87,68.975,192430,0
GIS.US,60,20240418,220000,68.975,69.16,68.855,69.09,1411487,0
GIS.US,60,20240419,160000,69.21,69.505,69.09,69.33,245128,0
GIS.US,60,20240419,170000,69.34,69.82,69.27,69.65,212268,0
GIS.US,60,20240419,180000,69.65,70.19,69.6101,70.16,326751,0
GIS.US,60,20240419,190000,70.155,70.335,70.08,70.32,271269,0
GIS.US,60,20240419,200000,70.32,70.41,70.2422,70.36,246709,0
GIS.US,60,20240419,210000,70.36,70.64,70.315,70.625,303809,0
GIS.US,60,20240419,220000,70.625,70.65,70.31,70.41,819454,0
GIS.US,60,20240422,160000,70.61,70.71,70.395,70.64,221251,0
GIS.US,60,20240422,170000,70.65,71.15,70.41,71.07,443834,0
GIS.US,60,20240422,180000,71.06,71.149,70.86,70.99,306974,0
GIS.US,60,20240422,190000,70.98,71.05,70.87,71.025,191809,0
GIS.US,60,20240422,200000,71.03,71.28,70.97,71.27,282131,0
GIS.US,60,20240422,210000,71.27,71.375,71.2,71.27,239148,0
GIS.US,60,20240422,220000,71.265,71.3001,71.07,71.17,1050727,0
GIS.US,60,20240423,160000,71.07,71.54,71.06,71.51,182716,0
GIS.US,60,20240423,170000,71.5,71.55,71.01,71.2,264362,0
GIS.US,60,20240423,180000,71.22,71.27,70.94,71.065,209895,0
GIS.US,60,20240423,190000,71.065,71.1494,70.94,71.05,145431,0
GIS.US,60,20240423,200000,71.05,71.17,70.85,70.875,194948,0
GIS.US,60,20240423,210000,70.88,70.92,70.75,70.795,242971,0
GIS.US,60,20240423,220000,70.8,70.83,70.635,70.82,1430589,0
GIS.US,60,20240424,160000,70.18,71.01,69.95,70.75,223086,0
GIS.US,60,20240424,170000,70.76,71.31,70.76,71.3075,356173,0
GIS.US,60,20240424,180000,71.31,71.62,71.26,71.61,361691,0
GIS.US,60,20240424,190000,71.6,71.87,71.57,71.625,291322,0
GIS.US,60,20240424,200000,71.61,71.7573,71.56,71.64,279291,0
GIS.US,60,20240424,210000,71.65,71.7542,71.53,71.565,382339,0
GIS.US,60,20240424,220000,71.57,71.78,71.47,71.61,1631015,0
GIS.US,60,20240425,160000,71.86,72.315,71.19,71.39,254871,0
GIS.US,60,20240425,170000,71.405,71.4646,71.11,71.285,330113,0
GIS.US,60,20240425,180000,71.26,71.52,71.195,71.345,211731,0
GIS.US,60,20240425,190000,71.34,71.41,71.255,71.32,171733,0
GIS.US,60,20240425,200000,71.32,71.38,71.23,71.37,149173,0
GIS.US,60,20240425,210000,71.37,71.37,71.16,71.23,214296,0
GIS.US,60,20240425,220000,71.235,71.445,71.21,71.38,836106,0
GIS.US,60,20240426,160000,71.02,71.43,70.84,71.205,154108,0
GIS.US,60,20240426,170000,71.22,71.27,70.92,71.07,334907,0
GIS.US,60,20240426,180000,71.06,71.17,71,71.06,241154,0
GIS.US,60,20240426,190000,71.06,71.17,71.01,71.01,153416,0
GIS.US,60,20240426,200000,71.015,71.165,70.98,71.14,148910,0
GIS.US,60,20240426,210000,71.14,72.13,71.025,71.11,671352,0
GIS.US,60,20240426,220000,71.11,71.11,70.81,70.83,1201655,0
GIS.US,60,20240429,160000,70.87,71.19,70.33,70.33,301503,0
GIS.US,60,20240429,170000,70.35,70.445,69.915,70.41,346728,0
GIS.US,60,20240429,180000,70.41,70.485,69.93,70.06,273312,0
GIS.US,60,20240429,190000,70.06,70.16,69.93,69.965,204034,0
GIS.US,60,20240429,200000,69.965,70.19,69.96,70.085,198281,0
GIS.US,60,20240429,210000,70.08,70.155,69.93,70,202769,0
GIS.US,60,20240429,220000,70.01,70.38,69.92,70.23,1527299,0
GIS.US,60,20240430,160000,70.08,70.22,69.889,69.9234,169467,0
GIS.US,60,20240430,170000,69.92,70.39,69.83,70.31,247203,0
GIS.US,60,20240430,180000,70.31,70.385,69.99,70.345,257434,0
GIS.US,60,20240430,190000,70.345,70.35,70.08,70.22,132204,0
GIS.US,60,20240430,200000,70.22,70.34,70.18,70.31,114649,0
GIS.US,60,20240430,210000,70.31,70.38,70.215,70.375,160251,0
GIS.US,60,20240430,220000,70.375,70.529,70.335,70.46,1179516,0
GIS.US,60,20240501,160000,70.32,70.32,69.46,69.845,273321,0
GIS.US,60,20240501,170000,69.85,70.275,69.675,69.75,313332,0
GIS.US,60,20240501,180000,69.735,70.375,69.685,70.28,216494,0
GIS.US,60,20240501,190000,70.28,70.38,70.16,70.29,153783,0
GIS.US,60,20240501,200000,70.28,70.47,70.24,70.29,251426,0
GIS.US,60,20240501,210000,70.29,70.37,70.14,70.2,223165,0
GIS.US,60,20240501,220000,70.2,70.445,69.99,69.99,1135165,0
GIS.US,60,20240502,160000,70.4,70.8,70.4,70.67,209660,0
GIS.US,60,20240502,170000,70.69,70.84,70.41,70.53,252983,0
