<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GM.US,60,20240411,160000,43.9,43.99,43.43,43.475,984760,0
GM.US,60,20240411,170000,43.47,43.51,43.19,43.24,1471244,0
GM.US,60,20240411,180000,43.245,43.53,43.24,43.525,1309830,0
GM.US,60,20240411,190000,43.53,43.63,43.445,43.605,763813,0
GM.US,60,20240411,200000,43.605,43.88,43.58,43.86,769788,0
GM.US,60,20240411,210000,43.86,43.975,43.81,43.855,698953,0
GM.US,60,20240411,220000,43.85,43.96,43.765,43.84,7868158,0
GM.US,60,20240412,160000,43.5,43.58,42.85,43,934205,0
GM.US,60,20240412,170000,43,43.105,42.755,43.03,1764860,0
GM.US,60,20240412,180000,43.025,43.2,42.99,43.095,801856,0
GM.US,60,20240412,190000,43.095,43.135,42.79,42.81,718733,0
GM.US,60,20240412,200000,42.8185,42.86,42.645,42.835,946227,0
GM.US,60,20240412,210000,42.835,42.95,42.7,42.75,1283501,0
GM.US,60,20240412,220000,42.75,43.08,42.695,43.08,3230031,0
GM.US,60,20240415,160000,43.73,43.98,43.22,43.27,886070,0
GM.US,60,20240415,170000,43.27,43.27,42.74,43.06,1279824,0
GM.US,60,20240415,180000,43.06,43.36,42.9368,43.275,820083,0
GM.US,60,20240415,190000,43.28,43.39,43.14,43.14,728206,0
GM.US,60,20240415,200000,43.145,43.245,42.705,42.88,905696,0
GM.US,60,20240415,210000,42.88,42.895,42.595,42.615,1165841,0
GM.US,60,20240415,220000,42.61,42.77,42.52,42.69,5658481,0
GM.US,60,20240416,160000,42.46,42.75,42.245,42.36,797928,0
GM.US,60,20240416,170000,42.35,42.63,42.285,42.355,1076166,0
GM.US,60,20240416,180000,42.355,42.47,42.13,42.42,891461,0
GM.US,60,20240416,190000,42.43,42.76,42.37,42.7,799562,0
GM.US,60,20240416,200000,42.7,42.82,42.45,42.69,862595,0
GM.US,60,20240416,210000,42.69,42.92,42.57,42.91,1085098,0
GM.US,60,20240416,220000,42.91,42.915,42.635,42.66,4619911,0
GM.US,60,20240417,160000,42.91,43.16,42.76,43.025,861774,0
GM.US,60,20240417,170000,43.025,43.025,42.495,42.53,1139359,0
GM.US,60,20240417,180000,42.53,42.65,42.4,42.59,835219,0
GM.US,60,20240417,190000,42.58,42.605,42.33,42.355,678078,0
GM.US,60,20240417,200000,42.355,42.615,42.35,42.59,779134,0
GM.US,60,20240417,210000,42.595,42.66,42.42,42.42,943989,0
GM.US,60,20240417,220000,42.42,42.51,42.2905,42.46,3463555,0
GM.US,60,20240418,160000,42.77,42.835,42.35,42.555,628050,0
GM.US,60,20240418,170000,42.56,42.745,42.4,42.645,1343272,0
GM.US,60,20240418,180000,42.645,42.71,42.45,42.53,1001683,0
GM.US,60,20240418,190000,42.53,42.59,42.27,42.28,619495,0
GM.US,60,20240418,200000,42.29,42.315,42.04,42.09,987145,0
GM.US,60,20240418,210000,42.09,42.28,42.01,42.2,994386,0
GM.US,60,20240418,220000,42.205,42.46,42.17,42.44,6914201,0
GM.US,60,20240419,160000,42.51,42.91,42.4,42.805,1254748,0
GM.US,60,20240419,170000,42.8,42.96,42.58,42.615,1300501,0
GM.US,60,20240419,180000,42.61,42.71,42.41,42.615,1260362,0
GM.US,60,20240419,190000,42.615,42.64,42.45,42.57,842117,0
GM.US,60,20240419,200000,42.56,42.59,42.37,42.465,1169403,0
GM.US,60,20240419,210000,42.46,42.47,42.185,42.285,1205423,0
GM.US,60,20240419,220000,42.28,42.43,42.195,42.37,2806620,0
GM.US,60,20240422,160000,42.68,42.98,42.205,42.625,1824513,0
GM.US,60,20240422,170000,42.625,43.07,42.6,42.79,2329942,0
GM.US,60,20240422,180000,42.78,43.0699,42.65,43.05,1451462,0
GM.US,60,20240422,190000,43.06,43.355,43.0544,43.2216,1894012,0
GM.US,60,20240422,200000,43.22,43.435,43.065,43.35,1263851,0
GM.US,60,20240422,210000,43.35,43.49,43.335,43.465,1264372,0
GM.US,60,20240422,220000,43.46,43.56,43.15,43.21,8163027,0
GM.US,60,20240423,160000,45.89,45.96,44.37,45.27,6186934,0
GM.US,60,20240423,170000,45.265,45.66,44.83,45.22,4497063,0
GM.US,60,20240423,180000,45.23,45.37,44.855,45.18,2395631,0
GM.US,60,20240423,190000,45.19,45.5,45.175,45.36,2099355,0
GM.US,60,20240423,200000,45.3618,45.62,45.355,45.395,1283829,0
GM.US,60,20240423,210000,45.39,45.595,45.38,45.45,1520457,0
GM.US,60,20240423,220000,45.445,45.45,45.02,45.1,6011419,0
GM.US,60,20240424,160000,45.31,45.31,44.71,44.81,2033825,0
GM.US,60,20240424,170000,44.81,45.1,44.78,45.04,2205086,0
GM.US,60,20240424,180000,45.035,45.05,44.62,44.79,1737049,0
GM.US,60,20240424,190000,44.79,44.89,44.635,44.85,979055,0
GM.US,60,20240424,200000,44.8575,45.29,44.81,45.245,969415,0
GM.US,60,20240424,210000,45.245,45.25,44.96,44.965,710122,0
GM.US,60,20240424,220000,44.96,45.115,44.88,45.08,3725918,0
