<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMED.US,60,20240411,160000,53.79,54.16,53.07,53.34,34668,0
GMED.US,60,20240411,170000,53.325,53.325,52.57,52.765,27716,0
GMED.US,60,20240411,180000,52.74,52.93,52.64,52.91,33863,0
GMED.US,60,20240411,190000,52.91,53.11,52.71,52.77,47749,0
GMED.US,60,20240411,200000,52.77,53.39,52.75,53.2,37115,0
GMED.US,60,20240411,210000,53.22,53.32,52.89,53.01,40722,0
GMED.US,60,20240411,220000,53.0175,53.03,52.33,52.47,333274,0
GMED.US,60,20240412,160000,51.94,52.39,51.75,52.24,19394,0
GMED.US,60,20240412,170000,52.23,52.265,51.915,52.09,50005,0
GMED.US,60,20240412,180000,52.085,52.2,51.97,51.985,50054,0
GMED.US,60,20240412,190000,51.99,52.02,51.505,51.52,67857,0
GMED.US,60,20240412,200000,51.52,51.67,51.43,51.58,28408,0
GMED.US,60,20240412,210000,51.56,51.77,51.44,51.44,45351,0
GMED.US,60,20240412,220000,51.44,51.7,51.32,51.67,289077,0
GMED.US,60,20240415,160000,52.22,52.84,52.22,52.59,27851,0
GMED.US,60,20240415,170000,52.56,52.62,51.98,52.19,57969,0
GMED.US,60,20240415,180000,52.22,52.445,51.91,52.42,48155,0
GMED.US,60,20240415,190000,52.36,52.51,52.3,52.4,37039,0
GMED.US,60,20240415,200000,52.38,52.43,51.86,51.98,33644,0
GMED.US,60,20240415,210000,51.95,51.96,51.58,51.71,28857,0
GMED.US,60,20240415,220000,51.7,52,51.6,51.82,245058,0
GMED.US,60,20240416,160000,51.74,51.94,50.75,51,31378,0
GMED.US,60,20240416,170000,51,51.565,50.87,51.38,108923,0
GMED.US,60,20240416,180000,51.38,51.87,51.32,51.84,69771,0
GMED.US,60,20240416,190000,51.82,52.02,51.665,51.96,61563,0
GMED.US,60,20240416,200000,51.96,51.975,51.58,51.61,59838,0
GMED.US,60,20240416,210000,51.56,51.9,51.45,51.79,57955,0
GMED.US,60,20240416,220000,51.76,51.955,51.52,51.79,407075,0
GMED.US,60,20240417,160000,51.74,52.04,51.74,51.825,59954,0
GMED.US,60,20240417,170000,51.77,51.837,51.41,51.41,43719,0
GMED.US,60,20240417,180000,51.42,51.63,51.285,51.5,100519,0
GMED.US,60,20240417,190000,51.49,51.54,51.31,51.34,53388,0
GMED.US,60,20240417,200000,51.32,51.65,51.265,51.48,87029,0
GMED.US,60,20240417,210000,51.48,51.57,51.26,51.29,53576,0
GMED.US,60,20240417,220000,51.29,51.43,51.1,51.2,511060,0
GMED.US,60,20240418,160000,51.17,51.54,50.98,51.4607,16574,0
GMED.US,60,20240418,170000,51.47,51.52,51.13,51.38,54724,0
GMED.US,60,20240418,180000,51.38,51.45,51.06,51.215,38566,0
GMED.US,60,20240418,190000,51.2,51.405,51.15,51.19,41143,0
GMED.US,60,20240418,200000,51.195,51.27,50.75,50.95,75121,0
GMED.US,60,20240418,210000,50.95,50.95,50.65,50.845,81924,0
GMED.US,60,20240418,220000,50.86,50.98,50.7,50.75,355617,0
GMED.US,60,20240419,160000,51.03,51.56,50.78,50.955,35439,0
GMED.US,60,20240419,170000,50.91,50.91,50.52,50.65,43422,0
GMED.US,60,20240419,180000,50.64,50.79,50.43,50.7,66429,0
GMED.US,60,20240419,190000,50.6,50.69,50.14,50.33,64015,0
GMED.US,60,20240419,200000,50.38,50.48,50.14,50.26,80597,0
GMED.US,60,20240419,210000,50.25,50.25,49.94,50.09,90615,0
GMED.US,60,20240419,220000,50.08,50.425,50.04,50.34,186073,0
GMED.US,60,20240422,160000,50.66,50.96,50.5433,50.885,55639,0
GMED.US,60,20240422,170000,50.89,51.3,50.84,50.875,117234,0
GMED.US,60,20240422,180000,50.8852,51.08,50.83,51.025,65159,0
GMED.US,60,20240422,190000,51.05,51.19,50.835,51.19,53613,0
GMED.US,60,20240422,200000,51.17,51.5,51.13,51.44,34033,0
GMED.US,60,20240422,210000,51.445,51.58,51.35,51.42,63354,0
GMED.US,60,20240422,220000,51.44,51.46,51.11,51.25,280908,0
GMED.US,60,20240423,160000,51.52,51.65,51.28,51.46,25314,0
GMED.US,60,20240423,170000,51.46,51.6,51.28,51.39,53948,0
GMED.US,60,20240423,180000,51.39,51.415,51.135,51.18,63955,0
GMED.US,60,20240423,190000,51.16,51.2661,51.02,51.05,81842,0
GMED.US,60,20240423,200000,51.07,51.55,51.02,51.53,63479,0
GMED.US,60,20240423,210000,51.52,51.54,51.33,51.38,23145,0
GMED.US,60,20240423,220000,51.39,51.39,51.03,51.27,287823,0
GMED.US,60,20240424,160000,51.08,51.91,51.08,51.5525,36653,0
GMED.US,60,20240424,170000,51.555,51.99,51.425,51.425,36777,0
GMED.US,60,20240424,180000,51.38,51.38,51.11,51.2,27349,0
GMED.US,60,20240424,190000,51.2,51.31,51.05,51.295,53259,0
GMED.US,60,20240424,200000,51.25,51.3,51.1,51.3,65259,0
GMED.US,60,20240424,210000,51.32,51.55,51.16,51.44,39195,0
GMED.US,60,20240424,220000,51.42,51.49,51.26,51.44,310834,0
GMED.US,60,20240425,160000,51.34,51.34,50.39,50.45,18647,0
GMED.US,60,20240425,170000,50.45,50.68,50.07,50.2275,48290,0
GMED.US,60,20240425,180000,50.24,50.34,50.02,50.34,24522,0
GMED.US,60,20240425,190000,50.27,50.47,50.15,50.4,39571,0
GMED.US,60,20240425,200000,50.38,50.74,50.36,50.71,34810,0
GMED.US,60,20240425,210000,50.74,50.79,50.47,50.54,32572,0
GMED.US,60,20240425,220000,50.505,50.87,50.34,50.37,183663,0
GMED.US,60,20240426,160000,50.6,50.83,50.565,50.78,18967,0
GMED.US,60,20240426,170000,50.83,51.0194,50.72,50.84,43453,0
GMED.US,60,20240426,180000,50.85,51.065,50.55,50.62,39401,0
GMED.US,60,20240426,190000,50.64,50.9,50.61,50.7,22444,0
GMED.US,60,20240426,200000,50.71,50.835,50.66,50.75,28226,0
GMED.US,60,20240426,210000,50.72,50.78,50.65,50.735,19621,0
GMED.US,60,20240426,220000,50.71,50.755,50.55,50.55,201054,0
GMED.US,60,20240429,160000,50.63,51.179,50.63,50.955,23206,0
GMED.US,60,20240429,170000,50.92,51.08,50.76,50.9,27551,0
GMED.US,60,20240429,180000,50.86,51.09,50.85,51.03,37984,0
GMED.US,60,20240429,190000,51.04,51.27,51.04,51.14,33632,0
GMED.US,60,20240429,200000,51.09,51.09,50.94,51.08,24410,0
GMED.US,60,20240429,210000,51.05,51.05,50.87,50.88,32160,0
GMED.US,60,20240429,220000,50.84,50.84,50.6,50.61,219061,0
GMED.US,60,20240430,160000,50.32,50.75,50.18,50.18,22035,0
GMED.US,60,20240430,170000,50.23,50.555,50.23,50.49,28598,0
GMED.US,60,20240430,180000,50.54,50.54,50.24,50.39,25178,0
GMED.US,60,20240430,190000,50.4,50.5,50.25,50.32,14459,0
GMED.US,60,20240430,200000,50.29,50.47,50.26,50.42,17298,0
GMED.US,60,20240430,210000,50.475,50.48,50.16,50.225,24078,0
GMED.US,60,20240430,220000,50.24,50.29,49.77,49.79,183063,0
GMED.US,60,20240501,160000,49.6,49.76,49.33,49.58,54033,0
GMED.US,60,20240501,170000,49.57,49.99,49.345,49.96,43888,0
GMED.US,60,20240501,180000,49.96,50.3,49.94,50.22,46383,0
GMED.US,60,20240501,190000,50.2,50.52,50.2,50.52,33484,0
GMED.US,60,20240501,200000,50.52,50.78,50.46,50.47,67401,0
GMED.US,60,20240501,210000,50.5,51.15,50.205,51.085,45469,0
GMED.US,60,20240501,220000,51.115,51.29,50.35,50.43,324872,0
GMED.US,60,20240502,160000,50.75,50.75,50.1,50.19,9298,0
GMED.US,60,20240502,170000,50.1,50.55,50.05,50.42,33231,0
GMED.US,60,20240502,180000,50.39,50.43,50.09,50.27,19432,0
GMED.US,60,20240502,190000,50.28,50.33,50.2,50.27,49355,0
GMED.US,60,20240502,200000,50.29,50.46,50.205,50.38,33274,0
GMED.US,60,20240502,210000,50.395,50.65,50.39,50.57,33979,0
GMED.US,60,20240502,220000,50.575,50.67,50.39,50.48,285939,0
GMED.US,60,20240506,160000,52.48,52.56,51.7,51.71,27905,0
GMED.US,60,20240506,170000,51.76,52.5,51.6871,51.79,148408,0
GMED.US,60,20240506,180000,51.74,51.74,50.84,51.245,130212,0
GMED.US,60,20240506,190000,51.25,51.32,50.63,50.64,84316,0
GMED.US,60,20240506,200000,50.67,50.94,50.55,50.75,156276,0
GMED.US,60,20240506,210000,50.75,50.87,50,50.16,163004,0
GMED.US,60,20240506,220000,50.16,50.489,50.04,50.27,578003,0
GMED.US,60,20240507,160000,50.56,51.51,50.31,51.39,100437,0
GMED.US,60,20240507,170000,51.3275,51.87,51.24,51.695,229597,0
