<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOOS.US,60,20240411,160000,11.21,11.24,11.07,11.07,16703,0
GOOS.US,60,20240411,170000,11.075,11.075,10.98,11,44157,0
GOOS.US,60,20240411,180000,11.01,11.1,10.99,11.1,74210,0
GOOS.US,60,20240411,190000,11.105,11.15,11.1,11.14,23660,0
GOOS.US,60,20240411,200000,11.14,11.23,11.14,11.23,22712,0
GOOS.US,60,20240411,210000,11.24,11.25,11.2,11.21,17519,0
GOOS.US,60,20240411,220000,11.2,11.23,11.18,11.21,100461,0
GOOS.US,60,20240412,160000,11.06,11.07,10.925,10.9651,42579,0
GOOS.US,60,20240412,170000,10.965,11.06,10.935,11.045,51661,0
GOOS.US,60,20240412,180000,11.04,11.05,10.93,10.975,82837,0
GOOS.US,60,20240412,190000,10.96,10.97,10.855,10.88,42120,0
GOOS.US,60,20240412,200000,10.89,10.92,10.8306,10.855,53805,0
GOOS.US,60,20240412,210000,10.855,10.885,10.72,10.75,75250,0
GOOS.US,60,20240412,220000,10.74,10.82,10.72,10.79,263980,0
GOOS.US,60,20240415,160000,10.95,10.95,10.7807,10.89,36564,0
GOOS.US,60,20240415,170000,10.87,10.875,10.69,10.725,54508,0
GOOS.US,60,20240415,180000,10.72,10.91,10.705,10.895,79944,0
GOOS.US,60,20240415,190000,10.89,10.96,10.86,10.92,75688,0
GOOS.US,60,20240415,200000,10.915,10.92,10.805,10.865,73460,0
GOOS.US,60,20240415,210000,10.87,10.89,10.815,10.88,97038,0
GOOS.US,60,20240415,220000,10.875,10.94,10.835,10.94,325655,0
GOOS.US,60,20240416,160000,10.79,10.92,10.79,10.9,36643,0
GOOS.US,60,20240416,170000,10.91,11.02,10.87,10.9,97198,0
GOOS.US,60,20240416,180000,10.925,10.96,10.86,10.8925,47725,0
GOOS.US,60,20240416,190000,10.9,11.0215,10.9,11.01,29575,0
GOOS.US,60,20240416,200000,11.005,11.095,11,11.075,48418,0
GOOS.US,60,20240416,210000,11.075,11.175,11.045,11.17,53611,0
