<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRMN.US,60,20240411,160000,146.46,146.9075,146.265,146.56,16580,0
GRMN.US,60,20240411,170000,146.63,146.63,145.81,145.81,24100,0
GRMN.US,60,20240411,180000,145.98,146.215,145.91,146.21,10971,0
GRMN.US,60,20240411,190000,146.19,146.33,146.01,146.02,13294,0
GRMN.US,60,20240411,200000,146.015,146.74,145.95,146.535,16863,0
GRMN.US,60,20240411,210000,146.56,146.9,146.56,146.8199,12349,0
GRMN.US,60,20240411,220000,146.81,146.99,146.03,146.08,185924,0
GRMN.US,60,20240412,160000,144.9,145.385,144.52,144.86,14771,0
GRMN.US,60,20240412,170000,144.685,144.685,143.9,144.07,31165,0
GRMN.US,60,20240412,180000,144.1,144.2,143.975,144.07,28389,0
GRMN.US,60,20240412,190000,143.9925,144.1535,143.31,143.32,62041,0
GRMN.US,60,20240412,200000,143.335,143.535,142.91,143.385,38639,0
GRMN.US,60,20240412,210000,143.4,143.505,143.01,143.275,44827,0
GRMN.US,60,20240412,220000,143.23,143.29,142.67,143.11,272495,0
GRMN.US,60,20240415,160000,144.29,144.88,144.27,144.6,35029,0
GRMN.US,60,20240415,170000,144.68,144.71,143.63,143.665,40436,0
GRMN.US,60,20240415,180000,143.625,143.69,143.1,143.36,32014,0
GRMN.US,60,20240415,190000,143.4,143.4,142.17,142.26,44805,0
GRMN.US,60,20240415,200000,142.24,142.29,141.09,141.6801,48533,0
GRMN.US,60,20240415,210000,141.715,141.715,140.92,141.275,39969,0
GRMN.US,60,20240415,220000,141.28,142.1,140.96,141.64,323160,0
GRMN.US,60,20240416,160000,142.08,142.37,141.16,141.66,16204,0
GRMN.US,60,20240416,170000,141.6575,141.69,141,141.535,41633,0
GRMN.US,60,20240416,180000,141.51,142.94,141.51,142.77,86643,0
GRMN.US,60,20240416,190000,142.7,143.06,142.29,142.355,32181,0
GRMN.US,60,20240416,200000,142.29,142.63,142.03,142.28,23401,0
GRMN.US,60,20240416,210000,142.24,143.085,141.955,142.97,36903,0
GRMN.US,60,20240416,220000,142.975,142.975,141.995,142.19,224892,0
GRMN.US,60,20240417,160000,142.75,143.23,141.97,142.55,24406,0
GRMN.US,60,20240417,170000,142.53,142.595,141.055,141.1042,42593,0
GRMN.US,60,20240417,180000,141.24,141.42,140.595,141.13,60432,0
GRMN.US,60,20240417,190000,141.13,141.19,140.19,140.54,51733,0
GRMN.US,60,20240417,200000,140.525,141.5373,140.47,141.38,35040,0
GRMN.US,60,20240417,210000,141.395,141.83,140.98,141.1,35471,0
GRMN.US,60,20240417,220000,141.03,141.285,140.695,141.07,203313,0
GRMN.US,60,20240418,160000,141.5,141.9,140.64,141.865,22697,0
GRMN.US,60,20240418,170000,141.94,141.94,141.3125,141.45,51970,0
GRMN.US,60,20240418,180000,141.455,141.97,141.03,141.07,40597,0
GRMN.US,60,20240418,190000,141.11,141.34,140.61,140.745,36010,0
GRMN.US,60,20240418,200000,140.735,140.77,140.19,140.43,47956,0
GRMN.US,60,20240418,210000,140.4,140.855,140.16,140.35,39803,0
GRMN.US,60,20240418,220000,140.35,140.9,140.315,140.72,252274,0
GRMN.US,60,20240419,160000,141.06,141.78,140.875,141.07,61018,0
GRMN.US,60,20240419,170000,141.07,141.29,140.55,140.75,51909,0
GRMN.US,60,20240419,180000,140.729,140.85,140.33,140.33,28448,0
GRMN.US,60,20240419,190000,140.32,140.38,139.37,140.019,46102,0
GRMN.US,60,20240419,200000,140.02,140.3399,139.875,139.99,47197,0
GRMN.US,60,20240419,210000,139.95,140.14,139.44,139.75,47725,0
GRMN.US,60,20240419,220000,139.69,139.765,138.86,139.48,350240,0
GRMN.US,60,20240422,160000,140.62,140.62,139.65,140.39,18770,0
GRMN.US,60,20240422,170000,140.42,141.065,140.27,140.73,28638,0
GRMN.US,60,20240422,180000,140.71,140.75,140.245,140.57,29817,0
GRMN.US,60,20240422,190000,140.57,140.83,140.49,140.75,22134,0
GRMN.US,60,20240422,200000,140.79,141.68,140.77,141.6426,20806,0
GRMN.US,60,20240422,210000,141.61,141.87,141.54,141.85,17720,0
GRMN.US,60,20240422,220000,141.82,141.82,140.97,141.02,354767,0
GRMN.US,60,20240423,160000,140.98,141.72,140.98,141.635,10313,0
GRMN.US,60,20240423,170000,141.5615,143.075,141.37,142.985,28661,0
GRMN.US,60,20240423,180000,142.93,142.93,142.19,142.43,34773,0
GRMN.US,60,20240423,190000,142.39,142.745,142.325,142.6767,33145,0
GRMN.US,60,20240423,200000,142.655,142.875,142.321,142.75,36229,0
GRMN.US,60,20240423,210000,142.78,142.94,142.66,142.75,11876,0
GRMN.US,60,20240423,220000,142.78,142.9646,142.47,142.52,168695,0
GRMN.US,60,20240424,160000,142.75,143.415,142.465,142.6,15742,0
GRMN.US,60,20240424,170000,142.72,143.48,142.63,142.7,20408,0
GRMN.US,60,20240424,180000,142.7,142.89,142.56,142.65,22841,0
GRMN.US,60,20240424,190000,142.665,142.94,142.2,142.545,20800,0
GRMN.US,60,20240424,200000,142.515,143.115,142.49,143.115,21746,0
GRMN.US,60,20240424,210000,143.13,143.13,142.67,142.67,18916,0
GRMN.US,60,20240424,220000,142.705,143.17,142.57,142.79,240603,0
GRMN.US,60,20240425,160000,141.86,141.86,140.46,140.645,13014,0
GRMN.US,60,20240425,170000,140.58,141.0375,140.51,140.6,28115,0
GRMN.US,60,20240425,180000,140.575,141.685,140.575,141.685,31598,0
GRMN.US,60,20240425,190000,141.69,142.25,141.61,142.175,19067,0
GRMN.US,60,20240425,200000,142.22,142.73,142.06,142.685,20828,0
GRMN.US,60,20240425,210000,142.71,143,142.57,142.75,21992,0
GRMN.US,60,20240425,220000,142.825,143.29,142.57,143.03,174257,0
GRMN.US,60,20240426,160000,142.99,143.78,142.99,143.51,17409,0
GRMN.US,60,20240426,170000,143.606,143.84,143.18,143.42,22005,0
GRMN.US,60,20240426,180000,143.41,143.795,143.31,143.52,20766,0
GRMN.US,60,20240426,190000,143.57,144.01,143.53,144.01,15942,0
GRMN.US,60,20240426,200000,144.03,144.32,143.9,144.24,17478,0
GRMN.US,60,20240426,210000,144.235,144.31,143.96,144.15,22051,0
GRMN.US,60,20240426,220000,144.1,144.32,143.4,143.45,253739,0
GRMN.US,60,20240429,160000,142.85,144.045,142.85,143.965,21645,0
GRMN.US,60,20240429,170000,144.055,144.48,143.845,144.16,26857,0
GRMN.US,60,20240429,180000,144.16,144.5,144.02,144.37,36426,0
GRMN.US,60,20240429,190000,144.39,144.78,144.37,144.48,26504,0
GRMN.US,60,20240429,200000,144.5,144.71,144.33,144.33,22041,0
GRMN.US,60,20240429,210000,144.3,144.61,144.25,144.35,23375,0
GRMN.US,60,20240429,220000,144.32,145.21,144.04,145.18,217173,0
GRMN.US,60,20240430,160000,145.09,146.24,145.01,145.555,50568,0
GRMN.US,60,20240430,170000,145.555,146.11,145.43,145.625,35137,0
GRMN.US,60,20240430,180000,145.58,145.765,144.62,144.87,96840,0
GRMN.US,60,20240430,190000,144.94,145.15,144.41,144.58,39896,0
GRMN.US,60,20240430,200000,144.54,145.23,144.47,145.17,44470,0
GRMN.US,60,20240430,210000,145.18,145.26,144.675,144.96,66107,0
GRMN.US,60,20240430,220000,145,145.131,144.43,144.47,391092,0
GRMN.US,60,20240501,160000,153.25,159.9,151,159.71,250164,0
GRMN.US,60,20240501,170000,159.71,161.99,158.9455,161.1,368091,0
GRMN.US,60,20240501,180000,161.0366,163.77,161.0366,163.48,172395,0
GRMN.US,60,20240501,190000,163.31,163.92,162.16,163.41,98885,0
GRMN.US,60,20240501,200000,163.48,164.73,163.12,163.675,152338,0
GRMN.US,60,20240501,210000,163.72,164.4999,162.51,164.2325,118517,0
GRMN.US,60,20240501,220000,164.25,164.6614,162.79,163.42,610264,0
GRMN.US,60,20240502,160000,164,165.4999,162.94,163.35,67004,0
GRMN.US,60,20240502,170000,163.305,164.61,162.96,163.505,70848,0
GRMN.US,60,20240502,180000,163.46,164.67,163.46,163.75,60291,0
GRMN.US,60,20240502,190000,163.72,163.85,163.05,163.59,40689,0
GRMN.US,60,20240502,200000,163.6,165.42,163.53,165.26,52143,0
GRMN.US,60,20240502,210000,165.27,165.93,165.03,165.64,71403,0
GRMN.US,60,20240502,220000,165.67,165.885,164.82,165.33,336311,0
GRMN.US,60,20240506,160000,167.13,167.24,166.22,166.8901,17241,0
GRMN.US,60,20240506,170000,167.05,167.695,166.18,166.505,47726,0
GRMN.US,60,20240506,180000,166.45,166.5,166.01,166.21,32732,0
GRMN.US,60,20240506,190000,166.175,166.64,165.82,166.54,43132,0
GRMN.US,60,20240506,200000,166.545,167.25,166.5,167,24927,0
GRMN.US,60,20240506,210000,166.984,167.2099,166.82,166.98,24904,0
GRMN.US,60,20240506,220000,167.0399,167.9,166.715,167.88,265629,0
GRMN.US,60,20240507,160000,167.95,168.61,167.2,168.42,26400,0
GRMN.US,60,20240507,170000,168.37,169.63,168.23,169.145,43461,0
GRMN.US,60,20240507,180000,169.285,170.625,169.285,170.44,50198,0
GRMN.US,60,20240507,190000,170.47,170.605,169.9248,170.1539,38634,0
GRMN.US,60,20240507,200000,170.135,170.87,170.08,170.42,66249,0
GRMN.US,60,20240507,210000,170.37,170.56,169.94,170.0048,26736,0
GRMN.US,60,20240507,220000,170.03,170.45,169.7801,169.96,181256,0
