<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GS.US,60,20240411,160000,400.48,401.47,397,398.57,129477,0
GS.US,60,20240411,170000,398.72,398.9,394.84,396.14,155216,0
GS.US,60,20240411,180000,396.155,398.25,396.155,398,123977,0
GS.US,60,20240411,190000,398.135,398.59,397.21,397.545,72603,0
GS.US,60,20240411,200000,397.52,399.65,397.11,399.04,61557,0
GS.US,60,20240411,210000,399.22,400.68,397.08,398.23,272097,0
GS.US,60,20240411,220000,398.23,399.87,397.32,397.48,554721,0
GS.US,60,20240412,160000,392.84,394.09,389.7,391.28,144594,0
GS.US,60,20240412,170000,391.01,392.01,387.515,388.445,313863,0
GS.US,60,20240412,180000,388.49,389.71,387.8,389.5,153045,0
GS.US,60,20240412,190000,389.5,390.369,388.06,389.23,142968,0
GS.US,60,20240412,200000,389,389.88,387.67,388.52,140330,0
GS.US,60,20240412,210000,388.54,389.18,387.45,388.21,127435,0
GS.US,60,20240412,220000,388.16,389.94,387.12,389.49,731565,0
GS.US,60,20240415,160000,407,412.865,406.1,407.19,916997,0
GS.US,60,20240415,170000,407.27,407.9,402,403.445,668981,0
GS.US,60,20240415,180000,403.32,405.159,401.08,403.86,388947,0
GS.US,60,20240415,190000,403.78,404.47,401.01,402.65,356824,0
GS.US,60,20240415,200000,402.59,403.31,399.16,402.06,331389,0
GS.US,60,20240415,210000,401.87,401.91,398.83,400.77,314406,0
GS.US,60,20240415,220000,400.6501,402.03,398.69,400.88,1086250,0
GS.US,60,20240416,160000,404.45,404.97,396.86,399.3,331831,0
GS.US,60,20240416,170000,399.37,400.655,397.4,399.01,263051,0
GS.US,60,20240416,180000,398.925,400.2158,397.51,399.31,204243,0
GS.US,60,20240416,190000,399.45,400.49,398.68,399.29,162763,0
GS.US,60,20240416,200000,399.33,400.45,395.73,396.945,269826,0
GS.US,60,20240416,210000,396.725,398.99,395.18,397.41,161243,0
GS.US,60,20240416,220000,397.575,399.019,395.655,396.86,765981,0
GS.US,60,20240417,160000,402.4,406.63,401.18,404.64,452809,0
GS.US,60,20240417,170000,404.79,404.999,402.98,404.295,445962,0
GS.US,60,20240417,180000,404.38,404.4643,401.745,403.2099,352842,0
GS.US,60,20240417,190000,402.95,403.35,401.7001,402.755,229093,0
GS.US,60,20240417,200000,402.665,405.14,402.51,404.8943,226819,0
GS.US,60,20240417,210000,404.885,407.12,404.129,404.81,344898,0
GS.US,60,20240417,220000,404.745,405.14,403.32,403.91,950627,0
GS.US,60,20240418,160000,405.49,407.75,404.23,407.6086,194615,0
GS.US,60,20240418,170000,407.53,407.86,405.455,406.465,258120,0
GS.US,60,20240418,180000,406.465,407.56,406.21,406.56,300720,0
GS.US,60,20240418,190000,406.59,406.92,403.73,404.19,183622,0
GS.US,60,20240418,200000,404.34,404.67,402.41,403.17,133556,0
GS.US,60,20240418,210000,403.08,405.245,402.43,403.51,165992,0
GS.US,60,20240418,220000,403.66,404.59,402.69,403.11,541664,0
GS.US,60,20240419,160000,404.06,407.695,403.6238,406.49,232704,0
GS.US,60,20240419,170000,406.7,408,405.22,405.46,203769,0
GS.US,60,20240419,180000,405.3,406.09,404.26,404.68,144802,0
GS.US,60,20240419,190000,404.84,405.89,403.115,405.875,167833,0
GS.US,60,20240419,200000,405.78,406.83,405.58,406.05,169956,0
GS.US,60,20240419,210000,405.8401,405.89,403.61,404.37,183253,0
GS.US,60,20240419,220000,404.28,404.69,403.01,403.86,508320,0
GS.US,60,20240422,160000,406.94,407.2,404.57,407.19,195693,0
GS.US,60,20240422,170000,407.07,410.42,407.07,408.43,378095,0
GS.US,60,20240422,180000,408.4175,409.15,407.77,408.75,164220,0
GS.US,60,20240422,190000,408.84,413.87,408.78,413.86,292325,0
GS.US,60,20240422,200000,413.8266,417.46,413.53,416.36,402999,0
GS.US,60,20240422,210000,416.4,416.57,414.95,415.695,266395,0
GS.US,60,20240422,220000,415.74,417.9799,414.545,417.35,864672,0
GS.US,60,20240423,160000,417.71,419.3,416.2,417.76,184524,0
GS.US,60,20240423,170000,417.85,421.89,416.93,421.79,267520,0
GS.US,60,20240423,180000,421.82,423.4174,420.61,422.62,194582,0
GS.US,60,20240423,190000,422.67,423.9,422.57,423.75,228922,0
GS.US,60,20240423,200000,423.72,425.35,423.23,424.27,177916,0
GS.US,60,20240423,210000,424.275,424.34,422.88,423.3875,99842,0
GS.US,60,20240423,220000,423.495,424.3,423.02,423.91,463301,0
GS.US,60,20240424,160000,421.46,422.795,420.26,422.655,117374,0
GS.US,60,20240424,170000,422.66,424.58,421.77,422.71,162752,0
GS.US,60,20240424,180000,422.755,422.94,419.61,420.86,104195,0
GS.US,60,20240424,190000,420.93,422.12,420.37,422.1,65384,0
GS.US,60,20240424,200000,421.97,423.65,421.2101,423.59,68775,0
GS.US,60,20240424,210000,423.54,423.72,421.95,422.66,58778,0
GS.US,60,20240424,220000,422.47,423.44,421.96,423.04,288009,0
GS.US,60,20240425,160000,420.99,423.61,417.46,418.45,105338,0
GS.US,60,20240425,170000,418.1,418.29,414.85,415.205,204863,0
GS.US,60,20240425,180000,415.13,418,415.0865,418,94599,0
GS.US,60,20240425,190000,418.05,418.56,417.09,417.56,62841,0
GS.US,60,20240425,200000,417.56,419.01,416.9098,418.59,74900,0
GS.US,60,20240425,210000,418.61,419.2313,417.65,418.79,50496,0
GS.US,60,20240425,220000,418.88,420.26,418.66,420.05,728238,0
GS.US,60,20240426,160000,420.23,426.2499,419.64,424.65,135331,0
GS.US,60,20240426,170000,424.72,426.5,423.49,424.3,229700,0
GS.US,60,20240426,180000,424.36,425.59,423.37,425.59,133669,0
GS.US,60,20240426,190000,425.45,428.17,425.24,427.15,157209,0
GS.US,60,20240426,200000,427.25,428.06,426.3601,427.59,99416,0
GS.US,60,20240426,210000,427.58,428.4499,427.02,428.395,149503,0
GS.US,60,20240426,220000,428.41,428.53,427.1,427.57,556584,0
GS.US,60,20240429,160000,427.57,431.985,427.2,429.95,184858,0
GS.US,60,20240429,170000,429.95,432.1357,429.69,431.68,179387,0
GS.US,60,20240429,180000,431.6996,432.48,430.98,431.11,165584,0
GS.US,60,20240429,190000,431.04,432.75,430.87,432.04,110262,0
GS.US,60,20240429,200000,432.09,432.81,431.89,432.65,106148,0
GS.US,60,20240429,210000,432.64,433.33,431.61,432.87,146719,0
GS.US,60,20240429,220000,432.81,432.815,430.15,430.81,621895,0
GS.US,60,20240430,160000,428.5,430,426.12,426.86,134015,0
GS.US,60,20240430,170000,426.98,431.39,426,430.93,157441,0
GS.US,60,20240430,180000,430.71,430.89,427.96,428.73,126664,0
GS.US,60,20240430,190000,428.805,428.97,426.67,427.095,64657,0
GS.US,60,20240430,200000,427.15,428.9675,426.9389,428.78,60125,0
GS.US,60,20240430,210000,428.8,429.05,426.9661,427.61,85349,0
GS.US,60,20240430,220000,427.6,427.932,426.42,426.71,527790,0
GS.US,60,20240501,160000,426.69,429.03,425.19,426.52,65000,0
GS.US,60,20240501,170000,426.57,427.94,425.41,427.525,106467,0
GS.US,60,20240501,180000,427.56,428,426.02,427.19,74080,0
GS.US,60,20240501,190000,427.1,427.565,425.69,425.83,68525,0
GS.US,60,20240501,200000,425.94,428,425.6,427.56,57944,0
GS.US,60,20240501,210000,427.66,433.41,427.2701,432.84,204140,0
GS.US,60,20240501,220000,433.02,433.43,426.56,426.95,436492,0
GS.US,60,20240502,160000,431.2,432.17,428.85,430.66,112625,0
GS.US,60,20240502,170000,430.51,430.52,428.49,430.09,180218,0
GS.US,60,20240502,180000,430.13,430.95,429.2,429.79,78807,0
GS.US,60,20240502,190000,429.94,430.01,428.1689,429.9726,89318,0
GS.US,60,20240502,200000,429.83,431.485,429.46,430.84,94279,0
GS.US,60,20240502,210000,431.015,433.21,430.82,433.13,110717,0
GS.US,60,20240502,220000,433.045,433.65,431.66,432.57,683387,0
GS.US,60,20240506,160000,441.75,443.2899,439.68,442.41,147206,0
GS.US,60,20240506,170000,442.45,443.8789,442,442.6,168919,0
GS.US,60,20240506,180000,442.46,443.2313,441.03,442.69,158756,0
GS.US,60,20240506,190000,442.59,443,441.81,442.69,59723,0
GS.US,60,20240506,200000,442.76,443.65,442.51,443.28,68471,0
GS.US,60,20240506,210000,443.3599,444.3778,442.57,442.945,78059,0
GS.US,60,20240506,220000,442.945,443.73,442.19,443.67,340152,0
GS.US,60,20240507,160000,445.17,447.03,444.53,444.86,146816,0
GS.US,60,20240507,170000,445.12,447.42,444.68,446.75,97976,0
GS.US,60,20240507,180000,446.755,447.15,444.48,444.965,79110,0
GS.US,60,20240507,190000,445.01,445.1299,443.47,443.98,72039,0
GS.US,60,20240507,200000,444.06,444.9,443.67,443.8862,95912,0
GS.US,60,20240507,210000,443.98,444.315,443.22,443.45,63593,0
GS.US,60,20240507,220000,443.43,443.99,442.87,443.8,543605,0
GS.US,60,20240508,160000,442.8,444.8,442.05,444.04,83792,0
GS.US,60,20240508,170000,444.1,444.35,442.51,443.76,99914,0
GS.US,60,20240508,180000,443.7904,444.86,443.64,444.57,96271,0
GS.US,60,20240508,190000,444.56,446.46,444.56,445.68,97485,0
GS.US,60,20240508,200000,445.675,445.93,444.79,445.62,113493,0
GS.US,60,20240508,210000,445.56,446.77,445.445,446.57,93377,0
GS.US,60,20240508,220000,446.43,448.02,446.16,446.95,600098,0
GS.US,60,20240509,160000,446.34,450.62,446.34,450.325,196192,0
GS.US,60,20240509,170000,450.32,451.5,449.52,449.66,210389,0
GS.US,60,20240509,180000,449.76,452.83,449.72,452.575,174376,0
GS.US,60,20240509,190000,452.575,453.5,451.295,451.81,124889,0
GS.US,60,20240509,200000,451.83,453.4,451.22,453.13,93435,0
GS.US,60,20240509,210000,453.05,455.29,452.97,455.1053,191277,0
GS.US,60,20240509,220000,455.12,456.43,455.03,455.56,729030,0
GS.US,60,20240510,160000,456.52,458.5,456.11,457.04,133342,0
GS.US,60,20240510,170000,456.8,458.75,455.01,456.2,171685,0
GS.US,60,20240510,180000,456.21,456.49,455,455.51,149436,0
GS.US,60,20240510,190000,455.445,456.39,454.34,454.8,94860,0
GS.US,60,20240510,200000,454.68,455.71,454.325,455.505,77527,0
GS.US,60,20240510,210000,455.43,455.74,454.7878,455.62,79070,0
GS.US,60,20240510,220000,455.423,456.09,454.32,454.73,411078,0
GS.US,60,20240513,160000,456.27,457.2,455.2,455.23,107721,0
GS.US,60,20240513,170000,455.26,456.51,454.68,456.3,124724,0
GS.US,60,20240513,180000,456.35,456.35,454.745,455,84192,0
GS.US,60,20240513,190000,455,455.82,454.79,455.055,72189,0
GS.US,60,20240513,200000,454.93,455.28,453.8,455.28,79723,0
GS.US,60,20240513,210000,455.25,455.33,454.39,454.72,76668,0
GS.US,60,20240513,220000,454.755,455.16,453.32,453.56,403433,0
GS.US,60,20240514,160000,454.01,458.52,454.01,458.13,128871,0
GS.US,60,20240514,170000,458.29,461.74,458.21,461.6385,243539,0
GS.US,60,20240514,180000,461.615,461.765,459.55,460.65,158559,0
GS.US,60,20240514,190000,460.74,460.8,459.81,460.53,89371,0
GS.US,60,20240514,200000,460.48,460.48,458.26,458.59,128732,0
GS.US,60,20240514,210000,458.56,460.26,458.35,459.15,91165,0
GS.US,60,20240514,220000,459.25,459.25,457.62,458.47,536467,0
GS.US,60,20240515,160000,461.59,463.52,460.945,462.4375,141499,0
GS.US,60,20240515,170000,462.38,464.48,461.61,464.48,132197,0
GS.US,60,20240515,180000,464.33,464.73,463.5,464.6,130270,0
GS.US,60,20240515,190000,464.57,464.64,462.92,464.58,95420,0
GS.US,60,20240515,200000,464.59,464.61,462.9,463.45,67011,0
GS.US,60,20240515,210000,463.39,463.92,463.05,463.8475,52760,0
GS.US,60,20240515,220000,463.86,466.19,463.3434,466.09,734179,0
GS.US,60,20240516,160000,464.37,466.5,462.277,462.97,185959,0
GS.US,60,20240516,170000,462.8079,467.4826,462.8079,467.25,166501,0
GS.US,60,20240516,180000,467.2153,468.2,465.71,468.2,106625,0
GS.US,60,20240516,190000,468.19,468.25,466.7,467.04,61449,0
GS.US,60,20240516,200000,467.025,467.46,464.87,465.85,83423,0
GS.US,60,20240516,210000,465.83,465.83,464.69,465.56,79831,0
GS.US,60,20240516,220000,465.6,466.2,464.51,464.55,634731,0
GS.US,60,20240517,160000,465.25,467.39,464.25,467.12,80061,0
GS.US,60,20240517,170000,467.36,468.105,466.31,466.9,90572,0
GS.US,60,20240517,180000,466.81,468,466.57,467.94,102343,0
GS.US,60,20240517,190000,467.9705,468.6594,467.69,468.34,64966,0
GS.US,60,20240517,200000,468.309,468.43,467.001,467.001,72655,0
GS.US,60,20240517,210000,467.04,467.25,465.8345,466.65,153107,0
GS.US,60,20240517,220000,466.73,467.9,466.59,467.72,432403,0
GS.US,60,20240520,160000,468.2,469.95,467.2,467.45,122798,0
GS.US,60,20240520,170000,467.67,470.52,467.3055,470.35,113131,0
GS.US,60,20240520,180000,470.37,471.48,469.3813,469.91,103714,0
GS.US,60,20240520,190000,469.89,470.41,469.4,469.595,57122,0
GS.US,60,20240520,200000,469.61,469.64,466.35,466.65,158740,0
GS.US,60,20240520,210000,466.6,466.61,464.415,464.69,112291,0
GS.US,60,20240520,220000,464.63,465.02,462.6,462.94,479719,0
GS.US,60,20240521,160000,462.21,468.05,462.21,467.7,153582,0
GS.US,60,20240521,170000,467.64,470.43,467.21,470.16,299587,0
GS.US,60,20240521,180000,470.19,470.44,468.1117,468.675,179206,0
GS.US,60,20240521,190000,468.74,470.5,468.5,470.3,97434,0
GS.US,60,20240521,200000,470.3,471.305,469.6894,470.83,111840,0
GS.US,60,20240521,210000,470.89,471.03,469.36,470.03,126301,0
GS.US,60,20240521,220000,470.11,471.2899,469.94,470.41,605643,0
GS.US,60,20240522,160000,467.36,470.33,466.14,468.87,144656,0
GS.US,60,20240522,170000,468.7809,468.8974,466.54,466.9199,121629,0
GS.US,60,20240522,180000,466.81,467.01,465.42,466.17,99044,0
GS.US,60,20240522,190000,466.16,466.22,464.4836,464.57,120435,0
GS.US,60,20240522,200000,464.55,464.94,462.845,463.74,100704,0
GS.US,60,20240522,210000,463.5,463.6,459.75,460.6,168836,0
GS.US,60,20240522,220000,460.5,462.6,460.39,462.38,648519,0
GS.US,60,20240523,160000,464.23,464.31,461.22,461.745,121917,0
GS.US,60,20240523,170000,461.57,462.65,459.4335,459.86,168693,0
GS.US,60,20240523,180000,459.9,463.28,459.79,463.155,213350,0
GS.US,60,20240523,190000,463.1,463.4274,461.4,461.7,92276,0
GS.US,60,20240523,200000,461.64,462.1587,459.41,459.73,124804,0
GS.US,60,20240523,210000,459.63,459.66,457.41,458.38,105358,0
GS.US,60,20240523,220000,458.35,459.01,457.5,458.15,447012,0
GS.US,60,20240524,160000,459.84,463.55,459.1,463.27,83498,0
GS.US,60,20240524,170000,463.25,465.25,463.21,463.48,127653,0
GS.US,60,20240524,180000,463.67,464.73,462.05,462.52,82484,0
GS.US,60,20240524,190000,462.48,463.26,461.86,461.86,48753,0
GS.US,60,20240524,200000,461.965,462.42,461.71,461.85,46997,0
GS.US,60,20240524,210000,461.885,462.569,461.55,461.76,74314,0
GS.US,60,20240524,220000,461.7793,462.55,460.86,461.18,669302,0
GS.US,60,20240528,160000,459.94,463.69,459.32,462.315,141313,0
GS.US,60,20240528,170000,462.16,462.8199,460.12,462.09,97848,0
GS.US,60,20240528,180000,462.14,463.69,461.71,462.5599,171042,0
GS.US,60,20240528,190000,462.35,462.81,462.0844,462.3825,123619,0
GS.US,60,20240528,200000,462.21,462.38,460.655,461.15,87048,0
GS.US,60,20240528,210000,461.04,461.07,458.92,459.505,146210,0
GS.US,60,20240528,220000,459.5,460.18,458.91,459.81,496711,0
GS.US,60,20240529,160000,454.84,456.685,451.65,455.51,186961,0
GS.US,60,20240529,170000,455.39,456.96,455.04,455.17,128004,0
GS.US,60,20240529,180000,455.2,456.42,454.52,455.855,106796,0
GS.US,60,20240529,190000,455.97,457.3,455.04,456.94,87925,0
GS.US,60,20240529,200000,457.04,457.38,456.175,456.76,125349,0
GS.US,60,20240529,210000,456.79,457.92,456.3905,457.7,62341,0
GS.US,60,20240529,220000,457.745,458.74,456.95,457.17,802278,0
GS.US,60,20240530,160000,453,455.86,450.06,450.32,217254,0
GS.US,60,20240530,170000,450.305,450.895,447.61,449.505,258192,0
GS.US,60,20240530,180000,449.515,452.45,449.14,449.17,113002,0
GS.US,60,20240530,190000,449.28,451.62,449.21,451.225,57623,0
GS.US,60,20240530,200000,451.17,451.86,451.14,451.69,77222,0
GS.US,60,20240530,210000,451.59,451.83,450.465,451.5,105329,0
GS.US,60,20240530,220000,451.44,451.795,448.65,450.23,495149,0
GS.US,60,20240531,160000,449.76,451.425,448.12,449.91,117997,0
GS.US,60,20240531,170000,450.16,451.76,449.44,451.5,157344,0
GS.US,60,20240531,180000,451.66,451.985,450.685,451.18,109013,0
GS.US,60,20240531,190000,451.02,451.67,449.81,451.62,90762,0
GS.US,60,20240531,200000,451.6,452.98,450.97,452.875,179893,0
GS.US,60,20240531,210000,452.84,454.1,452.67,453.57,204472,0
GS.US,60,20240531,220000,453.55,456.765,452.97,456.52,954009,0
GS.US,60,20240603,160000,458.87,458.87,452.905,453.01,75468,0
GS.US,60,20240603,170000,453.09,454.69,451.2,452.8,101123,0
GS.US,60,20240603,180000,452.46,453.37,451.32,452.12,64510,0
GS.US,60,20240603,190000,452.46,452.63,450.2,451.195,86383,0
GS.US,60,20240603,200000,451.1775,454.17,450.2,452.39,87628,0
GS.US,60,20240603,210000,452.39,454.335,452.33,454.15,67599,0
GS.US,60,20240603,220000,454.35,455.11,453.98,454.98,783186,0
GS.US,60,20240604,160000,450.5,456.28,449.21,456.14,94204,0
GS.US,60,20240604,170000,456.025,457.71,453.6,453.755,117499,0
GS.US,60,20240604,180000,453.835,454.56,452.495,452.92,83847,0
GS.US,60,20240604,190000,452.93,453.93,452.13,453.04,85630,0
GS.US,60,20240604,200000,453,455.015,452.4,454.66,76457,0
GS.US,60,20240604,210000,454.66,456.4,454.38,455.71,63225,0
GS.US,60,20240604,220000,455.74,455.74,454.07,455.3,693229,0
GS.US,60,20240605,160000,457.55,463.015,457.5,460.15,122263,0
GS.US,60,20240605,170000,460,461.14,458.61,460.385,128736,0
GS.US,60,20240605,180000,460.49,462.13,460.285,461.7703,111726,0
GS.US,60,20240605,190000,461.6409,462.22,460.555,460.65,64343,0
GS.US,60,20240605,200000,460.6,460.6,458.935,460.01,76442,0
GS.US,60,20240605,210000,460.07,461.72,459.99,461.435,65931,0
GS.US,60,20240605,220000,461.38,462.12,460.955,461.68,398732,0
GS.US,60,20240606,160000,462,464.52,459.23,463.75,53822,0
GS.US,60,20240606,170000,463.67,463.67,459.69,459.87,121635,0
GS.US,60,20240606,180000,459.88,460.76,459.115,460.2,90543,0
GS.US,60,20240606,190000,460.08,460.14,458.19,458.67,88953,0
GS.US,60,20240606,200000,458.65,460.36,458.55,459.26,76462,0
GS.US,60,20240606,210000,459.21,459.42,457.01,458.415,107982,0
GS.US,60,20240606,220000,458.32,458.545,457.175,458.1,413275,0
GS.US,60,20240607,160000,455.44,458.26,454.5,458.03,73904,0
GS.US,60,20240607,170000,457.88,461.16,456.85,458.6,117153,0
GS.US,60,20240607,180000,458.45,458.56,457.03,457.05,107190,0
GS.US,60,20240607,190000,457.02,457.53,456.18,457.06,82883,0
GS.US,60,20240607,200000,457.14,458.485,456.43,457.55,102210,0
GS.US,60,20240607,210000,457.64,457.64,455.34,457.02,105302,0
GS.US,60,20240607,220000,457.03,457.45,454.76,454.91,511720,0
GS.US,60,20240610,160000,452.33,454.19,450.5,454.19,92671,0
GS.US,60,20240610,170000,454.16,455.2899,451.07,451.225,111169,0
GS.US,60,20240610,180000,451.15,453.2,450.461,453.16,114891,0
GS.US,60,20240610,190000,453.22,454.335,453.01,453.68,47947,0
GS.US,60,20240610,200000,453.61,455.36,452.79,454.72,63824,0
GS.US,60,20240610,210000,454.87,455.09,454.02,454.02,70959,0
GS.US,60,20240610,220000,454,454.5,453.15,453.55,519250,0
GS.US,60,20240611,160000,451.04,451.13,443.38,446.08,169701,0
GS.US,60,20240611,170000,446.06,448,444.11,448,112424,0
GS.US,60,20240611,180000,448.04,448.645,446.54,446.68,134005,0
GS.US,60,20240611,190000,446.69,447.02,445.02,445.71,86991,0
GS.US,60,20240611,200000,445.61,446.95,444.57,446.35,107068,0
GS.US,60,20240611,210000,446.24,447.25,445.375,445.61,94502,0
GS.US,60,20240611,220000,445.73,446.11,443.81,444.27,472621,0
GS.US,60,20240612,160000,455.6,457.64,452.05,454.68,167555,0
GS.US,60,20240612,170000,454.53,455.18,452.53,452.715,132670,0
GS.US,60,20240612,180000,452.59,453.2621,450.36,450.61,112126,0
GS.US,60,20240612,190000,450.46,451.72,449.61,450.88,74014,0
GS.US,60,20240612,200000,450.86,451.515,450.29,450.915,53226,0
GS.US,60,20240612,210000,450.76,450.7799,447.66,448.97,115795,0
GS.US,60,20240612,220000,448.97,450.41,446.19,448.7,423645,0
GS.US,60,20240613,160000,446.73,446.76,443.8663,444.3,99269,0
GS.US,60,20240613,170000,444.03,445.93,442.15,445.25,118699,0
GS.US,60,20240613,180000,445.15,445.93,443.81,444.61,74092,0
GS.US,60,20240613,190000,444.39,445.42,443.93,445.06,50537,0
GS.US,60,20240613,200000,444.97,445.89,444.73,445.5,109488,0
GS.US,60,20240613,210000,445.5,447.8,445.22,447.76,71436,0
GS.US,60,20240613,220000,447.6,448.32,446.35,446.35,398103,0
GS.US,60,20240614,160000,441.99,445.14,440.8,441.58,106887,0
GS.US,60,20240614,170000,441.4,444.59,439.335,444.55,129717,0
GS.US,60,20240614,180000,444.59,446.91,444.51,446.62,98606,0
GS.US,60,20240614,190000,446.5,448.23,446.02,447.64,54582,0
GS.US,60,20240614,200000,447.68,447.945,444.3388,444.595,49900,0
