<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
H.US,60,20240411,160000,155.04,155.89,154.3,155.715,15766,0
H.US,60,20240411,170000,155.6,156.01,154.665,155.85,17364,0
H.US,60,20240411,180000,155.91,156.98,155.79,156.97,17686,0
H.US,60,20240411,190000,156.995,157.19,156.2,156.6,12665,0
H.US,60,20240411,200000,156.54,157.155,156.345,156.87,16344,0
H.US,60,20240411,210000,156.915,157.2699,156.855,156.95,27168,0
H.US,60,20240411,220000,156.945,157.21,156.81,156.98,88471,0
H.US,60,20240412,160000,155.05,156.19,155.05,155.8,7950,0
H.US,60,20240412,170000,155.58,155.625,154.69,155.14,17838,0
H.US,60,20240412,180000,155.22,155.845,155.04,155.59,10086,0
H.US,60,20240412,190000,155.49,155.655,154.83,154.83,11803,0
H.US,60,20240412,200000,154.84,154.87,154.155,154.55,15730,0
H.US,60,20240412,210000,154.5,155,154.21,154.55,23315,0
H.US,60,20240412,220000,154.32,154.345,152.54,152.75,261048,0
H.US,60,20240415,160000,155.03,155.72,154.93,155.35,12997,0
H.US,60,20240415,170000,155.23,155.3125,154.39,154.395,21143,0
H.US,60,20240415,180000,154.395,154.48,153.49,154.03,16011,0
H.US,60,20240415,190000,154,154.01,152.69,152.93,17447,0
H.US,60,20240415,200000,152.85,152.87,151.08,151.615,27031,0
H.US,60,20240415,210000,151.54,151.6,150.96,151.43,33874,0
H.US,60,20240415,220000,151.43,152.21,151.39,152,171601,0
H.US,60,20240416,160000,150.75,151.07,149.48,150.04,9310,0
H.US,60,20240416,170000,150.01,150.14,148.87,149.43,36142,0
H.US,60,20240416,180000,149.58,150.215,149.42,149.74,15401,0
H.US,60,20240416,190000,149.78,149.96,149.4885,149.835,15750,0
H.US,60,20240416,200000,149.74,149.89,149.04,149.48,15629,0
H.US,60,20240416,210000,149.45,150.21,149.02,150.135,24680,0
H.US,60,20240416,220000,150.01,150.01,149.27,149.75,176196,0
H.US,60,20240417,160000,149.7,150.24,149.06,149.27,11890,0
H.US,60,20240417,170000,149.14,149.905,148.87,149.31,48269,0
H.US,60,20240417,180000,149.36,149.78,148.6916,149.01,24578,0
H.US,60,20240417,190000,149.055,149.11,148.31,148.33,21941,0
H.US,60,20240417,200000,148.25,149.29,148.11,149.22,13243,0
H.US,60,20240417,210000,149.19,149.89,148.76,149.15,17209,0
H.US,60,20240417,220000,149.06,149.06,148.06,148.84,302841,0
H.US,60,20240418,160000,149.51,149.51,148.39,149.09,4483,0
H.US,60,20240418,170000,149.28,149.55,148.82,148.975,12945,0
H.US,60,20240418,180000,148.99,149.82,148.873,149.275,25688,0
H.US,60,20240418,190000,149.26,149.56,149.1,149.12,26322,0
H.US,60,20240418,200000,149.15,149.15,148.07,148.16,16743,0
H.US,60,20240418,210000,148.04,148.31,147.53,147.84,12854,0
H.US,60,20240418,220000,147.99,148.32,147.75,147.8,149701,0
H.US,60,20240419,160000,147.36,149.28,147.36,148.61,7308,0
H.US,60,20240419,170000,148.58,148.72,147.34,147.465,10671,0
H.US,60,20240419,180000,147.35,147.38,146.88,147.05,37044,0
H.US,60,20240419,190000,147.04,147.09,145.19,145.935,35009,0
H.US,60,20240419,200000,145.95,146.85,145.905,146.415,31237,0
H.US,60,20240419,210000,146.41,146.41,145.555,145.68,24172,0
H.US,60,20240419,220000,145.69,146.62,145.57,146.35,67244,0
H.US,60,20240422,160000,147.83,148.63,146.27,147.35,30096,0
H.US,60,20240422,170000,147.28,147.65,145.94,146.04,28245,0
H.US,60,20240422,180000,146.04,146.45,145.895,146.37,17134,0
