<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HD.US,60,20240411,160000,351.04,351.91,349.04,349.085,154127,0
HD.US,60,20240411,170000,349.08,349.16,345.79,346.02,276324,0
HD.US,60,20240411,180000,346.02,349.05,345.9401,349.05,468343,0
HD.US,60,20240411,190000,349.15,349.4085,347.7185,348.26,140436,0
HD.US,60,20240411,200000,348.38,349.535,348.14,348.69,188916,0
HD.US,60,20240411,210000,348.7,349.55,347.72,348.28,176786,0
HD.US,60,20240411,220000,348.32,348.78,347.08,347.37,1127539,0
HD.US,60,20240412,160000,346.12,346.12,343.6008,344.14,192353,0
HD.US,60,20240412,170000,344.25,344.2909,342.6,343.9,221797,0
HD.US,60,20240412,180000,343.96,344.7448,343.765,344.21,168528,0
HD.US,60,20240412,190000,344.21,344.6567,343.51,343.56,134155,0
HD.US,60,20240412,200000,343.5887,343.835,342.47,343.27,102199,0
HD.US,60,20240412,210000,343.16,343.9999,342.664,342.67,178867,0
HD.US,60,20240412,220000,342.64,342.88,341.51,342.87,1230063,0
HD.US,60,20240415,160000,345.92,346.08,342.3,343.365,291259,0
HD.US,60,20240415,170000,343.39,343.44,340.555,340.64,203274,0
HD.US,60,20240415,180000,340.63,341.8148,340.2,341.28,287015,0
HD.US,60,20240415,190000,341.3,341.74,339.76,339.99,418302,0
HD.US,60,20240415,200000,339.99,340.37,337.64,338.625,161972,0
HD.US,60,20240415,210000,338.51,338.94,337.9009,338.2,211836,0
HD.US,60,20240415,220000,338.239,338.63,337.19,337.93,1208960,0
HD.US,60,20240416,160000,337.27,338.105,334.72,336.35,151179,0
HD.US,60,20240416,170000,336.28,336.53,334.965,335.6,431430,0
HD.US,60,20240416,180000,335.665,337.27,335.37,336.26,352285,0
HD.US,60,20240416,190000,336.14,336.655,335,335,210792,0
HD.US,60,20240416,200000,335,335.52,333.65,334.53,200475,0
HD.US,60,20240416,210000,334.49,335.95,332.96,334.505,292178,0
HD.US,60,20240416,220000,334.52,335.385,333.51,334.83,1297889,0
HD.US,60,20240417,160000,336.78,337.25,334.47,335.65,159921,0
HD.US,60,20240417,170000,335.65,335.65,333.12,333.81,217761,0
HD.US,60,20240417,180000,333.7401,334.31,332.48,333,180474,0
HD.US,60,20240417,190000,332.97,333.05,331.9401,332.315,240896,0
HD.US,60,20240417,200000,332.315,334.61,332.2589,334.49,289769,0
HD.US,60,20240417,210000,334.49,335.24,333.44,334.29,231440,0
HD.US,60,20240417,220000,334.29,334.29,332.315,332.83,1067243,0
HD.US,60,20240418,160000,335.65,336.2,333.5549,335.51,221499,0
HD.US,60,20240418,170000,335.6,336,333.91,335.63,207441,0
HD.US,60,20240418,180000,335.67,336.95,335.015,335.02,215854,0
HD.US,60,20240418,190000,335.0599,335.57,333.27,333.465,158445,0
HD.US,60,20240418,200000,333.43,333.57,331.96,333.05,169436,0
HD.US,60,20240418,210000,332.98,332.98,331.325,331.725,284942,0
HD.US,60,20240418,220000,331.755,333.48,331.755,332.89,1183944,0
HD.US,60,20240419,160000,334.71,335.28,333.7,335.28,291065,0
HD.US,60,20240419,170000,335.15,335.685,333.83,333.92,166576,0
HD.US,60,20240419,180000,333.82,334.4,333.33,333.35,143001,0
HD.US,60,20240419,190000,333.3,334.8,332.58,334.71,112231,0
HD.US,60,20240419,200000,334.68,335.65,334.25,335.0001,92203,0
HD.US,60,20240419,210000,335.12,335.12,333.0562,333.5964,128625,0
HD.US,60,20240419,220000,333.59,335.71,333.38,335.4,370192,0
HD.US,60,20240422,160000,338.22,339.45,334.98,335.99,144340,0
HD.US,60,20240422,170000,336.09,336.9,334.39,334.515,133969,0
HD.US,60,20240422,180000,334.5,335.02,333.71,335.02,164718,0
HD.US,60,20240422,190000,335.09,336.01,335.07,335.63,143918,0
HD.US,60,20240422,200000,335.685,337.87,335.53,337.525,110165,0
HD.US,60,20240422,210000,337.55,338.1,337.13,337.33,145811,0
HD.US,60,20240422,220000,337.335,337.37,335.28,336.11,768385,0
HD.US,60,20240423,160000,338,339.47,336.2949,337.21,130270,0
HD.US,60,20240423,170000,336.93,338.29,336.49,338.01,232704,0
HD.US,60,20240423,180000,337.985,339.09,337.1801,338.445,550568,0
HD.US,60,20240423,190000,338.445,339.49,338.345,338.77,150591,0
HD.US,60,20240423,200000,338.78,339.69,338.675,339.585,87394,0
HD.US,60,20240423,210000,339.54,340.19,339.345,339.645,127532,0
HD.US,60,20240423,220000,339.65,340.1,338.84,338.93,1023824,0
HD.US,60,20240424,160000,337.55,337.55,333.1201,335.9,252567,0
HD.US,60,20240424,170000,335.875,336.07,333.26,333.74,174909,0
HD.US,60,20240424,180000,333.745,333.85,332.375,332.72,219019,0
HD.US,60,20240424,190000,332.68,333.56,331.82,332.49,207326,0
HD.US,60,20240424,200000,332.3525,333.11,331.94,333.03,225417,0
HD.US,60,20240424,210000,333,333.09,332.14,332.535,200770,0
HD.US,60,20240424,220000,332.51,333.1721,332.14,333.01,929720,0
HD.US,60,20240425,160000,329.72,329.8799,326.93,327.66,246899,0
HD.US,60,20240425,170000,327.59,330.95,327.32,330.13,270642,0
HD.US,60,20240425,180000,330.14,331.48,330.135,331.36,226769,0
HD.US,60,20240425,190000,331.33,332.48,331.31,332.09,158840,0
HD.US,60,20240425,200000,332.241,332.9099,331.47,332.7199,118375,0
HD.US,60,20240425,210000,332.71,332.8,331.51,332.05,105798,0
HD.US,60,20240425,220000,332.085,332.76,331.46,331.98,1218233,0
HD.US,60,20240426,160000,331,335.13,330.99,334.09,169090,0
HD.US,60,20240426,170000,334.23,335.83,334.01,334.64,178776,0
HD.US,60,20240426,180000,334.69,334.695,333.4,334.05,116026,0
