<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HES.US,60,20240411,160000,158.21,158.5,156.32,156.355,14392,0
HES.US,60,20240411,170000,156.395,156.44,154.93,155.48,73755,0
HES.US,60,20240411,180000,155.44,155.68,155.055,155.47,43452,0
HES.US,60,20240411,190000,155.485,156,155.44,156,31056,0
HES.US,60,20240411,200000,156.04,156.97,155.98,156.69,32336,0
HES.US,60,20240411,210000,156.64,157.355,156.6,157.27,58998,0
HES.US,60,20240411,220000,157.32,157.65,156.99,157.64,358736,0
HES.US,60,20240412,160000,158.91,159.2399,158.11,158.55,35431,0
HES.US,60,20240412,170000,158.53,158.755,157.83,157.83,67167,0
HES.US,60,20240412,180000,157.85,158.2,156.14,156.49,92607,0
HES.US,60,20240412,190000,156.49,156.67,155.59,155.775,186746,0
HES.US,60,20240412,200000,155.71,155.845,154.53,154.53,156723,0
HES.US,60,20240412,210000,154.49,155.06,152.75,152.88,147698,0
HES.US,60,20240412,220000,152.815,153.45,152.46,153.21,984788,0
HES.US,60,20240415,160000,154.76,155.41,154.1,154.97,26966,0
HES.US,60,20240415,170000,154.99,154.99,153.32,153.57,67785,0
HES.US,60,20240415,180000,153.55,153.76,152.7,153.76,94333,0
HES.US,60,20240415,190000,153.76,153.79,152.495,152.68,27545,0
HES.US,60,20240415,200000,152.53,153.03,152.1,152.51,115861,0
HES.US,60,20240415,210000,152.51,152.54,151.68,151.8775,69738,0
HES.US,60,20240415,220000,151.875,152.15,151.44,151.62,544896,0
HES.US,60,20240416,160000,151.54,152.265,150.47,150.86,28908,0
HES.US,60,20240416,170000,150.81,150.86,149.81,150.58,105327,0
HES.US,60,20240416,180000,150.56,151.01,150.49,150.81,64608,0
HES.US,60,20240416,190000,150.715,150.715,150.12,150.31,42490,0
HES.US,60,20240416,200000,150.39,150.425,149.615,150.07,35537,0
HES.US,60,20240416,210000,150.01,151.275,149.885,151.275,29924,0
HES.US,60,20240416,220000,151.29,151.57,150.23,150.26,459142,0
HES.US,60,20240417,160000,150.26,151.78,149.99,151.7,31133,0
HES.US,60,20240417,170000,151.81,152.23,151.5,151.87,125306,0
HES.US,60,20240417,180000,151.78,152.09,151.07,151.45,56720,0
HES.US,60,20240417,190000,151.35,151.35,150.31,151.1,62236,0
HES.US,60,20240417,200000,151.025,151.73,150.89,151.66,55007,0
HES.US,60,20240417,210000,151.6,152.28,151.36,151.4,43908,0
HES.US,60,20240417,220000,151.39,151.64,150.78,150.8,388327,0
HES.US,60,20240418,160000,151.7,152.12,150.54,151.485,22900,0
HES.US,60,20240418,170000,151.54,152.19,151.24,152.01,49502,0
HES.US,60,20240418,180000,152,152.09,151.5,151.82,71093,0
HES.US,60,20240418,190000,151.81,152.05,151.278,151.37,24996,0
HES.US,60,20240418,200000,151.45,151.64,151.195,151.45,42068,0
HES.US,60,20240418,210000,151.4,151.57,151.01,151.2,30664,0
HES.US,60,20240418,220000,151.22,151.98,151.18,151.78,225887,0
HES.US,60,20240419,160000,152.18,154.15,152.18,154,70693,0
HES.US,60,20240419,170000,153.82,154.71,153.79,154.115,228232,0
HES.US,60,20240419,180000,153.99,154.3,153.52,154.04,72318,0
HES.US,60,20240419,190000,154.05,154.38,153.455,154.38,153465,0
HES.US,60,20240419,200000,154.38,154.42,153.6,153.77,84378,0
HES.US,60,20240419,210000,153.75,153.92,153.4,153.88,99753,0
HES.US,60,20240419,220000,153.88,154.44,153.37,154.44,482060,0
HES.US,60,20240422,160000,153.68,154.29,151.9075,154.2,73048,0
HES.US,60,20240422,170000,154.06,155.5,153.94,155.37,186422,0
HES.US,60,20240422,180000,155.36,155.52,154.76,155.1975,99254,0
HES.US,60,20240422,190000,155.2,155.665,155.06,155.66,150842,0
HES.US,60,20240422,200000,155.68,156.865,155.605,156.705,56678,0
HES.US,60,20240422,210000,156.75,157.22,156.68,157.22,148977,0
HES.US,60,20240422,220000,157.22,157.25,155.855,156.23,483889,0
HES.US,60,20240423,160000,155.99,156.3,155.07,155.9,184978,0
HES.US,60,20240423,170000,155.93,156.1,155.25,155.805,129658,0
HES.US,60,20240423,180000,155.815,156.34,155.555,155.94,70544,0
HES.US,60,20240423,190000,156.03,156.985,156.01,156.86,30493,0
HES.US,60,20240423,200000,156.83,157.29,156.7,157.255,41647,0
HES.US,60,20240423,210000,157.245,157.47,156.97,157.135,66905,0
HES.US,60,20240423,220000,157.11,157.165,156.56,156.94,434412,0
HES.US,60,20240424,160000,156.405,157.49,155.98,157.08,105770,0
HES.US,60,20240424,170000,157.09,158.5,156.815,157.63,312400,0
HES.US,60,20240424,180000,157.7,157.905,157.02,157.76,74206,0
HES.US,60,20240424,190000,157.83,158.07,157.66,157.92,87393,0
HES.US,60,20240424,200000,157.98,158.81,157.88,158.615,107351,0
HES.US,60,20240424,210000,158.58,158.58,157.77,158.06,90744,0
HES.US,60,20240424,220000,158,159.22,157.98,159.13,402043,0
HES.US,60,20240425,160000,160,161.48,158.68,159.56,243115,0
HES.US,60,20240425,170000,159.47,159.86,158.45,159.35,223436,0
HES.US,60,20240425,180000,159.37,160.17,159.19,159.95,107157,0
HES.US,60,20240425,190000,160.0075,161.07,159.86,160.63,150866,0
HES.US,60,20240425,200000,160.61,161.45,160.51,161.395,111342,0
HES.US,60,20240425,210000,161.39,161.5,160.445,161.08,119116,0
HES.US,60,20240425,220000,161.1275,161.969,161.04,161.45,332226,0
HES.US,60,20240426,160000,160.37,162.13,159.03,160.1,144678,0
HES.US,60,20240426,170000,159.92,161.1,159.705,160.15,164639,0
HES.US,60,20240426,180000,160.13,160.775,159.91,160.59,132457,0
HES.US,60,20240426,190000,160.54,161.25,160.52,161.2,67295,0
HES.US,60,20240426,200000,161.16,161.57,161.02,161.28,104582,0
HES.US,60,20240426,210000,161.31,162.28,161.28,162.245,154050,0
HES.US,60,20240426,220000,162.24,163.11,162.16,162.53,402744,0
HES.US,60,20240429,160000,162.09,162.93,161.69,162.35,53248,0
HES.US,60,20240429,170000,162.33,163.32,161.5801,162.3,145748,0
HES.US,60,20240429,180000,162.27,163.06,162.255,163.055,78160,0
HES.US,60,20240429,190000,163.02,163.98,163.02,163.84,59729,0
HES.US,60,20240429,200000,163.775,163.88,162.98,163.22,25525,0
HES.US,60,20240429,210000,163.225,163.275,162.92,163.18,35186,0
HES.US,60,20240429,220000,163.11,163.23,162.335,163.13,567657,0
HES.US,60,20240430,160000,163.13,163.13,161.41,161.615,71042,0
HES.US,60,20240430,170000,161.6,161.735,160.5,160.68,73081,0
HES.US,60,20240430,180000,160.66,161.14,159.91,160.02,53906,0
HES.US,60,20240430,190000,160.15,160.77,159.29,159.34,33641,0
HES.US,60,20240430,200000,159.34,160.28,159.25,160.22,39844,0
HES.US,60,20240430,210000,160.2,160.4,159.595,159.595,44771,0
HES.US,60,20240430,220000,159.595,159.8,157.37,157.49,727962,0
HES.US,60,20240501,160000,156.83,157.96,156.415,157.165,35941,0
HES.US,60,20240501,170000,157.27,157.56,155.96,156.535,40189,0
HES.US,60,20240501,180000,156.48,156.54,155.79,156.32,200301,0
HES.US,60,20240501,190000,156.31,156.49,154.86,155.89,216447,0
HES.US,60,20240501,200000,155.91,155.94,155.09,155.115,69206,0
HES.US,60,20240501,210000,155.14,156.89,155.07,156.37,187423,0
HES.US,60,20240501,220000,156.48,158.95,156.11,156.77,1778715,0
HES.US,60,20240502,160000,158.03,160.31,157.66,158.5175,545090,0
