<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMC.US,60,20240411,160000,36.76,36.76,36.535,36.56,31642,0
HMC.US,60,20240411,170000,36.53,36.53,36.34,36.375,54609,0
HMC.US,60,20240411,180000,36.38,36.555,36.375,36.545,37007,0
HMC.US,60,20240411,190000,36.55,36.6,36.545,36.59,29139,0
HMC.US,60,20240411,200000,36.595,36.695,36.565,36.685,35934,0
HMC.US,60,20240411,210000,36.69,36.775,36.69,36.735,37836,0
HMC.US,60,20240411,220000,36.74,36.765,36.64,36.65,127003,0
HMC.US,60,20240412,160000,36.41,36.485,36.39,36.41,28888,0
HMC.US,60,20240412,170000,36.42,36.42,36.22,36.24,57714,0
HMC.US,60,20240412,180000,36.23,36.3297,36.2,36.305,28682,0
HMC.US,60,20240412,190000,36.3,36.3,36.1212,36.175,55463,0
HMC.US,60,20240412,200000,36.175,36.18,36.065,36.135,58526,0
HMC.US,60,20240412,210000,36.13,36.175,36.09,36.15,131154,0
HMC.US,60,20240412,220000,36.14,36.16,36.07,36.1,174094,0
HMC.US,60,20240415,160000,36.51,36.51,36.35,36.375,25520,0
HMC.US,60,20240415,170000,36.37,36.385,36.2,36.2,28839,0
HMC.US,60,20240415,180000,36.215,36.2867,36.17,36.28,25390,0
HMC.US,60,20240415,190000,36.285,36.315,36.16,36.18,39270,0
HMC.US,60,20240415,200000,36.17,36.17,35.89,35.97,50099,0
HMC.US,60,20240415,210000,35.96,35.96,35.87,35.88,48124,0
HMC.US,60,20240415,220000,35.885,35.89,35.77,35.86,184772,0
HMC.US,60,20240416,160000,35.34,35.36,35.08,35.15,58929,0
HMC.US,60,20240416,170000,35.14,35.265,35.125,35.16,42712,0
HMC.US,60,20240416,180000,35.1613,35.255,35.16,35.22,39763,0
HMC.US,60,20240416,190000,35.21,35.24,35.175,35.21,42546,0
HMC.US,60,20240416,200000,35.21,35.26,35.08,35.18,61625,0
HMC.US,60,20240416,210000,35.205,35.34,35.12,35.21,106844,0
HMC.US,60,20240416,220000,35.215,35.22,35.1,35.13,242019,0
HMC.US,60,20240417,160000,34.96,35.025,34.88,34.96,38192,0
HMC.US,60,20240417,170000,34.95,34.95,34.71,34.73,109953,0
HMC.US,60,20240417,180000,34.73,34.82,34.69,34.745,65632,0
HMC.US,60,20240417,190000,34.74,34.74,34.545,34.575,73955,0
HMC.US,60,20240417,200000,34.5701,34.76,34.57,34.755,51790,0
HMC.US,60,20240417,210000,34.755,34.83,34.715,34.715,54216,0
HMC.US,60,20240417,220000,34.715,34.77,34.685,34.71,156226,0
HMC.US,60,20240418,160000,34.75,34.75,34.62,34.67,18722,0
HMC.US,60,20240418,170000,34.67,34.775,34.645,34.71,39689,0
HMC.US,60,20240418,180000,34.71,34.78,34.65,34.68,44436,0
HMC.US,60,20240418,190000,34.6711,34.71,34.58,34.58,39413,0
HMC.US,60,20240418,200000,34.58,34.6,34.4975,34.54,45316,0
HMC.US,60,20240418,210000,34.55,34.555,34.43,34.465,114321,0
HMC.US,60,20240418,220000,34.465,34.54,34.445,34.45,190755,0
HMC.US,60,20240419,160000,34.11,34.25,34.08,34.12,107233,0
HMC.US,60,20240419,170000,34.13,34.23,34.09,34.145,82463,0
HMC.US,60,20240419,180000,34.135,34.16,34.075,34.1239,59054,0
HMC.US,60,20240419,190000,34.13,34.13,33.955,34.07,76184,0
HMC.US,60,20240419,200000,34.0601,34.17,34.06,34.155,69453,0
HMC.US,60,20240419,210000,34.15,34.15,33.98,34.04,64681,0
HMC.US,60,20240419,220000,34.03,34.16,34.02,34.14,160447,0
HMC.US,60,20240422,160000,34.21,34.34,34.18,34.295,56764,0
HMC.US,60,20240422,170000,34.29,34.405,34.29,34.3,86406,0
HMC.US,60,20240422,180000,34.295,34.345,34.245,34.325,62716,0
HMC.US,60,20240422,190000,34.325,34.4,34.29,34.37,75065,0
HMC.US,60,20240422,200000,34.38,34.56,34.38,34.525,48621,0
HMC.US,60,20240422,210000,34.525,34.595,34.52,34.58,46795,0
HMC.US,60,20240422,220000,34.57,34.65,34.46,34.55,226280,0
HMC.US,60,20240423,160000,34.41,34.52,34.34,34.4436,66047,0
HMC.US,60,20240423,170000,34.44,34.55,34.375,34.485,103116,0
HMC.US,60,20240423,180000,34.49,34.54,34.42,34.43,52775,0
HMC.US,60,20240423,190000,34.44,34.54,34.43,34.48,50873,0
HMC.US,60,20240423,200000,34.48,34.545,34.48,34.525,38414,0
HMC.US,60,20240423,210000,34.52,34.57,34.5,34.54,49700,0
HMC.US,60,20240423,220000,34.535,34.595,34.49,34.585,187585,0
HMC.US,60,20240424,160000,34.7,34.7,34.55,34.55,36257,0
HMC.US,60,20240424,170000,34.56,34.62,34.48,34.4864,57521,0
HMC.US,60,20240424,180000,34.49,34.49,34.345,34.37,54969,0
HMC.US,60,20240424,190000,34.3675,34.39,34.325,34.38,42844,0
HMC.US,60,20240424,200000,34.385,34.46,34.38,34.45,33242,0
HMC.US,60,20240424,210000,34.45,34.45,34.4,34.416,42923,0
HMC.US,60,20240424,220000,34.415,34.46,34.39,34.41,187670,0
HMC.US,60,20240425,160000,33.55,33.55,33.31,33.41,57947,0
HMC.US,60,20240425,170000,33.41,33.585,33.35,33.535,78403,0
HMC.US,60,20240425,180000,33.535,33.65,33.535,33.645,58318,0
HMC.US,60,20240425,190000,33.64,33.685,33.63,33.67,43889,0
HMC.US,60,20240425,200000,33.675,33.695,33.6,33.695,52045,0
HMC.US,60,20240425,210000,33.7,33.73,33.625,33.635,58526,0
HMC.US,60,20240425,220000,33.64,33.71,33.6102,33.65,183916,0
HMC.US,60,20240426,160000,33.65,33.825,33.63,33.785,28389,0
