<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOG.US,60,20240411,160000,41.88,41.88,40.58,40.7,94456,0
HOG.US,60,20240411,170000,40.7,40.74,40.05,40.12,198264,0
HOG.US,60,20240411,180000,40.11,40.19,39.71,40.07,290463,0
HOG.US,60,20240411,190000,40.07,40.16,39.88,39.975,202430,0
HOG.US,60,20240411,200000,39.98,40.365,39.98,40.29,216301,0
HOG.US,60,20240411,210000,40.29,40.46,40.28,40.305,143024,0
HOG.US,60,20240411,220000,40.305,40.62,40.23,40.6,736915,0
HOG.US,60,20240412,160000,40.24,40.51,40.03,40.25,112863,0
HOG.US,60,20240412,170000,40.24,40.27,39.95,40.11,156935,0
HOG.US,60,20240412,180000,40.11,40.22,39.81,39.99,150498,0
HOG.US,60,20240412,190000,39.97,40.13,39.93,39.94,83810,0
HOG.US,60,20240412,200000,39.93,40.04,39.75,40.02,102495,0
HOG.US,60,20240412,210000,40,40.04,39.84,39.87,145176,0
HOG.US,60,20240412,220000,39.86,39.88,39.53,39.71,714420,0
HOG.US,60,20240415,160000,40.02,40.5,39.95,40.1,46074,0
HOG.US,60,20240415,170000,40.1,40.1,39.5,39.5,57223,0
HOG.US,60,20240415,180000,39.49,39.93,39.465,39.88,77255,0
HOG.US,60,20240415,190000,39.875,39.95,39.77,39.79,50737,0
HOG.US,60,20240415,200000,39.785,39.7925,39.42,39.63,73800,0
HOG.US,60,20240415,210000,39.61,39.61,39.275,39.325,78241,0
HOG.US,60,20240415,220000,39.32,39.41,39.02,39.1,513639,0
HOG.US,60,20240416,160000,39.68,39.68,38.7,38.93,118841,0
HOG.US,60,20240416,170000,38.93,38.93,38.47,38.66,157036,0
HOG.US,60,20240416,180000,38.675,38.985,38.64,38.93,118890,0
HOG.US,60,20240416,190000,38.91,39.085,38.79,38.97,69069,0
HOG.US,60,20240416,200000,38.96,39.14,38.69,38.84,62114,0
HOG.US,60,20240416,210000,38.82,39.0342,38.62,38.8,74589,0
HOG.US,60,20240416,220000,38.8,38.85,38.635,38.81,703401,0
HOG.US,60,20240417,160000,39.07,39.07,38.515,38.55,100575,0
HOG.US,60,20240417,170000,38.5,38.625,38.31,38.31,88761,0
HOG.US,60,20240417,180000,38.33,38.48,38.13,38.3042,126829,0
HOG.US,60,20240417,190000,38.3,38.3,37.85,37.86,186505,0
HOG.US,60,20240417,200000,37.865,38.25,37.835,38.25,329606,0
HOG.US,60,20240417,210000,38.26,38.31,37.97,38.0275,214965,0
HOG.US,60,20240417,220000,38.015,38.025,37.765,37.94,1116594,0
HOG.US,60,20240418,160000,37.96,38.06,37.36,37.75,54698,0
HOG.US,60,20240418,170000,37.75,38.21,37.48,38.2,189245,0
HOG.US,60,20240418,180000,38.225,38.3,37.98,38.2,94994,0
HOG.US,60,20240418,190000,38.19,38.25,37.92,38,66426,0
HOG.US,60,20240418,200000,37.99,38.12,37.86,37.925,71747,0
HOG.US,60,20240418,210000,37.91,37.92,37.76,37.815,66908,0
HOG.US,60,20240418,220000,37.82,38,37.8,37.83,565265,0
HOG.US,60,20240419,160000,37.66,38.16,37.3089,38.11,26033,0
HOG.US,60,20240419,170000,38.13,38.27,38.05,38.07,54056,0
HOG.US,60,20240419,180000,38.05,38.35,38.04,38.22,59155,0
HOG.US,60,20240419,190000,38.24,38.28,38,38.26,112059,0
HOG.US,60,20240419,200000,38.26,38.26,38.03,38.12,77262,0
HOG.US,60,20240419,210000,38.11,38.11,37.865,37.88,99250,0
HOG.US,60,20240419,220000,37.87,38.07,37.79,38.07,373723,0
HOG.US,60,20240422,160000,38.52,38.52,38.06,38.36,29840,0
HOG.US,60,20240422,170000,38.4,38.5399,38.23,38.23,109956,0
HOG.US,60,20240422,180000,38.22,38.61,38.18,38.42,105360,0
HOG.US,60,20240422,190000,38.435,38.77,38.43,38.75,138397,0
HOG.US,60,20240422,200000,38.75,39.035,38.695,38.99,121395,0
HOG.US,60,20240422,210000,38.99,39.2,38.975,39.18,120555,0
HOG.US,60,20240422,220000,39.16,39.23,38.98,38.99,590946,0
HOG.US,60,20240423,160000,39.33,39.45,38.8,38.885,188823,0
HOG.US,60,20240423,170000,38.885,39.76,38.885,39.71,169731,0
HOG.US,60,20240423,180000,39.71,39.81,39.54,39.76,70117,0
HOG.US,60,20240423,190000,39.76,39.87,39.68,39.84,81225,0
HOG.US,60,20240423,200000,39.85,40.14,39.815,40.03,190018,0
HOG.US,60,20240423,210000,40.02,40.09,39.83,40,185050,0
HOG.US,60,20240423,220000,39.995,40,39.655,39.74,703180,0
HOG.US,60,20240424,160000,39.755,39.8399,39.42,39.63,51289,0
HOG.US,60,20240424,170000,39.6,39.805,39.33,39.465,85725,0
HOG.US,60,20240424,180000,39.465,39.485,39.24,39.36,89240,0
HOG.US,60,20240424,190000,39.36,39.4,39.13,39.28,94806,0
HOG.US,60,20240424,200000,39.26,39.45,39.22,39.4,85134,0
HOG.US,60,20240424,210000,39.39,39.39,39.05,39.13,105490,0
HOG.US,60,20240424,220000,39.13,39.485,39.05,39.44,830278,0
HOG.US,60,20240425,160000,38.35,38.5594,32.63,33.865,1021300,0
HOG.US,60,20240425,170000,33.8469,35.69,33.81,34.475,1367844,0
HOG.US,60,20240425,180000,34.46,34.67,33.445,33.6,615566,0
HOG.US,60,20240425,190000,33.62,33.62,32.2406,32.26,1251832,0
HOG.US,60,20240425,200000,32.251,33.17,32.21,33.02,1157435,0
HOG.US,60,20240425,210000,33.03,33.69,33.03,33.25,976705,0
HOG.US,60,20240425,220000,33.24,33.58,32.86,33.23,1976190,0
HOG.US,60,20240426,160000,33.595,34.99,33.23,34.6,363886,0
HOG.US,60,20240426,170000,34.615,35.11,33.85,34.08,390746,0
HOG.US,60,20240426,180000,34.08,34.58,34.08,34.465,180126,0
HOG.US,60,20240426,190000,34.45,34.75,34.435,34.62,154495,0
HOG.US,60,20240426,200000,34.61,34.8459,34.59,34.67,181394,0
HOG.US,60,20240426,210000,34.675,34.825,34.4201,34.78,334963,0
HOG.US,60,20240426,220000,34.785,34.89,34.57,34.75,993058,0
HOG.US,60,20240429,160000,34.82,35.03,34.49,34.8,91765,0
HOG.US,60,20240429,170000,34.8,35.16,34.57,35.12,180315,0
HOG.US,60,20240429,180000,35.09,35.5,35.066,35.22,288914,0
HOG.US,60,20240429,190000,35.22,35.39,35.13,35.375,147981,0
HOG.US,60,20240429,200000,35.37,35.47,35.235,35.37,188359,0
HOG.US,60,20240429,210000,35.36,35.38,35.13,35.15,159696,0
HOG.US,60,20240429,220000,35.14,35.29,35,35.24,728996,0
HOG.US,60,20240430,160000,34.77,34.89,34.32,34.52,162053,0
HOG.US,60,20240430,170000,34.59,34.88,34.5,34.8,106546,0
HOG.US,60,20240430,180000,34.78,34.82,34.45,34.53,93328,0
HOG.US,60,20240430,190000,34.56,34.71,34.37,34.66,231166,0
HOG.US,60,20240430,200000,34.63,34.665,34.34,34.48,91446,0
HOG.US,60,20240430,210000,34.49,34.61,34.37,34.44,149864,0
HOG.US,60,20240430,220000,34.44,34.57,34.34,34.39,637688,0
HOG.US,60,20240501,160000,34.31,34.88,34.3,34.85,68268,0
HOG.US,60,20240501,170000,34.815,34.92,34.42,34.465,187622,0
HOG.US,60,20240501,180000,34.465,34.56,34.02,34.06,72572,0
HOG.US,60,20240501,190000,34.06,34.21,34.01,34.15,47896,0
HOG.US,60,20240501,200000,34.16,34.29,34.1,34.24,45714,0
HOG.US,60,20240501,210000,34.23,35,34.105,34.945,90924,0
HOG.US,60,20240501,220000,34.9401,35.15,34.35,34.35,500792,0
HOG.US,60,20240502,160000,34.92,35.18,34.63,34.8175,38965,0
HOG.US,60,20240502,170000,34.84,34.84,34.3,34.47,81341,0
HOG.US,60,20240502,180000,34.475,34.69,34.46,34.61,52700,0
HOG.US,60,20240502,190000,34.62,34.72,34.58,34.685,47570,0
HOG.US,60,20240502,200000,34.69,34.87,34.665,34.87,72589,0
HOG.US,60,20240502,210000,34.89,34.95,34.82,34.9,67305,0
HOG.US,60,20240502,220000,34.9,35.11,34.83,35.03,419279,0
HOG.US,60,20240507,160000,35.72,36.04,35.53,35.895,43347,0
HOG.US,60,20240507,170000,35.895,36.07,35.86,36.02,121000,0
HOG.US,60,20240507,180000,36.015,36.04,35.82,35.91,114078,0
HOG.US,60,20240507,190000,35.92,36.05,35.85,36.04,96368,0
HOG.US,60,20240507,200000,36.05,36.1632,35.93,35.97,115848,0
HOG.US,60,20240507,210000,35.981,36.0085,35.86,35.8717,106209,0
HOG.US,60,20240507,220000,35.87,35.9,35.67,35.7,708697,0
HOG.US,60,20240508,160000,35.25,36.075,35.2,36.05,58923,0
HOG.US,60,20240508,170000,36.06,36.21,36,36.105,78268,0
HOG.US,60,20240508,180000,36.12,36.39,36.12,36.32,77941,0
HOG.US,60,20240508,190000,36.32,36.35,35.98,35.98,112195,0
HOG.US,60,20240508,200000,36.01,36.025,35.74,35.83,160008,0
HOG.US,60,20240508,210000,35.84,36.04,35.73,35.75,392124,0
HOG.US,60,20240508,220000,35.73,35.85,35.445,35.49,1430295,0
HOG.US,60,20240509,160000,33.79,33.9666,32.75,33.546,677870,0
HOG.US,60,20240509,170000,33.6,34.17,33.5,33.7,812099,0
HOG.US,60,20240509,180000,33.7,34,33.59,33.62,225880,0
HOG.US,60,20240509,190000,33.63,33.98,33.6105,33.9579,177731,0
