<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRB.US,60,20240411,160000,46.6,46.69,46.33,46.46,12037,0
HRB.US,60,20240411,170000,46.43,46.55,46.23,46.335,33426,0
HRB.US,60,20240411,180000,46.35,46.57,46.33,46.53,28797,0
HRB.US,60,20240411,190000,46.53,46.645,46.45,46.53,43303,0
HRB.US,60,20240411,200000,46.55,46.65,46.5,46.53,34107,0
HRB.US,60,20240411,210000,46.54,46.71,46.54,46.68,41060,0
HRB.US,60,20240411,220000,46.66,46.98,46.525,46.92,320344,0
HRB.US,60,20240412,160000,46.74,47.08,46.74,46.99,26089,0
HRB.US,60,20240412,170000,46.97,46.97,46.27,46.34,122820,0
HRB.US,60,20240412,180000,46.31,46.35,46.11,46.305,27222,0
HRB.US,60,20240412,190000,46.28,46.29,46.06,46.08,17241,0
HRB.US,60,20240412,200000,46.08,46.23,46.04,46.21,18845,0
HRB.US,60,20240412,210000,46.18,46.29,45.965,46,41978,0
HRB.US,60,20240412,220000,45.99,46.28,45.93,46.26,368592,0
HRB.US,60,20240415,160000,46.71,46.74,46.54,46.54,37886,0
HRB.US,60,20240415,170000,46.56,46.86,46.335,46.79,88781,0
HRB.US,60,20240415,180000,46.76,46.88,46.67,46.84,38612,0
HRB.US,60,20240415,190000,46.84,46.93,46.49,46.56,27190,0
HRB.US,60,20240415,200000,46.54,46.54,46.215,46.52,46921,0
HRB.US,60,20240415,210000,46.5,46.5,46.33,46.4,32140,0
HRB.US,60,20240415,220000,46.375,46.375,45.97,46.32,379297,0
HRB.US,60,20240416,160000,46.45,47.17,46.295,46.63,74516,0
HRB.US,60,20240416,170000,46.645,46.715,46.38,46.65,50263,0
HRB.US,60,20240416,180000,46.65,46.88,46.645,46.73,51042,0
HRB.US,60,20240416,190000,46.73,47,46.7,46.885,59729,0
HRB.US,60,20240416,200000,46.885,46.94,46.6901,46.88,36156,0
HRB.US,60,20240416,210000,46.86,47.02,46.76,46.96,46852,0
HRB.US,60,20240416,220000,46.97,47.14,46.875,47.11,353607,0
HRB.US,60,20240417,160000,47.43,47.5,47,47.08,21222,0
HRB.US,60,20240417,170000,47.07,47.31,46.96,47.25,49574,0
HRB.US,60,20240417,180000,47.27,47.44,47.1,47.145,36465,0
HRB.US,60,20240417,190000,47.15,47.16,46.77,46.8,59521,0
HRB.US,60,20240417,200000,46.76,47.04,46.7,47.01,28839,0
HRB.US,60,20240417,210000,47,47.25,46.98,47.09,34474,0
HRB.US,60,20240417,220000,47.085,47.09,46.83,46.87,299428,0
HRB.US,60,20240418,160000,47.11,47.11,46.6,46.79,9356,0
HRB.US,60,20240418,170000,46.77,46.85,46.605,46.755,19906,0
HRB.US,60,20240418,180000,46.77,46.79,46.6,46.62,21527,0
HRB.US,60,20240418,190000,46.63,46.6655,46.16,46.16,34081,0
HRB.US,60,20240418,200000,46.15,46.33,46.15,46.25,27120,0
HRB.US,60,20240418,210000,46.24,46.34,46.16,46.22,21635,0
HRB.US,60,20240418,220000,46.23,46.58,46.22,46.57,241287,0
HRB.US,60,20240419,160000,46.55,46.89,46.455,46.89,12420,0
HRB.US,60,20240419,170000,46.94,46.95,46.64,46.81,25739,0
HRB.US,60,20240419,180000,46.79,46.79,46.65,46.71,18814,0
HRB.US,60,20240419,190000,46.7,46.7566,46.43,46.61,24703,0
HRB.US,60,20240419,200000,46.61,46.8,46.61,46.75,22062,0
HRB.US,60,20240419,210000,46.74,46.79,46.56,46.63,22353,0
HRB.US,60,20240419,220000,46.61,46.86,46.55,46.83,128622,0
HRB.US,60,20240422,160000,47.01,47.15,46.743,47.055,17712,0
HRB.US,60,20240422,170000,47.05,47.17,46.84,46.895,55132,0
HRB.US,60,20240422,180000,46.9,46.93,46.49,46.71,53299,0
