<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HSY.US,60,20240411,160000,192.37,192.9023,190.74,190.9854,53208,0
HSY.US,60,20240411,170000,190.88,191.06,189.37,189.55,101099,0
HSY.US,60,20240411,180000,189.56,189.56,188.53,189.1,93250,0
HSY.US,60,20240411,190000,189.05,189.4,188.8901,189.12,40197,0
HSY.US,60,20240411,200000,189.16,189.8,189.15,189.69,39314,0
HSY.US,60,20240411,210000,189.66,190.2,189.56,189.9,82392,0
HSY.US,60,20240411,220000,189.9,190.0882,189.13,189.5,457000,0
HSY.US,60,20240412,160000,189,189.27,188,188.3,91006,0
HSY.US,60,20240412,170000,188.17,188.17,186.585,187.12,170948,0
HSY.US,60,20240412,180000,187.05,187.165,185.74,186,89617,0
HSY.US,60,20240412,190000,186.08,186.52,185.0284,185.09,113672,0
HSY.US,60,20240412,200000,185.0101,185.75,184.59,185.61,138329,0
HSY.US,60,20240412,210000,185.5,185.644,184.63,184.795,117037,0
HSY.US,60,20240412,220000,184.73,185.88,184.58,185.8,534656,0
HSY.US,60,20240415,160000,185.19,186.02,184.05,184.93,100691,0
HSY.US,60,20240415,170000,184.94,184.94,182.68,182.81,288117,0
HSY.US,60,20240415,180000,182.88,183.79,182.7,183.735,147116,0
HSY.US,60,20240415,190000,183.77,184.3,182.95,184.3,91623,0
HSY.US,60,20240415,200000,184.305,184.54,183.15,183.175,86877,0
HSY.US,60,20240415,210000,183.175,183.32,182.46,182.475,111669,0
HSY.US,60,20240415,220000,182.485,183.073,182.175,182.57,528810,0
HSY.US,60,20240416,160000,183.14,183.5,181.87,181.87,70013,0
HSY.US,60,20240416,170000,181.95,183.105,181.665,182.775,137334,0
HSY.US,60,20240416,180000,182.735,184.23,182.525,184.11,155971,0
HSY.US,60,20240416,190000,184.01,184.23,183.38,183.4985,78509,0
HSY.US,60,20240416,200000,183.43,183.79,183.03,183.35,77514,0
HSY.US,60,20240416,210000,183.345,184.13,182.87,184.11,65338,0
HSY.US,60,20240416,220000,184.1,184.1395,183.29,183.31,475100,0
HSY.US,60,20240417,160000,184.28,184.4116,182.3,182.44,90610,0
HSY.US,60,20240417,170000,182.39,182.45,180.72,181.01,190683,0
HSY.US,60,20240417,180000,181.08,181.31,180.44,181.04,123732,0
HSY.US,60,20240417,190000,181.08,182.28,181.08,182.175,114745,0
HSY.US,60,20240417,200000,182.1,182.23,181.65,181.73,69681,0
HSY.US,60,20240417,210000,181.77,182.225,181.65,181.78,80460,0
HSY.US,60,20240417,220000,181.73,182.62,181.42,182.45,426261,0
HSY.US,60,20240418,160000,183.3,183.36,182,183.24,41916,0
HSY.US,60,20240418,170000,183.26,183.7799,182.79,183.495,66095,0
HSY.US,60,20240418,180000,183.48,183.59,182.81,183.37,107001,0
HSY.US,60,20240418,190000,183.43,183.73,183.08,183.26,96674,0
HSY.US,60,20240418,200000,183.24,183.92,183.21,183.8,85920,0
HSY.US,60,20240418,210000,183.805,184.25,183.46,184.21,96261,0
