<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICE.US,60,20240411,160000,132.98,133.5,132.51,132.9944,142165,0
ICE.US,60,20240411,170000,132.95,133.04,132.455,132.57,198720,0
ICE.US,60,20240411,180000,132.59,132.8225,132.41,132.655,127027,0
ICE.US,60,20240411,190000,132.66,132.97,132.335,132.895,162487,0
ICE.US,60,20240411,200000,132.945,133.79,132.88,133.64,86055,0
ICE.US,60,20240411,210000,133.63,134.25,133.615,134.19,133953,0
ICE.US,60,20240411,220000,134.21,134.33,133.45,133.48,721136,0
ICE.US,60,20240412,160000,132.8,134.49,132.725,133.49,118153,0
ICE.US,60,20240412,170000,133.39,133.67,133.15,133.385,231224,0
ICE.US,60,20240412,180000,133.36,133.98,133.36,133.525,401412,0
ICE.US,60,20240412,190000,133.525,133.57,132.89,133.08,196760,0
ICE.US,60,20240412,200000,133.07,133.3,132.79,133.08,145493,0
ICE.US,60,20240412,210000,133.06,133.26,132.65,132.88,154632,0
ICE.US,60,20240412,220000,132.87,133.645,132.7,133.55,1044524,0
ICE.US,60,20240415,160000,134.81,134.85,133.935,134.11,57206,0
ICE.US,60,20240415,170000,134.14,134.2,132.6593,132.875,183442,0
ICE.US,60,20240415,180000,132.9,133.12,132.71,132.975,128478,0
ICE.US,60,20240415,190000,133.01,133.04,132.06,132.28,97008,0
ICE.US,60,20240415,200000,132.26,132.27,130.58,130.97,161549,0
ICE.US,60,20240415,210000,130.95,130.98,130.315,130.565,140254,0
ICE.US,60,20240415,220000,130.55,130.74,130.16,130.54,658075,0
ICE.US,60,20240416,160000,130.6,130.905,129.93,130.35,53920,0
ICE.US,60,20240416,170000,130.32,130.34,129.475,129.79,117147,0
ICE.US,60,20240416,180000,129.77,130.73,129.73,130.44,239254,0
ICE.US,60,20240416,190000,130.39,131.16,130.26,131.04,232133,0
ICE.US,60,20240416,200000,131.07,131.07,130.36,130.835,338993,0
ICE.US,60,20240416,210000,130.805,131.31,130.18,130.97,228245,0
ICE.US,60,20240416,220000,130.96,131.045,129.86,129.9,675080,0
ICE.US,60,20240417,160000,132,132,130.21,131.685,149114,0
ICE.US,60,20240417,170000,131.68,131.91,130.85,131.04,164476,0
ICE.US,60,20240417,180000,131.055,131.19,130.105,130.395,182503,0
ICE.US,60,20240417,190000,130.38,130.49,130,130.13,292388,0
ICE.US,60,20240417,200000,130.13,130.78,130.11,130.72,144352,0
ICE.US,60,20240417,210000,130.68,131.27,130.63,130.74,123263,0
ICE.US,60,20240417,220000,130.74,130.92,130.42,130.74,694372,0
ICE.US,60,20240418,160000,131.5,131.5,130.183,130.61,68601,0
ICE.US,60,20240418,170000,130.64,131.36,130.45,131.26,126078,0
ICE.US,60,20240418,180000,131.28,131.5,131.1525,131.42,123501,0
ICE.US,60,20240418,190000,131.415,131.495,130.78,130.81,157705,0
ICE.US,60,20240418,200000,130.8225,130.975,130.25,130.555,105237,0
ICE.US,60,20240418,210000,130.555,130.975,130.42,130.83,143118,0
ICE.US,60,20240418,220000,130.91,131.24,130.76,130.98,639477,0
ICE.US,60,20240419,160000,131.37,131.66,130.74,131.59,178121,0
ICE.US,60,20240419,170000,131.6,131.78,130.95,130.965,116909,0
ICE.US,60,20240419,180000,130.95,131.04,130.62,130.73,127314,0
ICE.US,60,20240419,190000,130.74,130.87,130.24,130.505,84081,0
ICE.US,60,20240419,200000,130.5,130.91,130.45,130.88,81601,0
ICE.US,60,20240419,210000,130.865,130.865,130.385,130.77,69674,0
ICE.US,60,20240419,220000,130.74,131.25,130.43,131.21,214855,0
ICE.US,60,20240422,160000,131.71,132.37,131.44,131.91,55660,0
ICE.US,60,20240422,170000,131.95,132.14,131.48,131.53,178181,0
ICE.US,60,20240422,180000,131.51,131.57,131.115,131.43,92942,0
ICE.US,60,20240422,190000,131.415,131.55,131.25,131.53,78209,0
ICE.US,60,20240422,200000,131.52,132.21,131.39,132.01,126734,0
ICE.US,60,20240422,210000,132.02,132.3,131.86,132.035,238248,0
ICE.US,60,20240422,220000,132.03,132.04,131.41,131.65,513060,0
ICE.US,60,20240423,160000,132,132.47,131.4,131.86,142093,0
ICE.US,60,20240423,170000,131.825,132.28,131.63,132.125,291068,0
ICE.US,60,20240423,180000,132.125,132.125,131.71,131.76,152925,0
ICE.US,60,20240423,190000,131.77,132.05,131.58,131.91,77458,0
ICE.US,60,20240423,200000,131.915,132.06,131.84,132.02,79950,0
ICE.US,60,20240423,210000,132,132.03,131.76,131.9,99757,0
ICE.US,60,20240423,220000,131.89,132.4,131.81,132.33,825998,0
ICE.US,60,20240424,160000,132,132.49,131.04,132.25,242084,0
ICE.US,60,20240424,170000,132.255,132.255,131.51,131.76,201162,0
ICE.US,60,20240424,180000,131.77,132,131.71,131.9,60088,0
ICE.US,60,20240424,190000,131.905,132.12,131.77,132.12,41501,0
ICE.US,60,20240424,200000,132.11,132.5599,132.04,132.52,177493,0
ICE.US,60,20240424,210000,132.54,132.645,132.28,132.38,53979,0
ICE.US,60,20240424,220000,132.37,132.6,132.28,132.57,940270,0
ICE.US,60,20240425,160000,131.96,131.96,130.43,130.895,171534,0
ICE.US,60,20240425,170000,130.96,131.405,130.53,130.73,235122,0
ICE.US,60,20240425,180000,130.685,131.71,130.68,131.695,100304,0
ICE.US,60,20240425,190000,131.69,131.87,131.5301,131.73,62960,0
ICE.US,60,20240425,200000,131.725,131.98,131.45,131.969,89113,0
ICE.US,60,20240425,210000,131.97,132.01,131.68,131.9251,65576,0
ICE.US,60,20240425,220000,131.9252,132.045,131.67,131.82,586040,0
ICE.US,60,20240426,160000,131.74,131.79,130.89,131.5,111057,0
ICE.US,60,20240426,170000,131.4303,132.03,131.4303,131.91,159166,0
ICE.US,60,20240426,180000,131.92,132,131.68,131.92,66429,0
ICE.US,60,20240426,190000,131.89,132.23,131.88,132.23,62100,0
ICE.US,60,20240426,200000,132.235,132.25,131.95,132.03,77279,0
ICE.US,60,20240426,210000,132.03,132.3,132.03,132.15,158192,0
ICE.US,60,20240426,220000,132.14,132.15,131.18,131.7,1206898,0
ICE.US,60,20240429,160000,131.75,132.87,131.67,132.37,65313,0
ICE.US,60,20240429,170000,132.36,132.73,131.86,131.94,99961,0
ICE.US,60,20240429,180000,131.93,131.965,131.32,131.77,94104,0
ICE.US,60,20240429,190000,131.765,131.92,131.61,131.74,44281,0
