<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IHG.US,60,20240411,160000,99.54,100.07,99.54,100.07,22332,0
IHG.US,60,20240411,170000,100.05,100.05,99.27,99.8,17290,0
IHG.US,60,20240411,180000,99.775,100.485,99.77,100.485,16085,0
IHG.US,60,20240411,190000,100.52,100.52,100.3,100.45,4043,0
IHG.US,60,20240411,200000,100.57,100.87,100.43,100.81,2839,0
IHG.US,60,20240411,210000,100.92,101.03,100.88,100.93,2733,0
IHG.US,60,20240411,220000,101.08,101.14,100.62,100.63,19945,0
IHG.US,60,20240412,160000,99.67,100.07,99.46,99.63,18008,0
IHG.US,60,20240412,170000,99.63,99.63,98.58,98.64,18026,0
IHG.US,60,20240412,180000,98.64,98.8,98.36,98.8,16876,0
IHG.US,60,20240412,190000,98.8,98.8,98.39,98.5,3232,0
IHG.US,60,20240412,200000,98.37,98.39,98.07,98.32,3634,0
IHG.US,60,20240412,210000,98.245,98.33,98.15,98.2,3082,0
IHG.US,60,20240412,220000,98.14,98.29,98.07,98.25,21986,0
IHG.US,60,20240415,160000,100.09,100.38,100.07,100.17,7512,0
IHG.US,60,20240415,170000,100.1,100.1,98.9,98.91,24691,0
IHG.US,60,20240415,180000,98.88,99.37,98.86,99.16,32650,0
IHG.US,60,20240415,190000,99.23,99.3,98.86,98.9181,5680,0
IHG.US,60,20240415,200000,98.92,98.98,98.14,98.32,4319,0
IHG.US,60,20240415,210000,98.255,98.38,98.08,98.24,7926,0
IHG.US,60,20240415,220000,98.22,98.23,97.92,98.17,17801,0
IHG.US,60,20240416,160000,98.28,98.34,97.62,97.89,7463,0
IHG.US,60,20240416,170000,97.77,97.95,97.2,97.2,5629,0
IHG.US,60,20240416,180000,97.4,97.7059,97.36,97.6,20949,0
IHG.US,60,20240416,190000,97.435,97.54,97.355,97.42,2700,0
IHG.US,60,20240416,200000,97.41,97.55,97.11,97.34,3821,0
IHG.US,60,20240416,210000,97.45,97.85,97.435,97.805,6583,0
IHG.US,60,20240416,220000,97.85,97.88,97.6301,97.83,17281,0
IHG.US,60,20240417,160000,99.64,99.64,98.51,98.61,11890,0
IHG.US,60,20240417,170000,98.61,98.66,97.91,98.09,25376,0
IHG.US,60,20240417,180000,98.11,98.31,97.75,97.75,17438,0
IHG.US,60,20240417,190000,97.75,97.779,97.51,97.57,3774,0
IHG.US,60,20240417,200000,97.57,98.05,97.57,98.05,3617,0
IHG.US,60,20240417,210000,98.0492,98.32,97.885,97.885,2711,0
IHG.US,60,20240417,220000,97.95,97.99,97.7,97.77,21477,0
IHG.US,60,20240418,160000,97.86,98.28,97.67,98.23,5574,0
IHG.US,60,20240418,170000,98.16,98.59,98.16,98.33,14909,0
IHG.US,60,20240418,180000,98.48,98.77,98.48,98.5,5811,0
IHG.US,60,20240418,190000,98.52,98.56,98.1545,98.1545,5307,0
IHG.US,60,20240418,200000,97.8728,97.8728,97.665,97.77,2531,0
IHG.US,60,20240418,210000,97.77,97.82,97.5745,97.6,5527,0
IHG.US,60,20240418,220000,97.65,98.16,97.65,98.02,18510,0
IHG.US,60,20240419,160000,98.09,98.43,98.01,98.28,4644,0
IHG.US,60,20240419,170000,98.32,98.4357,97.83,98.12,4331,0
IHG.US,60,20240419,180000,98.09,98.11,97.69,97.69,11394,0
IHG.US,60,20240419,190000,97.71,97.885,97.17,97.48,3896,0
IHG.US,60,20240419,200000,97.4849,97.69,97.35,97.53,2636,0
IHG.US,60,20240419,210000,97.475,97.53,97.07,97.19,6248,0
IHG.US,60,20240419,220000,97.13,97.46,97.12,97.4,16799,0
IHG.US,60,20240422,160000,98.25,98.46,98.15,98.15,13789,0
IHG.US,60,20240422,170000,98.17,98.365,97.865,97.92,15992,0
IHG.US,60,20240422,180000,97.925,98.34,97.91,98.11,22898,0
IHG.US,60,20240422,190000,98.12,98.43,98.08,98.34,9493,0
IHG.US,60,20240422,200000,98.45,98.955,98.4,98.91,5827,0
IHG.US,60,20240422,210000,98.92,99.06,98.66,98.85,27761,0
IHG.US,60,20240422,220000,98.87,98.92,98.22,98.27,37646,0
IHG.US,60,20240423,160000,100.22,100.54,100.09,100.52,17039,0
IHG.US,60,20240423,170000,100.54,100.58,100.07,100.15,8261,0
IHG.US,60,20240423,180000,100.19,100.41,100.07,100.105,15654,0
IHG.US,60,20240423,190000,100.08,100.18,99.99,100.1,3028,0
IHG.US,60,20240423,200000,100.17,100.49,100.14,100.42,2195,0
IHG.US,60,20240423,210000,100.33,100.48,100.28,100.43,3011,0
IHG.US,60,20240423,220000,100.3,100.4,100.08,100.13,27247,0
IHG.US,60,20240424,160000,101.77,102.23,101.3,101.36,19129,0
IHG.US,60,20240424,170000,101.27,101.65,101.16,101.445,13753,0
IHG.US,60,20240424,180000,101.5,101.74,101.38,101.4273,47350,0
IHG.US,60,20240424,190000,101.42,101.45,101.2,101.42,10065,0
IHG.US,60,20240424,200000,101.57,101.92,101.465,101.88,3772,0
IHG.US,60,20240424,210000,101.855,101.86,101.36,101.36,5238,0
IHG.US,60,20240424,220000,101.39,101.945,101.38,101.62,29037,0
IHG.US,60,20240425,160000,100.08,100.13,99.54,100.11,10302,0
IHG.US,60,20240425,170000,99.95,101.12,99.95,100.83,8575,0
IHG.US,60,20240425,180000,100.82,101.135,100.71,100.985,23778,0
IHG.US,60,20240425,190000,100.98,101.13,100.965,101.02,4360,0
IHG.US,60,20240425,200000,101.04,101.22,100.99,101.01,3200,0
IHG.US,60,20240425,210000,100.9,100.97,100.67,100.76,1901,0
IHG.US,60,20240425,220000,100.83,101.005,100.68,100.71,36516,0
IHG.US,60,20240426,160000,101.12,101.7,101.12,101.7,3803,0
IHG.US,60,20240426,170000,101.86,102.03,101.315,101.37,6381,0
IHG.US,60,20240426,180000,101.36,101.43,100.87,101.03,14460,0
IHG.US,60,20240426,190000,100.93,101.23,100.9,101.23,2123,0
IHG.US,60,20240426,200000,101.25,101.37,101.19,101.26,1615,0
IHG.US,60,20240426,210000,101.35,101.35,101.24,101.2883,2305,0
IHG.US,60,20240426,220000,101.26,101.26,100.9,100.93,19776,0
IHG.US,60,20240429,160000,100.66,100.67,100.22,100.35,7830,0
IHG.US,60,20240429,170000,100.38,100.7189,99.99,100.09,5723,0
IHG.US,60,20240429,180000,100.055,100.2098,99.925,100.1754,6073,0
IHG.US,60,20240429,190000,100.09,100.15,99.88,99.88,2539,0
IHG.US,60,20240429,200000,99.94,100.24,99.94,100.19,1588,0
IHG.US,60,20240429,210000,100.12,100.1799,99.935,100.11,2152,0
IHG.US,60,20240429,220000,100.05,100.16,99.76,100.15,19968,0
IHG.US,60,20240430,160000,99.95,100.05,99.52,99.7,10841,0
IHG.US,60,20240430,170000,99.75,100.01,99.54,99.87,7470,0
IHG.US,60,20240430,180000,99.87,99.87,98.935,98.935,6419,0
IHG.US,60,20240430,190000,98.89,98.9835,98.52,98.61,1691,0
IHG.US,60,20240430,200000,98.62,98.7325,98.42,98.705,7428,0
IHG.US,60,20240430,210000,98.665,98.82,98.34,98.34,7178,0
IHG.US,60,20240430,220000,98.43,98.72,98.32,98.35,27073,0
IHG.US,60,20240501,160000,99.3,99.33,98.96,99.11,14462,0
IHG.US,60,20240501,170000,99.14,99.18,98.7,99.12,29548,0
IHG.US,60,20240501,180000,99.1642,99.1642,98.39,98.52,19602,0
IHG.US,60,20240501,190000,98.55,98.773,98.515,98.64,4104,0
IHG.US,60,20240501,200000,98.68,98.69,98.54,98.66,2258,0
IHG.US,60,20240501,210000,99.06,99.68,98.805,99.635,4603,0
IHG.US,60,20240501,220000,99.85,99.98,98.8,98.85,27780,0
IHG.US,60,20240502,160000,98.89,98.91,98.02,98.02,11742,0
IHG.US,60,20240502,170000,97.93,98.49,97.62,98.49,12697,0
IHG.US,60,20240502,180000,98.53,98.98,98.53,98.79,12904,0
IHG.US,60,20240502,190000,98.64,98.66,98.34,98.57,5754,0
IHG.US,60,20240502,200000,98.63,99.0048,98.59,98.92,4392,0
IHG.US,60,20240502,210000,99.01,99.28,98.94,99.21,5611,0
IHG.US,60,20240502,220000,99.105,99.34,98.95,99.34,15451,0
IHG.US,60,20240507,160000,100.15,100.15,99.75,99.91,7105,0
IHG.US,60,20240507,170000,99.84,100.07,99.49,99.66,8280,0
IHG.US,60,20240507,180000,99.63,99.8183,99.54,99.76,32775,0
IHG.US,60,20240507,190000,99.7528,99.894,99.65,99.89,46717,0
IHG.US,60,20240507,200000,99.85,100,99.69,99.78,50294,0
IHG.US,60,20240507,210000,99.75,99.76,99.53,99.68,46102,0
IHG.US,60,20240507,220000,99.74,100.12,99.65,100.11,110906,0
IHG.US,60,20240508,160000,99.15,99.615,98.97,99.44,8141,0
IHG.US,60,20240508,170000,99.5421,99.6,99.3,99.33,10199,0
IHG.US,60,20240508,180000,99.35,99.52,99.06,99.415,18849,0
IHG.US,60,20240508,190000,99.515,99.605,99.33,99.43,6340,0
IHG.US,60,20240508,200000,99.57,99.74,99.47,99.74,4997,0
IHG.US,60,20240508,210000,99.715,99.715,99.53,99.6576,6804,0
IHG.US,60,20240508,220000,99.6,99.96,99.6,99.91,43825,0
IHG.US,60,20240509,160000,98.43,98.58,97.88,97.92,11506,0
IHG.US,60,20240509,170000,97.98,98.46,97.94,98.25,27080,0
IHG.US,60,20240509,180000,98.22,98.64,98.05,98.385,32319,0
IHG.US,60,20240509,190000,98.52,98.82,98.52,98.82,4186,0
IHG.US,60,20240509,200000,98.745,98.85,98.67,98.85,3218,0
IHG.US,60,20240509,210000,98.89,99.17,98.81,99.15,3745,0
IHG.US,60,20240509,220000,99.08,99.37,99.05,99.12,39167,0
IHG.US,60,20240510,160000,100.59,100.86,100.44,100.835,12027,0
