<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMAX.US,60,20240411,160000,16.75,16.87,16.7,16.76,30456,0
IMAX.US,60,20240411,170000,16.76,16.8,16.654,16.685,59554,0
IMAX.US,60,20240411,180000,16.68,16.74,16.65,16.715,28678,0
IMAX.US,60,20240411,190000,16.72,16.72,16.57,16.575,43223,0
IMAX.US,60,20240411,200000,16.575,16.735,16.575,16.73,28772,0
IMAX.US,60,20240411,210000,16.73,16.75,16.705,16.72,28242,0
IMAX.US,60,20240411,220000,16.72,16.77,16.64,16.72,254161,0
IMAX.US,60,20240412,160000,16.57,16.63,16.47,16.48,36289,0
IMAX.US,60,20240412,170000,16.48,16.49,16.25,16.285,88443,0
IMAX.US,60,20240412,180000,16.2825,16.375,16.265,16.355,59723,0
IMAX.US,60,20240412,190000,16.355,16.36,16.07,16.1,116255,0
IMAX.US,60,20240412,200000,16.1,16.295,16.04,16.28,173088,0
IMAX.US,60,20240412,210000,16.275,16.3,16.15,16.155,140683,0
IMAX.US,60,20240412,220000,16.155,16.48,16.145,16.43,876683,0
IMAX.US,60,20240415,160000,16.48,16.665,16.43,16.54,35505,0
IMAX.US,60,20240415,170000,16.545,16.7,16.42,16.42,79073,0
IMAX.US,60,20240415,180000,16.41,16.4997,16.405,16.47,51512,0
IMAX.US,60,20240415,190000,16.47,16.48,16.36,16.37,62634,0
IMAX.US,60,20240415,200000,16.365,16.42,16.27,16.29,35559,0
IMAX.US,60,20240415,210000,16.29,16.29,16.05,16.065,72665,0
IMAX.US,60,20240415,220000,16.065,16.37,16.04,16.33,526789,0
IMAX.US,60,20240416,160000,16.32,16.33,16.18,16.185,77224,0
IMAX.US,60,20240416,170000,16.18,16.57,16.155,16.57,56471,0
IMAX.US,60,20240416,180000,16.58,16.705,16.53,16.705,49904,0
IMAX.US,60,20240416,190000,16.68,16.905,16.68,16.88,45491,0
IMAX.US,60,20240416,200000,16.87,16.905,16.775,16.87,39307,0
IMAX.US,60,20240416,210000,16.868,16.94,16.805,16.89,56273,0
IMAX.US,60,20240416,220000,16.885,17,16.87,16.87,353367,0
IMAX.US,60,20240417,160000,17,17.21,17,17.13,34650,0
IMAX.US,60,20240417,170000,17.11,17.2,17.03,17.055,81404,0
IMAX.US,60,20240417,180000,17.06,17.1,16.9,16.93,80861,0
IMAX.US,60,20240417,190000,16.92,17.02,16.9,16.935,48172,0
IMAX.US,60,20240417,200000,16.94,17.11,16.935,17.089,82262,0
IMAX.US,60,20240417,210000,17.09,17.15,17.06,17.125,43268,0
IMAX.US,60,20240417,220000,17.125,17.24,17.07,17.07,326725,0
IMAX.US,60,20240418,160000,17.19,17.28,16.97,17.12,35572,0
IMAX.US,60,20240418,170000,17.13,17.43,17.13,17.4,53408,0
IMAX.US,60,20240418,180000,17.405,17.425,17.295,17.3,56278,0
IMAX.US,60,20240418,190000,17.305,17.305,17.23,17.24,25627,0
IMAX.US,60,20240418,200000,17.25,17.285,17.175,17.18,42202,0
IMAX.US,60,20240418,210000,17.18,17.18,17.035,17.125,105320,0
IMAX.US,60,20240418,220000,17.13,17.13,17.065,17.11,230310,0
IMAX.US,60,20240419,160000,17.01,17.21,16.98,17.17,33870,0
IMAX.US,60,20240419,170000,17.15,17.23,17.01,17.09,41511,0
IMAX.US,60,20240419,180000,17.09,17.19,17,17,58407,0
IMAX.US,60,20240419,190000,17,17.08,16.9401,16.99,61916,0
IMAX.US,60,20240419,200000,17,17.06,16.91,16.925,94230,0
IMAX.US,60,20240419,210000,16.925,17.025,16.9,17.02,58377,0
IMAX.US,60,20240419,220000,17.02,17.165,17.01,17.135,189167,0
IMAX.US,60,20240422,160000,17.17,17.21,16.96,16.965,26872,0
IMAX.US,60,20240422,170000,16.97,17.1,16.96,17.03,61461,0
IMAX.US,60,20240422,180000,17.04,17.12,17.025,17.06,41681,0
IMAX.US,60,20240422,190000,17.055,17.055,16.905,16.995,58329,0
IMAX.US,60,20240422,200000,16.99,17.1,16.985,17.085,43884,0
IMAX.US,60,20240422,210000,17.09,17.12,17.03,17.11,80991,0
IMAX.US,60,20240422,220000,17.12,17.17,17.075,17.15,232096,0
IMAX.US,60,20240423,160000,17.12,17.245,17.04,17.19,21220,0
IMAX.US,60,20240423,170000,17.18,17.27,17.136,17.27,72104,0
