<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQV.US,60,20240411,160000,240.34,242.05,238.3,238.3,22230,0
IQV.US,60,20240411,170000,238.3,238.3,236.94,237.19,25370,0
IQV.US,60,20240411,180000,237.08,237.63,236.87,237.35,25808,0
IQV.US,60,20240411,190000,237.35,237.79,237.02,237.26,18848,0
IQV.US,60,20240411,200000,237.34,238.43,237.05,238.18,21170,0
IQV.US,60,20240411,210000,238.16,238.71,237.86,237.92,32021,0
IQV.US,60,20240411,220000,237.92,238.33,237.34,238.02,223256,0
IQV.US,60,20240412,160000,235.35,236.78,233.96,236.09,17268,0
IQV.US,60,20240412,170000,235.88,236.435,233.85,234.43,42815,0
IQV.US,60,20240412,180000,234.59,235.25,234.34,234.825,50238,0
IQV.US,60,20240412,190000,234.835,234.94,233.1594,233.66,23122,0
IQV.US,60,20240412,200000,233.73,234.395,232.86,233.51,36988,0
IQV.US,60,20240412,210000,233.52,234.67,233.35,233.555,35179,0
IQV.US,60,20240412,220000,233.54,234.33,233.21,234.23,311531,0
IQV.US,60,20240415,160000,236.93,236.93,234.645,234.645,15922,0
IQV.US,60,20240415,170000,234.75,234.75,232.705,233.485,23169,0
IQV.US,60,20240415,180000,233.44,234.37,233.26,233.865,16820,0
IQV.US,60,20240415,190000,233.79,234.0793,232.34,232.57,20092,0
IQV.US,60,20240415,200000,232.57,232.85,231.14,231.985,12890,0
IQV.US,60,20240415,210000,231.8,232.1,230.66,230.98,21785,0
IQV.US,60,20240415,220000,230.88,231.43,230.14,231.16,221734,0
IQV.US,60,20240416,160000,232.32,232.58,228.93,230.205,29133,0
IQV.US,60,20240416,170000,230.205,231.92,229.5,229.5,41125,0
IQV.US,60,20240416,180000,229.455,231.67,229.455,231.47,25005,0
IQV.US,60,20240416,190000,231.26,231.35,230.4,231.24,19137,0
IQV.US,60,20240416,200000,231.14,231.14,229.63,230.21,19948,0
IQV.US,60,20240416,210000,230.45,231.31,229,230.665,69114,0
IQV.US,60,20240416,220000,230.665,230.76,228.755,229.14,311796,0
IQV.US,60,20240417,160000,230.56,231.58,228.07,229.545,41975,0
IQV.US,60,20240417,170000,229.675,229.95,228.425,229.285,48078,0
IQV.US,60,20240417,180000,229.49,230.17,229.19,229.7,32496,0
IQV.US,60,20240417,190000,229.68,229.68,227.6509,227.9712,19154,0
IQV.US,60,20240417,200000,227.82,229.36,227.82,229.17,19093,0
IQV.US,60,20240417,210000,229.02,229.49,227.65,227.88,25494,0
IQV.US,60,20240417,220000,227.73,228.48,226.875,227.25,217875,0
IQV.US,60,20240418,160000,225.19,227.235,222.71,227.235,20219,0
IQV.US,60,20240418,170000,227.04,229.56,226.8,229.22,47516,0
IQV.US,60,20240418,180000,229.12,230.52,229.0917,229.99,39499,0
IQV.US,60,20240418,190000,229.92,230.345,228.69,228.69,19601,0
IQV.US,60,20240418,200000,228.84,228.96,226.64,227.03,19767,0
IQV.US,60,20240418,210000,227.015,227.015,225.58,225.76,15167,0
IQV.US,60,20240418,220000,225.98,227.345,225.93,227.17,169694,0
IQV.US,60,20240419,160000,227.54,229.57,227.54,229.57,44234,0
IQV.US,60,20240419,170000,229.425,229.8455,227.7,228.15,27353,0
IQV.US,60,20240419,180000,227.99,228.13,227.31,227.37,21795,0
