<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRM.US,60,20240411,160000,76.6,76.6,75.75,76.34,48641,0
IRM.US,60,20240411,170000,76.33,76.51,76.08,76.33,46221,0
IRM.US,60,20240411,180000,76.33,76.66,76.33,76.66,38967,0
IRM.US,60,20240411,190000,76.61,76.811,76.54,76.615,38050,0
IRM.US,60,20240411,200000,76.675,77.18,76.54,77.18,45073,0
IRM.US,60,20240411,210000,77.18,77.33,77.06,77.14,39133,0
IRM.US,60,20240411,220000,77.13,77.24,76.6,76.61,403244,0
IRM.US,60,20240412,160000,75.95,76.31,75.935,76.17,34048,0
IRM.US,60,20240412,170000,76.13,76.3,75.8,76.1,50526,0
IRM.US,60,20240412,180000,76.07,76.55,76.07,76.51,28986,0
IRM.US,60,20240412,190000,76.52,76.535,75.88,76.1,44597,0
IRM.US,60,20240412,200000,76.11,76.24,75.78,75.87,60312,0
IRM.US,60,20240412,210000,75.825,75.88,75.48,75.64,44017,0
IRM.US,60,20240412,220000,75.6,76.03,75.4,76.02,470515,0
IRM.US,60,20240415,160000,76.68,76.685,76.2,76.35,63810,0
IRM.US,60,20240415,170000,76.33,76.38,75.545,75.545,70092,0
IRM.US,60,20240415,180000,75.56,75.68,75.3583,75.59,42303,0
IRM.US,60,20240415,190000,75.58,75.62,75.2,75.48,100526,0
IRM.US,60,20240415,200000,75.47,75.49,74.73,74.91,54548,0
IRM.US,60,20240415,210000,74.85,74.85,74.39,74.55,44547,0
IRM.US,60,20240415,220000,74.57,74.86,74.26,74.84,380628,0
IRM.US,60,20240416,160000,74.69,74.72,73.56,73.7,60551,0
IRM.US,60,20240416,170000,73.69,74.16,73.53,74.06,113705,0
IRM.US,60,20240416,180000,74.05,75.1,74.03,74.95,58226,0
IRM.US,60,20240416,190000,74.94,75.03,74.75,74.88,54533,0
IRM.US,60,20240416,200000,74.77,74.9,74.43,74.68,35893,0
IRM.US,60,20240416,210000,74.6675,75.3393,74.55,75.31,52342,0
IRM.US,60,20240416,220000,75.36,75.36,74.69,74.71,324358,0
IRM.US,60,20240417,160000,74.99,75.47,74.69,75.44,36868,0
IRM.US,60,20240417,170000,75.39,75.435,74.72,74.815,97897,0
IRM.US,60,20240417,180000,74.845,75.035,74.55,74.76,41704,0
IRM.US,60,20240417,190000,74.77,74.77,74.19,74.42,71134,0
IRM.US,60,20240417,200000,74.38,74.89,74.37,74.87,41972,0
IRM.US,60,20240417,210000,74.85,75.255,74.83,74.88,34104,0
IRM.US,60,20240417,220000,74.855,75.36,74.7709,75.15,560255,0
IRM.US,60,20240418,160000,75.47,75.63,75,75.055,26999,0
IRM.US,60,20240418,170000,75.04,75.21,74.67,75.04,36892,0
IRM.US,60,20240418,180000,75.035,75.13,74.675,74.725,37844,0
IRM.US,60,20240418,190000,74.72,74.87,74.46,74.46,40972,0
IRM.US,60,20240418,200000,74.5,74.74,74.43,74.68,109782,0
IRM.US,60,20240418,210000,74.69,74.77,74.45,74.51,60918,0
IRM.US,60,20240418,220000,74.53,74.7,74.41,74.42,267731,0
IRM.US,60,20240419,160000,74.75,75.12,74.58,75.08,71517,0
IRM.US,60,20240419,170000,75.04,75.26,74.88,75.175,57085,0
IRM.US,60,20240419,180000,75.175,75.24,74.73,74.75,55160,0
IRM.US,60,20240419,190000,74.77,74.8,74.49,74.53,57726,0
IRM.US,60,20240419,200000,74.535,75.16,74.51,75,51548,0
IRM.US,60,20240419,210000,74.96,74.97,74.68,74.85,121058,0
IRM.US,60,20240419,220000,74.85,75.145,74.72,75.1,150435,0
IRM.US,60,20240422,160000,75.22,75.22,74.75,74.9,17762,0
IRM.US,60,20240422,170000,74.91,75.25,74.89,75.145,83182,0
IRM.US,60,20240422,180000,75.13,75.26,75.03,75.18,38245,0
IRM.US,60,20240422,190000,75.18,75.4915,75.18,75.4915,22204,0
IRM.US,60,20240422,200000,75.5,75.95,75.5,75.77,48858,0
IRM.US,60,20240422,210000,75.72,75.88,75.58,75.71,39471,0
IRM.US,60,20240422,220000,75.695,75.975,75.4922,75.85,384881,0
IRM.US,60,20240423,160000,76.18,76.3,75.78,75.9796,27695,0
IRM.US,60,20240423,170000,75.955,76.77,75.85,76.75,39291,0
IRM.US,60,20240423,180000,76.77,76.82,76.39,76.51,39155,0
IRM.US,60,20240423,190000,76.51,76.91,76.41,76.83,45725,0
IRM.US,60,20240423,200000,76.83,76.945,76.71,76.93,32269,0
IRM.US,60,20240423,210000,76.91,76.914,76.69,76.7904,37243,0
IRM.US,60,20240423,220000,76.8,76.825,76.37,76.61,306871,0
IRM.US,60,20240424,160000,76.27,77.13,76.1224,76.84,28953,0
IRM.US,60,20240424,170000,76.84,77.77,76.71,77.66,71347,0
IRM.US,60,20240424,180000,77.7,77.895,77.38,77.745,47171,0
IRM.US,60,20240424,190000,77.73,78,77.565,77.965,54954,0
IRM.US,60,20240424,200000,77.95,78.438,77.88,78.365,90601,0
IRM.US,60,20240424,210000,78.27,78.46,78.13,78.191,84150,0
IRM.US,60,20240424,220000,78.18,78.36,78,78.19,352662,0
IRM.US,60,20240425,160000,77.54,77.7767,76.49,76.635,38616,0
IRM.US,60,20240425,170000,76.6,77.19,76.37,77.16,36692,0
IRM.US,60,20240425,180000,77.11,77.36,77.1,77.35,42210,0
IRM.US,60,20240425,190000,77.38,77.65,77.36,77.65,23956,0
IRM.US,60,20240425,200000,77.635,77.88,77.6,77.79,24642,0
IRM.US,60,20240425,210000,77.77,77.79,77.47,77.675,87461,0
IRM.US,60,20240425,220000,77.68,77.7,77.1,77.26,479685,0
IRM.US,60,20240426,160000,77.44,78.03,77.265,78.02,12096,0
IRM.US,60,20240426,170000,78.01,78.13,77.74,77.77,36180,0
IRM.US,60,20240426,180000,77.76,77.77,77.455,77.608,38418,0
IRM.US,60,20240426,190000,77.58,77.75,77.49,77.73,26500,0
IRM.US,60,20240426,200000,77.73,77.75,77.51,77.56,37489,0
IRM.US,60,20240426,210000,77.555,77.73,77.46,77.72,32723,0
IRM.US,60,20240426,220000,77.69,77.73,77.49,77.52,336988,0
IRM.US,60,20240429,160000,78,78.26,77.7,77.74,20919,0
IRM.US,60,20240429,170000,77.76,78.115,77.62,77.973,31259,0
IRM.US,60,20240429,180000,77.975,78.03,77.38,77.61,33877,0
IRM.US,60,20240429,190000,77.59,77.68,77.39,77.48,33514,0
IRM.US,60,20240429,200000,77.51,77.81,77.5,77.65,31298,0
