<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPM.US,60,20240411,160000,196,196.06,193.97,194.92,499357,0
JPM.US,60,20240411,170000,194.94,194.985,193.24,193.89,610251,0
JPM.US,60,20240411,180000,193.91,194.8199,193.58,194.75,631011,0
JPM.US,60,20240411,190000,194.81,195.27,194.35,194.6,696401,0
JPM.US,60,20240411,200000,194.6041,195.76,194.38,195.57,453746,0
JPM.US,60,20240411,210000,195.57,196.55,195.51,196.345,747493,0
JPM.US,60,20240411,220000,196.345,196.57,195.2,195.43,3160366,0
JPM.US,60,20240412,160000,188.32,188.92,185.12,186.56,3830749,0
JPM.US,60,20240412,170000,186.63,187.03,184.05,184.11,3699207,0
JPM.US,60,20240412,180000,184.11,185.51,183.66,185.28,3025093,0
JPM.US,60,20240412,190000,185.27,185.35,184.06,184.28,1934978,0
JPM.US,60,20240412,200000,184.26,184.55,183.26,184.035,1936855,0
JPM.US,60,20240412,210000,184,184.73,183.81,184.102,1458100,0
JPM.US,60,20240412,220000,184.1383,184.1383,182.54,182.79,6047907,0
JPM.US,60,20240415,160000,184.5,187.46,184.19,186.72,2592854,0
JPM.US,60,20240415,170000,186.75,187.045,184.36,184.565,1573674,0
JPM.US,60,20240415,180000,184.58,184.61,183.7,184.31,922120,0
JPM.US,60,20240415,190000,184.31,184.81,183.79,184.04,719746,0
JPM.US,60,20240415,200000,184.04,184.62,182.5,183.2,770836,0
JPM.US,60,20240415,210000,183.1201,183.41,182.37,183.0712,857533,0
JPM.US,60,20240415,220000,183.05,183.53,182.195,182.89,2915179,0
JPM.US,60,20240416,160000,182.9,183.16,180.52,180.88,1006306,0
JPM.US,60,20240416,170000,180.89,181.01,179.77,180.02,1748656,0
JPM.US,60,20240416,180000,180,180.595,179.65,180.2,1181053,0
JPM.US,60,20240416,190000,180.2,180.58,179.76,180.36,1135487,0
JPM.US,60,20240416,200000,180.36,181.61,179.76,180.57,1032938,0
JPM.US,60,20240416,210000,180.53,181.67,180.0675,181.58,947585,0
JPM.US,60,20240416,220000,181.575,181.96,180.64,180.8,3624220,0
JPM.US,60,20240417,160000,181.41,182.4199,180.91,181.28,620894,0
JPM.US,60,20240417,170000,181.26,181.28,180.1304,180.42,877305,0
JPM.US,60,20240417,180000,180.46,180.53,179.45,179.84,608150,0
JPM.US,60,20240417,190000,179.83,180.23,179.2,179.7852,638565,0
JPM.US,60,20240417,200000,179.8,180.79,179.73,180.79,562254,0
JPM.US,60,20240417,210000,180.795,181.46,180.53,180.66,650437,0
JPM.US,60,20240417,220000,180.645,180.99,179.93,180.08,2427841,0
JPM.US,60,20240418,160000,181.1,182.08,179.97,181.935,772900,0
JPM.US,60,20240418,170000,181.93,183.34,181.305,183.1847,991798,0
JPM.US,60,20240418,180000,183.18,183.36,182.2,182.35,787609,0
JPM.US,60,20240418,190000,182.35,182.66,181.47,181.56,334887,0
JPM.US,60,20240418,200000,181.56,181.64,180.45,181.05,510579,0
JPM.US,60,20240418,210000,181.04,181.51,180.78,181.2,486980,0
JPM.US,60,20240418,220000,181.23,181.8,181.08,181.25,2147850,0
JPM.US,60,20240419,160000,182.4,182.92,181.41,182.06,1006951,0
JPM.US,60,20240419,170000,182.06,183.15,182.02,182.7,717069,0
JPM.US,60,20240419,180000,182.7,183.48,182.55,183.25,677398,0
JPM.US,60,20240419,190000,183.259,184.32,182.92,184.18,708882,0
JPM.US,60,20240419,200000,184.15,185.29,184.11,184.82,844303,0
JPM.US,60,20240419,210000,184.82,185.07,184.22,185.07,923143,0
JPM.US,60,20240419,220000,185.1,185.88,184.43,185.8,2281109,0
JPM.US,60,20240422,160000,185.99,187.28,185.98,187.2,769117,0
JPM.US,60,20240422,170000,187.14,187.84,187.02,187.2599,801949,0
JPM.US,60,20240422,180000,187.225,187.4,186.66,187.275,679212,0
JPM.US,60,20240422,190000,187.29,188.33,187.2,188.33,594443,0
JPM.US,60,20240422,200000,188.355,189.67,188.2743,189.35,681725,0
JPM.US,60,20240422,210000,189.36,190.125,189.25,189.55,733945,0
JPM.US,60,20240422,220000,189.54,189.54,188.82,189.41,3978547,0
JPM.US,60,20240423,160000,191.13,191.8,190.72,191.35,825853,0
JPM.US,60,20240423,170000,191.34,191.68,190.52,191.65,594347,0
JPM.US,60,20240423,180000,191.7,191.8799,191.32,191.51,526110,0
JPM.US,60,20240423,190000,191.51,191.81,191.46,191.73,593951,0
JPM.US,60,20240423,200000,191.7255,192.225,191.47,191.85,499389,0
JPM.US,60,20240423,210000,191.85,192.02,191.56,191.7,475183,0
JPM.US,60,20240423,220000,191.68,192.18,191.45,192.08,2466963,0
JPM.US,60,20240424,160000,190.53,192.1,190.17,191.525,605445,0
JPM.US,60,20240424,170000,191.58,192.34,191.53,191.7,480847,0
JPM.US,60,20240424,180000,191.69,191.81,190.83,191.24,407062,0
JPM.US,60,20240424,190000,191.245,191.61,190.8709,191.6,358787,0
JPM.US,60,20240424,200000,191.59,192.56,191.54,192.53,383461,0
JPM.US,60,20240424,210000,192.5,192.6468,192.16,192.37,440748,0
JPM.US,60,20240424,220000,192.365,193.23,192.195,193.08,2156688,0
JPM.US,60,20240425,160000,192.25,193.635,192.2,192.315,651282,0
JPM.US,60,20240425,170000,192.32,193.07,191.18,192.94,894459,0
JPM.US,60,20240425,180000,192.945,193.2761,192.44,192.9696,481126,0
JPM.US,60,20240425,190000,192.94,193.935,192.87,193.26,540380,0
JPM.US,60,20240425,200000,193.27,193.53,193.06,193.37,405366,0
JPM.US,60,20240425,210000,193.365,193.41,192.63,192.93,540429,0
JPM.US,60,20240425,220000,192.93,193.64,192.71,193.37,2792103,0
JPM.US,60,20240426,160000,193.57,194.42,193.06,194.32,346623,0
JPM.US,60,20240426,170000,194.34,194.87,193.48,193.57,564473,0
JPM.US,60,20240426,180000,193.56,193.88,193.18,193.37,422618,0
JPM.US,60,20240426,190000,193.38,194.1,193.2501,194.04,363208,0
JPM.US,60,20240426,200000,194.05,194.25,193.81,194.08,267484,0
JPM.US,60,20240426,210000,194.1,194.56,194.09,194.39,391255,0
JPM.US,60,20240426,220000,194.34,194.41,193.48,193.49,1783484,0
JPM.US,60,20240429,160000,193.48,193.78,192.43,193.13,467577,0
JPM.US,60,20240429,170000,193.21,194.22,193.14,194.08,402296,0
JPM.US,60,20240429,180000,194.07,194.26,193.51,193.61,316260,0
JPM.US,60,20240429,190000,193.61,193.72,193.35,193.38,298152,0
JPM.US,60,20240429,200000,193.385,193.8,193.335,193.61,358255,0
JPM.US,60,20240429,210000,193.6,193.765,193.18,193.31,263763,0
JPM.US,60,20240429,220000,193.3,193.31,192.45,193.28,1603493,0
JPM.US,60,20240430,160000,192.81,194.96,192.62,194.05,741302,0
JPM.US,60,20240430,170000,194.07,194.99,193.7,194.755,694482,0
JPM.US,60,20240430,180000,194.755,194.78,193.29,193.47,557752,0
JPM.US,60,20240430,190000,193.465,193.47,192.34,192.34,369498,0
JPM.US,60,20240430,200000,192.34,192.99,192.2539,192.98,286656,0
JPM.US,60,20240430,210000,192.9701,193.05,192.11,192.29,317366,0
JPM.US,60,20240430,220000,192.28,192.5,191.64,191.74,2505673,0
JPM.US,60,20240501,160000,192.27,192.53,190.79,191.67,479756,0
JPM.US,60,20240501,170000,191.68,192.21,191.515,192.21,667306,0
JPM.US,60,20240501,180000,192.22,192.62,191.91,192.2606,497548,0
JPM.US,60,20240501,190000,192.27,192.435,191.91,192.2,301219,0
JPM.US,60,20240501,200000,192.17,192.38,191.66,192.075,261311,0
JPM.US,60,20240501,210000,192.1,194.46,192.005,194.29,605650,0
JPM.US,60,20240501,220000,194.295,194.45,191.79,191.86,1845709,0
JPM.US,60,20240502,160000,193.25,193.5,191.305,191.67,250781,0
JPM.US,60,20240502,170000,191.72,191.785,190.49,190.79,595165,0
JPM.US,60,20240502,180000,190.8,191.37,189.9,189.98,437368,0
