<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
K.US,60,20240411,160000,57.29,57.36,56.53,56.765,146047,0
K.US,60,20240411,170000,56.76,56.81,56.21,56.3,244030,0
K.US,60,20240411,180000,56.29,56.305,56.02,56.22,212538,0
K.US,60,20240411,190000,56.23,56.27,56.11,56.24,165262,0
K.US,60,20240411,200000,56.25,56.56,56.21,56.56,165026,0
K.US,60,20240411,210000,56.555,56.64,56.44,56.58,229199,0
K.US,60,20240411,220000,56.58,56.6275,56.115,56.17,1106110,0
K.US,60,20240412,160000,56.2,56.36,55.83,55.97,130303,0
K.US,60,20240412,170000,55.93,55.96,55.6,55.84,229731,0
K.US,60,20240412,180000,55.84,55.93,55.685,55.785,184755,0
K.US,60,20240412,190000,55.79,55.86,55.64,55.67,266839,0
K.US,60,20240412,200000,55.67,55.74,55.55,55.72,186979,0
K.US,60,20240412,210000,55.715,55.8,55.34,55.35,232400,0
K.US,60,20240412,220000,55.32,55.45,55.08,55.42,1064131,0
K.US,60,20240415,160000,55.66,55.99,55.63,55.96,68905,0
K.US,60,20240415,170000,55.98,55.98,55.3,55.37,118156,0
K.US,60,20240415,180000,55.37,55.56,55.28,55.55,105837,0
K.US,60,20240415,190000,55.545,55.595,55.28,55.335,99623,0
K.US,60,20240415,200000,55.335,55.39,55.21,55.245,104615,0
K.US,60,20240415,210000,55.24,55.335,55.125,55.18,100163,0
K.US,60,20240415,220000,55.19,55.49,55.186,55.4,570670,0
K.US,60,20240416,160000,55.36,55.52,55.11,55.14,55113,0
K.US,60,20240416,170000,55.17,55.32,55.005,55.065,150237,0
K.US,60,20240416,180000,55.06,55.23,55.005,55.2,196848,0
K.US,60,20240416,190000,55.19,55.44,55.165,55.37,182745,0
K.US,60,20240416,200000,55.375,55.38,55.13,55.26,183161,0
K.US,60,20240416,210000,55.25,55.53,55.2,55.51,163436,0
K.US,60,20240416,220000,55.51,55.68,55.355,55.51,822672,0
K.US,60,20240417,160000,55.75,56,55.6,55.92,51815,0
K.US,60,20240417,170000,55.93,56.01,55.79,55.88,97892,0
K.US,60,20240417,180000,55.875,55.88,55.64,55.73,90503,0
K.US,60,20240417,190000,55.73,55.93,55.69,55.92,90357,0
K.US,60,20240417,200000,55.92,56.08,55.865,56.01,111940,0
K.US,60,20240417,210000,56.015,56.135,55.905,56.04,128276,0
K.US,60,20240417,220000,56.045,56.22,55.89,56.07,743443,0
K.US,60,20240418,160000,56.35,56.49,56.12,56.485,44588,0
K.US,60,20240418,170000,56.48,56.64,56.365,56.5,101002,0
K.US,60,20240418,180000,56.5,56.5,56.14,56.325,85101,0
K.US,60,20240418,190000,56.325,56.4,56.2961,56.315,90353,0
K.US,60,20240418,200000,56.31,56.45,56.235,56.33,97540,0
K.US,60,20240418,210000,56.32,56.33,56.17,56.325,101009,0
K.US,60,20240418,220000,56.325,56.6,56.295,56.54,592597,0
K.US,60,20240419,160000,56.73,56.9,56.615,56.9,91945,0
K.US,60,20240419,170000,56.92,57.26,56.86,57.1,83084,0
K.US,60,20240419,180000,57.1,57.53,57.0701,57.515,100129,0
K.US,60,20240419,190000,57.52,57.635,57.465,57.6,100298,0
K.US,60,20240419,200000,57.59,57.66,57.52,57.56,123399,0
K.US,60,20240419,210000,57.55,57.645,57.52,57.585,121315,0
K.US,60,20240419,220000,57.59,57.62,57.345,57.38,541264,0
K.US,60,20240422,160000,57.5,57.63,57.19,57.24,55437,0
K.US,60,20240422,170000,57.25,57.83,57.17,57.71,133672,0
K.US,60,20240422,180000,57.7,57.78,57.6,57.65,91409,0
K.US,60,20240422,190000,57.66,57.8,57.595,57.8,85130,0
K.US,60,20240422,200000,57.81,58.24,57.77,58.22,174674,0
K.US,60,20240422,210000,58.22,58.28,58.1,58.185,189792,0
K.US,60,20240422,220000,58.18,58.325,57.97,57.98,677813,0
K.US,60,20240423,160000,57.91,58.31,57.84,58.18,68762,0
K.US,60,20240423,170000,58.175,58.25,57.86,58,139631,0
K.US,60,20240423,180000,58,58.02,57.71,57.815,122895,0
K.US,60,20240423,190000,57.82,58.08,57.79,58.04,78259,0
K.US,60,20240423,200000,58.04,58.12,58.005,58.04,72035,0
K.US,60,20240423,210000,58.04,58.09,57.995,58.085,77270,0
K.US,60,20240423,220000,58.09,58.23,58.02,58.14,566552,0
K.US,60,20240424,160000,57.68,57.94,57.32,57.89,191692,0
K.US,60,20240424,170000,57.88,58.3,57.84,58.27,160879,0
K.US,60,20240424,180000,58.27,58.4,58.19,58.38,112559,0
K.US,60,20240424,190000,58.38,58.69,58.34,58.38,151629,0
K.US,60,20240424,200000,58.37,58.585,58.37,58.555,106252,0
K.US,60,20240424,210000,58.56,58.66,58.47,58.57,161833,0
K.US,60,20240424,220000,58.56,58.79,58.5,58.75,950527,0
K.US,60,20240425,160000,58.97,59.2,58.46,58.54,75239,0
K.US,60,20240425,170000,58.53,58.7,58.42,58.55,182775,0
K.US,60,20240425,180000,58.545,58.81,58.48,58.57,202297,0
K.US,60,20240425,190000,58.56,58.57,58.33,58.43,151693,0
K.US,60,20240425,200000,58.42,58.58,58.34,58.549,104194,0
K.US,60,20240425,210000,58.54,58.545,58.405,58.495,101623,0
K.US,60,20240425,220000,58.495,58.605,58.41,58.45,726339,0
K.US,60,20240426,160000,58.22,58.62,58.08,58.34,57294,0
K.US,60,20240426,170000,58.35,58.535,58.21,58.28,141864,0
K.US,60,20240426,180000,58.27,58.35,58.09,58.165,542164,0
K.US,60,20240426,190000,58.17,58.475,58.1,58.265,1009400,0
K.US,60,20240426,200000,58.26,58.4,58.03,58.35,107596,0
K.US,60,20240426,210000,58.345,58.43,58.14,58.18,205026,0
K.US,60,20240426,220000,58.185,58.19,57.71,57.73,1261550,0
K.US,60,20240429,160000,57.895,58.25,57.781,57.88,178023,0
K.US,60,20240429,170000,57.855,58.045,57.8,57.96,165148,0
K.US,60,20240429,180000,57.96,57.995,57.84,57.985,146584,0
K.US,60,20240429,190000,57.985,58.215,57.97,58.115,125336,0
K.US,60,20240429,200000,58.115,58.2,58.08,58.1007,148068,0
K.US,60,20240429,210000,58.105,58.18,58.05,58.085,259428,0
K.US,60,20240429,220000,58.085,58.21,57.97,58.21,1374709,0
K.US,60,20240430,160000,58.03,58.3,57.88,58.11,72835,0
K.US,60,20240430,170000,58.12,58.44,58.095,58.33,527055,0
K.US,60,20240430,180000,58.315,58.33,57.785,57.99,199683,0
K.US,60,20240430,190000,57.99,58,57.675,57.845,170667,0
K.US,60,20240430,200000,57.83,57.91,57.554,57.65,227908,0
K.US,60,20240430,210000,57.65,57.85,57.63,57.76,250329,0
K.US,60,20240430,220000,57.77,57.975,57.54,57.86,2260625,0
K.US,60,20240501,160000,57.5,57.55,56.63,56.83,283307,0
K.US,60,20240501,170000,56.83,57.15,56.68,56.84,738839,0
K.US,60,20240501,180000,56.85,57.47,56.84,57.25,499284,0
K.US,60,20240501,190000,57.26,57.58,57.2,57.515,322204,0
K.US,60,20240501,200000,57.51,57.605,57.21,57.29,530601,0
K.US,60,20240501,210000,57.3,57.37,56.99,57.16,562150,0
K.US,60,20240501,220000,57.19,57.46,56.94,56.99,1803062,0
K.US,60,20240502,160000,59,63.23,59,62.2172,1735546,0
K.US,60,20240502,170000,62.1,62.21,60.7,61.66,1550343,0
K.US,60,20240502,180000,61.665,61.84,60.73,61.44,485982,0
K.US,60,20240502,190000,61.44,61.63,61.05,61.31,525322,0
K.US,60,20240502,200000,61.32,61.58,61.07,61.397,366256,0
K.US,60,20240502,210000,61.41,61.48,60.88,61.17,481294,0
K.US,60,20240502,220000,61.165,61.44,60.92,61.28,2515702,0
K.US,60,20240507,160000,60.48,61.03,60.35,60.815,164529,0
K.US,60,20240507,170000,60.81,61.09,60.75,61,173938,0
K.US,60,20240507,180000,61,61.0769,60.87,60.96,340959,0
K.US,60,20240507,190000,60.97,61,60.86,60.97,126876,0
K.US,60,20240507,200000,60.97,61.15,60.95,61.09,130258,0
K.US,60,20240507,210000,61.11,61.32,61.01,61.24,183972,0
K.US,60,20240507,220000,61.24,61.7,61.21,61.64,1679650,0
K.US,60,20240508,160000,61.73,61.88,61.48,61.68,169106,0
K.US,60,20240508,170000,61.68,62.09,61.64,62.03,294529,0
K.US,60,20240508,180000,62.04,62.18,61.96,62.005,237498,0
K.US,60,20240508,190000,62.01,62.225,61.915,62.1877,189777,0
K.US,60,20240508,200000,62.17,62.415,62.14,62.36,207626,0
K.US,60,20240508,210000,62.35,62.455,62.27,62.355,281306,0
K.US,60,20240508,220000,62.36,62.46,62.27,62.33,954399,0
K.US,60,20240509,160000,62.41,62.41,61.69,62.105,127981,0
K.US,60,20240509,170000,62.105,62.17,61.61,61.75,217413,0
K.US,60,20240509,180000,61.7401,61.79,61.62,61.77,145570,0
K.US,60,20240509,190000,61.75,61.905,61.655,61.81,194731,0
K.US,60,20240509,200000,61.82,61.825,61.74,61.75,63278,0
K.US,60,20240509,210000,61.745,61.85,61.67,61.685,83386,0
K.US,60,20240509,220000,61.69,61.745,61.5525,61.6,969820,0
K.US,60,20240510,160000,61.5,61.61,61.32,61.545,99450,0
K.US,60,20240510,170000,61.53,61.67,61.36,61.58,142128,0
K.US,60,20240510,180000,61.57,61.58,61.27,61.52,208713,0
K.US,60,20240510,190000,61.53,61.61,61.43,61.54,187675,0
K.US,60,20240510,200000,61.54,61.8,61.53,61.78,68130,0
K.US,60,20240510,210000,61.79,61.86,61.65,61.81,205221,0
K.US,60,20240510,220000,61.81,61.98,61.78,61.86,783282,0
K.US,60,20240513,160000,62,62.21,61.82,62.115,69957,0
K.US,60,20240513,170000,62.105,62.73,62.105,62.555,195057,0
K.US,60,20240513,180000,62.55,62.55,62.315,62.33,159259,0
K.US,60,20240513,190000,62.32,62.4225,62.23,62.38,105617,0
K.US,60,20240513,200000,62.38,62.46,62.31,62.375,141067,0
K.US,60,20240513,210000,62.375,62.46,62.33,62.425,132437,0
K.US,60,20240513,220000,62.43,62.565,62.3625,62.49,817303,0
K.US,60,20240514,160000,62.7,62.95,62.21,62.39,57968,0
K.US,60,20240514,170000,62.38,62.47,62.29,62.44,97416,0
K.US,60,20240514,180000,62.43,62.43,62.22,62.26,89737,0
