<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEY.US,60,20240411,160000,14.915,14.915,14.62,14.655,1388977,0
KEY.US,60,20240411,170000,14.66,14.665,14.33,14.475,4064893,0
KEY.US,60,20240411,180000,14.48,14.68,14.445,14.67,1190533,0
KEY.US,60,20240411,190000,14.675,14.695,14.624,14.635,586369,0
KEY.US,60,20240411,200000,14.635,14.78,14.62,14.7122,1203864,0
KEY.US,60,20240411,210000,14.7163,14.78,14.7,14.715,640686,0
KEY.US,60,20240411,220000,14.715,14.7499,14.67,14.72,2757651,0
KEY.US,60,20240412,160000,14.47,14.6,14.37,14.545,1022903,0
KEY.US,60,20240412,170000,14.55,14.57,14.47,14.535,2262590,0
KEY.US,60,20240412,180000,14.53,14.6,14.494,14.585,1570590,0
KEY.US,60,20240412,190000,14.58,14.59,14.5,14.57,1086090,0
KEY.US,60,20240412,200000,14.57,14.58,14.465,14.545,590602,0
KEY.US,60,20240412,210000,14.54,14.5961,14.52,14.55,1011453,0
KEY.US,60,20240412,220000,14.55,14.62,14.485,14.61,3717639,0
KEY.US,60,20240415,160000,14.83,15.05,14.72,14.74,1437351,0
KEY.US,60,20240415,170000,14.745,14.75,14.51,14.51,2458846,0
KEY.US,60,20240415,180000,14.515,14.5566,14.45,14.5508,1654401,0
KEY.US,60,20240415,190000,14.555,14.57,14.46,14.495,1337429,0
KEY.US,60,20240415,200000,14.495,14.51,14.34,14.445,2048542,0
KEY.US,60,20240415,210000,14.445,14.455,14.35,14.39,1253833,0
KEY.US,60,20240415,220000,14.39,14.46,14.3,14.43,3794633,0
KEY.US,60,20240416,160000,14.28,14.35,14.065,14.14,640622,0
KEY.US,60,20240416,170000,14.13,14.21,14.07,14.125,1204829,0
KEY.US,60,20240416,180000,14.13,14.255,14.1,14.21,1572875,0
KEY.US,60,20240416,190000,14.21,14.255,14.18,14.1925,1121960,0
KEY.US,60,20240416,200000,14.195,14.24,14.08,14.145,1590370,0
KEY.US,60,20240416,210000,14.14,14.24,14.06,14.225,1604094,0
KEY.US,60,20240416,220000,14.23,14.275,14.165,14.22,3139661,0
KEY.US,60,20240417,160000,14.35,14.485,14.29,14.46,712846,0
KEY.US,60,20240417,170000,14.455,14.465,14.2,14.22,1751797,0
KEY.US,60,20240417,180000,14.225,14.31,14.17,14.26,1933910,0
KEY.US,60,20240417,190000,14.255,14.276,14.18,14.24,1025373,0
KEY.US,60,20240417,200000,14.24,14.47,14.23,14.46,1779356,0
KEY.US,60,20240417,210000,14.4599,14.5,14.38,14.405,1339276,0
KEY.US,60,20240417,220000,14.405,14.505,14.35,14.43,6384897,0
KEY.US,60,20240418,160000,14.3,14.74,14.1,14.505,2589325,0
KEY.US,60,20240418,170000,14.505,14.566,14.25,14.545,4026101,0
KEY.US,60,20240418,180000,14.545,14.81,14.505,14.51,4532719,0
KEY.US,60,20240418,190000,14.515,14.53,14.26,14.315,3524241,0
KEY.US,60,20240418,200000,14.315,14.335,14.18,14.295,2723915,0
KEY.US,60,20240418,210000,14.3,14.37,14.215,14.37,3823356,0
KEY.US,60,20240418,220000,14.37,14.5,14.33,14.38,7835240,0
KEY.US,60,20240419,160000,14.34,14.8,14.32,14.705,1926832,0
KEY.US,60,20240419,170000,14.705,14.78,14.635,14.66,1995144,0
KEY.US,60,20240419,180000,14.6599,14.77,14.63,14.7,2227231,0
KEY.US,60,20240419,190000,14.695,14.72,14.58,14.68,1754603,0
KEY.US,60,20240419,200000,14.685,14.73,14.66,14.67,1392907,0
KEY.US,60,20240419,210000,14.67,14.67,14.555,14.575,1691304,0
KEY.US,60,20240419,220000,14.57,14.65,14.555,14.635,3213186,0
KEY.US,60,20240422,160000,14.69,14.709,14.55,14.5999,1273903,0
KEY.US,60,20240422,170000,14.595,14.62,14.49,14.5,3874952,0
KEY.US,60,20240422,180000,14.495,14.58,14.46,14.495,2443437,0
KEY.US,60,20240422,190000,14.5,14.67,14.47,14.665,2330083,0
KEY.US,60,20240422,200000,14.6635,14.75,14.64,14.7446,2429600,0
KEY.US,60,20240422,210000,14.745,14.765,14.67,14.695,3135608,0
KEY.US,60,20240422,220000,14.69,14.72,14.53,14.64,9556420,0
KEY.US,60,20240423,160000,14.56,14.695,14.51,14.67,1066868,0
KEY.US,60,20240423,170000,14.675,14.68,14.35,14.615,4805452,0
KEY.US,60,20240423,180000,14.62,14.83,14.555,14.72,4908987,0
KEY.US,60,20240423,190000,14.72,14.8,14.675,14.7767,2070405,0
KEY.US,60,20240423,200000,14.77,14.81,14.74,14.785,2028620,0
KEY.US,60,20240423,210000,14.78,14.78,14.7,14.705,1606281,0
KEY.US,60,20240423,220000,14.7,14.74,14.645,14.725,3864089,0
KEY.US,60,20240424,160000,14.54,14.77,14.52,14.73,1094636,0
KEY.US,60,20240424,170000,14.725,14.91,14.7,14.73,2888522,0
KEY.US,60,20240424,180000,14.73,14.76,14.63,14.7,1991209,0
KEY.US,60,20240424,190000,14.7,14.81,14.7,14.78,1782479,0
KEY.US,60,20240424,200000,14.78,14.85,14.77,14.845,1382795,0
KEY.US,60,20240424,210000,14.845,14.87,14.77,14.86,1770518,0
KEY.US,60,20240424,220000,14.855,14.95,14.825,14.93,3134423,0
KEY.US,60,20240425,160000,14.92,14.93,14.51,14.51,917571,0
KEY.US,60,20240425,170000,14.51,14.62,14.44,14.535,2284056,0
KEY.US,60,20240425,180000,14.535,14.555,14.47,14.55,1549886,0
KEY.US,60,20240425,190000,14.55,14.585,14.5,14.535,892632,0
KEY.US,60,20240425,200000,14.53,14.58,14.5,14.5595,749942,0
KEY.US,60,20240425,210000,14.56,14.5872,14.48,14.56,1320238,0
KEY.US,60,20240425,220000,14.57,14.66,14.56,14.61,6235189,0
KEY.US,60,20240426,160000,14.63,14.81,14.62,14.78,492169,0
KEY.US,60,20240426,170000,14.79,14.88,14.7293,14.755,2175644,0
KEY.US,60,20240426,180000,14.755,14.81,14.69,14.8,1307854,0
KEY.US,60,20240426,190000,14.795,14.84,14.785,14.805,838037,0
KEY.US,60,20240426,200000,14.805,14.826,14.75,14.795,1183145,0
KEY.US,60,20240426,210000,14.795,14.83,14.77,14.815,846159,0
KEY.US,60,20240426,220000,14.815,14.82,14.69,14.7,2519047,0
KEY.US,60,20240429,160000,14.745,14.84,14.69,14.79,559475,0
KEY.US,60,20240429,170000,14.79,14.88,14.77,14.835,1696841,0
KEY.US,60,20240429,180000,14.83,14.85,14.765,14.8,933991,0
KEY.US,60,20240429,190000,14.805,14.82,14.76,14.76,817165,0
KEY.US,60,20240429,200000,14.765,14.78,14.72,14.745,791449,0
