<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KKR.US,60,20240411,160000,98.99,100.27,98.99,99.82,356989,0
KKR.US,60,20240411,170000,99.865,100.12,98.96,100.115,430304,0
KKR.US,60,20240411,180000,100.11,101.03,99.83,101,372714,0
KKR.US,60,20240411,190000,101,101.827,100.76,101.66,687014,0
KKR.US,60,20240411,200000,101.69,102.51,101.63,102.36,437652,0
KKR.US,60,20240411,210000,102.365,102.76,101.36,101.645,544316,0
KKR.US,60,20240411,220000,101.66,101.82,100.43,100.45,1538073,0
KKR.US,60,20240412,160000,99.09,99.83,98.08,98.38,80504,0
KKR.US,60,20240412,170000,98.42,98.62,97.79,98.16,317140,0
KKR.US,60,20240412,180000,98.14,98.5,97.9175,98.47,230622,0
KKR.US,60,20240412,190000,98.48,98.63,97.895,98.06,298835,0
KKR.US,60,20240412,200000,98.06,98.455,97.4,97.66,150523,0
KKR.US,60,20240412,210000,97.63,97.765,97.09,97.235,168130,0
KKR.US,60,20240412,220000,97.21,97.4,96.89,97.29,885377,0
KKR.US,60,20240415,160000,98.81,99.22,98.73,98.92,189485,0
KKR.US,60,20240415,170000,98.94,98.95,97.27,97.345,217441,0
KKR.US,60,20240415,180000,97.37,97.4,96.65,97.3,212646,0
KKR.US,60,20240415,190000,97.28,97.55,96.6,96.8,142013,0
KKR.US,60,20240415,200000,96.78,96.83,95.23,95.81,304219,0
KKR.US,60,20240415,210000,95.83,95.83,95.23,95.465,211266,0
KKR.US,60,20240415,220000,95.475,95.92,95.11,95.84,991299,0
KKR.US,60,20240416,160000,95.82,95.82,94.1,94.57,99553,0
KKR.US,60,20240416,170000,94.56,95.23,94.45,94.615,167714,0
KKR.US,60,20240416,180000,94.59,95.34,94.28,95.19,448830,0
KKR.US,60,20240416,190000,95.19,96.3675,95.0182,96.31,852967,0
KKR.US,60,20240416,200000,96.31,96.83,95.91,96.43,674058,0
KKR.US,60,20240416,210000,96.415,97.06,95.86,96.335,540116,0
KKR.US,60,20240416,220000,96.325,97.09,96.2,96.29,1186034,0
KKR.US,60,20240417,160000,97.2,97.39,95.64,95.99,101793,0
KKR.US,60,20240417,170000,95.94,96.12,95.27,95.83,154937,0
KKR.US,60,20240417,180000,95.8,96.04,94.67,95.15,205470,0
KKR.US,60,20240417,190000,95.08,95.13,94.045,94.24,120118,0
KKR.US,60,20240417,200000,94.215,95.025,94.215,94.89,181296,0
KKR.US,60,20240417,210000,94.96,95.72,94.81,94.96,222820,0
KKR.US,60,20240417,220000,94.915,95.04,94.37,94.63,698596,0
KKR.US,60,20240418,160000,94.96,95.22,93.75,94.625,357390,0
KKR.US,60,20240418,170000,94.625,95.29,94.3,94.98,336258,0
KKR.US,60,20240418,180000,95.005,95.88,94.95,95.4,162675,0
KKR.US,60,20240418,190000,95.4,95.6,94.61,94.65,214492,0
KKR.US,60,20240418,200000,94.64,94.68,93.91,94.155,282594,0
KKR.US,60,20240418,210000,94.14,94.23,93.65,94.02,170190,0
KKR.US,60,20240418,220000,94.06,94.19,93.12,93.35,2084938,0
KKR.US,60,20240419,160000,93.71,94.21,93.08,93.985,235256,0
KKR.US,60,20240419,170000,93.995,94.13,92.41,92.62,304475,0
KKR.US,60,20240419,180000,92.55,92.74,92.03,92.095,346555,0
KKR.US,60,20240419,190000,92.095,92.755,91.92,92.69,412085,0
KKR.US,60,20240419,200000,92.66,93.0699,92.6019,92.7414,301856,0
KKR.US,60,20240419,210000,92.74,92.75,92.09,92.27,199836,0
KKR.US,60,20240419,220000,92.29,92.66,92.16,92.62,1231930,0
KKR.US,60,20240422,160000,94.09,94.09,92.9449,93.4825,183670,0
KKR.US,60,20240422,170000,93.46,93.53,92.75,93.155,362916,0
KKR.US,60,20240422,180000,93.13,93.3,92.95,93.265,190953,0
KKR.US,60,20240422,190000,93.27,93.79,93.27,93.78,188810,0
KKR.US,60,20240422,200000,93.81,94.76,93.7325,94.71,193860,0
KKR.US,60,20240422,210000,94.73,95.22,94.64,94.92,244057,0
KKR.US,60,20240422,220000,94.91,95.15,94.37,94.47,984704,0
KKR.US,60,20240423,160000,95,95.55,94.365,95.52,139740,0
KKR.US,60,20240423,170000,95.495,97.07,95.3,96.67,322476,0
KKR.US,60,20240423,180000,96.685,97.12,96.38,96.74,211944,0
KKR.US,60,20240423,190000,96.745,97.65,96.745,97.41,156466,0
KKR.US,60,20240423,200000,97.39,97.75,97.21,97.685,151025,0
KKR.US,60,20240423,210000,97.685,98.095,97.615,97.97,222492,0
KKR.US,60,20240423,220000,97.97,98.19,97.73,97.97,950979,0
KKR.US,60,20240424,160000,98.42,98.55,97.67,97.92,126125,0
KKR.US,60,20240424,170000,97.92,98.09,96.99,97.06,420609,0
KKR.US,60,20240424,180000,97.05,97.09,96.1196,96.16,439704,0
KKR.US,60,20240424,190000,96.15,96.42,95.98,96.34,129820,0
KKR.US,60,20240424,200000,96.33,96.98,96.17,96.9,362849,0
KKR.US,60,20240424,210000,96.925,96.925,96.38,96.54,308038,0
KKR.US,60,20240424,220000,96.55,96.92,96.49,96.77,832153,0
KKR.US,60,20240425,160000,93.74,94.88,93.61,93.86,194120,0
KKR.US,60,20240425,170000,93.85,95.075,93.645,94.7,423519,0
KKR.US,60,20240425,180000,94.7,95.38,94.67,95.35,241528,0
KKR.US,60,20240425,190000,95.35,95.59,95.26,95.49,168885,0
KKR.US,60,20240425,200000,95.44,96.1,95.32,96.04,277641,0
KKR.US,60,20240425,210000,96.06,96.22,95.26,95.47,342913,0
KKR.US,60,20240425,220000,95.47,95.83,94.85,94.87,2167378,0
KKR.US,60,20240426,160000,95.82,96.3,94.72,95.89,94650,0
KKR.US,60,20240426,170000,95.93,96.86,95.69,95.85,264122,0
KKR.US,60,20240426,180000,95.835,95.97,95.3,95.41,115656,0
KKR.US,60,20240426,190000,95.43,95.8,95.3,95.79,110051,0
KKR.US,60,20240426,200000,95.79,95.81,95.55,95.58,66716,0
KKR.US,60,20240426,210000,95.575,95.66,95.25,95.6,119897,0
KKR.US,60,20240426,220000,95.62,95.69,95.29,95.54,638242,0
KKR.US,60,20240429,160000,95.6,96.11,94.85,95.2775,107684,0
KKR.US,60,20240429,170000,95.25,95.96,95.11,95.15,227004,0
KKR.US,60,20240429,180000,95.16,95.4,95.085,95.38,240592,0
KKR.US,60,20240429,190000,95.39,95.54,95.1215,95.165,159147,0
KKR.US,60,20240429,200000,95.155,95.28,94.94,94.965,168389,0
KKR.US,60,20240429,210000,94.96,95.025,94.5,94.79,250214,0
KKR.US,60,20240429,220000,94.77,95.28,94.29,95.28,826274,0
KKR.US,60,20240430,160000,93.88,94.62,93,94.59,188262,0
KKR.US,60,20240430,170000,94.605,95.21,94.46,94.68,291860,0
KKR.US,60,20240430,180000,94.67,94.73,93.52,93.765,209251,0
KKR.US,60,20240430,190000,93.78,94.21,93.575,93.7,237150,0
KKR.US,60,20240430,200000,93.69,94.12,93.62,93.94,212386,0
KKR.US,60,20240430,210000,93.94,94.07,93.32,93.5,171785,0
KKR.US,60,20240430,220000,93.5,93.63,92.975,93.07,1251251,0
KKR.US,60,20240501,160000,95.8,97.28,94.54,94.685,637122,0
KKR.US,60,20240501,170000,94.725,97.04,94.4,96.1,756878,0
KKR.US,60,20240501,180000,96.1,96.13,94.67,94.99,424559,0
KKR.US,60,20240501,190000,94.97,95.13,94.14,94.37,233269,0
KKR.US,60,20240501,200000,94.34,94.8899,94.03,94.85,293410,0
KKR.US,60,20240501,210000,94.88,97.565,94.46,97.025,663516,0
KKR.US,60,20240501,220000,97.055,97.305,95.05,95.12,917051,0
KKR.US,60,20240502,160000,94.79,96.44,94.37,95.1,558870,0
KKR.US,60,20240502,170000,95.13,95.35,93.935,95.14,859733,0
KKR.US,60,20240502,180000,95.16,96.41,94.97,96.26,443847,0
KKR.US,60,20240502,190000,96.245,96.8,95.93,96.42,493044,0
KKR.US,60,20240502,200000,96.43,96.89,96.43,96.79,290062,0
KKR.US,60,20240502,210000,96.8,97.145,96.74,96.84,349534,0
KKR.US,60,20240502,220000,96.845,97.2,96.685,97.13,1576391,0
KKR.US,60,20240507,160000,98.22,98.6199,97.17,98.4884,269636,0
KKR.US,60,20240507,170000,98.455,99.63,98.42,99.63,465901,0
KKR.US,60,20240507,180000,99.65,99.71,98.98,99.38,265968,0
KKR.US,60,20240507,190000,99.39,99.61,99,99.075,251844,0
KKR.US,60,20240507,200000,99.07,99.49,99.06,99.28,315779,0
KKR.US,60,20240507,210000,99.29,99.48,98.91,99.47,404438,0
KKR.US,60,20240507,220000,99.4621,99.81,99.35,99.54,1067258,0
KKR.US,60,20240508,160000,98.64,98.94,97.58,98.9,449825,0
KKR.US,60,20240508,170000,98.9,99.29,98.52,99.15,233884,0
KKR.US,60,20240508,180000,99.19,99.19,98.59,98.9,109259,0
KKR.US,60,20240508,190000,98.8846,99.46,98.8,99.315,132615,0
KKR.US,60,20240508,200000,99.29,99.7,99.06,99.665,151655,0
KKR.US,60,20240508,210000,99.71,99.78,99.36,99.5585,102167,0
KKR.US,60,20240508,220000,99.53,99.98,99.48,99.67,479037,0
KKR.US,60,20240509,160000,99.65,100.7074,99.6,100.61,265135,0
KKR.US,60,20240509,170000,100.66,101.76,100.49,101.525,368317,0
KKR.US,60,20240509,180000,101.51,101.975,101.21,101.33,188122,0
KKR.US,60,20240509,190000,101.35,101.55,101.02,101.415,200172,0
KKR.US,60,20240509,200000,101.4,101.6,101.11,101.59,277956,0
KKR.US,60,20240509,210000,101.59,101.93,101.38,101.93,505619,0
KKR.US,60,20240509,220000,101.92,102.32,101.84,102.22,1047803,0
KKR.US,60,20240510,160000,102.87,103.28,102.4,102.4175,273564,0
KKR.US,60,20240510,170000,102.425,103.09,102.05,102.8,499855,0
KKR.US,60,20240510,180000,102.79,103.045,102.66,102.93,280743,0
KKR.US,60,20240510,190000,102.92,103.025,102.55,102.745,299761,0
KKR.US,60,20240510,200000,102.76,102.78,102.458,102.6885,206939,0
KKR.US,60,20240510,210000,102.68,103.1,102.58,103,251789,0
KKR.US,60,20240510,220000,103,103.15,102.745,103.13,1261599,0
KKR.US,60,20240513,160000,104.23,104.4,102.91,103.04,334824,0
KKR.US,60,20240513,170000,103.04,103.1,102.37,102.64,684268,0
KKR.US,60,20240513,180000,102.68,102.73,102.03,102.06,687732,0
KKR.US,60,20240513,190000,102.06,102.16,101.6,101.945,366433,0
KKR.US,60,20240513,200000,101.945,101.955,101.37,101.4299,229535,0
KKR.US,60,20240513,210000,101.41,101.485,100.84,100.9712,257619,0
KKR.US,60,20240513,220000,100.95,101.15,100.07,100.24,1310789,0
KKR.US,60,20240514,160000,100,101.11,100,100.93,466608,0
KKR.US,60,20240514,170000,100.87,101.39,100.76,101.08,444476,0
KKR.US,60,20240514,180000,101.075,101.32,100.7,101.17,390714,0
KKR.US,60,20240514,190000,101.19,101.3,100.98,101.08,753542,0
KKR.US,60,20240514,200000,101.08,101.6,100.97,101.485,134338,0
KKR.US,60,20240514,210000,101.4901,102.22,101.46,102.215,222875,0
KKR.US,60,20240514,220000,102.23,102.44,101.95,102.44,873840,0
KKR.US,60,20240515,160000,103,105.435,102.54,105.01,252455,0
KKR.US,60,20240515,170000,104.97,105.625,104.85,105.47,376278,0
KKR.US,60,20240515,180000,105.48,105.75,105.05,105.505,234862,0
KKR.US,60,20240515,190000,105.54,106.07,105.44,105.82,183806,0
KKR.US,60,20240515,200000,105.81,106.51,105.79,106.45,297987,0
KKR.US,60,20240515,210000,106.47,106.905,106.36,106.645,520800,0
KKR.US,60,20240515,220000,106.621,107.94,106.55,107.67,1264710,0
KKR.US,60,20240516,160000,107,107.292,106.03,106.35,253665,0
KKR.US,60,20240516,170000,106.35,106.8,106.0486,106.55,355940,0
KKR.US,60,20240516,180000,106.57,106.68,105.78,106.45,307053,0
KKR.US,60,20240516,190000,106.46,106.5,105.885,105.925,204438,0
KKR.US,60,20240516,200000,105.925,105.935,105.03,105.44,420559,0
KKR.US,60,20240516,210000,105.43,105.47,104.93,105.28,414529,0
KKR.US,60,20240516,220000,105.28,105.45,104.115,104.15,1573196,0
KKR.US,60,20240517,160000,104.75,105.01,104.29,104.89,62082,0
KKR.US,60,20240517,170000,104.82,105,104.28,104.54,253122,0
KKR.US,60,20240517,180000,104.51,104.525,103.8863,104.35,108342,0
KKR.US,60,20240517,190000,104.315,104.32,103.96,104.14,90013,0
KKR.US,60,20240517,200000,104.13,104.36,103.925,104.34,94417,0
KKR.US,60,20240517,210000,104.32,104.45,104.01,104.31,80531,0
KKR.US,60,20240517,220000,104.3,104.74,104.285,104.64,521819,0
KKR.US,60,20240520,160000,104.43,105.13,103.93,104.795,133907,0
KKR.US,60,20240520,170000,104.795,105.41,104.48,105.245,182905,0
KKR.US,60,20240520,180000,105.245,105.43,104.88,104.97,148161,0
KKR.US,60,20240520,190000,104.97,105.28,104.905,105.15,108366,0
KKR.US,60,20240520,200000,105.17,105.19,104.93,105,170693,0
KKR.US,60,20240520,210000,104.96,104.97,104.67,104.87,198197,0
KKR.US,60,20240520,220000,104.875,105.1,104.69,104.88,658618,0
KKR.US,60,20240521,160000,104.79,105.61,104.22,105.12,275753,0
KKR.US,60,20240521,170000,105.145,105.72,104.95,105.655,174474,0
KKR.US,60,20240521,180000,105.655,105.72,105.14,105.32,145848,0
KKR.US,60,20240521,190000,105.31,106.1,105.31,105.855,91860,0
KKR.US,60,20240521,200000,105.855,106.695,105.792,106.695,102578,0
KKR.US,60,20240521,210000,106.695,106.7,106.07,106.145,143375,0
KKR.US,60,20240521,220000,106.15,106.71,106.01,106.49,585754,0
KKR.US,60,20240522,160000,107.11,107.92,106.49,106.77,149857,0
KKR.US,60,20240522,170000,106.8,107.14,106.29,106.57,252410,0
KKR.US,60,20240522,180000,106.58,106.639,105.98,106.31,211234,0
KKR.US,60,20240522,190000,106.33,106.64,106.22,106.45,109210,0
KKR.US,60,20240522,200000,106.45,106.54,105.9,106.145,170671,0
KKR.US,60,20240522,210000,106.11,106.11,105.16,105.44,207531,0
KKR.US,60,20240522,220000,105.42,105.86,105.25,105.77,639982,0
KKR.US,60,20240523,160000,107.21,107.23,106.09,106.57,170759,0
KKR.US,60,20240523,170000,106.51,107.01,105.49,105.495,418443,0
KKR.US,60,20240523,180000,105.55,106.82,105.49,106.76,284185,0
KKR.US,60,20240523,190000,106.76,106.99,106.25,106.335,146253,0
KKR.US,60,20240523,200000,106.325,106.325,104.94,104.94,294039,0
KKR.US,60,20240523,210000,104.9,104.945,103.81,103.81,269934,0
KKR.US,60,20240523,220000,103.82,104.38,103.61,103.98,1396999,0
KKR.US,60,20240524,160000,104.68,106.59,104.57,106.505,209609,0
KKR.US,60,20240524,170000,106.57,108,106.57,107.415,451480,0
KKR.US,60,20240524,180000,107.465,107.88,107.13,107.3941,169518,0
KKR.US,60,20240524,190000,107.41,107.96,106.99,107.015,101947,0
KKR.US,60,20240524,200000,107.03,107.1082,106.56,106.95,244795,0
KKR.US,60,20240524,210000,106.945,107.16,106.61,106.64,359218,0
KKR.US,60,20240524,220000,106.62,106.72,106.37,106.43,707003,0
KKR.US,60,20240528,160000,106.4919,107.24,106.26,106.58,198626,0
KKR.US,60,20240528,170000,106.54,106.58,105.97,106.44,304452,0
KKR.US,60,20240528,180000,106.47,106.81,106.1,106.1821,189507,0
KKR.US,60,20240528,190000,106.1771,106.64,105.92,106.215,172730,0
KKR.US,60,20240528,200000,106.215,106.24,105.1389,105.43,311946,0
KKR.US,60,20240528,210000,105.41,105.62,104.73,105.165,129275,0
KKR.US,60,20240528,220000,105.14,105.64,105.13,105.44,1198021,0
KKR.US,60,20240529,160000,104,104.2361,102.92,103.23,164805,0
KKR.US,60,20240529,170000,103.25,104.09,102.96,103.41,356638,0
KKR.US,60,20240529,180000,103.41,103.73,103.01,103.065,167394,0
