<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMI.US,60,20240411,160000,18.3,18.32,18.165,18.21,359912,0
KMI.US,60,20240411,170000,18.21,18.24,18.14,18.17,1677539,0
KMI.US,60,20240411,180000,18.17,18.225,18.12,18.22,1509678,0
KMI.US,60,20240411,190000,18.22,18.31,18.2125,18.295,1841984,0
KMI.US,60,20240411,200000,18.295,18.37,18.295,18.325,1519805,0
KMI.US,60,20240411,210000,18.325,18.355,18.31,18.335,957418,0
KMI.US,60,20240411,220000,18.335,18.35,18.29,18.35,3470861,0
KMI.US,60,20240412,160000,18.39,18.54,18.38,18.41,908366,0
KMI.US,60,20240412,170000,18.405,18.48,18.38,18.39,1942082,0
KMI.US,60,20240412,180000,18.39,18.43,18.24,18.295,2271090,0
KMI.US,60,20240412,190000,18.295,18.32,18.22,18.225,1012126,0
KMI.US,60,20240412,200000,18.225,18.24,18.18,18.21,1516584,0
KMI.US,60,20240412,210000,18.215,18.245,18.0938,18.095,1875165,0
KMI.US,60,20240412,220000,18.095,18.15,18.065,18.13,4045648,0
KMI.US,60,20240415,160000,18.24,18.335,18.211,18.295,516326,0
KMI.US,60,20240415,170000,18.295,18.3,18.15,18.155,793247,0
KMI.US,60,20240415,180000,18.155,18.18,18.11,18.17,887928,0
KMI.US,60,20240415,190000,18.17,18.18,18.0501,18.0975,980783,0
KMI.US,60,20240415,200000,18.09,18.09,17.97,18.015,1235047,0
KMI.US,60,20240415,210000,18.01,18.03,17.935,17.96,807131,0
KMI.US,60,20240415,220000,17.96,18.01,17.915,17.97,3482807,0
KMI.US,60,20240416,160000,17.9825,18.04,17.77,17.77,412737,0
KMI.US,60,20240416,170000,17.775,17.78,17.61,17.6799,1607920,0
KMI.US,60,20240416,180000,17.68,17.8,17.675,17.755,1599213,0
KMI.US,60,20240416,190000,17.75,17.76,17.68,17.7,1146063,0
KMI.US,60,20240416,200000,17.705,17.74,17.65,17.705,1631323,0
KMI.US,60,20240416,210000,17.7,17.775,17.66,17.76,1756935,0
KMI.US,60,20240416,220000,17.77,17.78,17.67,17.69,5118099,0
KMI.US,60,20240417,160000,17.77,17.93,17.73,17.905,767846,0
KMI.US,60,20240417,170000,17.91,17.92,17.77,17.78,1937018,0
KMI.US,60,20240417,180000,17.7701,17.81,17.73,17.7399,1124138,0
KMI.US,60,20240417,190000,17.74,17.745,17.66,17.72,1105255,0
KMI.US,60,20240417,200000,17.72,17.83,17.7,17.805,927621,0
KMI.US,60,20240417,210000,17.805,17.88,17.77,17.8001,1347704,0
KMI.US,60,20240417,220000,17.805,17.83,17.75,17.76,4412651,0
KMI.US,60,20240418,160000,18,18.295,17.95,18.09,2016517,0
KMI.US,60,20240418,170000,18.095,18.24,18.01,18.205,3534189,0
KMI.US,60,20240418,180000,18.2,18.32,18.1,18.32,3469522,0
KMI.US,60,20240418,190000,18.315,18.355,18.22,18.2797,3204509,0
KMI.US,60,20240418,200000,18.275,18.31,18.165,18.2207,1659722,0
KMI.US,60,20240418,210000,18.225,18.235,18.15,18.155,1045691,0
KMI.US,60,20240418,220000,18.155,18.27,18.15,18.21,6332562,0
KMI.US,60,20240419,160000,18.31,18.55,18.255,18.5256,1756924,0
KMI.US,60,20240419,170000,18.53,18.88,18.5,18.805,5206987,0
KMI.US,60,20240419,180000,18.805,18.86,18.71,18.795,3157225,0
KMI.US,60,20240419,190000,18.8,18.82,18.685,18.795,1473055,0
KMI.US,60,20240419,200000,18.8,18.9,18.785,18.805,1676660,0
KMI.US,60,20240419,210000,18.8,18.83,18.75,18.805,1799209,0
KMI.US,60,20240419,220000,18.805,18.86,18.755,18.839,4838046,0
KMI.US,60,20240422,160000,18.79,18.79,18.57,18.66,1189057,0
KMI.US,60,20240422,170000,18.66,18.78,18.64,18.76,1815643,0
KMI.US,60,20240422,180000,18.76,18.78,18.7,18.735,1261856,0
KMI.US,60,20240422,190000,18.74,18.795,18.73,18.79,1021433,0
KMI.US,60,20240422,200000,18.785,18.9,18.77,18.89,1071290,0
KMI.US,60,20240422,210000,18.885,18.92,18.82,18.855,1273217,0
KMI.US,60,20240422,220000,18.85,18.86,18.8,18.82,4526525,0
KMI.US,60,20240423,160000,18.83,18.89,18.69,18.81,825264,0
KMI.US,60,20240423,170000,18.81,18.84,18.71,18.805,2068760,0
KMI.US,60,20240423,180000,18.805,18.88,18.76,18.805,1282033,0
KMI.US,60,20240423,190000,18.805,18.82,18.76,18.795,838981,0
KMI.US,60,20240423,200000,18.795,18.825,18.78,18.805,690111,0
KMI.US,60,20240423,210000,18.805,18.815,18.75,18.775,1741631,0
KMI.US,60,20240423,220000,18.775,18.79,18.74,18.755,4183171,0
KMI.US,60,20240424,160000,18.62,18.68,18.52,18.655,702160,0
KMI.US,60,20240424,170000,18.655,18.775,18.62,18.675,1589440,0
KMI.US,60,20240424,180000,18.675,18.73,18.655,18.695,1746999,0
KMI.US,60,20240424,190000,18.695,18.72,18.6601,18.69,1318001,0
KMI.US,60,20240424,200000,18.685,18.76,18.68,18.76,1146083,0
