<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMX.US,60,20240411,160000,73.38,74.46,69.25,70.35,2721982,0
KMX.US,60,20240411,170000,70.4,70.4,68.5,69.865,1844012,0
KMX.US,60,20240411,180000,69.88,70,68.61,69.51,1026993,0
KMX.US,60,20240411,190000,69.5,70.71,69.43,70.62,1086653,0
KMX.US,60,20240411,200000,70.61,71.02,70,70.15,654440,0
KMX.US,60,20240411,210000,70.14,71.31,69.695,71.19,922843,0
KMX.US,60,20240411,220000,71.21,72.46,71.19,71.98,2043917,0
KMX.US,60,20240412,160000,70.97,72.47,70.505,71.88,302333,0
KMX.US,60,20240412,170000,71.91,72.0497,70.92,71.35,438363,0
KMX.US,60,20240412,180000,71.36,72.04,71.355,71.84,340269,0
KMX.US,60,20240412,190000,71.84,71.945,71.3501,71.68,252046,0
KMX.US,60,20240412,200000,71.685,71.685,70.96,71.435,396847,0
KMX.US,60,20240412,210000,71.44,71.61,70.85,70.925,375278,0
KMX.US,60,20240412,220000,70.905,71.42,70.77,71.41,1012140,0
KMX.US,60,20240415,160000,71.06,71.93,69.97,70.2,116318,0
KMX.US,60,20240415,170000,70.155,70.155,69.08,69.21,281054,0
KMX.US,60,20240415,180000,69.195,69.88,69.02,69.75,283125,0
KMX.US,60,20240415,190000,69.74,69.99,69.35,69.6,296316,0
KMX.US,60,20240415,200000,69.58,70.19,69.48,69.67,381360,0
KMX.US,60,20240415,210000,69.65,69.9,69.44,69.71,185779,0
KMX.US,60,20240415,220000,69.69,69.72,69.02,69.46,937914,0
KMX.US,60,20240416,160000,69.57,69.63,68.92,69.115,344336,0
KMX.US,60,20240416,170000,69.1125,69.93,68.95,69.19,274932,0
KMX.US,60,20240416,180000,69.19,69.87,69.08,69.56,178923,0
KMX.US,60,20240416,190000,69.5,69.7099,69.32,69.65,80186,0
KMX.US,60,20240416,200000,69.64,69.75,69.17,69.66,159799,0
KMX.US,60,20240416,210000,69.66,70.14,69.46,70.06,160841,0
KMX.US,60,20240416,220000,70.07,70.07,69.61,69.8,800225,0
KMX.US,60,20240417,160000,69.99,70.25,68.95,68.98,77440,0
KMX.US,60,20240417,170000,68.97,69.22,68.5999,68.69,219824,0
KMX.US,60,20240417,180000,68.68,69.1,68.55,68.97,147673,0
KMX.US,60,20240417,190000,68.965,69.23,68.84,69.07,117213,0
KMX.US,60,20240417,200000,69.06,69.43,69.04,69.375,77621,0
KMX.US,60,20240417,210000,69.36,69.635,69.15,69.195,130214,0
KMX.US,60,20240417,220000,69.165,69.18,68.51,68.53,763603,0
KMX.US,60,20240418,160000,68.83,69.27,68.39,68.905,146975,0
KMX.US,60,20240418,170000,68.98,69.14,68.55,69.06,105340,0
KMX.US,60,20240418,180000,69.095,69.67,69.095,69.195,111282,0
KMX.US,60,20240418,190000,69.21,69.27,68.55,68.61,92873,0
KMX.US,60,20240418,200000,68.63,68.67,67.85,67.94,153696,0
KMX.US,60,20240418,210000,67.94,68.155,67.7185,67.93,256860,0
KMX.US,60,20240418,220000,67.94,68.105,67.74,67.91,985735,0
KMX.US,60,20240419,160000,68,68.75,67.97,68.53,122547,0
KMX.US,60,20240419,170000,68.54,68.75,67.945,68.48,171746,0
KMX.US,60,20240419,180000,68.5,68.67,68.33,68.41,106704,0
KMX.US,60,20240419,190000,68.4377,68.55,68.08,68.44,86378,0
KMX.US,60,20240419,200000,68.46,68.576,68.075,68.09,113030,0
KMX.US,60,20240419,210000,68.08,68.16,67.87,67.99,118126,0
KMX.US,60,20240419,220000,67.97,68.395,67.9,68.35,298598,0
KMX.US,60,20240422,160000,68.4,68.69,67.31,67.735,98750,0
KMX.US,60,20240422,170000,67.78,68.37,67.67,67.675,112274,0
KMX.US,60,20240422,180000,67.66,67.76,67.4301,67.53,120989,0
KMX.US,60,20240422,190000,67.54,68.04,67.51,67.84,81957,0
KMX.US,60,20240422,200000,67.835,68.17,67.695,68.01,175457,0
KMX.US,60,20240422,210000,68.015,68.4,67.87,67.975,110556,0
KMX.US,60,20240422,220000,67.97,68.13,67.79,67.88,608177,0
KMX.US,60,20240423,160000,68.19,68.96,68.02,68.855,108540,0
KMX.US,60,20240423,170000,68.875,69.68,68.825,69.62,154256,0
KMX.US,60,20240423,180000,69.625,69.67,69.38,69.53,45089,0
KMX.US,60,20240423,190000,69.51,69.835,69.45,69.69,70075,0
KMX.US,60,20240423,200000,69.66,69.85,69.6,69.78,60728,0
KMX.US,60,20240423,210000,69.76,69.995,69.58,69.88,80799,0
KMX.US,60,20240423,220000,69.86,69.87,69.52,69.68,570402,0
KMX.US,60,20240424,160000,69.44,70.34,69.04,69.935,105677,0
KMX.US,60,20240424,170000,69.91,70.58,69.82,70.23,191760,0
KMX.US,60,20240424,180000,70.25,70.49,69.92,70.245,245149,0
KMX.US,60,20240424,190000,70.26,70.44,70.12,70.4,121975,0
KMX.US,60,20240424,200000,70.39,70.78,70.31,70.685,164652,0
KMX.US,60,20240424,210000,70.67,70.67,70.26,70.305,210371,0
KMX.US,60,20240424,220000,70.285,70.455,70.2,70.27,967250,0
KMX.US,60,20240425,160000,69.185,69.21,67.8,67.96,88832,0
KMX.US,60,20240425,170000,67.97,68.56,67.69,68.155,428388,0
KMX.US,60,20240425,180000,68.14,69.015,68.03,68.83,250426,0
KMX.US,60,20240425,190000,68.805,69.13,68.58,68.7,145058,0
KMX.US,60,20240425,200000,68.72,69.39,68.56,69.19,127986,0
KMX.US,60,20240425,210000,69.21,69.47,69,69.22,272886,0
KMX.US,60,20240425,220000,69.23,69.56,68.965,69.22,682788,0
KMX.US,60,20240426,160000,69.07,70.185,69.05,69.79,179162,0
KMX.US,60,20240426,170000,69.835,69.98,69.38,69.68,347258,0
KMX.US,60,20240426,180000,69.7,69.94,69.49,69.62,228069,0
KMX.US,60,20240426,190000,69.61,69.81,69.53,69.69,112358,0
KMX.US,60,20240426,200000,69.68,69.88,69.58,69.69,148703,0
KMX.US,60,20240426,210000,69.7,70.15,69.7,70.089,197090,0
KMX.US,60,20240426,220000,70.08,70.21,69.53,69.59,811635,0
KMX.US,60,20240429,160000,70.02,70.5972,69.73,69.83,63081,0
KMX.US,60,20240429,170000,69.89,70.65,69.78,70.24,138255,0
KMX.US,60,20240429,180000,70.24,70.34,69.77,69.92,125017,0
KMX.US,60,20240429,190000,69.9,70.1495,69.9,70.02,97308,0
KMX.US,60,20240429,200000,70.01,70.15,69.555,69.74,99962,0
KMX.US,60,20240429,210000,69.735,69.855,69.56,69.645,107601,0
KMX.US,60,20240429,220000,69.645,69.645,69.18,69.35,513938,0
KMX.US,60,20240430,160000,68.42,68.42,67.57,67.889,91946,0
KMX.US,60,20240430,170000,67.9,68.62,67.72,68.41,85222,0
KMX.US,60,20240430,180000,68.43,68.87,68.15,68.8,205171,0
KMX.US,60,20240430,190000,68.82,68.975,68.29,68.36,105859,0
KMX.US,60,20240430,200000,68.33,68.48,68.16,68.27,75075,0
KMX.US,60,20240430,210000,68.27,68.36,67.77,68.12,125736,0
KMX.US,60,20240430,220000,68.13,68.22,67.88,67.97,770371,0
KMX.US,60,20240501,160000,67.9,68.26,67.435,67.92,54712,0
KMX.US,60,20240501,170000,67.92,67.97,67.26,67.26,86187,0
KMX.US,60,20240501,180000,67.24,67.48,67.02,67.28,106035,0
KMX.US,60,20240501,190000,67.26,67.5,67.14,67.43,58236,0
KMX.US,60,20240501,200000,67.445,67.7,67.33,67.44,148478,0
KMX.US,60,20240501,210000,67.43,68.76,67.3225,68.73,191064,0
KMX.US,60,20240501,220000,68.74,69.19,67.18,67.21,493719,0
KMX.US,60,20240502,160000,68.67,68.71,66.58,67.035,227378,0
KMX.US,60,20240502,170000,67.03,67.09,65.83,66.72,541163,0
KMX.US,60,20240502,180000,66.72,67.17,66.48,67.01,271124,0
KMX.US,60,20240502,190000,67.0143,67.25,66.61,67.18,177107,0
KMX.US,60,20240502,200000,67.2,67.25,66.92,67.0287,99388,0
KMX.US,60,20240502,210000,67.02,67.7682,67.02,67.62,148780,0
KMX.US,60,20240502,220000,67.62,68.07,67.48,68.04,756777,0
KMX.US,60,20240507,160000,69.96,70.7,69.6,70.61,40160,0
KMX.US,60,20240507,170000,70.575,70.92,70.2,70.5,125560,0
KMX.US,60,20240507,180000,70.495,70.64,70.1,70.25,101743,0
