<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KO.US,60,20240411,160000,59.15,59.235,59,59.105,638690,0
KO.US,60,20240411,170000,59.11,59.11,58.8831,58.91,992385,0
KO.US,60,20240411,180000,58.91,58.99,58.785,58.98,682582,0
KO.US,60,20240411,190000,58.99,59,58.87,58.955,560000,0
KO.US,60,20240411,200000,58.96,59.22,58.92,59.195,690553,0
KO.US,60,20240411,210000,59.2,59.365,59.185,59.3356,813641,0
KO.US,60,20240411,220000,59.335,59.37,59.035,59.05,3409016,0
KO.US,60,20240412,160000,58.95,59.01,58.76,58.87,665309,0
KO.US,60,20240412,170000,58.86,58.875,58.73,58.805,768074,0
KO.US,60,20240412,180000,58.805,58.85,58.44,58.575,1413458,0
KO.US,60,20240412,190000,58.575,58.595,58.2,58.21,1116823,0
KO.US,60,20240412,200000,58.215,58.33,58.13,58.3111,880737,0
KO.US,60,20240412,210000,58.315,58.43,58.2,58.24,835425,0
KO.US,60,20240412,220000,58.23,58.315,58.16,58.28,4100957,0
KO.US,60,20240415,160000,58.61,58.805,58.53,58.7,895004,0
KO.US,60,20240415,170000,58.69,58.7,58.39,58.525,946717,0
KO.US,60,20240415,180000,58.52,58.72,58.48,58.65,711073,0
KO.US,60,20240415,190000,58.645,58.7,58.49,58.55,579549,0
KO.US,60,20240415,200000,58.555,58.59,58.26,58.3,1199660,0
KO.US,60,20240415,210000,58.285,58.3087,58.04,58.12,869216,0
KO.US,60,20240415,220000,58.115,58.29,58.085,58.14,4299797,0
KO.US,60,20240416,160000,58.25,58.38,58.2,58.26,770237,0
KO.US,60,20240416,170000,58.26,58.305,58.075,58.16,1314605,0
KO.US,60,20240416,180000,58.17,58.27,58.1,58.225,709539,0
KO.US,60,20240416,190000,58.22,58.29,58.145,58.165,454724,0
KO.US,60,20240416,200000,58.1699,58.1754,57.94,58.07,722555,0
KO.US,60,20240416,210000,58.06,58.24,57.93,58.1981,800505,0
KO.US,60,20240416,220000,58.2,58.22,57.99,58.06,4492006,0
KO.US,60,20240417,160000,58.27,58.43,58.15,58.29,1388216,0
KO.US,60,20240417,170000,58.29,58.36,58.25,58.305,1295248,0
KO.US,60,20240417,180000,58.305,58.33,58.1,58.205,1172689,0
KO.US,60,20240417,190000,58.21,58.345,58.175,58.335,937771,0
KO.US,60,20240417,200000,58.335,58.48,58.26,58.47,1462167,0
KO.US,60,20240417,210000,58.475,58.5,58.3,58.395,762646,0
KO.US,60,20240417,220000,58.395,58.555,58.33,58.51,4507441,0
KO.US,60,20240418,160000,58.62,58.845,58.54,58.78,650983,0
KO.US,60,20240418,170000,58.78,58.815,58.69,58.775,803430,0
KO.US,60,20240418,180000,58.78,58.86,58.71,58.745,1029380,0
KO.US,60,20240418,190000,58.748,58.815,58.655,58.6899,1122924,0
KO.US,60,20240418,200000,58.69,58.78,58.67,58.753,540146,0
KO.US,60,20240418,210000,58.75,58.82,58.7,58.7536,649386,0
KO.US,60,20240418,220000,58.755,58.98,58.755,58.91,4301884,0
KO.US,60,20240419,160000,59.1,59.18,58.995,59.125,1396715,0
KO.US,60,20240419,170000,59.125,59.61,59.095,59.34,1447506,0
KO.US,60,20240419,180000,59.3434,59.62,59.295,59.545,1356399,0
KO.US,60,20240419,190000,59.54,59.72,59.48,59.695,1221799,0
KO.US,60,20240419,200000,59.7,59.7499,59.6,59.67,686600,0
KO.US,60,20240419,210000,59.665,60.19,59.6,60.19,3148428,0
KO.US,60,20240419,220000,60.18,60.355,60.11,60.17,4299316,0
KO.US,60,20240422,160000,60.13,60.28,59.715,59.92,939505,0
KO.US,60,20240422,170000,59.92,60.145,59.825,60.07,1379673,0
KO.US,60,20240422,180000,60.065,60.18,60.01,60.175,810666,0
KO.US,60,20240422,190000,60.18,60.4,60.145,60.345,744577,0
KO.US,60,20240422,200000,60.35,60.63,60.31,60.54,954936,0
KO.US,60,20240422,210000,60.545,60.61,60.4501,60.535,1794525,0
KO.US,60,20240422,220000,60.535,60.57,60.31,60.55,5535325,0
KO.US,60,20240423,160000,60.53,60.54,60.25,60.39,794577,0
KO.US,60,20240423,170000,60.385,60.53,60.135,60.365,1402818,0
KO.US,60,20240423,180000,60.37,60.4075,60.13,60.215,875789,0
KO.US,60,20240423,190000,60.22,60.529,60.165,60.48,2903035,0
KO.US,60,20240423,200000,60.48,60.595,60.455,60.595,622443,0
KO.US,60,20240423,210000,60.59,60.67,60.58,60.615,917947,0
KO.US,60,20240423,220000,60.62,60.675,60.53,60.65,3586767,0
KO.US,60,20240424,160000,60.32,60.45,59.84,60.44,1032010,0
KO.US,60,20240424,170000,60.45,60.875,60.435,60.84,1570731,0
KO.US,60,20240424,180000,60.845,61.23,60.82,61.155,1567020,0
KO.US,60,20240424,190000,61.16,61.355,61.16,61.175,1225776,0
KO.US,60,20240424,200000,61.175,61.48,61.14,61.47,2213236,0
KO.US,60,20240424,210000,61.47,61.54,61.395,61.445,1356111,0
KO.US,60,20240424,220000,61.44,61.65,61.41,61.55,7922124,0
