<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
L.US,60,20240411,160000,74.57,74.59,73.974,74.15,17339,0
L.US,60,20240411,170000,74.145,74.145,73.64,74.045,29011,0
L.US,60,20240411,180000,74.03,74.15,73.915,74.1,20513,0
L.US,60,20240411,190000,74.13,74.1724,74.03,74.11,13445,0
L.US,60,20240411,200000,74.13,74.35,74.07,74.16,23063,0
L.US,60,20240411,210000,74.18,74.41,74.14,74.165,39786,0
L.US,60,20240411,220000,74.16,74.21,73.78,73.81,375023,0
L.US,60,20240412,160000,73.74,74.47,73.74,74.12,22055,0
L.US,60,20240412,170000,74.05,74.135,73.84,73.91,27423,0
L.US,60,20240412,180000,73.9,74.04,73.77,74.03,25496,0
L.US,60,20240412,190000,74,74.07,73.72,73.78,28305,0
L.US,60,20240412,200000,73.76,73.86,73.61,73.85,25970,0
L.US,60,20240412,210000,73.84,74,73.64,73.71,50174,0
L.US,60,20240412,220000,73.7,73.92,73.5,73.9,337184,0
L.US,60,20240415,160000,74.81,74.95,74.485,74.59,17023,0
L.US,60,20240415,170000,74.64,74.64,74.046,74.1,26310,0
L.US,60,20240415,180000,74.07,74.24,74.05,74.24,18168,0
L.US,60,20240415,190000,74.21,74.269,74,74.03,20737,0
L.US,60,20240415,200000,74.02,74.09,73.38,73.64,66724,0
L.US,60,20240415,210000,73.64,73.67,73.39,73.53,30848,0
L.US,60,20240415,220000,73.55,73.63,73.3,73.44,252159,0
L.US,60,20240416,160000,73.7,73.75,73.41,73.51,12760,0
L.US,60,20240416,170000,73.44,73.5,73.18,73.3,24391,0
L.US,60,20240416,180000,73.31,73.52,73.22,73.39,21233,0
L.US,60,20240416,190000,73.395,73.57,73.37,73.51,19512,0
L.US,60,20240416,200000,73.49,73.625,73.32,73.43,35693,0
L.US,60,20240416,210000,73.42,73.63,73.24,73.56,32797,0
L.US,60,20240416,220000,73.58,73.59,73.21,73.32,241446,0
L.US,60,20240417,160000,73.02,73.67,72.91,73.62,27706,0
L.US,60,20240417,170000,73.61,73.66,73.41,73.585,46197,0
L.US,60,20240417,180000,73.6,73.63,73.3,73.395,43829,0
L.US,60,20240417,190000,73.4,73.4,73.09,73.13,28653,0
L.US,60,20240417,200000,73.115,73.35,73.1,73.31,24400,0
L.US,60,20240417,210000,73.32,73.53,73.21,73.25,32218,0
L.US,60,20240417,220000,73.22,73.26,73,73.14,311800,0
L.US,60,20240418,160000,73.44,74.265,73.44,74.09,18842,0
L.US,60,20240418,170000,74.15,74.23,73.96,74.125,23534,0
L.US,60,20240418,180000,74.145,74.21,73.98,74.07,25941,0
L.US,60,20240418,190000,74.06,74.08,73.92,73.935,30191,0
L.US,60,20240418,200000,73.91,74,73.65,73.7,20901,0
L.US,60,20240418,210000,73.69,73.83,73.61,73.71,27443,0
L.US,60,20240418,220000,73.71,74.03,73.7,73.84,256236,0
L.US,60,20240419,160000,74.25,74.69,74.11,74.67,39491,0
L.US,60,20240419,170000,74.7,75.06,74.69,74.96,33997,0
L.US,60,20240419,180000,74.95,75.06,74.82,75.05,32460,0
L.US,60,20240419,190000,75.06,75.3,75.03,75.25,19548,0
L.US,60,20240419,200000,75.275,75.51,75.2,75.39,35001,0
L.US,60,20240419,210000,75.37,75.55,75.21,75.55,26354,0
L.US,60,20240419,220000,75.52,75.69,75.41,75.65,99878,0
L.US,60,20240422,160000,75.76,75.89,75.55,75.79,22519,0
L.US,60,20240422,170000,75.83,76.325,75.81,76.14,24265,0
L.US,60,20240422,180000,76.15,76.3,76,76.285,22031,0
L.US,60,20240422,190000,76.3,76.51,76.26,76.51,20125,0
L.US,60,20240422,200000,76.51,76.84,76.39,76.76,25669,0
L.US,60,20240422,210000,76.77,76.91,76.66,76.8,30897,0
L.US,60,20240422,220000,76.79,76.795,76.32,76.48,347814,0
L.US,60,20240423,160000,76.64,76.81,76.28,76.54,7196,0
L.US,60,20240423,170000,76.55,76.73,76.34,76.57,14552,0
L.US,60,20240423,180000,76.58,76.75,76.51,76.75,22048,0
L.US,60,20240423,190000,76.73,76.81,76.62,76.71,16638,0
L.US,60,20240423,200000,76.7,76.86,76.7,76.78,13998,0
L.US,60,20240423,210000,76.77,76.77,76.47,76.54,28708,0
L.US,60,20240423,220000,76.53,76.78,76.38,76.73,285079,0
L.US,60,20240424,160000,76.2,76.43,75.97,75.99,16474,0
L.US,60,20240424,170000,75.92,76.32,75.92,76.2,14180,0
L.US,60,20240424,180000,76.21,76.34,76.13,76.34,12252,0
L.US,60,20240424,190000,76.34,76.44,76.29,76.44,17178,0
L.US,60,20240424,200000,76.42,76.475,76.34,76.44,15221,0
L.US,60,20240424,210000,76.45,76.5,76.315,76.44,17937,0
L.US,60,20240424,220000,76.39,76.84,76.375,76.81,206149,0
L.US,60,20240425,160000,76.84,77.06,76.3,76.455,11512,0
L.US,60,20240425,170000,76.43,76.435,76.14,76.21,21118,0
L.US,60,20240425,180000,76.21,76.41,76.13,76.3891,22000,0
L.US,60,20240425,190000,76.38,76.59,76.38,76.52,16657,0
L.US,60,20240425,200000,76.515,76.69,76.31,76.67,21971,0
L.US,60,20240425,210000,76.65,76.69,76.45,76.54,21985,0
L.US,60,20240425,220000,76.55,76.74,76.36,76.41,266681,0
L.US,60,20240426,160000,76.01,76.01,75.55,75.8,10851,0
L.US,60,20240426,170000,75.75,76.02,75.51,75.63,12914,0
L.US,60,20240426,180000,75.65,75.695,75.42,75.52,13689,0
L.US,60,20240426,190000,75.53,75.66,75.49,75.58,11163,0
L.US,60,20240426,200000,75.59,75.62,75.49,75.5,9905,0
L.US,60,20240426,210000,75.505,75.71,75.48,75.61,22607,0
L.US,60,20240426,220000,75.6,75.7,75.44,75.46,186922,0
L.US,60,20240429,160000,75.46,75.91,75.41,75.77,21761,0
L.US,60,20240429,170000,75.805,75.88,75.69,75.75,43221,0
L.US,60,20240429,180000,75.75,75.82,75.57,75.62,20283,0
L.US,60,20240429,190000,75.61,75.8,75.6,75.715,19988,0
L.US,60,20240429,200000,75.71,75.8,75.65,75.79,21542,0
L.US,60,20240429,210000,75.77,75.88,75.74,75.8006,34482,0
L.US,60,20240429,220000,75.79,75.83,75.55,75.82,190375,0
L.US,60,20240430,160000,75.68,75.68,75.42,75.49,9253,0
L.US,60,20240430,170000,75.48,75.59,75.33,75.59,15607,0
L.US,60,20240430,180000,75.55,75.55,75.28,75.33,16106,0
L.US,60,20240430,190000,75.33,75.42,75.26,75.335,13286,0
L.US,60,20240430,200000,75.32,75.48,75.26,75.48,17827,0
L.US,60,20240430,210000,75.47,75.5,75.22,75.27,19140,0
L.US,60,20240430,220000,75.29,75.33,75.1,75.15,290692,0
L.US,60,20240501,160000,75.23,75.935,75.23,75.85,18926,0
L.US,60,20240501,170000,75.75,76.13,75.61,75.98,32016,0
L.US,60,20240501,180000,75.97,76.16,75.97,76.105,24218,0
L.US,60,20240501,190000,76.09,76.13,76.01,76.08,12637,0
L.US,60,20240501,200000,76.09,76.18,75.98,76.03,23408,0
L.US,60,20240501,210000,76.02,76.75,75.88,76.67,35509,0
L.US,60,20240501,220000,76.72,76.8,76.25,76.28,403640,0
L.US,60,20240502,160000,76.748,76.748,76.11,76.38,10269,0
L.US,60,20240502,170000,76.47,76.62,76.29,76.46,19770,0
L.US,60,20240502,180000,76.45,76.53,76.32,76.44,18847,0
L.US,60,20240502,190000,76.44,76.6,76.42,76.49,12635,0
L.US,60,20240502,200000,76.505,76.67,76.505,76.54,20460,0
L.US,60,20240502,210000,76.54,76.79,76.54,76.76,20797,0
L.US,60,20240502,220000,76.77,76.781,76.35,76.53,263919,0
L.US,60,20240507,160000,77.96,78.045,77.7,77.8,20514,0
L.US,60,20240507,170000,77.86,78.1,77.745,77.91,42992,0
L.US,60,20240507,180000,77.92,78.055,77.87,77.94,21086,0
L.US,60,20240507,190000,77.92,77.98,77.84,77.88,22061,0
L.US,60,20240507,200000,77.885,78.05,77.88,77.915,31938,0
L.US,60,20240507,210000,77.94,78.0425,77.84,77.855,25160,0
L.US,60,20240507,220000,77.85,77.95,77.76,77.81,218087,0
L.US,60,20240508,160000,77.91,78.14,77.62,77.66,35314,0
L.US,60,20240508,170000,77.68,77.72,77.475,77.54,37182,0
L.US,60,20240508,180000,77.54,77.54,77.36,77.51,29727,0
L.US,60,20240508,190000,77.51,77.52,77.27,77.27,20930,0
L.US,60,20240508,200000,77.28,77.48,77.23,77.48,22690,0
L.US,60,20240508,210000,77.48,77.5,77.325,77.33,24408,0
L.US,60,20240508,220000,77.32,77.47,77.26,77.31,241237,0
L.US,60,20240509,160000,77.13,77.41,76.96,77.24,12333,0
L.US,60,20240509,170000,77.21,77.375,77.09,77.32,27846,0
L.US,60,20240509,180000,77.325,77.42,77.18,77.37,26123,0
L.US,60,20240509,190000,77.37,77.4,77.26,77.32,22309,0
L.US,60,20240509,200000,77.32,77.4,77.255,77.285,22235,0
L.US,60,20240509,210000,77.28,77.34,77.25,77.31,22547,0
L.US,60,20240509,220000,77.31,77.74,77.26,77.7,291958,0
L.US,60,20240510,160000,77.79,77.9,77.65,77.65,14379,0
L.US,60,20240510,170000,77.62,77.87,77.55,77.73,23332,0
L.US,60,20240510,180000,77.73,77.82,77.53,77.78,22982,0
L.US,60,20240510,190000,77.7975,77.85,77.77,77.79,12915,0
L.US,60,20240510,200000,77.79,78,77.78,77.975,26486,0
L.US,60,20240510,210000,77.97,77.9724,77.81,77.96,33156,0
L.US,60,20240510,220000,77.975,78.165,77.94,77.98,297787,0
L.US,60,20240513,160000,77.775,78.1,77.775,78.005,10230,0
L.US,60,20240513,170000,77.97,78,77.843,77.995,21192,0
L.US,60,20240513,180000,77.98,78.06,77.93,77.96,20130,0
L.US,60,20240513,190000,77.955,77.955,77.77,77.78,17583,0
L.US,60,20240513,200000,77.75,77.76,77.61,77.61,16821,0
L.US,60,20240513,210000,77.6,77.79,77.58,77.71,23135,0
L.US,60,20240513,220000,77.74,77.75,77.28,77.34,258619,0
L.US,60,20240514,160000,77.335,77.6,76.75,77.43,14539,0
L.US,60,20240514,170000,77.4,77.525,77.15,77.29,27780,0
L.US,60,20240514,180000,77.29,77.3,77.09,77.11,22572,0
L.US,60,20240514,190000,77.12,77.219,77.06,77.08,16876,0
L.US,60,20240514,200000,77.04,77.08,76.97,77,16763,0
L.US,60,20240514,210000,77.01,77.31,77.01,77.1854,31086,0
L.US,60,20240514,220000,77.2,77.37,77.095,77.34,274656,0
L.US,60,20240515,160000,77.25,77.48,77.25,77.36,12503,0
L.US,60,20240515,170000,77.34,77.42,77.17,77.17,17584,0
L.US,60,20240515,180000,77.17,77.17,76.94,76.96,20690,0
L.US,60,20240515,190000,76.93,77.03,76.91,77.01,13541,0
L.US,60,20240515,200000,77,77.02,76.645,76.74,16390,0
