<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAZ.US,60,20240411,160000,39.88,39.9954,39.67,39.84,5093,0
LAZ.US,60,20240411,170000,39.81,39.81,39.135,39.19,21275,0
LAZ.US,60,20240411,180000,39.16,39.2838,39.087,39.26,22762,0
LAZ.US,60,20240411,190000,39.27,39.29,39.1,39.11,29505,0
LAZ.US,60,20240411,200000,39.12,39.49,39.07,39.42,19433,0
LAZ.US,60,20240411,210000,39.4,39.455,39.25,39.29,29481,0
LAZ.US,60,20240411,220000,39.3,39.78,39.28,39.64,433217,0
LAZ.US,60,20240412,160000,39.46,39.63,39.05,39.07,13736,0
LAZ.US,60,20240412,170000,39.09,39.09,38.55,38.685,61426,0
LAZ.US,60,20240412,180000,38.71,38.79,38.63,38.75,28145,0
LAZ.US,60,20240412,190000,38.73,38.73,38.39,38.565,50636,0
LAZ.US,60,20240412,200000,38.57,38.62,38.2655,38.5,172629,0
LAZ.US,60,20240412,210000,38.52,38.6,38.36,38.36,54050,0
LAZ.US,60,20240412,220000,38.35,38.53,38.32,38.37,163884,0
LAZ.US,60,20240415,160000,38.78,39.17,38.39,38.58,53890,0
LAZ.US,60,20240415,170000,38.565,38.71,38.05,38.07,53048,0
LAZ.US,60,20240415,180000,38.03,38.23,37.86,38.105,166862,0
LAZ.US,60,20240415,190000,38.09,38.14,37.74,37.87,310807,0
LAZ.US,60,20240415,200000,37.89,37.89,37.57,37.63,177221,0
LAZ.US,60,20240415,210000,37.63,37.725,37.4,37.53,124727,0
LAZ.US,60,20240415,220000,37.53,37.675,37.21,37.58,618051,0
LAZ.US,60,20240416,160000,37.27,37.51,36.96,37.24,22010,0
LAZ.US,60,20240416,170000,37.13,37.16,36.82,36.94,50977,0
LAZ.US,60,20240416,180000,36.94,37.37,36.92,37.26,55675,0
LAZ.US,60,20240416,190000,37.22,37.465,37.12,37.35,58807,0
LAZ.US,60,20240416,200000,37.4006,37.466,37.11,37.2608,56149,0
LAZ.US,60,20240416,210000,37.28,37.45,37.09,37.41,59965,0
LAZ.US,60,20240416,220000,37.43,37.53,37.12,37.13,220128,0
LAZ.US,60,20240417,160000,37.34,38.17,37.19,38.16,62959,0
LAZ.US,60,20240417,170000,38.07,38.24,37.56,37.71,155458,0
LAZ.US,60,20240417,180000,37.69,37.81,37.44,37.63,43586,0
LAZ.US,60,20240417,190000,37.62,37.62,37.34,37.36,40283,0
LAZ.US,60,20240417,200000,37.35,37.78,37.35,37.74,44947,0
LAZ.US,60,20240417,210000,37.76,37.84,37.58,37.65,67988,0
LAZ.US,60,20240417,220000,37.64,37.68,37.37,37.44,241029,0
LAZ.US,60,20240418,160000,37.61,37.91,37.49,37.83,7294,0
LAZ.US,60,20240418,170000,37.785,37.92,37.65,37.82,28943,0
LAZ.US,60,20240418,180000,37.8,38.08,37.78,37.85,33215,0
LAZ.US,60,20240418,190000,37.9,37.9736,37.765,37.8,23019,0
LAZ.US,60,20240418,200000,37.79,37.79,37.49,37.65,22459,0
LAZ.US,60,20240418,210000,37.61,37.6698,37.46,37.59,29350,0
LAZ.US,60,20240418,220000,37.595,37.905,37.54,37.83,197788,0
LAZ.US,60,20240419,160000,37.94,38.32,37.8208,38.22,19025,0
LAZ.US,60,20240419,170000,38.25,38.28,37.97,38.115,87183,0
LAZ.US,60,20240419,180000,38.02,38.17,37.94,38.05,53167,0
LAZ.US,60,20240419,190000,38.05,38.1703,37.8,38.05,70207,0
LAZ.US,60,20240419,200000,38.05,38.1924,37.88,37.91,100974,0
LAZ.US,60,20240419,210000,37.89,37.96,37.69,37.75,52532,0
LAZ.US,60,20240419,220000,37.73,37.92,37.655,37.92,207395,0
LAZ.US,60,20240422,160000,38.14,38.2775,37.85,38.25,21167,0
LAZ.US,60,20240422,170000,38.2,38.74,38.2,38.52,46598,0
LAZ.US,60,20240422,180000,38.53,38.68,38.4,38.63,72677,0
LAZ.US,60,20240422,190000,38.65,39.16,38.65,39.13,36512,0
LAZ.US,60,20240422,200000,39.16,39.27,39.03,39.1,119182,0
LAZ.US,60,20240422,210000,39.1,39.14,38.6,38.71,69290,0
LAZ.US,60,20240422,220000,38.71,39,38.47,38.5,371534,0
LAZ.US,60,20240423,160000,38.6,39.17,38.6,39.11,44165,0
LAZ.US,60,20240423,170000,39.13,39.59,39.02,39.565,116548,0
LAZ.US,60,20240423,180000,39.54,39.7,39.5,39.58,32862,0
LAZ.US,60,20240423,190000,39.5758,39.76,39.56,39.745,29168,0
LAZ.US,60,20240423,200000,39.78,39.975,39.73,39.95,44081,0
LAZ.US,60,20240423,210000,39.95,39.9676,39.515,39.68,62108,0
LAZ.US,60,20240423,220000,39.67,39.74,39.55,39.645,281462,0
LAZ.US,60,20240424,160000,39.34,39.51,38.7,38.74,54069,0
LAZ.US,60,20240424,170000,38.73,38.97,38.485,38.61,134735,0
LAZ.US,60,20240424,180000,38.62,38.84,38.49,38.63,109093,0
LAZ.US,60,20240424,190000,38.63,38.98,38.59,38.85,47518,0
