<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LMT.US,60,20240411,160000,451.5,453.48,450.2628,451.96,62672,0
LMT.US,60,20240411,170000,451.88,451.94,448.945,450.23,75254,0
LMT.US,60,20240411,180000,450.21,451.535,449.86,451.295,55651,0
LMT.US,60,20240411,190000,451.06,452.362,450.955,452.24,30157,0
LMT.US,60,20240411,200000,452.103,453.44,452.05,452.93,27552,0
LMT.US,60,20240411,210000,452.96,453.75,452.76,453.38,32196,0
LMT.US,60,20240411,220000,453.36,453.59,452.13,452.32,210218,0
LMT.US,60,20240412,160000,454.11,457.9799,453.522,455.84,84292,0
LMT.US,60,20240412,170000,455.065,456.57,454.5,456,64832,0
LMT.US,60,20240412,180000,455.97,456.4,452.89,453.17,62770,0
LMT.US,60,20240412,190000,453.17,453.84,450.7,451.18,51113,0
LMT.US,60,20240412,200000,450.88,453.69,450.685,453.26,67895,0
LMT.US,60,20240412,210000,453.26,453.8226,450.58,450.58,53882,0
LMT.US,60,20240412,220000,450.803,452.109,450.11,450.4,302475,0
LMT.US,60,20240415,160000,458.99,459.3001,454.03,455.295,172311,0
LMT.US,60,20240415,170000,455.12,455.55,451.63,454.15,135115,0
LMT.US,60,20240415,180000,454.145,456.43,453.3,456.02,79710,0
LMT.US,60,20240415,190000,456.025,456.05,453.44,454.69,44918,0
LMT.US,60,20240415,200000,455.01,456.08,453.26,455.41,115089,0
LMT.US,60,20240415,210000,455.34,458.88,453.0867,453.77,356190,0
LMT.US,60,20240415,220000,454.03,456.06,452.76,453.08,526039,0
LMT.US,60,20240416,160000,453.6251,458.4788,453.6251,457.5,86360,0
LMT.US,60,20240416,170000,457.49,458.84,454.68,455.46,85247,0
LMT.US,60,20240416,180000,455.47,457.8,454.05,457.12,51254,0
LMT.US,60,20240416,190000,457.02,457.7499,456.455,456.81,37828,0
LMT.US,60,20240416,200000,456.79,457.065,455.6,456.51,41977,0
LMT.US,60,20240416,210000,456.42,457.88,455.62,457.83,54170,0
LMT.US,60,20240416,220000,457.82,457.85,454.21,454.31,401124,0
LMT.US,60,20240417,160000,456.71,457.24,454.76,455.9,24592,0
LMT.US,60,20240417,170000,454.97,456.68,453.76,453.79,41295,0
LMT.US,60,20240417,180000,453.645,454.24,452.35,452.35,41578,0
LMT.US,60,20240417,190000,452.4667,453.8165,451.7301,452.905,27762,0
LMT.US,60,20240417,200000,452.755,454.72,452.555,454.06,29071,0
LMT.US,60,20240417,210000,454.17,455.51,453.9,454.6,28025,0
LMT.US,60,20240417,220000,454.59,456.2,453.53,456.05,169019,0
LMT.US,60,20240418,160000,454.84,457.52,454.2675,457.52,33306,0
LMT.US,60,20240418,170000,457.28,458.05,456.68,458.005,23339,0
LMT.US,60,20240418,180000,457.96,457.96,455.7801,456.61,28922,0
LMT.US,60,20240418,190000,456.7,456.7,455.02,455.29,29120,0
LMT.US,60,20240418,200000,455.39,455.5,454.64,455,18985,0
LMT.US,60,20240418,210000,454.8701,455.743,454.7,454.9557,15134,0
LMT.US,60,20240418,220000,454.86,456.41,454.65,456.09,158438,0
LMT.US,60,20240419,160000,457.8,460.8599,457.28,460.5,89187,0
LMT.US,60,20240419,170000,460.47,463.44,460.29,461.79,69886,0
LMT.US,60,20240419,180000,461.65,463.8,460.9444,463.445,57227,0
LMT.US,60,20240419,190000,463.34,464.75,462.4301,464.6138,51854,0
LMT.US,60,20240419,200000,464.71,465.36,463.81,464.98,52795,0
LMT.US,60,20240419,210000,465.005,465.21,463.96,464.605,50389,0
LMT.US,60,20240419,220000,464.4316,464.84,463.3,464.14,118361,0
LMT.US,60,20240422,160000,465.23,469.54,461.7561,465.74,96571,0
LMT.US,60,20240422,170000,465.135,465.71,462.5,463.93,87567,0
LMT.US,60,20240422,180000,463.88,465.8,463.1,464.61,111836,0
LMT.US,60,20240422,190000,464.7675,464.77,462.51,464.33,101736,0
LMT.US,60,20240422,200000,464.455,467.7399,463.93,466.67,68117,0
LMT.US,60,20240422,210000,466.7,466.8,463.25,464.1,68511,0
LMT.US,60,20240422,220000,464.24,464.24,460.41,461.33,345139,0
LMT.US,60,20240423,160000,466.11,473.54,465.66,467,125421,0
LMT.US,60,20240423,170000,467,467.57,460.11,461.3,176041,0
LMT.US,60,20240423,180000,461.17,466.24,457.66,465.61,118778,0
LMT.US,60,20240423,190000,465.74,466.03,461.45,463.68,61173,0
LMT.US,60,20240423,200000,463.65,463.77,460.53,460.76,67470,0
LMT.US,60,20240423,210000,460.665,461.61,459.22,459.72,72543,0
LMT.US,60,20240423,220000,459.84,461.224,459.215,460.08,259791,0
LMT.US,60,20240424,160000,462.7,463.69,456.53,458.02,64417,0
LMT.US,60,20240424,170000,458.44,458.79,456.06,458.3,57330,0
LMT.US,60,20240424,180000,458.58,459.96,457.44,458.855,44463,0
LMT.US,60,20240424,190000,459.385,459.71,458.31,458.3546,46204,0
LMT.US,60,20240424,200000,458.26,460.75,458.11,460.52,35166,0
LMT.US,60,20240424,210000,460.41,460.69,459.29,459.7,35549,0
LMT.US,60,20240424,220000,459.57,459.72,458.815,459.14,245073,0
LMT.US,60,20240425,160000,457.95,463.6,457.5263,462.47,40354,0
LMT.US,60,20240425,170000,462.45,462.715,458.49,460.21,41441,0
LMT.US,60,20240425,180000,460,460.65,459.08,460.22,44211,0
LMT.US,60,20240425,190000,460.3555,463.195,460.09,462.61,26445,0
LMT.US,60,20240425,200000,462.855,463.25,461.72,462.66,38751,0
LMT.US,60,20240425,210000,462.66,463.845,462.24,463.55,49624,0
LMT.US,60,20240425,220000,463.5203,465.6,463.5203,464.78,250875,0
LMT.US,60,20240426,160000,463.9,466,461.85,463.18,28239,0
LMT.US,60,20240426,170000,463.38,463.86,460.11,461.29,98656,0
LMT.US,60,20240426,180000,461.31,461.31,459.17,460.675,41948,0
LMT.US,60,20240426,190000,460.6,462.59,460.38,461.87,37025,0
LMT.US,60,20240426,200000,462.1,462.5816,461.7501,462.24,19851,0
LMT.US,60,20240426,210000,462.36,462.64,461.885,462.43,19574,0
LMT.US,60,20240426,220000,462.32,462.5,461,461.29,186014,0
LMT.US,60,20240429,160000,461.99,465,461.955,463.9,30266,0
