<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUV.US,60,20240411,160000,27.85,28.21,27.76,28.18,543682,0
LUV.US,60,20240411,170000,28.18,28.19,27.99,28.085,555582,0
LUV.US,60,20240411,180000,28.085,28.365,28.06,28.355,540610,0
LUV.US,60,20240411,190000,28.355,28.4399,28.35,28.38,531719,0
LUV.US,60,20240411,200000,28.38,28.52,28.35,28.505,405445,0
LUV.US,60,20240411,210000,28.505,28.63,28.495,28.51,431004,0
LUV.US,60,20240411,220000,28.515,28.605,28.46,28.52,2037428,0
LUV.US,60,20240412,160000,28.03,28.18,27.85,27.945,1193602,0
LUV.US,60,20240412,170000,27.94,27.95,27.68,27.805,1291529,0
LUV.US,60,20240412,180000,27.8,27.885,27.78,27.82,538122,0
LUV.US,60,20240412,190000,27.815,27.89,27.8,27.85,544328,0
LUV.US,60,20240412,200000,27.855,27.9,27.66,27.695,780248,0
LUV.US,60,20240412,210000,27.7,27.88,27.58,27.585,1131931,0
LUV.US,60,20240412,220000,27.585,27.6099,27.41,27.54,4494934,0
LUV.US,60,20240415,160000,27.86,28.185,27.7901,28.035,809639,0
LUV.US,60,20240415,170000,28.035,28.19,27.81,27.825,915922,0
LUV.US,60,20240415,180000,27.825,27.96,27.72,27.931,559413,0
LUV.US,60,20240415,190000,27.93,27.94,27.73,27.76,385410,0
LUV.US,60,20240415,200000,27.76,27.805,27.655,27.765,568998,0
LUV.US,60,20240415,210000,27.76,27.85,27.69,27.71,382583,0
LUV.US,60,20240415,220000,27.71,27.88,27.645,27.84,1928515,0
LUV.US,60,20240416,160000,27.89,27.89,27.51,27.625,229113,0
LUV.US,60,20240416,170000,27.625,27.82,27.46,27.56,845832,0
LUV.US,60,20240416,180000,27.56,28.09,27.55,28.045,991788,0
LUV.US,60,20240416,190000,28.03,28.14,27.99,28.095,535779,0
LUV.US,60,20240416,200000,28.095,28.12,27.86,27.975,731681,0
LUV.US,60,20240416,210000,27.975,28.047,27.8142,27.945,546436,0
LUV.US,60,20240416,220000,27.945,28.13,27.885,28.05,1971623,0
LUV.US,60,20240417,160000,28.43,29.03,28.41,28.955,1058123,0
LUV.US,60,20240417,170000,28.94,28.95,28.56,28.69,802706,0
LUV.US,60,20240417,180000,28.69,28.78,28.55,28.7001,454646,0
LUV.US,60,20240417,190000,28.705,28.7875,28.54,28.6,481223,0
LUV.US,60,20240417,200000,28.59,28.83,28.58,28.8,499112,0
LUV.US,60,20240417,210000,28.809,28.89,28.73,28.81,523443,0
LUV.US,60,20240417,220000,28.805,28.88,28.675,28.78,2505304,0
LUV.US,60,20240418,160000,29,29.27,28.94,29.11,476897,0
LUV.US,60,20240418,170000,29.1103,29.335,28.89,29.335,694492,0
LUV.US,60,20240418,180000,29.34,29.51,29.3157,29.485,1105886,0
LUV.US,60,20240418,190000,29.484,29.5,29.365,29.4,865171,0
LUV.US,60,20240418,200000,29.405,29.445,29.258,29.28,1025867,0
LUV.US,60,20240418,210000,29.28,29.28,29.02,29.0434,506866,0
LUV.US,60,20240418,220000,29.0425,29.21,29.01,29.06,1782230,0
LUV.US,60,20240419,160000,29.16,29.51,29.11,29.485,573136,0
LUV.US,60,20240419,170000,29.485,29.66,29.45,29.57,673841,0
LUV.US,60,20240419,180000,29.565,29.6,29.391,29.445,502401,0
LUV.US,60,20240419,190000,29.445,29.535,29.285,29.4819,671395,0
LUV.US,60,20240419,200000,29.485,29.54,29.355,29.46,509518,0
LUV.US,60,20240419,210000,29.46,29.46,29.325,29.41,462334,0
LUV.US,60,20240419,220000,29.405,29.44,29.32,29.385,1402209,0
LUV.US,60,20240422,160000,29.49,29.655,29.38,29.62,332205,0
LUV.US,60,20240422,170000,29.61,29.63,29.48,29.5799,774113,0
LUV.US,60,20240422,180000,29.58,29.69,29.51,29.675,489934,0
LUV.US,60,20240422,190000,29.67,29.81,29.59,29.81,590107,0
LUV.US,60,20240422,200000,29.81,29.94,29.73,29.905,758720,0
LUV.US,60,20240422,210000,29.905,29.97,29.825,29.865,482906,0
LUV.US,60,20240422,220000,29.865,29.9,29.71,29.73,2044691,0
LUV.US,60,20240423,160000,29.31,29.57,29.05,29.55,715071,0
LUV.US,60,20240423,170000,29.54,29.56,29.26,29.415,873009,0
LUV.US,60,20240423,180000,29.415,29.63,29.2899,29.525,709540,0
LUV.US,60,20240423,190000,29.525,29.61,29.45,29.575,508824,0
LUV.US,60,20240423,200000,29.575,29.72,29.52,29.6901,695334,0
LUV.US,60,20240423,210000,29.695,29.82,29.685,29.79,406121,0
LUV.US,60,20240423,220000,29.785,29.79,29.46,29.46,2058471,0
LUV.US,60,20240424,160000,29.44,29.59,29.15,29.44,645300,0
LUV.US,60,20240424,170000,29.445,29.515,29.22,29.285,688378,0
LUV.US,60,20240424,180000,29.285,29.3,28.96,28.99,766367,0
LUV.US,60,20240424,190000,28.99,29.1393,28.9725,29.085,650409,0
LUV.US,60,20240424,200000,29.085,29.15,28.95,29.125,876697,0
LUV.US,60,20240424,210000,29.1225,29.23,29.055,29.1798,724547,0
LUV.US,60,20240424,220000,29.175,29.36,29.14,29.3,3557385,0
LUV.US,60,20240425,160000,26.88,26.96,26,26.415,5558447,0
LUV.US,60,20240425,170000,26.42,27.27,26.3,26.5801,5214439,0
LUV.US,60,20240425,180000,26.585,27.1198,26.5,27.085,3574563,0
