<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
M.US,60,20240411,160000,20.23,20.45,19.785,19.87,655369,0
M.US,60,20240411,170000,19.86,19.89,19.56,19.68,459855,0
M.US,60,20240411,180000,19.68,19.81,19.62,19.79,358347,0
M.US,60,20240411,190000,19.79,19.89,19.715,19.755,320941,0
M.US,60,20240411,200000,19.76,19.805,19.69,19.695,336179,0
M.US,60,20240411,210000,19.695,19.8203,19.695,19.8,305376,0
M.US,60,20240411,220000,19.8,20,19.795,19.93,4117003,0
M.US,60,20240412,160000,19.76,19.815,19.51,19.6,458938,0
M.US,60,20240412,170000,19.61,19.68,19.4,19.49,680358,0
M.US,60,20240412,180000,19.49,19.57,19.425,19.475,313136,0
M.US,60,20240412,190000,19.475,19.49,19.35,19.41,295804,0
M.US,60,20240412,200000,19.4,19.42,19.32,19.3601,264366,0
M.US,60,20240412,210000,19.36,19.37,19.205,19.27,395409,0
M.US,60,20240412,220000,19.27,19.31,19.195,19.3,2419361,0
M.US,60,20240415,160000,19.48,19.644,19.43,19.53,299166,0
M.US,60,20240415,170000,19.535,19.535,18.87,18.87,398473,0
M.US,60,20240415,180000,18.8792,18.945,18.775,18.91,525275,0
M.US,60,20240415,190000,18.915,18.945,18.72,18.72,408353,0
M.US,60,20240415,200000,18.73,18.83,18.62,18.74,402119,0
M.US,60,20240415,210000,18.745,18.84,18.65,18.8379,344836,0
M.US,60,20240415,220000,18.835,18.92,18.76,18.89,1461701,0
M.US,60,20240416,160000,18.96,18.96,18.63,18.69,316606,0
M.US,60,20240416,170000,18.695,18.97,18.675,18.92,437982,0
M.US,60,20240416,180000,18.915,18.965,18.83,18.935,234650,0
M.US,60,20240416,190000,18.93,19.065,18.915,19.04,256939,0
M.US,60,20240416,200000,19.045,19.12,18.865,18.92,385634,0
M.US,60,20240416,210000,18.92,19.065,18.79,18.945,377489,0
M.US,60,20240416,220000,18.95,19.05,18.83,18.99,2401376,0
M.US,60,20240417,160000,19.11,19.29,19.09,19.2,176350,0
M.US,60,20240417,170000,19.205,19.205,18.985,19.02,472428,0
M.US,60,20240417,180000,19.02,19.03,18.8401,18.895,310701,0
M.US,60,20240417,190000,18.89,18.986,18.85,18.87,279139,0
M.US,60,20240417,200000,18.875,18.965,18.875,18.96,135340,0
M.US,60,20240417,210000,18.96,19.115,18.92,18.955,176365,0
M.US,60,20240417,220000,18.95,19.09,18.895,19.01,1705982,0
M.US,60,20240418,160000,19.09,19.19,18.94,18.9781,180850,0
M.US,60,20240418,170000,18.9639,19.14,18.9165,19.13,358493,0
M.US,60,20240418,180000,19.13,19.15,19.025,19.055,334071,0
M.US,60,20240418,190000,19.055,19.1,18.97,19.0057,312658,0
M.US,60,20240418,200000,19.005,19.03,18.93,18.95,289852,0
M.US,60,20240418,210000,18.95,18.96,18.87,18.925,285509,0
M.US,60,20240418,220000,18.925,19.18,18.92,19.04,3358946,0
