<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCD.US,60,20240411,160000,269.5,269.84,267.64,268.05,186119,0
MCD.US,60,20240411,170000,267.98,268.4,267.15,267.52,205621,0
MCD.US,60,20240411,180000,267.57,268.44,267.415,268.33,141730,0
MCD.US,60,20240411,190000,268.37,268.5031,267.95,268.26,109434,0
MCD.US,60,20240411,200000,268.25,269.27,268.07,269.02,126222,0
MCD.US,60,20240411,210000,269.03,269.88,268.96,269.55,175963,0
MCD.US,60,20240411,220000,269.59,269.65,268.5,268.62,601844,0
MCD.US,60,20240412,160000,267.91,268.105,266.58,267.75,117121,0
MCD.US,60,20240412,170000,267.68,267.75,266.76,267.44,173751,0
MCD.US,60,20240412,180000,267.41,268.23,267.051,267.4801,186843,0
MCD.US,60,20240412,190000,267.44,267.65,266.7,266.755,113453,0
MCD.US,60,20240412,200000,266.755,267.4,266.63,267.23,114398,0
MCD.US,60,20240412,210000,267.23,267.52,267.04,267.11,137696,0
MCD.US,60,20240412,220000,267.115,267.55,266.9,267.39,762672,0
MCD.US,60,20240415,160000,267.86,268.51,266.99,267.58,183511,0
MCD.US,60,20240415,170000,267.66,268.08,266.82,267.64,300820,0
MCD.US,60,20240415,180000,267.7,268.325,267.29,268.26,127674,0
MCD.US,60,20240415,190000,268.26,268.525,267.59,267.85,111815,0
MCD.US,60,20240415,200000,267.8,267.8,266.7307,267.055,159358,0
MCD.US,60,20240415,210000,266.985,267.23,266.41,266.73,166440,0
MCD.US,60,20240415,220000,266.7,267.22,266.05,266.23,1177387,0
MCD.US,60,20240416,160000,266.13,266.8671,265.86,266.06,114276,0
MCD.US,60,20240416,170000,266.0525,266.51,265.29,266.475,221187,0
MCD.US,60,20240416,180000,266.55,266.99,265.91,266.35,189172,0
MCD.US,60,20240416,190000,266.37,266.57,265.8,266.215,151183,0
MCD.US,60,20240416,200000,266.25,266.29,265.15,265.84,138311,0
MCD.US,60,20240416,210000,265.84,266.9625,265.6118,266.61,126136,0
MCD.US,60,20240416,220000,266.62,266.735,265.35,265.43,664819,0
MCD.US,60,20240417,160000,266.5,266.78,265.52,266.35,163764,0
MCD.US,60,20240417,170000,266.27,267.59,265.99,267.1,265370,0
MCD.US,60,20240417,180000,267.15,267.51,266.72,267.4101,217001,0
MCD.US,60,20240417,190000,267.38,268.0478,267.22,267.89,187979,0
MCD.US,60,20240417,200000,267.88,268.61,267.8015,268.355,135407,0
MCD.US,60,20240417,210000,268.345,269.84,268.21,269.09,198637,0
MCD.US,60,20240417,220000,269.065,270.12,268.98,269.95,879296,0
MCD.US,60,20240418,160000,270.98,271.275,269.55,270.09,174564,0
MCD.US,60,20240418,170000,270.23,271.29,269.9632,271.06,221815,0
MCD.US,60,20240418,180000,271.08,271.2,270.07,270.32,226360,0
MCD.US,60,20240418,190000,270.33,270.552,269.38,269.68,199658,0
MCD.US,60,20240418,200000,269.65,269.875,268.845,269.23,92636,0
MCD.US,60,20240418,210000,269.17,269.7,268.97,269.51,116896,0
MCD.US,60,20240418,220000,269.55,271.09,269.47,270.98,985933,0
MCD.US,60,20240419,160000,272.01,272.22,271.31,271.58,226696,0
MCD.US,60,20240419,170000,271.44,271.84,270.62,271.36,262350,0
MCD.US,60,20240419,180000,271.37,271.52,270.97,271.21,199479,0
MCD.US,60,20240419,190000,271.171,271.57,270.48,271.465,214880,0
MCD.US,60,20240419,200000,271.46,272.07,271.12,272.06,104472,0
MCD.US,60,20240419,210000,272.02,272.02,271.33,271.685,168401,0
MCD.US,60,20240419,220000,271.65,272.15,271.56,271.91,338426,0
MCD.US,60,20240422,160000,273.75,274.16,272.32,274.09,123389,0
MCD.US,60,20240422,170000,274.13,274.54,273.72,274.045,261238,0
MCD.US,60,20240422,180000,274.03,274.59,273.88,274.265,136393,0
MCD.US,60,20240422,190000,274.28,274.85,274.24,274.705,136823,0
MCD.US,60,20240422,200000,274.6809,276.03,274.4628,276.015,156460,0
MCD.US,60,20240422,210000,276.01,276.37,275.81,276.16,246701,0
MCD.US,60,20240422,220000,276.14,276.5,275.5,275.58,768774,0
MCD.US,60,20240423,160000,276.82,276.98,275.81,276.03,120106,0
MCD.US,60,20240423,170000,275.96,277.1,275.6501,276.585,174927,0
MCD.US,60,20240423,180000,276.53,276.59,274.935,275.1,80800,0
MCD.US,60,20240423,190000,275.125,275.2,274.24,275.07,127838,0
MCD.US,60,20240423,200000,275.035,277,275.03,276.83,519096,0
MCD.US,60,20240423,210000,276.8,276.99,276.47,276.855,227362,0
MCD.US,60,20240423,220000,276.8301,277.4,276.36,276.91,907117,0
MCD.US,60,20240424,160000,275.54,275.82,273.12,274.15,231953,0
MCD.US,60,20240424,170000,274.19,274.47,273.24,273.24,226885,0
MCD.US,60,20240424,180000,273.255,275.19,272.89,275.105,448857,0
MCD.US,60,20240424,190000,275.1399,276,275.05,275.835,162964,0
MCD.US,60,20240424,200000,275.84,276.31,275.54,275.6792,606002,0
MCD.US,60,20240424,210000,275.62,276.25,275.57,275.825,329448,0
MCD.US,60,20240424,220000,275.83,277.03,275.425,276.75,916220,0
MCD.US,60,20240425,160000,277.02,277.75,275.405,275.89,151613,0
MCD.US,60,20240425,170000,275.84,276.16,275.32,276.0098,654797,0
MCD.US,60,20240425,180000,275.96,277.06,275.91,276.85,258716,0
MCD.US,60,20240425,190000,276.81,278.375,276.81,278.35,416813,0
MCD.US,60,20240425,200000,278.34,279.82,278.125,279.505,330801,0
MCD.US,60,20240425,210000,279.475,279.5,274.72,275.91,392526,0
MCD.US,60,20240425,220000,275.921,276.78,275.285,275.6,789601,0
MCD.US,60,20240426,160000,271.1,275.77,270.3701,274.95,320069,0
MCD.US,60,20240426,170000,274.895,275.3,273,273.55,332766,0
MCD.US,60,20240426,180000,273.515,274.59,272.84,274.5,236738,0
MCD.US,60,20240426,190000,274.59,276.11,274.435,275.445,259443,0
MCD.US,60,20240426,200000,275.455,275.65,274.5768,274.8,147543,0
MCD.US,60,20240426,210000,274.795,275.29,274.565,274.65,128344,0
MCD.US,60,20240426,220000,274.673,274.74,273.06,273.09,761396,0
MCD.US,60,20240429,160000,273.83,274.43,272.595,272.8,210561,0
MCD.US,60,20240429,170000,272.8,274.278,272.79,273.49,219412,0
MCD.US,60,20240429,180000,273.49,273.88,272.87,273.08,153571,0
MCD.US,60,20240429,190000,273.075,273.98,272.8429,273.13,196557,0
MCD.US,60,20240429,200000,273.09,273.6,272.89,273.205,220526,0
MCD.US,60,20240429,210000,273.21,273.35,272.66,273.32,211970,0
MCD.US,60,20240429,220000,273.31,273.68,272.76,273.55,848750,0
MCD.US,60,20240430,160000,264.33,271.79,262.63,270.33,925153,0
MCD.US,60,20240430,170000,270.385,276.8699,270.385,276.69,907192,0
MCD.US,60,20240430,180000,276.67,276.67,272.05,273.955,410912,0
MCD.US,60,20240430,190000,273.81,273.888,272.83,273.69,157526,0
MCD.US,60,20240430,200000,273.65,274.26,273.08,273.7914,124015,0
MCD.US,60,20240430,210000,273.72,274.15,272.74,273.24,189406,0
MCD.US,60,20240430,220000,273.35,274.49,272.91,273.04,1463907,0
MCD.US,60,20240501,160000,271.38,271.38,270.05,270.97,296481,0
MCD.US,60,20240501,170000,271.05,273.18,270.9682,272.245,367848,0
MCD.US,60,20240501,180000,272.2,272.29,271.18,271.42,263994,0
MCD.US,60,20240501,190000,271.388,273.175,271.311,272.2525,191693,0
MCD.US,60,20240501,200000,272.235,273.41,272,272.11,190779,0
MCD.US,60,20240501,210000,272.04,275.55,271.98,275.28,591198,0
MCD.US,60,20240501,220000,275.285,276.43,274.27,274.34,1251784,0
MCD.US,60,20240502,160000,274.805,275,272.71,274.32,143330,0
MCD.US,60,20240502,170000,274.38,276.03,273.77,275.01,224770,0
MCD.US,60,20240502,180000,274.96,276.31,274.65,275.77,223098,0
MCD.US,60,20240502,190000,275.86,276.03,274.2156,274.28,114758,0
MCD.US,60,20240502,200000,274.26,274.79,274.17,274.415,99540,0
MCD.US,60,20240502,210000,274.415,274.69,273.745,274.27,139210,0
MCD.US,60,20240502,220000,274.25,274.36,272.72,273.28,929515,0
MCD.US,60,20240507,160000,270.04,270.67,269.235,270.07,167536,0
MCD.US,60,20240507,170000,270.1,270.21,268.87,269.095,165404,0
MCD.US,60,20240507,180000,269.11,269.28,268.3124,268.34,148862,0
MCD.US,60,20240507,190000,268.34,269.065,268.17,268.5,136834,0
MCD.US,60,20240507,200000,268.52,268.77,267.575,267.625,117470,0
MCD.US,60,20240507,210000,267.64,267.84,267.15,267.565,179651,0
MCD.US,60,20240507,220000,267.58,268.13,266.99,267.5,1194147,0
MCD.US,60,20240508,160000,267.16,267.86,266.06,266.625,388118,0
MCD.US,60,20240508,170000,266.63,268.74,266.62,267.46,304537,0
MCD.US,60,20240508,180000,267.43,268.725,267.26,267.59,202352,0
MCD.US,60,20240508,190000,267.64,268.4,267.4963,268.12,113275,0
MCD.US,60,20240508,200000,268.12,268.93,267.98,268.79,142224,0
MCD.US,60,20240508,210000,268.77,268.84,268.0395,268.09,226323,0
MCD.US,60,20240508,220000,268.085,268.64,267.95,268.49,872474,0
MCD.US,60,20240509,160000,268.46,268.48,267.09,267.465,170306,0
MCD.US,60,20240509,170000,267.49,268.44,267.465,267.88,408294,0
MCD.US,60,20240509,180000,267.83,268.18,267.4,267.48,183187,0
MCD.US,60,20240509,190000,267.48,267.7,267.02,267.4625,139440,0
MCD.US,60,20240509,200000,267.45,267.8,267.29,267.6819,161492,0
MCD.US,60,20240509,210000,267.67,267.78,267.3925,267.68,132144,0
MCD.US,60,20240509,220000,267.7,267.99,267.291,267.95,875628,0
MCD.US,60,20240510,160000,268.17,269.8,267.84,269.7,209771,0
MCD.US,60,20240510,170000,269.77,270.77,269.37,270.615,219010,0
MCD.US,60,20240510,180000,270.64,270.75,269.81,269.93,159912,0
MCD.US,60,20240510,190000,269.89,275.24,269.885,274.049,1196170,0
MCD.US,60,20240510,200000,273.93,274.26,272.57,272.9599,233681,0
MCD.US,60,20240510,210000,273,273.42,272.31,273.23,247820,0
MCD.US,60,20240510,220000,273.251,275.38,273.13,275,1124137,0
MCD.US,60,20240513,160000,275.38,276.74,275,275.73,205082,0
MCD.US,60,20240513,170000,275.77,276.17,273.18,275.15,486579,0
MCD.US,60,20240513,180000,275.115,275.725,274.34,274.77,202396,0
MCD.US,60,20240513,190000,274.765,274.91,273.24,273.46,226900,0
MCD.US,60,20240513,200000,273.44,273.61,272.15,272.15,226393,0
MCD.US,60,20240513,210000,272.1123,272.1803,271.24,271.39,140163,0
MCD.US,60,20240513,220000,271.38,271.92,271.14,271.32,907981,0
MCD.US,60,20240514,160000,272.12,272.77,270.68,271.19,154951,0
MCD.US,60,20240514,170000,271.16,271.26,269.56,270.38,270225,0
MCD.US,60,20240514,180000,270.3001,270.41,269.225,269.27,181927,0
MCD.US,60,20240514,190000,269.27,269.47,268.72,268.935,274371,0
MCD.US,60,20240514,200000,268.92,269.78,268.7124,269.105,210591,0
MCD.US,60,20240514,210000,269.1,270.53,269,270.53,121406,0
MCD.US,60,20240514,220000,270.52,270.74,270.13,270.66,799054,0
MCD.US,60,20240515,160000,271.11,271.79,270.231,271.28,106667,0
MCD.US,60,20240515,170000,271.27,273.2699,271.2575,273.145,195527,0
MCD.US,60,20240515,180000,273.17,273.65,272.72,273.07,156555,0
MCD.US,60,20240515,190000,273.07,273.98,272.79,273.74,151953,0
MCD.US,60,20240515,200000,273.735,274.07,273.65,273.885,184450,0
MCD.US,60,20240515,210000,273.89,274.37,273.69,274.17,159455,0
MCD.US,60,20240515,220000,274.185,274.23,273.43,273.87,1023384,0
MCD.US,60,20240516,160000,274.51,274.68,272.92,273.03,148608,0
MCD.US,60,20240516,170000,273.03,274.92,272.96,274.88,171351,0
MCD.US,60,20240516,180000,274.92,275.23,274.24,274.6999,127710,0
MCD.US,60,20240516,190000,274.66,275.23,274.61,275.1,80175,0
MCD.US,60,20240516,200000,275.15,275.56,274.7401,274.83,105261,0
MCD.US,60,20240516,210000,274.85,274.85,274.19,274.76,89870,0
MCD.US,60,20240516,220000,274.76,274.85,273.27,273.51,806126,0
MCD.US,60,20240517,160000,274.06,274.06,271.92,273.11,300486,0
MCD.US,60,20240517,170000,273.06,273.38,272.5,272.8755,123317,0
MCD.US,60,20240517,180000,272.75,272.9219,272.19,272.36,93201,0
MCD.US,60,20240517,190000,272.4,272.53,271.45,271.48,113356,0
MCD.US,60,20240517,200000,271.47,271.7,271.14,271.47,94470,0
MCD.US,60,20240517,210000,271.405,271.73,270.92,271.64,105811,0
MCD.US,60,20240517,220000,271.69,272.46,271.6,272.38,665542,0
MCD.US,60,20240520,160000,271.74,272.125,270.385,271.28,174000,0
MCD.US,60,20240520,170000,271.2757,271.2757,270.31,270.465,197880,0
MCD.US,60,20240520,180000,270.46,270.75,270.07,270.09,119829,0
MCD.US,60,20240520,190000,270.1499,270.165,269.01,269.11,167831,0
MCD.US,60,20240520,200000,269.1,269.1606,267.67,267.9,218134,0
MCD.US,60,20240520,210000,267.9351,268.11,267.43,267.58,156188,0
MCD.US,60,20240520,220000,267.53,267.95,267.28,267.87,652703,0
MCD.US,60,20240521,160000,268.58,269.01,267.62,267.825,146242,0
MCD.US,60,20240521,170000,267.76,268.13,266.635,267.03,200087,0
MCD.US,60,20240521,180000,266.96,267.27,266.51,266.52,101631,0
MCD.US,60,20240521,190000,266.57,267.09,266.325,266.82,79585,0
MCD.US,60,20240521,200000,266.835,266.835,266.48,266.71,79524,0
MCD.US,60,20240521,210000,266.67,266.68,266.21,266.27,94651,0
MCD.US,60,20240521,220000,266.25,266.3,265.44,265.87,773756,0
MCD.US,60,20240522,160000,265.87,266.29,265.12,265.275,120020,0
MCD.US,60,20240522,170000,265.2128,265.87,264.55,265.819,145966,0
MCD.US,60,20240522,180000,265.79,265.965,265.555,265.78,94480,0
MCD.US,60,20240522,190000,265.8,266.82,265.71,266.81,117452,0
MCD.US,60,20240522,200000,266.79,266.81,265.605,266.02,98008,0
MCD.US,60,20240522,210000,265.98,266.065,265.07,265.48,114244,0
MCD.US,60,20240522,220000,265.47,265.83,265.1,265.77,491012,0
MCD.US,60,20240523,160000,265.13,265.62,261.73,262.06,416254,0
MCD.US,60,20240523,170000,261.96,262.645,261.54,262.01,501453,0
MCD.US,60,20240523,180000,262.035,262.06,261.13,261.475,317217,0
MCD.US,60,20240523,190000,261.44,261.61,260.43,260.43,208058,0
MCD.US,60,20240523,200000,260.45,260.76,259.17,259.225,291568,0
MCD.US,60,20240523,210000,259.21,259.28,258.17,259.17,382013,0
MCD.US,60,20240523,220000,259.145,259.32,257.6,257.93,1279900,0
MCD.US,60,20240524,160000,258.74,260.44,257.63,260.155,420070,0
MCD.US,60,20240524,170000,260.16,260.46,258.07,258.9135,305396,0
MCD.US,60,20240524,180000,258.9491,259.5333,258.54,258.8481,159117,0
MCD.US,60,20240524,190000,258.82,259.57,258.685,259.07,149999,0
MCD.US,60,20240524,200000,259.07,259.07,258.3,258.46,139875,0
MCD.US,60,20240524,210000,258.4301,258.705,257.67,257.78,175408,0
MCD.US,60,20240524,220000,257.76,258.18,257.52,258.11,842115,0
MCD.US,60,20240528,160000,256.95,258.81,255.8703,257.68,352818,0
MCD.US,60,20240528,170000,257.68,258.31,255.55,255.7495,293385,0
MCD.US,60,20240528,180000,255.73,255.86,254.2401,254.795,294751,0
MCD.US,60,20240528,190000,254.75,255.17,254.31,254.345,203860,0
MCD.US,60,20240528,200000,254.31,254.315,253.28,253.64,260965,0
MCD.US,60,20240528,210000,253.635,253.77,252.9,253.75,227090,0
MCD.US,60,20240528,220000,253.7401,253.82,252.645,253.54,1013098,0
MCD.US,60,20240529,160000,253.36,253.8,252.61,253.105,210164,0
MCD.US,60,20240529,170000,253.15,253.7155,251.02,251.13,318481,0
MCD.US,60,20240529,180000,251.13,251.88,251.06,251.35,168335,0
MCD.US,60,20240529,190000,251.32,251.62,250.47,250.51,170245,0
MCD.US,60,20240529,200000,250.54,250.54,249.86,250.09,220422,0
MCD.US,60,20240529,210000,250.07,250.17,249.64,249.945,181026,0
MCD.US,60,20240529,220000,249.91,250.48,249.16,249.37,1279967,0
MCD.US,60,20240530,160000,250.61,251.45,250.0975,251.15,261213,0
MCD.US,60,20240530,170000,251.19,251.96,250.15,250.81,503915,0
MCD.US,60,20240530,180000,250.77,251.27,250.5,250.975,229069,0
MCD.US,60,20240530,190000,250.99,251.21,250.66,251.1,169461,0
MCD.US,60,20240530,200000,251.07,252.96,251.07,252.65,309519,0
MCD.US,60,20240530,210000,252.65,252.65,251.61,251.81,162822,0
MCD.US,60,20240530,220000,251.81,252.13,251.3901,252.07,753278,0
MCD.US,60,20240531,160000,254.19,255.5,253.505,253.89,346245,0
MCD.US,60,20240531,170000,253.89,255.06,253.6615,254.6975,352352,0
MCD.US,60,20240531,180000,254.695,255.3399,254.64,254.9,206878,0
MCD.US,60,20240531,190000,254.92,255.37,254.68,255.06,216315,0
MCD.US,60,20240531,200000,255.075,256.36,254.97,256.27,294239,0
MCD.US,60,20240531,210000,256.27,256.65,256.09,256.56,294468,0
MCD.US,60,20240531,220000,256.53,259.225,256.1905,258.89,2608386,0
MCD.US,60,20240603,160000,258.335,258.335,255.6,256.59,209143,0
MCD.US,60,20240603,170000,256.58,259.95,256.58,259.355,326568,0
MCD.US,60,20240603,180000,259.31,259.665,257.87,257.92,203343,0
MCD.US,60,20240603,190000,258.01,259.37,256.78,257.26,180792,0
MCD.US,60,20240603,200000,257.185,258.165,257.04,257.67,149201,0
MCD.US,60,20240603,210000,257.6,258.68,257.46,258.39,175251,0
MCD.US,60,20240603,220000,258.35,259.81,258.1621,259.75,1600772,0
MCD.US,60,20240604,160000,259.45,260.8,259.41,260.68,171518,0
MCD.US,60,20240604,170000,260.71,261.31,259.805,259.95,265701,0
MCD.US,60,20240604,180000,260.035,260.82,260,260.29,246763,0
MCD.US,60,20240604,190000,260.285,261.13,260.05,261.11,215367,0
MCD.US,60,20240604,200000,261.13,262.47,261.1,262.375,191227,0
MCD.US,60,20240604,210000,262.35,263.09,261.92,262.6,252389,0
MCD.US,60,20240604,220000,262.62,262.95,262.17,262.72,1070965,0
MCD.US,60,20240605,160000,261.5,261.735,258.66,260,634494,0
MCD.US,60,20240605,170000,259.95,260.49,258.92,260.24,425973,0
MCD.US,60,20240605,180000,260.24,261.08,260.24,260.68,293275,0
MCD.US,60,20240605,190000,260.67,260.81,259.94,260.31,257246,0
