<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCK.US,60,20240411,160000,530.51,530.51,526.825,527.995,9174,0
MCK.US,60,20240411,170000,527.52,527.69,525.26,526.12,12946,0
MCK.US,60,20240411,180000,526.26,527.72,525.4,525.4,8923,0
MCK.US,60,20240411,190000,525.22,525.22,523.28,523.87,10550,0
MCK.US,60,20240411,200000,523.69,525.01,523.1801,524.11,15692,0
MCK.US,60,20240411,210000,524.35,525.9,524.11,524.48,32277,0
MCK.US,60,20240411,220000,524.34,524.84,522.65,523.37,163321,0
MCK.US,60,20240412,160000,521.5,527.28,521.5,524.94,16181,0
MCK.US,60,20240412,170000,525.27,527.99,524.39,526.29,35661,0
MCK.US,60,20240412,180000,526.19,527.165,524.18,524.18,12143,0
MCK.US,60,20240412,190000,524.51,524.69,521.8645,522.43,14701,0
MCK.US,60,20240412,200000,521.98,523.095,521.66,522.63,12315,0
MCK.US,60,20240412,210000,522.24,523.4,521.71,522.96,15904,0
MCK.US,60,20240412,220000,522.8,524.42,522.26,523.01,152689,0
MCK.US,60,20240415,160000,524,529.41,524,527.9,29901,0
MCK.US,60,20240415,170000,527.9,528.29,525.62,526.72,20032,0
MCK.US,60,20240415,180000,526.77,527.655,526.36,526.94,9085,0
MCK.US,60,20240415,190000,526.6,527.95,525.83,526.015,9892,0
MCK.US,60,20240415,200000,526.41,526.44,524.96,525.78,6019,0
MCK.US,60,20240415,210000,525.79,525.79,524.75,525.48,8039,0
MCK.US,60,20240415,220000,525.34,525.455,522.63,522.68,117358,0
MCK.US,60,20240416,160000,529.03,531.21,527.02,530.78,13359,0
MCK.US,60,20240416,170000,531.06,531.063,526.53,527.4,18781,0
MCK.US,60,20240416,180000,527.66,527.85,525.57,526.85,12939,0
MCK.US,60,20240416,190000,526.58,528.43,525.98,526.88,9863,0
MCK.US,60,20240416,200000,526.61,528.17,525.59,527.68,10978,0
