<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCO.US,60,20240411,160000,384.82,385.3834,381.54,383.02,27009,0
MCO.US,60,20240411,170000,382.83,384.195,381.705,383.51,30528,0
MCO.US,60,20240411,180000,383.56,384.55,383.56,384.43,14690,0
MCO.US,60,20240411,190000,384.63,384.79,383.74,383.86,13674,0
MCO.US,60,20240411,200000,383.985,385.94,383.48,385.09,23168,0
MCO.US,60,20240411,210000,384.95,386.72,384.95,385.32,24257,0
MCO.US,60,20240411,220000,385.375,386.09,383.33,383.55,247976,0
MCO.US,60,20240412,160000,380.28,381.36,378.97,379.75,26670,0
MCO.US,60,20240412,170000,379.47,381.565,378.41,381.565,25610,0
MCO.US,60,20240412,180000,381.69,382.05,379.73,380.445,18128,0
MCO.US,60,20240412,190000,380.28,380.65,377.655,377.91,16904,0
MCO.US,60,20240412,200000,377.82,378.06,375.94,377.44,11733,0
MCO.US,60,20240412,210000,377.44,378.64,376.54,376.8,13613,0
MCO.US,60,20240412,220000,376.65,377.45,375.855,377.16,173850,0
MCO.US,60,20240415,160000,381.97,384.61,381.85,383.53,19083,0
MCO.US,60,20240415,170000,383.68,383.68,378.31,378.705,48801,0
MCO.US,60,20240415,180000,378.5,380.02,378.15,379.83,20214,0
MCO.US,60,20240415,190000,379.795,379.98,377.64,378.145,20406,0
MCO.US,60,20240415,200000,378.03,378.32,373.98,375.03,34022,0
MCO.US,60,20240415,210000,374.98,375.225,373.1,373.92,39302,0
MCO.US,60,20240415,220000,373.92,374.17,371.97,373.54,198139,0
MCO.US,60,20240416,160000,373.215,373.215,370.8701,372.01,16040,0
MCO.US,60,20240416,170000,372.21,374.3575,371.71,372.57,33746,0
MCO.US,60,20240416,180000,372.6,374.96,372.35,374,25188,0
MCO.US,60,20240416,190000,373.97,375.235,373.66,374.525,21336,0
MCO.US,60,20240416,200000,374.37,374.9,372.61,373.965,32155,0
MCO.US,60,20240416,210000,373.615,375.01,371,374.61,35125,0
MCO.US,60,20240416,220000,374.58,374.765,370.29,370.73,257293,0
MCO.US,60,20240417,160000,375,375.86,373.67,374.98,17100,0
MCO.US,60,20240417,170000,375.3,377.17,374.4825,375.54,27459,0
MCO.US,60,20240417,180000,375.57,376.355,373.87,374.72,32252,0
MCO.US,60,20240417,190000,374.705,374.88,373.27,373.785,25266,0
MCO.US,60,20240417,200000,373.99,376.491,373.99,376.491,19295,0
MCO.US,60,20240417,210000,376.46,378.38,375.95,376.24,25285,0
MCO.US,60,20240417,220000,376.115,376.695,375.4,375.41,170631,0
MCO.US,60,20240418,160000,377.19,377.35,374.75,376.895,13459,0
MCO.US,60,20240418,170000,376.8,379.97,375.59,379.63,33241,0
MCO.US,60,20240418,180000,379.78,379.825,378.0501,378.335,20614,0
MCO.US,60,20240418,190000,378.32,378.55,375.41,375.6,22026,0
MCO.US,60,20240418,200000,375.555,375.7,369.415,373.815,102600,0
MCO.US,60,20240418,210000,373.82,374.38,371.63,372.855,56272,0
MCO.US,60,20240418,220000,372.97,375.135,372.97,374.6,195348,0
MCO.US,60,20240419,160000,375.98,376.37,374.39,375.11,44982,0
MCO.US,60,20240419,170000,374.855,375.485,371.725,371.725,25936,0
MCO.US,60,20240419,180000,371.9,374.52,371.34,374.1,26500,0
MCO.US,60,20240419,190000,373.9,374.735,372.39,374.3,15186,0
MCO.US,60,20240419,200000,374.55,375.6,373.84,375.28,13974,0
MCO.US,60,20240419,210000,374.905,375.22,373.72,374.725,77806,0
MCO.US,60,20240419,220000,374.745,375.47,373.76,374.67,121550,0
MCO.US,60,20240422,160000,375.2526,377.19,375.23,376.92,4419,0
MCO.US,60,20240422,170000,376.935,377.49,375.22,375.25,15071,0
MCO.US,60,20240422,180000,375.29,376.37,374.795,376.3683,13472,0
MCO.US,60,20240422,190000,376.43,377.57,376.27,377.57,14264,0
MCO.US,60,20240422,200000,377.42,380.33,377.36,379.83,11438,0
