<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MET.US,60,20240411,160000,71.58,71.62,70.62,70.85,215133,0
MET.US,60,20240411,170000,70.86,70.9,70.25,70.75,302872,0
MET.US,60,20240411,180000,70.76,71.06,70.615,71.02,204925,0
MET.US,60,20240411,190000,71.03,71.2,70.9,71.01,231238,0
MET.US,60,20240411,200000,71.025,71.335,70.8117,71.09,336885,0
MET.US,60,20240411,210000,71.1,71.505,71.09,71.16,646954,0
MET.US,60,20240411,220000,71.19,71.48,70.94,70.98,1233322,0
MET.US,60,20240412,160000,70.57,71.32,70.49,70.85,162406,0
MET.US,60,20240412,170000,70.84,70.84,70.27,70.31,226873,0
MET.US,60,20240412,180000,70.28,70.48,70.12,70.27,199508,0
MET.US,60,20240412,190000,70.27,70.31,69.875,69.96,198120,0
MET.US,60,20240412,200000,69.955,70.06,69.75,70.01,144000,0
MET.US,60,20240412,210000,70,70.17,69.86,69.93,151535,0
MET.US,60,20240412,220000,69.91,70.145,69.77,70.14,813503,0
MET.US,60,20240415,160000,71.22,71.67,71.01,71.1,121412,0
MET.US,60,20240415,170000,71.1,71.11,70.38,70.385,181372,0
MET.US,60,20240415,180000,70.39,70.39,70.18,70.38,138695,0
MET.US,60,20240415,190000,70.39,70.41,69.97,70.01,191098,0
MET.US,60,20240415,200000,70,70.045,69.41,69.78,333487,0
MET.US,60,20240415,210000,69.77,69.78,69.36,69.52,232323,0
MET.US,60,20240415,220000,69.52,69.605,69.25,69.44,704767,0
MET.US,60,20240416,160000,69.57,69.64,68.93,68.98,114154,0
MET.US,60,20240416,170000,68.995,69.265,68.79,68.915,206093,0
MET.US,60,20240416,180000,68.91,69.16,68.71,69.035,144191,0
MET.US,60,20240416,190000,69.04,69.25,68.91,69.17,141206,0
MET.US,60,20240416,200000,69.15,69.42,69,69.19,251229,0
MET.US,60,20240416,210000,69.19,69.49,68.82,69.065,573991,0
MET.US,60,20240416,220000,69.06,69.34,68.83,68.93,1070987,0
MET.US,60,20240417,160000,69.31,69.68,69.085,69.56,126504,0
MET.US,60,20240417,170000,69.56,69.59,69.07,69.21,187562,0
MET.US,60,20240417,180000,69.21,69.28,68.69,68.8707,178727,0
MET.US,60,20240417,190000,68.87,68.87,68.58,68.75,172602,0
MET.US,60,20240417,200000,68.7201,69.315,68.72,69.24,198461,0
MET.US,60,20240417,210000,69.24,69.52,69.12,69.19,156922,0
MET.US,60,20240417,220000,69.175,69.235,68.89,68.92,942385,0
MET.US,60,20240418,160000,69.41,70.1,69.33,69.885,90396,0
MET.US,60,20240418,170000,69.86,70.14,69.73,70.055,180644,0
MET.US,60,20240418,180000,70.06,70.15,69.9,70.07,150302,0
MET.US,60,20240418,190000,70.07,70.13,69.855,69.88,109586,0
MET.US,60,20240418,200000,69.88,69.92,69.65,69.7,143024,0
MET.US,60,20240418,210000,69.6815,69.91,69.57,69.75,203435,0
MET.US,60,20240418,220000,69.76,70.09,69.76,69.95,878006,0
MET.US,60,20240419,160000,70.28,70.87,70.03,70.87,203965,0
MET.US,60,20240419,170000,70.87,71.31,70.87,71.16,210646,0
MET.US,60,20240419,180000,71.16,71.27,71.025,71.095,167039,0
MET.US,60,20240419,190000,71.1,71.185,70.875,71.095,120125,0
MET.US,60,20240419,200000,71.085,71.3,71.055,71.15,114764,0
MET.US,60,20240419,210000,71.14,71.16,70.93,71.15,199050,0
MET.US,60,20240419,220000,71.15,71.23,70.88,71.11,545449,0
MET.US,60,20240422,160000,71.6,71.67,70.97,71.3,156587,0
MET.US,60,20240422,170000,71.315,71.72,71.21,71.61,136719,0
MET.US,60,20240422,180000,71.61,71.81,71.51,71.75,144940,0
MET.US,60,20240422,190000,71.76,71.97,71.695,71.92,115747,0
MET.US,60,20240422,200000,71.95,72.43,71.9126,72.37,112074,0
MET.US,60,20240422,210000,72.375,72.4325,72.19,72.34,128708,0
MET.US,60,20240422,220000,72.33,72.3393,71.81,71.96,1294445,0
MET.US,60,20240423,160000,72.23,72.6,72.05,72.35,118405,0
MET.US,60,20240423,170000,72.35,72.45,72.07,72.27,128257,0
MET.US,60,20240423,180000,72.27,72.36,72.095,72.29,161265,0
MET.US,60,20240423,190000,72.27,72.36,72.21,72.35,65850,0
MET.US,60,20240423,200000,72.33,72.45,72.245,72.3,82243,0
MET.US,60,20240423,210000,72.28,72.285,72.025,72.22,192750,0
MET.US,60,20240423,220000,72.195,72.28,72.11,72.22,686069,0
MET.US,60,20240424,160000,71.88,72.4,71.66,72.36,129869,0
MET.US,60,20240424,170000,72.38,72.51,72.16,72.23,126434,0
MET.US,60,20240424,180000,72.23,72.35,72.17,72.295,100106,0
MET.US,60,20240424,190000,72.3,72.4,72.235,72.35,78113,0
MET.US,60,20240424,200000,72.33,72.57,72.32,72.56,95006,0
MET.US,60,20240424,210000,72.57,72.57,72.3,72.37,98313,0
MET.US,60,20240424,220000,72.37,72.76,72.32,72.72,730945,0
MET.US,60,20240425,160000,72.42,72.76,71.85,71.97,114985,0
MET.US,60,20240425,170000,71.975,71.98,71.49,71.52,286773,0
MET.US,60,20240425,180000,71.51,71.58,70.99,71.1,514185,0
MET.US,60,20240425,190000,71.09,71.26,71.03,71.09,112643,0
MET.US,60,20240425,200000,71.08,71.56,71.02,71.53,119576,0
MET.US,60,20240425,210000,71.53,71.74,71.505,71.66,155640,0
MET.US,60,20240425,220000,71.67,72.04,71.6699,71.9,906413,0
MET.US,60,20240426,160000,71.66,71.66,70.905,71.075,140175,0
MET.US,60,20240426,170000,71.09,71.245,70.53,70.65,460095,0
MET.US,60,20240426,180000,70.65,70.72,70.2,70.56,365157,0
MET.US,60,20240426,190000,70.56,70.8047,70.47,70.49,449728,0
MET.US,60,20240426,200000,70.495,70.55,70.125,70.25,466926,0
MET.US,60,20240426,210000,70.25,70.52,70.21,70.495,250755,0
MET.US,60,20240426,220000,70.49,70.64,70.33,70.42,1456049,0
MET.US,60,20240429,160000,70.62,71.39,70.54,71.35,343594,0
MET.US,60,20240429,170000,71.37,71.565,71.31,71.49,320669,0
MET.US,60,20240429,180000,71.51,71.7,71.465,71.665,186442,0
MET.US,60,20240429,190000,71.66,71.725,71.51,71.62,127195,0
MET.US,60,20240429,200000,71.615,71.7,71.49,71.64,222697,0
MET.US,60,20240429,210000,71.64,71.745,71.54,71.615,165586,0
MET.US,60,20240429,220000,71.61,71.71,71.38,71.7,911924,0
MET.US,60,20240430,160000,71.3,71.67,71.15,71.25,91741,0
MET.US,60,20240430,170000,71.23,71.79,71.16,71.77,211939,0
MET.US,60,20240430,180000,71.765,71.785,71.36,71.44,141087,0
MET.US,60,20240430,190000,71.43,71.53,71.27,71.3785,81008,0
MET.US,60,20240430,200000,71.3602,71.52,71.335,71.5,111953,0
MET.US,60,20240430,210000,71.51,71.555,71.29,71.435,120029,0
MET.US,60,20240430,220000,71.44,71.495,71.07,71.08,991739,0
MET.US,60,20240501,160000,71.11,71.77,71.05,71.43,112259,0
MET.US,60,20240501,170000,71.45,71.79,71.34,71.535,206184,0
MET.US,60,20240501,180000,71.6,71.89,71.58,71.8,144030,0
MET.US,60,20240501,190000,71.79,71.89,71.69,71.85,142325,0
MET.US,60,20240501,200000,71.86,71.935,71.74,71.84,99008,0
MET.US,60,20240501,210000,71.85,72.7,71.78,72.59,208355,0
MET.US,60,20240501,220000,72.6,72.71,71.74,71.88,1621985,0
MET.US,60,20240502,160000,72.42,72.64,68.82,69.01,608305,0
MET.US,60,20240502,170000,69.02,69.21,68.06,69,624896,0
MET.US,60,20240502,180000,69.02,69.48,68.68,69.105,531663,0
MET.US,60,20240502,190000,69.105,69.125,68.55,68.92,508875,0
MET.US,60,20240502,200000,68.93,69.505,68.825,69.2525,180914,0
MET.US,60,20240502,210000,69.26,69.82,69.21,69.735,204400,0
MET.US,60,20240502,220000,69.745,70.37,69.72,70.24,1642302,0
MET.US,60,20240507,160000,71.46,71.865,71.34,71.51,118320,0
MET.US,60,20240507,170000,71.51,71.76,71.405,71.66,216137,0
MET.US,60,20240507,180000,71.66,71.73,71.465,71.525,172609,0
MET.US,60,20240507,190000,71.52,71.55,71.43,71.54,155283,0
MET.US,60,20240507,200000,71.5498,71.575,71.41,71.42,186560,0
MET.US,60,20240507,210000,71.4118,71.55,71.4,71.47,176601,0
MET.US,60,20240507,220000,71.47,71.505,71.23,71.26,1080683,0
MET.US,60,20240508,160000,71.3,71.5,71.2,71.44,111326,0
