<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKC.US,60,20240411,160000,74.9,74.9,73.89,73.92,78508,0
MKC.US,60,20240411,170000,73.93,73.93,73.14,73.19,134695,0
MKC.US,60,20240411,180000,73.19,73.34,72.9,73.25,66945,0
MKC.US,60,20240411,190000,73.25,73.4,73.17,73.3,57015,0
MKC.US,60,20240411,200000,73.31,73.6,73.31,73.54,70447,0
MKC.US,60,20240411,210000,73.54,73.84,73.4875,73.665,94985,0
MKC.US,60,20240411,220000,73.66,73.85,73.4,73.42,706797,0
MKC.US,60,20240412,160000,73.19,73.19,72.36,72.61,36855,0
MKC.US,60,20240412,170000,72.58,72.71,72.075,72.3301,137745,0
MKC.US,60,20240412,180000,72.29,72.39,72.0201,72.2,92636,0
MKC.US,60,20240412,190000,72.205,72.323,71.95,71.95,105636,0
MKC.US,60,20240412,200000,71.94,71.96,71.67,71.7,98335,0
MKC.US,60,20240412,210000,71.69,71.85,71.48,71.48,100698,0
MKC.US,60,20240412,220000,71.47,71.79,71.36,71.76,677660,0
MKC.US,60,20240415,160000,72.07,72.59,71.85,72.59,78101,0
MKC.US,60,20240415,170000,72.555,72.555,71.55,71.565,101162,0
MKC.US,60,20240415,180000,71.58,72.03,71.41,71.985,197020,0
MKC.US,60,20240415,190000,71.99,72.21,71.9,71.9,134867,0
MKC.US,60,20240415,200000,71.87,72.11,71.6,71.67,154951,0
MKC.US,60,20240415,210000,71.66,71.81,71.39,71.43,89761,0
MKC.US,60,20240415,220000,71.44,72.03,71.4,71.91,625031,0
MKC.US,60,20240416,160000,72.42,72.42,71.91,71.91,31043,0
MKC.US,60,20240416,170000,71.93,72.36,71.68,72.03,68801,0
MKC.US,60,20240416,180000,72.01,72.35,72,72.25,54384,0
MKC.US,60,20240416,190000,72.24,72.43,72.2,72.39,52269,0
MKC.US,60,20240416,200000,72.385,72.4,72.1,72.26,56196,0
MKC.US,60,20240416,210000,72.25,72.465,71.9,72.08,62063,0
MKC.US,60,20240416,220000,72.1,72.24,71.8,71.8,524929,0
