<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV.US,60,20240411,160000,26.25,26.29,26.17,26.255,3969,0
MOV.US,60,20240411,170000,26.23,26.29,25.91,25.92,6764,0
MOV.US,60,20240411,180000,25.89,26.02,25.855,26,8576,0
MOV.US,60,20240411,190000,25.99,25.99,25.81,25.86,7155,0
MOV.US,60,20240411,200000,25.88,26.05,25.88,26.0145,9366,0
MOV.US,60,20240411,210000,26.02,26.03,25.96,25.98,6375,0
MOV.US,60,20240411,220000,25.98,25.98,25.75,25.76,64264,0
MOV.US,60,20240412,160000,25.49,25.825,25.38,25.4257,4376,0
MOV.US,60,20240412,170000,25.405,25.405,25.18,25.31,7099,0
MOV.US,60,20240412,180000,25.31,25.46,25.31,25.435,7036,0
MOV.US,60,20240412,190000,25.41,25.49,25.39,25.425,3116,0
MOV.US,60,20240412,200000,25.42,25.5,25.38,25.481,5467,0
MOV.US,60,20240412,210000,25.45,25.46,25.34,25.41,5020,0
MOV.US,60,20240412,220000,25.39,25.41,25.18,25.19,46988,0
MOV.US,60,20240415,160000,25.29,25.395,25.27,25.27,1930,0
MOV.US,60,20240415,170000,25.225,25.26,25.07,25.12,5637,0
MOV.US,60,20240415,180000,25.105,25.12,24.94,25.055,9033,0
MOV.US,60,20240415,190000,25.055,25.16,24.98,25.135,9536,0
MOV.US,60,20240415,200000,25.12,25.14,24.95,25.025,15317,0
MOV.US,60,20240415,210000,25.025,25.245,25.025,25.21,20962,0
MOV.US,60,20240415,220000,25.215,25.32,25.2,25.25,49115,0
MOV.US,60,20240416,160000,25,25,24.815,24.82,1670,0
MOV.US,60,20240416,170000,24.84,24.87,24.76,24.83,2854,0
MOV.US,60,20240416,180000,24.81,25.07,24.81,24.995,3725,0
MOV.US,60,20240416,190000,24.995,25.23,24.995,25.205,7332,0
MOV.US,60,20240416,200000,25.16,25.18,24.995,25.045,9490,0
MOV.US,60,20240416,210000,25.045,25.2,25.01,25.09,4960,0
MOV.US,60,20240416,220000,25.09,25.27,25.01,25.25,76904,0
MOV.US,60,20240417,160000,25.53,25.53,25.45,25.45,1514,0
MOV.US,60,20240417,170000,25.48,25.48,25.21,25.235,8403,0
MOV.US,60,20240417,180000,25.27,25.27,25.02,25.055,6106,0
MOV.US,60,20240417,190000,25.09,25.11,24.98,25.07,6248,0
MOV.US,60,20240417,200000,25.06,25.15,25,25.09,4514,0
MOV.US,60,20240417,210000,25.02,25.08,24.87,24.87,9272,0
MOV.US,60,20240417,220000,24.88,24.94,24.72,24.74,54157,0
MOV.US,60,20240418,160000,24.79,24.89,24.79,24.81,1823,0
MOV.US,60,20240418,170000,24.86,25.08,24.86,25.06,10261,0
MOV.US,60,20240418,180000,25.08,25.13,24.99,25.045,4202,0
MOV.US,60,20240418,190000,25.03,25.03,24.84,24.87,3230,0
MOV.US,60,20240418,200000,24.885,24.885,24.79,24.8,3893,0
MOV.US,60,20240418,210000,24.8,24.81,24.57,24.78,6670,0
MOV.US,60,20240418,220000,24.78,24.89,24.77,24.82,47502,0
MOV.US,60,20240419,160000,24.73,25.22,24.73,25.22,13149,0
MOV.US,60,20240419,170000,25.19,25.24,25.15,25.19,10120,0
MOV.US,60,20240419,180000,25.17,25.24,25.13,25.2,5517,0
MOV.US,60,20240419,190000,25.19,25.28,25.16,25.28,12908,0
MOV.US,60,20240419,200000,25.32,25.44,25.15,25.39,12460,0
MOV.US,60,20240419,210000,25.38,25.41,25.25,25.4,12704,0
MOV.US,60,20240419,220000,25.4,25.61,25.3574,25.6,32658,0
MOV.US,60,20240422,160000,25.68,25.74,25.62,25.6835,1992,0
MOV.US,60,20240422,170000,25.67,25.85,25.645,25.83,4942,0
