<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRK.US,60,20240411,160000,123.969,124.057,122.911,123.239,295822.2300012925,0
MRK.US,60,20240411,170000,123.235,123.355,122.901,123.239,352609.39180779,0
MRK.US,60,20240411,180000,123.254,123.725,123.108,123.675,317431.95565305,0
MRK.US,60,20240411,190000,123.675,123.837,123.406,123.837,301119.26181229,0
MRK.US,60,20240411,200000,123.837,124.273,123.743,124.219,336384.4884345,0
MRK.US,60,20240411,210000,124.224,124.547,124.219,124.38,328528.26241457,0
MRK.US,60,20240411,220000,124.39,124.459,123.548,123.578,2000684.5254898,0
MRK.US,60,20240412,160000,124.517,124.517,123.155,123.71,432617.13226232794,0
MRK.US,60,20240412,170000,123.71,124.125,123.132,123.132,365560.52739964,0
MRK.US,60,20240412,180000,123.146,123.832,123.117,123.73,377359.15790098,0
MRK.US,60,20240412,190000,123.753,123.753,122.794,122.794,236102.25408939,0
MRK.US,60,20240412,200000,122.784,122.941,122.549,122.852,395439.91092398,0
MRK.US,60,20240412,210000,122.843,123.127,122.703,122.744,384874.43024489,0
MRK.US,60,20240412,220000,122.735,123.205,122.617,123.175,3147398.5075963,0
MRK.US,60,20240415,160000,124.107,125.154,124.028,125.129,573717.8507073644,0
MRK.US,60,20240415,170000,125.124,125.214,123.881,124.292,843385.66713581,0
MRK.US,60,20240415,180000,124.312,124.465,123.96,124.361,304202.13636793,0
MRK.US,60,20240415,190000,124.37,124.479,123.904,124.003,297265.66861774,0
MRK.US,60,20240415,200000,123.989,124.224,123.597,124.194,395007.08350293,0
MRK.US,60,20240415,210000,124.185,124.214,123.431,123.695,263212.15461061,0
MRK.US,60,20240415,220000,123.705,123.784,123.302,123.616,1822970.0780093,0
MRK.US,60,20240416,160000,123.979,124.214,123.244,123.607,309999.36967967206,0
MRK.US,60,20240416,170000,123.597,123.984,123.008,123.259,469989.33010402,0
MRK.US,60,20240416,180000,123.254,123.371,122.951,123.249,254165.65318277,0
MRK.US,60,20240416,190000,123.254,123.274,122.804,122.921,207308.00157584,0
MRK.US,60,20240416,200000,122.936,123.155,122.617,122.951,274113.48486877,0
MRK.US,60,20240416,210000,122.936,123.469,122.637,123.254,410405.12317089,0
MRK.US,60,20240416,220000,123.254,123.322,122.48,122.509,1887521.5920907,0
MRK.US,60,20240417,160000,123.108,123.518,122.588,123.322,326727.53701187304,0
MRK.US,60,20240417,170000,123.332,123.616,122.998,123.018,460551.85485009,0
MRK.US,60,20240417,180000,123.028,123.294,122.725,122.884,401121.79164474,0
MRK.US,60,20240417,190000,122.871,122.881,122.216,122.431,627465.01237257,0
MRK.US,60,20240417,200000,122.431,122.578,122.166,122.411,467436.26081142,0
MRK.US,60,20240417,210000,122.402,122.784,122.274,122.568,406993.5447719,0
MRK.US,60,20240417,220000,122.578,123.038,122.461,122.813,1617899.7125348,0
MRK.US,60,20240418,160000,122.961,122.961,121.961,122.259,263822.6046053992,0
MRK.US,60,20240418,170000,122.274,122.451,122.127,122.407,482168.72623757,0
MRK.US,60,20240418,180000,122.402,122.705,122.255,122.499,372356.1220741,0
MRK.US,60,20240418,190000,122.509,122.656,122.196,122.421,308546.74368872,0
MRK.US,60,20240418,200000,122.421,122.53,122.089,122.421,238319.47380291,0
MRK.US,60,20240418,210000,122.402,122.593,122.236,122.421,253071.33479746,0
MRK.US,60,20240418,220000,122.421,122.852,122.236,122.656,1921895.6433861,0
MRK.US,60,20240419,160000,123.088,123.46,122.431,122.754,781380.0766112908,0
MRK.US,60,20240419,170000,122.784,122.943,122.353,122.451,494189.89536579,0
MRK.US,60,20240419,180000,122.461,122.833,122.343,122.715,385179.65524229,0
MRK.US,60,20240419,190000,122.725,123.127,122.725,123.043,325700.59270625,0
MRK.US,60,20240419,200000,123.033,123.401,122.941,123.312,304444.07056319,0
MRK.US,60,20240419,210000,123.302,123.302,122.921,123.249,358803.72386196,0
MRK.US,60,20240419,220000,123.244,123.548,122.97,123.215,2597778.1193924,0
MRK.US,60,20240422,160000,124.125,124.527,123.645,123.92,353714.9392063807,0
MRK.US,60,20240422,170000,123.93,124.841,123.91,124.801,570598.22665371,0
MRK.US,60,20240422,180000,124.801,124.801,124.322,124.625,352445.03988611,0
MRK.US,60,20240422,190000,124.644,125.076,124.644,125.076,318679.39694676,0
MRK.US,60,20240422,200000,125.076,125.468,124.939,125.321,328295.51559381,0
MRK.US,60,20240422,210000,125.331,125.361,124.821,124.821,319123.45338109,0
MRK.US,60,20240422,220000,124.811,124.811,124.166,124.351,2309246.5814694,0
MRK.US,60,20240423,160000,125.488,125.488,124.527,125.047,423901.37631661905,0
MRK.US,60,20240423,170000,125.037,125.124,124.537,124.92,634513.77025558,0
MRK.US,60,20240423,180000,124.939,124.948,124.243,124.341,536716.21030398,0
MRK.US,60,20240423,190000,124.332,124.689,124.263,124.49,304931.00141188,0
MRK.US,60,20240423,200000,124.488,124.615,124.214,124.43,277643.47831692,0
MRK.US,60,20240423,210000,124.435,124.537,124.291,124.38,264748.48779148,0
MRK.US,60,20240423,220000,124.37,124.497,124.155,124.292,2121708.7890058,0
MRK.US,60,20240424,160000,124.229,124.229,122.794,123.46,424822.15540575347,0
MRK.US,60,20240424,170000,123.469,124.067,123.381,123.45,412468.19915664,0
MRK.US,60,20240424,180000,123.46,124.229,123.46,124.107,320164.68915816,0
MRK.US,60,20240424,190000,124.097,124.135,123.695,123.871,314927.88569114,0
MRK.US,60,20240424,200000,123.866,124.607,123.855,124.607,407500.89200838,0
MRK.US,60,20240424,210000,124.602,124.801,124.479,124.615,1197814.1590953,0
MRK.US,60,20240424,220000,124.612,124.988,124.263,124.41,2279135.4719436,0
MRK.US,60,20240425,160000,127.045,130.092,126.81,128.247,1401288.9838643777,0
MRK.US,60,20240425,170000,128.274,128.598,126.28,126.29,1612599.6182656,0
MRK.US,60,20240425,180000,126.285,127.466,126.133,127.398,821238.99048528,0
MRK.US,60,20240425,190000,127.388,127.575,127.182,127.555,469109.38379046,0
MRK.US,60,20240425,200000,127.56,128.632,127.427,128.466,680753.82613199,0
MRK.US,60,20240425,210000,128.416,128.489,127.143,127.456,487644.4014417,0
MRK.US,60,20240425,220000,127.466,129.306,127.417,128.054,3331367.5154749,0
MRK.US,60,20240426,160000,127.476,129.073,127.476,128.451,521112.98593876854,0
MRK.US,60,20240426,170000,128.446,128.965,128.132,128.504,781505.63739617,0
MRK.US,60,20240426,180000,128.529,128.858,128.182,128.554,977065.02862075,0
MRK.US,60,20240426,190000,128.549,128.769,128.459,128.593,368879.2112342,0
MRK.US,60,20240426,200000,128.578,129.161,128.494,129.064,397073.22194684,0
MRK.US,60,20240426,210000,129.082,129.221,128.564,128.764,509695.12106962,0
MRK.US,60,20240426,220000,128.759,128.808,128.446,128.524,2399180.7696653,0
MRK.US,60,20240429,160000,129.034,129.504,128.524,128.754,420913.43796418404,0
MRK.US,60,20240429,170000,128.769,128.945,128.299,128.603,647065.76546622,0
MRK.US,60,20240429,180000,128.573,128.671,127.888,128.112,513015.84654297,0
MRK.US,60,20240429,190000,128.093,128.093,127.426,127.732,443410.25566523,0
MRK.US,60,20240429,200000,127.712,127.741,127.368,127.486,322820.86120908,0
MRK.US,60,20240429,210000,127.476,127.603,126.888,127.094,426916.87679256,0
MRK.US,60,20240429,220000,127.094,127.466,126.693,127.466,2060446.3549967,0
MRK.US,60,20240430,160000,128.249,128.249,127.237,127.612,336648.8806563266,0
MRK.US,60,20240430,170000,127.627,128.083,127.329,127.829,366471.09829488,0
MRK.US,60,20240430,180000,127.829,128.005,126.987,127.849,478568.29625157,0
MRK.US,60,20240430,190000,127.854,127.863,127.28,127.408,281355.17761636,0
MRK.US,60,20240430,200000,127.408,127.565,127.123,127.29,244673.05368182,0
MRK.US,60,20240430,210000,127.29,127.359,126.82,126.908,308086.35414415,0
MRK.US,60,20240430,220000,126.908,126.927,126.35,126.585,2840819.9036901,0
