<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MS.US,60,20240411,160000,91.72,91.74,90.9,91.17,233085,0
MS.US,60,20240411,170000,91.18,91.25,90.215,90.6,306350,0
MS.US,60,20240411,180000,90.6,91.06,90.49,91,241591,0
MS.US,60,20240411,190000,91,91.14,90.84,90.97,233410,0
MS.US,60,20240411,200000,90.98,91.53,90.89,91.43,311932,0
MS.US,60,20240411,210000,91.44,91.8,85.01,85.96,10678037,0
MS.US,60,20240411,220000,85.96,87.5,85.92,86.84,7040198,0
MS.US,60,20240412,160000,85.8,86.2299,85.12,85.75,967565,0
MS.US,60,20240412,170000,85.75,86.05,85.23,85.63,1348541,0
MS.US,60,20240412,180000,85.62,86.61,85.58,86.53,874289,0
MS.US,60,20240412,190000,86.55,86.81,85.966,86.11,608155,0
MS.US,60,20240412,200000,86.11,86.48,85.17,85.89,630245,0
MS.US,60,20240412,210000,85.88,85.99,85.51,85.62,773511,0
MS.US,60,20240412,220000,85.61,86.41,85.34,86.19,3093513,0
MS.US,60,20240415,160000,87.8,89.13,87.62,87.7,1007935,0
MS.US,60,20240415,170000,87.77,87.97,86.76,87.09,728849,0
MS.US,60,20240415,180000,87.07,87.8,86.95,87.67,614128,0
MS.US,60,20240415,190000,87.68,87.95,85.49,87.46,697645,0
MS.US,60,20240415,200000,87.47,87.6094,86.59,86.93,593240,0
MS.US,60,20240415,210000,86.92,87.13,86.57,86.85,617740,0
MS.US,60,20240415,220000,86.855,87.35,86.51,86.99,2593969,0
MS.US,60,20240416,160000,90.71,91.1,88,89.59,2992702,0
MS.US,60,20240416,170000,89.59,90.5399,89.42,89.77,1988056,0
MS.US,60,20240416,180000,89.79,90.93,89.75,90.3,1548330,0
MS.US,60,20240416,190000,90.28,90.47,89.8,89.88,694837,0
MS.US,60,20240416,200000,89.87,89.93,88.8401,89.29,1009164,0
MS.US,60,20240416,210000,89.29,89.83,88.8201,89.07,987654,0
MS.US,60,20240416,220000,89.08,89.94,88.92,89.14,3222360,0
MS.US,60,20240417,160000,90.13,91.44,89.92,91.1,1154138,0
MS.US,60,20240417,170000,91.12,91.18,90.485,90.79,889710,0
MS.US,60,20240417,180000,90.81,90.91,90.26,90.62,529160,0
MS.US,60,20240417,190000,90.61,90.63,89.86,90.105,515740,0
MS.US,60,20240417,200000,90.12,90.48,89.87,90.1,463341,0
MS.US,60,20240417,210000,90.1,90.48,89.88,89.98,633377,0
MS.US,60,20240417,220000,89.97,90.32,89.67,90.08,2371035,0
MS.US,60,20240418,160000,90.66,90.87,89.74,90.34,309177,0
MS.US,60,20240418,170000,90.355,90.98,90.16,90.8075,445420,0
MS.US,60,20240418,180000,90.81,91.11,90.49,90.61,532012,0
MS.US,60,20240418,190000,90.61,90.9,90.36,90.42,256788,0
MS.US,60,20240418,200000,90.415,90.55,89.95,90.335,472842,0
MS.US,60,20240418,210000,90.33,90.61,90.11,90.385,369151,0
MS.US,60,20240418,220000,90.4,90.63,90.15,90.26,2387454,0
MS.US,60,20240419,160000,90.36,91.16,90.36,90.99,512863,0
MS.US,60,20240419,170000,91.025,91.43,90.81,91.1,588018,0
MS.US,60,20240419,180000,91.11,91.615,90.96,91.38,549246,0
MS.US,60,20240419,190000,91.39,91.62,91.24,91.53,548305,0
MS.US,60,20240419,200000,91.54,91.57,91.06,91.18,432724,0
MS.US,60,20240419,210000,91.185,91.238,90.73,90.85,399064,0
MS.US,60,20240419,220000,90.84,91.04,90.43,90.66,1366318,0
MS.US,60,20240422,160000,91.11,91.32,90.705,91.26,250717,0
MS.US,60,20240422,170000,91.305,91.8,91.26,91.415,401911,0
MS.US,60,20240422,180000,91.43,91.47,91.13,91.32,260630,0
MS.US,60,20240422,190000,91.33,91.96,91.24,91.96,293456,0
MS.US,60,20240422,200000,91.93,92.48,91.8847,92.35,401189,0
MS.US,60,20240422,210000,92.36,92.66,92.1705,92.18,408280,0
MS.US,60,20240422,220000,92.17,92.26,91.935,92.09,2627993,0
MS.US,60,20240423,160000,92.16,92.8999,92.16,92.525,238061,0
MS.US,60,20240423,170000,92.53,93.1,92.45,93.09,352834,0
MS.US,60,20240423,180000,93.09,93.45,92.87,93.405,394497,0
MS.US,60,20240423,190000,93.42,93.68,93.35,93.63,450795,0
MS.US,60,20240423,200000,93.6101,94.05,93.44,93.85,549140,0
MS.US,60,20240423,210000,93.845,93.845,93.46,93.51,360758,0
MS.US,60,20240423,220000,93.51,93.8542,93.353,93.76,2478888,0
MS.US,60,20240424,160000,93.11,93.95,93.03,93.77,360234,0
MS.US,60,20240424,170000,93.82,94.07,93.57,93.76,415661,0
MS.US,60,20240424,180000,93.75,93.8165,93.145,93.24,345618,0
MS.US,60,20240424,190000,93.22,93.5,93.21,93.34,271098,0
MS.US,60,20240424,200000,93.34,93.66,93.25,93.58,147848,0
MS.US,60,20240424,210000,93.58,93.66,93.28,93.615,226322,0
MS.US,60,20240424,220000,93.61,94.05,93.53,93.85,2020534,0
MS.US,60,20240425,160000,93,93.64,91.91,92.14,353234,0
MS.US,60,20240425,170000,92.15,92.3439,91.65,92.12,412696,0
MS.US,60,20240425,180000,92.12,92.26,91.88,92.16,263333,0
MS.US,60,20240425,190000,92.14,92.36,92.01,92.195,280143,0
MS.US,60,20240425,200000,92.22,92.61,92.03,92.44,202340,0
MS.US,60,20240425,210000,92.445,92.595,92.29,92.5082,224237,0
MS.US,60,20240425,220000,92.54,92.77,92.47,92.56,2584152,0
MS.US,60,20240426,160000,92.5,93.15,92.4,92.96,226491,0
MS.US,60,20240426,170000,92.97,93.31,92.645,92.85,350846,0
MS.US,60,20240426,180000,92.83,92.93,92.6827,92.84,304989,0
MS.US,60,20240426,190000,92.83,93.21,92.781,93.03,304983,0
MS.US,60,20240426,200000,93.04,93.15,92.88,92.91,264214,0
MS.US,60,20240426,210000,92.9175,93.22,92.895,93.215,250479,0
MS.US,60,20240426,220000,93.21,93.22,92.79,92.83,1511171,0
MS.US,60,20240429,160000,91.33,92.81,91.33,92.435,308655,0
MS.US,60,20240429,170000,92.44,92.72,92.325,92.44,321627,0
MS.US,60,20240429,180000,92.42,92.585,92.38,92.38,242854,0
MS.US,60,20240429,190000,92.37,92.66,92.33,92.535,190504,0
MS.US,60,20240429,200000,92.5341,92.7199,92.51,92.6072,175813,0
MS.US,60,20240429,210000,92.6,92.68,92.33,92.35,443143,0
MS.US,60,20240429,220000,92.35,92.35,91.86,92.11,1372072,0
MS.US,60,20240430,160000,91.6,91.83,90.91,91.045,227197,0
MS.US,60,20240430,170000,91.045,91.37,90.87,91.3,474754,0
MS.US,60,20240430,180000,91.29,91.35,90.7,90.82,428237,0
MS.US,60,20240430,190000,90.83,90.97,90.575,90.62,255526,0
MS.US,60,20240430,200000,90.62,91.03,90.55,91.01,302502,0
MS.US,60,20240430,210000,91.03,91.1,90.74,90.92,232356,0
MS.US,60,20240430,220000,90.88,91.09,90.67,90.84,2261452,0
MS.US,60,20240501,160000,91.28,91.65,90.761,90.99,180691,0
MS.US,60,20240501,170000,91.0225,91.07,90.73,90.9,263928,0
MS.US,60,20240501,180000,90.95,91.07,90.79,90.97,168039,0
MS.US,60,20240501,190000,90.95,91.03,90.82,90.8568,141989,0
MS.US,60,20240501,200000,90.87,91.325,90.76,91.27,180435,0
MS.US,60,20240501,210000,91.28,92.45,91.11,92.35,342363,0
MS.US,60,20240501,220000,92.36,92.48,91.4,91.54,1891270,0
MS.US,60,20240502,160000,92.54,92.55,91.7,91.945,153340,0
MS.US,60,20240502,170000,91.965,92.06,91.6,91.86,253955,0
MS.US,60,20240502,180000,91.87,92.11,91.67,91.88,214637,0
MS.US,60,20240502,190000,91.89,92.43,91.83,92.35,511821,0
MS.US,60,20240502,200000,92.355,92.65,92.315,92.44,215912,0
MS.US,60,20240502,210000,92.46,92.9,92.42,92.8,233639,0
MS.US,60,20240502,220000,92.8,92.92,92.4,92.65,1679766,0
MS.US,60,20240507,160000,94.915,95.29,94.71,95.13,565446,0
MS.US,60,20240507,170000,95.15,95.74,95.06,95.68,825496,0
MS.US,60,20240507,180000,95.66,95.93,95.5275,95.66,460007,0
MS.US,60,20240507,190000,95.65,95.69,95.48,95.64,328129,0
MS.US,60,20240507,200000,95.64,95.9,95.61,95.75,349826,0
MS.US,60,20240507,210000,95.75,95.82,95.6,95.63,375039,0
MS.US,60,20240507,220000,95.635,95.9,95.56,95.79,2121089,0
MS.US,60,20240508,160000,95.43,95.54,95.12,95.28,345155,0
MS.US,60,20240508,170000,95.28,95.59,95.1,95.59,414098,0
MS.US,60,20240508,180000,95.6,95.7,95.456,95.66,317892,0
MS.US,60,20240508,190000,95.641,95.8552,95.621,95.74,231562,0
MS.US,60,20240508,200000,95.75,95.86,95.69,95.81,205701,0
MS.US,60,20240508,210000,95.82,96.05,95.805,95.97,349149,0
MS.US,60,20240508,220000,95.965,96.02,95.62,95.64,1326713,0
MS.US,60,20240509,160000,95.59,97.09,95.59,97.005,476791,0
MS.US,60,20240509,170000,97,97.2399,96.8,96.81,594411,0
MS.US,60,20240509,180000,96.83,97.55,96.794,97.55,538954,0
MS.US,60,20240509,190000,97.54,97.58,97.18,97.34,433915,0
MS.US,60,20240509,200000,97.35,97.53,97.3,97.45,334235,0
MS.US,60,20240509,210000,97.46,97.82,97.2,97.79,596160,0
MS.US,60,20240509,220000,97.79,98.26,97.7,98.11,2318495,0
MS.US,60,20240510,160000,98.74,98.99,98.4901,98.65,458074,0
MS.US,60,20240510,170000,98.64,98.69,97.8726,97.97,420351,0
MS.US,60,20240510,180000,97.98,98.065,97.8,97.82,439698,0
MS.US,60,20240510,190000,97.79,97.99,97.74,97.785,235119,0
MS.US,60,20240510,200000,97.78,98.04,97.625,98.02,245666,0
MS.US,60,20240510,210000,98.03,98.165,97.925,98.165,315345,0
MS.US,60,20240510,220000,98.155,98.435,98.1,98.28,1616368,0
MS.US,60,20240513,160000,98.75,98.88,98.55,98.575,342336,0
MS.US,60,20240513,170000,98.58,98.91,98.42,98.86,425134,0
MS.US,60,20240513,180000,98.87,98.88,98.54,98.715,346535,0
MS.US,60,20240513,190000,98.71,98.875,98.7,98.835,304813,0
MS.US,60,20240513,200000,98.835,98.88,98.65,98.83,299662,0
MS.US,60,20240513,210000,98.83,98.97,98.78,98.86,493236,0
MS.US,60,20240513,220000,98.87,98.955,98.51,98.56,1453093,0
MS.US,60,20240514,160000,99,100.17,98.77,100.01,577035,0
MS.US,60,20240514,170000,100.03,100.1799,99.67,99.89,703643,0
MS.US,60,20240514,180000,99.9,99.93,99.66,99.79,448676,0
MS.US,60,20240514,190000,99.7751,99.83,99.605,99.73,350734,0
MS.US,60,20240514,200000,99.74,99.74,99.5,99.51,308529,0
MS.US,60,20240514,210000,99.52,99.85,99.5,99.62,365719,0
MS.US,60,20240514,220000,99.63,99.63,99.28,99.38,1528125,0
MS.US,60,20240515,160000,100.04,100.73,99.99,100.64,516595,0
MS.US,60,20240515,170000,100.65,100.98,100.53,100.73,639260,0
MS.US,60,20240515,180000,100.73,100.81,100.52,100.64,409078,0
MS.US,60,20240515,190000,100.625,100.65,100.36,100.44,493500,0
MS.US,60,20240515,200000,100.43,100.62,100.28,100.34,522408,0
MS.US,60,20240515,210000,100.345,100.47,100.04,100.18,367499,0
MS.US,60,20240515,220000,100.17,100.63,100.0695,100.52,2358138,0
MS.US,60,20240516,160000,100.15,100.41,99.4507,99.63,276573,0
MS.US,60,20240516,170000,99.63,99.99,99.6,99.901,405543,0
MS.US,60,20240516,180000,99.91,100.16,99.63,100.16,299963,0
MS.US,60,20240516,190000,100.155,100.37,100.101,100.315,283966,0
MS.US,60,20240516,200000,100.315,100.39,99.73,99.815,211868,0
MS.US,60,20240516,210000,99.81,99.9733,99.725,99.93,197940,0
MS.US,60,20240516,220000,99.94,99.97,99.55,99.58,1298968,0
MS.US,60,20240517,160000,99.9,99.99,99.3,99.53,330500,0
