<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTB.US,60,20240411,160000,135.1,135.5,134.49,134.86,38844,0
MTB.US,60,20240411,170000,134.97,134.98,133.0322,133.61,102690,0
MTB.US,60,20240411,180000,133.56,134.82,133.3566,134.74,42780,0
MTB.US,60,20240411,190000,134.735,134.95,134.44,134.71,34240,0
MTB.US,60,20240411,200000,134.745,135.71,134.61,135.38,28062,0
MTB.US,60,20240411,210000,135.43,135.9399,135.25,135.4,37165,0
MTB.US,60,20240411,220000,135.435,135.63,135.02,135.18,331668,0
MTB.US,60,20240412,160000,133.08,135.18,133.08,134.63,60765,0
MTB.US,60,20240412,170000,134.53,135.085,133.52,133.94,133157,0
MTB.US,60,20240412,180000,134.11,134.695,133.59,134.655,51238,0
MTB.US,60,20240412,190000,134.595,134.86,134.33,134.645,45841,0
MTB.US,60,20240412,200000,134.6,135.33,134.05,134.8,90187,0
MTB.US,60,20240412,210000,134.81,134.86,134.05,134.44,61555,0
MTB.US,60,20240412,220000,134.39,135.07,133.89,134.56,442065,0
MTB.US,60,20240415,160000,139.95,145.41,138.62,143.2,510140,0
MTB.US,60,20240415,170000,143.33,143.7799,140.82,140.84,279125,0
MTB.US,60,20240415,180000,140.86,143.01,140.76,142.68,185527,0
MTB.US,60,20240415,190000,142.795,143.41,141.81,142.26,157967,0
MTB.US,60,20240415,200000,142.32,142.32,139.4,140.96,152975,0
MTB.US,60,20240415,210000,140.85,141.21,139.925,140.23,113293,0
MTB.US,60,20240415,220000,140.19,141.08,139.63,140.94,535453,0
MTB.US,60,20240416,160000,140.17,140.58,137.66,137.73,45468,0
MTB.US,60,20240416,170000,137.8,138.1,136.47,137.35,107101,0
MTB.US,60,20240416,180000,137.37,137.78,136.68,137.39,55429,0
MTB.US,60,20240416,190000,137.39,137.73,137.05,137.205,34922,0
MTB.US,60,20240416,200000,137.24,137.49,136.29,136.84,68223,0
MTB.US,60,20240416,210000,136.82,137.65,136.18,137.65,56629,0
MTB.US,60,20240416,220000,137.66,138.36,137.31,137.39,348137,0
MTB.US,60,20240417,160000,138.61,139.54,138.12,139.375,30840,0
MTB.US,60,20240417,170000,139.38,139.4638,137.76,137.94,144369,0
MTB.US,60,20240417,180000,137.895,138.8,137.895,138.29,80810,0
MTB.US,60,20240417,190000,138.3625,138.635,137.9675,138.59,55096,0
MTB.US,60,20240417,200000,138.48,139.39,138.28,139.32,33260,0
