<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCLH.US,60,20240411,160000,18.5,18.55,18.34,18.4901,719442,0
NCLH.US,60,20240411,170000,18.495,18.5,18.24,18.375,695729,0
NCLH.US,60,20240411,180000,18.3671,18.52,18.364,18.52,432513,0
NCLH.US,60,20240411,190000,18.525,18.55,18.44,18.54,310959,0
NCLH.US,60,20240411,200000,18.535,18.61,18.45,18.475,477674,0
NCLH.US,60,20240411,210000,18.48,18.575,18.475,18.55,454181,0
NCLH.US,60,20240411,220000,18.54,18.71,18.54,18.63,3067655,0
NCLH.US,60,20240412,160000,18.21,18.21,17.76,18.03,1777788,0
NCLH.US,60,20240412,170000,18.04,18.04,17.74,17.885,1473658,0
NCLH.US,60,20240412,180000,17.88,18.055,17.78,18.035,1041170,0
NCLH.US,60,20240412,190000,18.035,18.095,17.945,18.005,1147575,0
NCLH.US,60,20240412,200000,18.005,18.01,17.74,17.86,1206715,0
NCLH.US,60,20240412,210000,17.86,17.93,17.77,17.895,842028,0
NCLH.US,60,20240412,220000,17.895,17.91,17.74,17.77,4707593,0
NCLH.US,60,20240415,160000,18.075,18.355,18.0021,18.0701,1205110,0
NCLH.US,60,20240415,170000,18.075,18.11,17.71,17.715,1020572,0
NCLH.US,60,20240415,180000,17.715,17.75,17.665,17.745,581010,0
NCLH.US,60,20240415,190000,17.745,17.79,17.64,17.64,536598,0
NCLH.US,60,20240415,200000,17.64,17.7,17.34,17.45,1358824,0
NCLH.US,60,20240415,210000,17.45,17.459,17.31,17.38,1035955,0
NCLH.US,60,20240415,220000,17.38,17.38,17.22,17.34,3744166,0
NCLH.US,60,20240416,160000,17.17,17.33,16.9797,17.1499,620122,0
NCLH.US,60,20240416,170000,17.145,17.335,17.065,17.255,1003609,0
NCLH.US,60,20240416,180000,17.26,17.445,17.24,17.38,906543,0
NCLH.US,60,20240416,190000,17.38,17.49,17.34,17.455,818082,0
NCLH.US,60,20240416,200000,17.455,17.52,17.33,17.43,836933,0
NCLH.US,60,20240416,210000,17.43,17.53,17.3338,17.4865,685627,0
NCLH.US,60,20240416,220000,17.485,17.57,17.425,17.47,3153541,0
NCLH.US,60,20240417,160000,17.8,17.995,17.71,17.855,926129,0
NCLH.US,60,20240417,170000,17.855,17.9,17.71,17.85,1155994,0
NCLH.US,60,20240417,180000,17.85,17.945,17.77,17.85,867808,0
NCLH.US,60,20240417,190000,17.8512,18.085,17.83,17.85,1332407,0
NCLH.US,60,20240417,200000,17.845,18.08,17.84,18.07,732593,0
NCLH.US,60,20240417,210000,18.06,18.115,17.94,17.99,989577,0
