<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFG.US,60,20240411,160000,53.87,53.88,53.341,53.8025,16639,0
NFG.US,60,20240411,170000,53.75,53.82,53.29,53.32,22658,0
NFG.US,60,20240411,180000,53.29,53.39,53.13,53.39,19852,0
NFG.US,60,20240411,190000,53.3758,53.46,53.31,53.4,19883,0
NFG.US,60,20240411,200000,53.45,53.65,53.4,53.62,21574,0
NFG.US,60,20240411,210000,53.65,53.715,53.6,53.665,16050,0
NFG.US,60,20240411,220000,53.66,53.755,53.53,53.75,137182,0
NFG.US,60,20240412,160000,54,54.27,53.755,53.93,15907,0
NFG.US,60,20240412,170000,53.76,54.11,53.745,54.09,21591,0
NFG.US,60,20240412,180000,54.07,54.1,53.545,53.61,25039,0
NFG.US,60,20240412,190000,53.59,53.67,53.33,53.34,25794,0
NFG.US,60,20240412,200000,53.35,53.35,53.16,53.2548,17945,0
NFG.US,60,20240412,210000,53.26,53.4,53.04,53.16,32042,0
NFG.US,60,20240412,220000,53.115,53.37,53,53.2,246979,0
NFG.US,60,20240415,160000,53.46,53.86,53.2,53.33,21281,0
NFG.US,60,20240415,170000,53.29,53.29,52.91,53.09,23114,0
NFG.US,60,20240415,180000,53.04,53.18,52.93,53.15,17367,0
NFG.US,60,20240415,190000,53.15,53.2,52.95,53.02,19356,0
NFG.US,60,20240415,200000,53,53.08,52.87,52.95,20961,0
NFG.US,60,20240415,210000,52.96,52.97,52.74,52.765,22739,0
NFG.US,60,20240415,220000,52.77,52.96,52.755,52.83,150004,0
NFG.US,60,20240416,160000,52.54,52.54,52.05,52.115,14945,0
NFG.US,60,20240416,170000,52.06,52.06,51.484,51.72,29225,0
NFG.US,60,20240416,180000,51.73,51.975,51.68,51.87,22313,0
NFG.US,60,20240416,190000,51.86,51.92,51.79,51.87,27694,0
NFG.US,60,20240416,200000,51.86,51.86,51.46,51.67,40862,0
NFG.US,60,20240416,210000,51.64,51.85,51.5,51.83,47897,0
NFG.US,60,20240416,220000,51.83,51.83,51.6,51.73,201064,0
NFG.US,60,20240417,160000,51.95,52.38,51.89,52.22,12289,0
NFG.US,60,20240417,170000,52.22,52.22,51.97,52.04,21757,0
