<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGS.US,60,20240411,160000,22.79,23.1299,22.79,23.1299,391,0
NGS.US,60,20240411,170000,22.96,23.215,22.96,22.96,5362,0
NGS.US,60,20240411,180000,22.89,23.12,22.865,23.11,2203,0
NGS.US,60,20240411,190000,23.19,23.31,23.08,23.3,4191,0
NGS.US,60,20240411,200000,23.32,23.51,23.32,23.405,4906,0
NGS.US,60,20240411,210000,23.405,23.405,23.17,23.22,3650,0
NGS.US,60,20240411,220000,23.1901,23.39,23.18,23.39,16102,0
NGS.US,60,20240412,160000,23.57,23.69,23.535,23.61,2340,0
NGS.US,60,20240412,170000,23.65,23.69,23.52,23.69,3440,0
NGS.US,60,20240412,180000,23.755,23.76,23.45,23.485,2767,0
NGS.US,60,20240412,190000,23.485,23.55,23.45,23.505,3568,0
NGS.US,60,20240412,200000,23.485,23.6386,23.36,23.57,4689,0
NGS.US,60,20240412,210000,23.61,23.78,23.42,23.43,9128,0
NGS.US,60,20240412,220000,23.425,23.68,23.32,23.52,33785,0
NGS.US,60,20240415,160000,23.73,23.73,23.43,23.45,4074,0
NGS.US,60,20240415,170000,23.33,23.78,23.325,23.78,3594,0
NGS.US,60,20240415,180000,23.67,24.24,23.67,24.15,10617,0
NGS.US,60,20240415,190000,24.15,24.165,23.39,23.65,10163,0
NGS.US,60,20240415,200000,23.62,23.9242,23.47,23.895,7615,0
NGS.US,60,20240415,210000,24,24.115,23.86,24.005,8171,0
NGS.US,60,20240415,220000,24.005,24.085,23.86,23.96,37523,0
NGS.US,60,20240416,160000,24.01,24.0965,22.92,22.93,12505,0
NGS.US,60,20240416,170000,22.9218,23.37,22.5201,23.21,41028,0
NGS.US,60,20240416,180000,23.37,23.59,23.29,23.4755,8324,0
NGS.US,60,20240416,190000,23.33,23.33,23.11,23.1801,1763,0
NGS.US,60,20240416,200000,23.27,23.445,23.24,23.445,2604,0
NGS.US,60,20240416,210000,23.52,23.91,23.52,23.9,7602,0
NGS.US,60,20240416,220000,23.9,23.97,23.36,23.42,41305,0
NGS.US,60,20240417,160000,23.33,23.615,23.08,23.615,1471,0
NGS.US,60,20240417,170000,23.75,23.75,23.37,23.37,5256,0
NGS.US,60,20240417,180000,23.455,23.455,23.01,23.01,3180,0
NGS.US,60,20240417,190000,23.065,23.105,22.69,22.8263,9052,0
NGS.US,60,20240417,200000,22.83,23.035,22.83,23,1661,0
NGS.US,60,20240417,210000,23.03,23.16,22.97,23.03,2500,0
NGS.US,60,20240417,220000,23.015,23.28,22.76,23.18,28805,0
NGS.US,60,20240418,160000,23.35,23.35,22.81,22.81,1272,0
NGS.US,60,20240418,170000,23.05,23.825,23.05,23.73,3426,0
NGS.US,60,20240418,180000,23.67,23.8499,23.623,23.623,1564,0
NGS.US,60,20240418,190000,23.625,23.8978,23.625,23.81,3223,0
NGS.US,60,20240418,200000,23.8699,23.8699,23.58,23.58,8072,0
NGS.US,60,20240418,210000,23.52,23.71,23.47,23.71,4099,0
NGS.US,60,20240418,220000,23.71,23.85,23.34,23.38,84051,0
NGS.US,60,20240419,160000,23.14,23.48,23.1155,23.38,3315,0
NGS.US,60,20240419,170000,23.44,23.6312,23.35,23.35,3478,0
NGS.US,60,20240419,180000,23.3632,23.44,23.3,23.39,1399,0
NGS.US,60,20240419,190000,23.5,23.6961,23.475,23.62,2998,0
NGS.US,60,20240419,200000,23.545,23.83,23.545,23.71,1683,0
NGS.US,60,20240419,210000,23.62,23.68,23.525,23.65,600,0
NGS.US,60,20240419,220000,23.46,23.56,23.2,23.35,14777,0
NGS.US,60,20240422,160000,23.08,23.29,22.95,23.23,6248,0
NGS.US,60,20240422,170000,23.0314,23.49,23.0314,23.4,3367,0
NGS.US,60,20240422,180000,23.44,23.45,23.2741,23.3923,4772,0
NGS.US,60,20240422,190000,23.5,23.8,23.5,23.73,4320,0
NGS.US,60,20240422,200000,23.73,24.14,23.71,23.71,10878,0
