<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKE.US,60,20240411,160000,91.23,92.2299,90.83,91.43,2491412,0
NKE.US,60,20240411,170000,91.43,91.57,91.01,91.315,2045787,0
NKE.US,60,20240411,180000,91.31,91.85,91.035,91.82,1596251,0
NKE.US,60,20240411,190000,91.815,92.11,91.57,92,915442,0
NKE.US,60,20240411,200000,91.995,92.41,91.79,91.985,1089634,0
NKE.US,60,20240411,210000,91.99,92.36,91.9601,92.05,994617,0
NKE.US,60,20240411,220000,92.045,92.36,91.89,92,2684533,0
NKE.US,60,20240412,160000,92.01,92.48,91.12,91.78,1396071,0
NKE.US,60,20240412,170000,91.76,92.48,91.66,92.24,1120082,0
NKE.US,60,20240412,180000,92.25,92.87,92.22,92.71,1314374,0
NKE.US,60,20240412,190000,92.71,92.71,91.9102,91.9102,876055,0
NKE.US,60,20240412,200000,91.92,92.04,91.72,91.98,679963,0
NKE.US,60,20240412,210000,91.975,92.16,91.81,91.875,713849,0
NKE.US,60,20240412,220000,91.88,92.02,91.585,92,2061590,0
NKE.US,60,20240415,160000,93.59,93.66,92.9,93.46,965677,0
NKE.US,60,20240415,170000,93.47,93.48,93.0121,93.3,1191153,0
NKE.US,60,20240415,180000,93.31,93.92,93.2122,93.735,1215176,0
NKE.US,60,20240415,190000,93.74,93.7583,93.365,93.51,811240,0
NKE.US,60,20240415,200000,93.5,93.59,92.79,93.16,1023506,0
NKE.US,60,20240415,210000,93.155,93.18,92.615,92.76,1168265,0
NKE.US,60,20240415,220000,92.755,93.205,92.54,93.1,2776392,0
NKE.US,60,20240416,160000,93.04,93.11,91.65,92.04,499168,0
NKE.US,60,20240416,170000,92.05,93.12,91.73,93.1,972650,0
NKE.US,60,20240416,180000,93.11,94.19,92.9,93.33,2096953,0
NKE.US,60,20240416,190000,93.325,93.78,93.3,93.765,640687,0
NKE.US,60,20240416,200000,93.77,93.89,93.22,93.45,904336,0
NKE.US,60,20240416,210000,93.46,93.8937,93.23,93.57,576210,0
NKE.US,60,20240416,220000,93.57,93.78,93.245,93.39,2044062,0
NKE.US,60,20240417,160000,94.61,95.07,94.1,94.23,1218469,0
NKE.US,60,20240417,170000,94.22,94.505,93.66,93.965,960090,0
NKE.US,60,20240417,180000,93.96,94.25,93.85,94.21,714154,0
NKE.US,60,20240417,190000,94.21,94.33,94.03,94.31,665176,0
NKE.US,60,20240417,200000,94.31,94.95,94.285,94.95,869117,0
NKE.US,60,20240417,210000,94.95,95.05,94.64,94.68,686293,0
NKE.US,60,20240417,220000,94.67,95.04,94.34,94.84,2324467,0
NKE.US,60,20240418,160000,95.16,95.3,94.75,95.14,577777,0
NKE.US,60,20240418,170000,95.14,95.65,94.99,95.4,826442,0
NKE.US,60,20240418,180000,95.4,95.65,95.07,95.17,612802,0
NKE.US,60,20240418,190000,95.15,95.27,94.9,95.02,586468,0
NKE.US,60,20240418,200000,95.01,95.04,94.53,94.83,655493,0
NKE.US,60,20240418,210000,94.82,95.27,94.63,95.24,702019,0
NKE.US,60,20240418,220000,95.245,95.88,95.2403,95.74,3293859,0
NKE.US,60,20240419,160000,95.42,96.22,95.3301,95.82,727608,0
NKE.US,60,20240419,170000,95.83,96.17,95.66,96.03,752099,0
NKE.US,60,20240419,180000,96.03,96.08,95.57,95.59,776644,0
NKE.US,60,20240419,190000,95.58,95.69,94.7367,95.14,701970,0
NKE.US,60,20240419,200000,95.14,95.43,95.1079,95.19,472511,0
NKE.US,60,20240419,210000,95.2,95.36,94.97,95.12,618261,0
NKE.US,60,20240419,220000,95.12,95.29,94.49,94.53,1735924,0
NKE.US,60,20240422,160000,94.63,94.97,93.94,94.08,942629,0
NKE.US,60,20240422,170000,94.09,94.739,94.08,94.3199,671967,0
NKE.US,60,20240422,180000,94.31,94.445,93.85,94.09,565339,0
NKE.US,60,20240422,190000,94.1,94.28,93.92,94.245,465041,0
NKE.US,60,20240422,200000,94.2444,95.06,94.2444,94.84,674794,0
NKE.US,60,20240422,210000,94.85,94.945,94.56,94.61,545498,0
NKE.US,60,20240422,220000,94.615,94.75,94.18,94.19,1869872,0
NKE.US,60,20240423,160000,94.37,94.66,94.06,94.1,667480,0
NKE.US,60,20240423,170000,94.0947,94.72,94.01,94.62,845594,0
NKE.US,60,20240423,180000,94.62,94.64,94.105,94.29,573808,0
NKE.US,60,20240423,190000,94.3,94.675,94.3,94.5801,601642,0
NKE.US,60,20240423,200000,94.58,94.67,94.41,94.4785,262000,0
NKE.US,60,20240423,210000,94.47,94.53,94.36,94.45,393350,0
NKE.US,60,20240423,220000,94.445,94.47,93.91,94,1822859,0
NKE.US,60,20240424,160000,94.1,94.66,94.1,94.54,711053,0
NKE.US,60,20240424,170000,94.53,94.82,94.41,94.62,575376,0
NKE.US,60,20240424,180000,94.625,95.065,94.615,95.04,402492,0
NKE.US,60,20240424,190000,95.025,95.1909,94.88,95.055,348481,0
NKE.US,60,20240424,200000,95.05,95.13,94.955,95.092,381393,0
NKE.US,60,20240424,210000,95.09,95.1,94.62,94.735,557229,0
NKE.US,60,20240424,220000,94.735,94.765,94.55,94.64,1464463,0
NKE.US,60,20240425,160000,94,94.78,92.66,92.685,404214,0
NKE.US,60,20240425,170000,92.67,93.16,92.44,92.9549,558694,0
NKE.US,60,20240425,180000,92.953,93.49,92.91,93.48,416124,0
NKE.US,60,20240425,190000,93.48,93.87,93.41,93.87,290308,0
NKE.US,60,20240425,200000,93.855,94.18,93.6409,94.14,209973,0
NKE.US,60,20240425,210000,94.14,94.14,93.75,93.83,279819,0
NKE.US,60,20240425,220000,93.84,94.26,93.78,93.94,1618836,0
NKE.US,60,20240426,160000,94.59,95.27,94.43,95.1,534973,0
NKE.US,60,20240426,170000,95.1,95.4174,94.75,94.89,497107,0
NKE.US,60,20240426,180000,94.88,94.89,94.46,94.64,551381,0
NKE.US,60,20240426,190000,94.63,94.71,94.41,94.45,433562,0
NKE.US,60,20240426,200000,94.44,94.53,94.225,94.29,348517,0
NKE.US,60,20240426,210000,94.29,94.31,93.91,94.06,465508,0
NKE.US,60,20240426,220000,94.06,94.16,93.91,94.12,1578050,0
NKE.US,60,20240429,160000,94.44,94.89,94.05,94.05,380400,0
NKE.US,60,20240429,170000,94.06,94.32,93.85,94.19,392235,0
NKE.US,60,20240429,180000,94.18,94.45,94.04,94.36,317400,0
NKE.US,60,20240429,190000,94.36,94.46,94.05,94.11,344195,0
NKE.US,60,20240429,200000,94.11,94.1712,93.96,94.0487,407352,0
NKE.US,60,20240429,210000,94.0454,94.07,93.871,94.005,458024,0
NKE.US,60,20240429,220000,94,94.1499,93.7,94.06,1302082,0
NKE.US,60,20240430,160000,92.728,93.51,92.728,93.275,483870,0
NKE.US,60,20240430,170000,93.275,93.43,92.958,93.27,400637,0
NKE.US,60,20240430,180000,93.27,93.2889,92.81,93.0195,434678,0
NKE.US,60,20240430,190000,93.02,93.25,92.953,93.0204,269397,0
NKE.US,60,20240430,200000,93.02,93.06,92.835,92.95,330804,0
NKE.US,60,20240430,210000,92.94,92.97,92.34,92.46,453494,0
NKE.US,60,20240430,220000,92.49,92.65,92.25,92.26,2425593,0
NKE.US,60,20240501,160000,91.81,91.87,90.75,91.19,762639,0
NKE.US,60,20240501,170000,91.2,91.2834,90.42,90.62,817576,0
NKE.US,60,20240501,180000,90.63,90.64,90.09,90.35,653008,0
NKE.US,60,20240501,190000,90.34,90.59,90.33,90.46,445755,0
NKE.US,60,20240501,200000,90.45,90.58,90.25,90.51,1020335,0
NKE.US,60,20240501,210000,90.5,91.5189,90.3,91.45,1047793,0
NKE.US,60,20240501,220000,91.465,91.62,90.31,90.34,2677805,0
NKE.US,60,20240502,160000,91.33,91.83,90.91,91.65,551536,0
NKE.US,60,20240502,170000,91.635,92.26,91.33,91.445,731924,0
NKE.US,60,20240502,180000,91.42,91.875,91.38,91.84,621836,0
NKE.US,60,20240502,190000,91.82,92.0125,91.46,91.9587,427741,0
NKE.US,60,20240502,200000,91.96,92.3153,91.86,92.25,553438,0
NKE.US,60,20240502,210000,92.25,92.45,92.21,92.39,401357,0
NKE.US,60,20240502,220000,92.38,92.43,92.14,92.41,1761459,0
NKE.US,60,20240507,160000,94.08,94.1,93.22,93.775,759095,0
NKE.US,60,20240507,170000,93.775,94.315,93.65,94.105,972962,0
NKE.US,60,20240507,180000,94.11,94.15,93.39,93.62,533781,0
NKE.US,60,20240507,190000,93.62,93.74,93.26,93.34,326015,0
NKE.US,60,20240507,200000,93.3466,93.48,93.21,93.25,328911,0
NKE.US,60,20240507,210000,93.26,93.73,93.2458,93.7076,446631,0
NKE.US,60,20240507,220000,93.71,93.88,93.59,93.78,1787495,0
NKE.US,60,20240508,160000,93.12,93.39,92.82,92.86,368460,0
NKE.US,60,20240508,170000,92.85,93.44,92.73,93.36,469610,0
NKE.US,60,20240508,180000,93.37,93.53,93.26,93.42,291869,0
