<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOC.US,60,20240411,160000,456.59,457.6,455.66,457.11,16104,0
NOC.US,60,20240411,170000,457.11,457.74,454.78,457.59,47590,0
NOC.US,60,20240411,180000,457.545,458.25,456.76,457.367,39409,0
NOC.US,60,20240411,190000,457.11,458.04,456.85,457.295,21016,0
NOC.US,60,20240411,200000,457.34,459.06,457.185,458.96,17907,0
NOC.US,60,20240411,210000,458.97,459.93,458.225,458.29,23686,0
NOC.US,60,20240411,220000,458.12,458.33,457.215,457.83,209433,0
NOC.US,60,20240412,160000,462.03,468.195,462.03,463.995,37295,0
NOC.US,60,20240412,170000,463.59,465.3999,462.97,464.73,44788,0
NOC.US,60,20240412,180000,464.71,464.89,462.22,462.94,35211,0
NOC.US,60,20240412,190000,462.905,463.31,459.68,459.85,50748,0
NOC.US,60,20240412,200000,459.82,461.65,459.03,460.515,55376,0
NOC.US,60,20240412,210000,460.505,462.06,457.18,457.415,77216,0
NOC.US,60,20240412,220000,457.26,458.41,455.82,456.11,253288,0
NOC.US,60,20240415,160000,461.96,463.18,460.27,461.52,67007,0
NOC.US,60,20240415,170000,462,462.03,458.41,460.45,63166,0
NOC.US,60,20240415,180000,460.4,464.2,460.38,464.12,76494,0
NOC.US,60,20240415,190000,464.225,464.61,460.68,461.98,51228,0
NOC.US,60,20240415,200000,461.95,462.07,459.5576,461.155,51410,0
NOC.US,60,20240415,210000,461.15,462.07,446.22,449.07,341977,0
NOC.US,60,20240415,220000,448.9,451.6284,447.285,451.29,502260,0
NOC.US,60,20240416,160000,453.08,456.15,452.53,454.75,33234,0
NOC.US,60,20240416,170000,454.41,454.41,450.54,451.895,44341,0
NOC.US,60,20240416,180000,451.75,454.69,451.32,453.3738,48696,0
NOC.US,60,20240416,190000,453.55,454.325,452.55,452.55,22578,0
NOC.US,60,20240416,200000,452.435,452.97,451.33,452.64,39945,0
NOC.US,60,20240416,210000,452.48,453.465,450.64,452.97,49147,0
NOC.US,60,20240416,220000,452.84,452.92,450.05,450.35,210930,0
NOC.US,60,20240417,160000,452.92,453.42,451.26,452.24,13390,0
NOC.US,60,20240417,170000,452.2294,452.4417,449.935,449.945,62551,0
NOC.US,60,20240417,180000,450.064,451.29,448.95,449.12,41788,0
NOC.US,60,20240417,190000,449.1,450.38,448.435,450.14,29365,0
NOC.US,60,20240417,200000,449.97,452.06,449.9525,451.44,29058,0
NOC.US,60,20240417,210000,451.42,453.58,451.32,452.64,24410,0
NOC.US,60,20240417,220000,452.42,453.85,451.57,452.05,141896,0
NOC.US,60,20240418,160000,449.88,454.78,449.88,454.15,21235,0
NOC.US,60,20240418,170000,454.06,456.6999,453.52,455.335,58004,0
NOC.US,60,20240418,180000,455.67,455.67,452.54,453.5,31389,0
NOC.US,60,20240418,190000,453.645,454.54,453.15,453.33,18695,0
NOC.US,60,20240418,200000,453.36,453.725,452.32,452.595,14930,0
NOC.US,60,20240418,210000,452.61,452.9,451.61,451.79,20506,0
NOC.US,60,20240418,220000,451.75,453.26,451.58,452.5,168064,0
NOC.US,60,20240419,160000,455.59,457.67,453.065,456.44,49558,0
NOC.US,60,20240419,170000,456.335,458.334,456.26,456.69,22309,0
NOC.US,60,20240419,180000,456.53,459.07,456.28,458.45,30915,0
NOC.US,60,20240419,190000,458.43,460.68,458.04,460.68,30771,0
NOC.US,60,20240419,200000,460.6,462.18,459.925,462.18,47448,0
NOC.US,60,20240419,210000,462.03,462.68,461.23,462.64,27572,0
NOC.US,60,20240419,220000,462.44,463.5,461.6,462.64,105363,0
NOC.US,60,20240422,160000,464.93,467.27,462.07,466,33359,0
NOC.US,60,20240422,170000,466.14,467.175,464.23,466.61,33795,0
NOC.US,60,20240422,180000,466.33,468.5,465.62,467.73,38861,0
NOC.US,60,20240422,190000,467.865,470.455,467.6401,469.861,58287,0
NOC.US,60,20240422,200000,470.1,472.45,469.43,471.75,22192,0
NOC.US,60,20240422,210000,471.96,472.305,470.6,472.1,74266,0
NOC.US,60,20240422,220000,472,472.085,469.94,470.98,283988,0
NOC.US,60,20240423,160000,473.58,474.59,470.41,473.2599,66203,0
NOC.US,60,20240423,170000,473.645,474.74,472.13,474.12,91450,0
NOC.US,60,20240423,180000,474.185,474.52,472.615,474.25,96910,0
NOC.US,60,20240423,190000,474.25,476.514,473.12,476.475,87865,0
NOC.US,60,20240423,200000,476.56,476.765,474.57,475.65,66194,0
NOC.US,60,20240423,210000,475.555,476.38,475.25,475.9,151777,0
NOC.US,60,20240423,220000,475.98,476,473.51,474.68,250470,0
NOC.US,60,20240424,160000,475.09,477.12,471,475.35,49994,0
NOC.US,60,20240424,170000,475.45,475.69,470.78,472.095,71066,0
NOC.US,60,20240424,180000,472.29,474.23,472,473.085,52400,0
NOC.US,60,20240424,190000,473.43,473.9,472.4,472.65,33136,0
NOC.US,60,20240424,200000,472.65,474.88,472.63,474.38,44104,0
NOC.US,60,20240424,210000,474.37,475.215,474.18,474.18,34940,0
NOC.US,60,20240424,220000,474.145,474.85,473.465,474.57,256541,0
NOC.US,60,20240425,160000,468.77,483.025,465,477.43,56038,0
NOC.US,60,20240425,170000,477.63,481.58,475.21,480.87,64853,0
NOC.US,60,20240425,180000,480.905,481.755,476.82,481.66,46187,0
