<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOV.US,60,20240411,160000,20.35,20.35,20.07,20.18,76849,0
NOV.US,60,20240411,170000,20.18,20.18,19.78,19.815,126635,0
NOV.US,60,20240411,180000,19.81,19.89,19.74,19.89,184129,0
NOV.US,60,20240411,190000,19.885,19.975,19.885,19.97,66616,0
NOV.US,60,20240411,200000,19.97,20.06,19.96,19.99,107829,0
NOV.US,60,20240411,210000,19.985,20.06,19.97,20.04,81600,0
NOV.US,60,20240411,220000,20.0475,20.09,20.01,20.09,520029,0
NOV.US,60,20240412,160000,20.27,20.3,20.16,20.2,87315,0
NOV.US,60,20240412,170000,20.2,20.255,20.105,20.21,279166,0
NOV.US,60,20240412,180000,20.21,20.21,19.97,20.035,108588,0
NOV.US,60,20240412,190000,20.03,20.095,19.865,19.915,262786,0
NOV.US,60,20240412,200000,19.9,19.905,19.78,19.8,149277,0
NOV.US,60,20240412,210000,19.795,19.86,19.62,19.62,136592,0
NOV.US,60,20240412,220000,19.62,19.66,19.53,19.63,682526,0
NOV.US,60,20240415,160000,19.67,19.83,19.65,19.7,98906,0
NOV.US,60,20240415,170000,19.7,19.7,19.47,19.635,149403,0
NOV.US,60,20240415,180000,19.63,19.63,19.505,19.61,114757,0
NOV.US,60,20240415,190000,19.61,19.615,19.37,19.445,183713,0
NOV.US,60,20240415,200000,19.445,19.445,19.29,19.375,109677,0
NOV.US,60,20240415,210000,19.37,19.375,19.23,19.23,133914,0
NOV.US,60,20240415,220000,19.23,19.26,19.17,19.17,1020914,0
NOV.US,60,20240416,160000,19.02,19.115,18.755,18.795,93210,0
NOV.US,60,20240416,170000,18.795,18.885,18.66,18.85,191325,0
NOV.US,60,20240416,180000,18.845,18.93,18.795,18.875,220033,0
NOV.US,60,20240416,190000,18.87,18.89,18.775,18.8,249189,0
NOV.US,60,20240416,200000,18.79,18.845,18.71,18.77,156551,0
NOV.US,60,20240416,210000,18.76,18.915,18.735,18.905,127463,0
NOV.US,60,20240416,220000,18.905,18.92,18.78,18.86,684155,0
NOV.US,60,20240417,160000,18.81,19.11,18.8,19.07,100236,0
NOV.US,60,20240417,170000,19.07,19.07,18.81,18.85,371717,0
NOV.US,60,20240417,180000,18.85,18.94,18.715,18.725,218849,0
NOV.US,60,20240417,190000,18.72,18.72,18.53,18.56,147705,0
NOV.US,60,20240417,200000,18.56,18.675,18.555,18.65,126957,0
NOV.US,60,20240417,210000,18.65,18.67,18.54,18.56,138962,0
NOV.US,60,20240417,220000,18.555,18.58,18.455,18.47,642474,0
NOV.US,60,20240418,160000,18.61,18.7695,18.515,18.755,68767,0
NOV.US,60,20240418,170000,18.755,18.8,18.675,18.71,218464,0
NOV.US,60,20240418,180000,18.705,18.73,18.635,18.665,122752,0
NOV.US,60,20240418,190000,18.665,18.74,18.61,18.635,138311,0
NOV.US,60,20240418,200000,18.63,18.645,18.455,18.475,234327,0
NOV.US,60,20240418,210000,18.475,18.475,18.365,18.435,172450,0
NOV.US,60,20240418,220000,18.435,18.525,18.42,18.5,853546,0
NOV.US,60,20240419,160000,18.38,18.76,18.29,18.665,97533,0
NOV.US,60,20240419,170000,18.67,18.745,18.65,18.66,124237,0
NOV.US,60,20240419,180000,18.66,18.69,18.55,18.6175,450722,0
NOV.US,60,20240419,190000,18.61,18.685,18.53,18.625,377762,0
NOV.US,60,20240419,200000,18.62,18.77,18.595,18.715,220231,0
NOV.US,60,20240419,210000,18.715,18.74,18.5618,18.6,192869,0
NOV.US,60,20240419,220000,18.6,18.76,18.58,18.76,668308,0
NOV.US,60,20240422,160000,18.58,18.61,18.195,18.4,169837,0
NOV.US,60,20240422,170000,18.395,18.62,18.355,18.58,521886,0
NOV.US,60,20240422,180000,18.57,18.59,18.435,18.49,322377,0
NOV.US,60,20240422,190000,18.49,18.67,18.49,18.665,243904,0
NOV.US,60,20240422,200000,18.67,18.675,18.58,18.625,255102,0
NOV.US,60,20240422,210000,18.625,18.79,18.615,18.71,345297,0
NOV.US,60,20240422,220000,18.71,18.74,18.48,18.59,2926734,0
NOV.US,60,20240423,160000,18.45,18.58,18.31,18.505,124553,0
NOV.US,60,20240423,170000,18.505,18.66,18.505,18.58,186932,0
NOV.US,60,20240423,180000,18.58,18.605,18.47,18.545,170206,0
NOV.US,60,20240423,190000,18.555,18.61,18.535,18.575,173800,0
