<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTR.US,60,20240411,160000,55.52,55.69,54.616,54.63,131887,0
NTR.US,60,20240411,170000,54.61,54.67,54.38,54.485,149488,0
NTR.US,60,20240411,180000,54.456,54.62,54.28,54.6,163904,0
NTR.US,60,20240411,190000,54.59,54.77,54.54,54.6007,137232,0
NTR.US,60,20240411,200000,54.6,54.86,54.58,54.63,132600,0
NTR.US,60,20240411,210000,54.64,54.775,54.57,54.59,94695,0
NTR.US,60,20240411,220000,54.585,54.77,54.52,54.59,520218,0
NTR.US,60,20240412,160000,54.25,54.37,53.47,53.56,203035,0
NTR.US,60,20240412,170000,53.55,54.13,53.42,53.81,240373,0
NTR.US,60,20240412,180000,53.78,53.86,53.52,53.63,146188,0
NTR.US,60,20240412,190000,53.63,53.7,53.11,53.14,161776,0
NTR.US,60,20240412,200000,53.14,53.18,52.88,53.07,121396,0
NTR.US,60,20240412,210000,53.07,53.15,52.61,52.61,189844,0
NTR.US,60,20240412,220000,52.61,53.06,52.5,52.92,689577,0
NTR.US,60,20240415,160000,53.45,53.705,53.24,53.455,83493,0
NTR.US,60,20240415,170000,53.43,53.43,52.83,53.09,131123,0
NTR.US,60,20240415,180000,53.09,53.12,52.78,53,196803,0
NTR.US,60,20240415,190000,52.98,53.04,52.645,52.76,118347,0
NTR.US,60,20240415,200000,52.745,52.745,52.27,52.435,146487,0
NTR.US,60,20240415,210000,52.45,52.59,52.26,52.45,163545,0
NTR.US,60,20240415,220000,52.45,52.5,52.28,52.36,441251,0
NTR.US,60,20240416,160000,52.12,52.25,51.62,51.69,59558,0
NTR.US,60,20240416,170000,51.67,52.06,51.39,51.92,152200,0
NTR.US,60,20240416,180000,51.93,52.15,51.86,52.07,106632,0
NTR.US,60,20240416,190000,52.06,52.06,51.84,51.98,102208,0
NTR.US,60,20240416,200000,51.97,51.98,51.61,51.83,103964,0
NTR.US,60,20240416,210000,51.815,52.12,51.69,52.02,89257,0
NTR.US,60,20240416,220000,52.0196,52.02,51.62,51.67,490346,0
NTR.US,60,20240417,160000,51.93,52.38,51.7832,52.35,55023,0
NTR.US,60,20240417,170000,52.345,52.345,51.63,51.71,134069,0
NTR.US,60,20240417,180000,51.75,52,51.75,51.765,95650,0
NTR.US,60,20240417,190000,51.74,51.81,51.54,51.755,81897,0
NTR.US,60,20240417,200000,51.75,51.98,51.74,51.94,82719,0
NTR.US,60,20240417,210000,51.94,52,51.7,51.74,91642,0
NTR.US,60,20240417,220000,51.73,51.965,51.575,51.81,381005,0
NTR.US,60,20240418,160000,52.32,52.73,52.18,52.69,97038,0
NTR.US,60,20240418,170000,52.7,52.96,52.59,52.78,95164,0
NTR.US,60,20240418,180000,52.73,52.88,52.36,52.61,120320,0
NTR.US,60,20240418,190000,52.62,52.73,52.37,52.375,91196,0
NTR.US,60,20240418,200000,52.39,52.39,52.07,52.22,103002,0
NTR.US,60,20240418,210000,52.21,52.23,52.05,52.18,131720,0
NTR.US,60,20240418,220000,52.17,52.72,52.17,52.65,507925,0
NTR.US,60,20240419,160000,52.63,53.04,52.425,52.83,42743,0
NTR.US,60,20240419,170000,52.81,53.08,52.79,52.855,112028,0
NTR.US,60,20240419,180000,52.84,52.93,52.68,52.84,99551,0
NTR.US,60,20240419,190000,52.83,52.87,52.58,52.84,80044,0
NTR.US,60,20240419,200000,52.85,52.97,52.75,52.9,79949,0
NTR.US,60,20240419,210000,52.895,52.92,52.71,52.84,84197,0
NTR.US,60,20240419,220000,52.84,52.88,52.67,52.77,233279,0
NTR.US,60,20240422,160000,52.78,52.78,51.91,52.17,85615,0
NTR.US,60,20240422,170000,52.205,52.505,52.13,52.37,84334,0
NTR.US,60,20240422,180000,52.36,52.42,52.19,52.33,55955,0
NTR.US,60,20240422,190000,52.34,52.575,52.34,52.57,59814,0
NTR.US,60,20240422,200000,52.58,52.67,52.46,52.63,78330,0
NTR.US,60,20240422,210000,52.6275,52.665,52.34,52.455,82355,0
NTR.US,60,20240422,220000,52.45,52.49,52.2843,52.3,291291,0
NTR.US,60,20240423,160000,52,52.46,51.73,52.45,60830,0
NTR.US,60,20240423,170000,52.47,52.63,52.36,52.535,102419,0
NTR.US,60,20240423,180000,52.535,52.54,52.02,52.15,146518,0
NTR.US,60,20240423,190000,52.165,52.37,52.01,52.35,172348,0
NTR.US,60,20240423,200000,52.35,52.42,52.26,52.405,75053,0
NTR.US,60,20240423,210000,52.405,52.415,52.105,52.165,130617,0
NTR.US,60,20240423,220000,52.165,52.37,52.13,52.27,469909,0
NTR.US,60,20240424,160000,52.26,52.57,52.19,52.47,57245,0
NTR.US,60,20240424,170000,52.465,52.51,52.08,52.11,92260,0
NTR.US,60,20240424,180000,52.11,52.11,51.83,52.01,127797,0
NTR.US,60,20240424,190000,51.99,52.08,51.82,51.96,89131,0
NTR.US,60,20240424,200000,51.96,52.27,51.95,52.26,61721,0
NTR.US,60,20240424,210000,52.27,52.28,52.07,52.1,87365,0
