<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWG.US,60,20240411,160000,6.98,6.98,6.93,6.95,241666,0
NWG.US,60,20240411,170000,6.94,6.94,6.865,6.89,253361,0
NWG.US,60,20240411,180000,6.895,6.955,6.89,6.955,191606,0
NWG.US,60,20240411,190000,6.9552,6.96,6.94,6.945,64981,0
NWG.US,60,20240411,200000,6.94,6.97,6.94,6.9643,49933,0
NWG.US,60,20240411,210000,6.965,6.99,6.96,6.97,133314,0
NWG.US,60,20240411,220000,6.975,6.99,6.97,6.98,245676,0
NWG.US,60,20240412,160000,6.93,6.98,6.92,6.94,204828,0
NWG.US,60,20240412,170000,6.94,6.94,6.895,6.9,234304,0
NWG.US,60,20240412,180000,6.9,6.94,6.895,6.935,203481,0
NWG.US,60,20240412,190000,6.93,6.935,6.885,6.9046,104539,0
NWG.US,60,20240412,200000,6.905,6.915,6.8825,6.915,85677,0
NWG.US,60,20240412,210000,6.91,6.9162,6.88,6.89,100729,0
NWG.US,60,20240412,220000,6.88,6.9,6.87,6.9,205890,0
NWG.US,60,20240415,160000,7.05,7.07,7.02,7.03,294085,0
NWG.US,60,20240415,170000,7.03,7.03,6.97,6.97,319112,0
NWG.US,60,20240415,180000,6.97,7,6.96,6.995,358117,0
NWG.US,60,20240415,190000,6.9999,7,6.95,6.95,80379,0
NWG.US,60,20240415,200000,6.95,6.96,6.9,6.92,118622,0
NWG.US,60,20240415,210000,6.92,6.93,6.88,6.895,300709,0
NWG.US,60,20240415,220000,6.9,6.91,6.88,6.9,298826,0
NWG.US,60,20240416,160000,6.8,6.81,6.755,6.775,269009,0
NWG.US,60,20240416,170000,6.77,6.795,6.76,6.77,424206,0
NWG.US,60,20240416,180000,6.77,6.79,6.75,6.78,169384,0
NWG.US,60,20240416,190000,6.78,6.79,6.76,6.785,87834,0
NWG.US,60,20240416,200000,6.785,6.79,6.745,6.775,261949,0
NWG.US,60,20240416,210000,6.77,6.81,6.76,6.81,107134,0
NWG.US,60,20240416,220000,6.805,6.81,6.785,6.79,336222,0
NWG.US,60,20240417,160000,6.9,6.925,6.89,6.9,165966,0
NWG.US,60,20240417,170000,6.9,6.9,6.86,6.865,319770,0
NWG.US,60,20240417,180000,6.86,6.88,6.8525,6.8625,164735,0
NWG.US,60,20240417,190000,6.865,6.865,6.84,6.86,81121,0
NWG.US,60,20240417,200000,6.855,6.91,6.85,6.905,221364,0
NWG.US,60,20240417,210000,6.905,6.94,6.89,6.89,111914,0
NWG.US,60,20240417,220000,6.9,6.9,6.88,6.89,162282,0
NWG.US,60,20240418,160000,6.92,6.94,6.905,6.93,152126,0
NWG.US,60,20240418,170000,6.93,6.95,6.925,6.94,224898,0
NWG.US,60,20240418,180000,6.94,6.97,6.94,6.955,162160,0
NWG.US,60,20240418,190000,6.96,6.97,6.93,6.93,205386,0
NWG.US,60,20240418,200000,6.93,6.94,6.9,6.915,84713,0
NWG.US,60,20240418,210000,6.915,6.92,6.9,6.9152,58628,0
NWG.US,60,20240418,220000,6.91,6.935,6.91,6.93,287056,0
NWG.US,60,20240419,160000,6.96,6.99,6.945,6.975,197225,0
NWG.US,60,20240419,170000,6.97,7,6.97,6.985,343008,0
NWG.US,60,20240419,180000,6.98,7,6.955,6.985,383275,0
NWG.US,60,20240419,190000,6.99,6.995,6.95,6.97,86720,0
NWG.US,60,20240419,200000,6.97,6.99,6.97,6.975,81113,0
NWG.US,60,20240419,210000,6.97,6.97,6.95,6.9544,106230,0
NWG.US,60,20240419,220000,6.96,7,6.95,7,288488,0
NWG.US,60,20240422,160000,6.99,7.03,6.99,7.02,105006,0
