<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OKE.US,60,20240411,160000,79.31,79.31,78.8,79,103013,0
OKE.US,60,20240411,170000,78.99,79.015,78.46,78.57,227703,0
OKE.US,60,20240411,180000,78.58,78.85,78.5332,78.84,259772,0
OKE.US,60,20240411,190000,78.845,78.93,78.7,78.865,206312,0
OKE.US,60,20240411,200000,78.87,79.13,78.835,78.995,240064,0
OKE.US,60,20240411,210000,78.995,79.315,78.985,79.285,248292,0
OKE.US,60,20240411,220000,79.285,79.37,79.13,79.34,1069934,0
OKE.US,60,20240412,160000,79.53,80.25,79.53,79.635,120804,0
OKE.US,60,20240412,170000,79.6399,80.17,79.52,79.845,316235,0
OKE.US,60,20240412,180000,79.85,80.045,79.12,79.475,297702,0
OKE.US,60,20240412,190000,79.475,79.56,79.145,79.23,230389,0
OKE.US,60,20240412,200000,79.21,79.285,78.74,78.96,310260,0
OKE.US,60,20240412,210000,78.95,79.17,78.41,78.45,377466,0
OKE.US,60,20240412,220000,78.44,78.79,78.34,78.7,976858,0
OKE.US,60,20240415,160000,79.26,79.64,79.15,79.36,129996,0
OKE.US,60,20240415,170000,79.37,79.37,78.68,78.68,219428,0
OKE.US,60,20240415,180000,78.69,78.79,78.365,78.76,192051,0
OKE.US,60,20240415,190000,78.77,78.79,78.28,78.34,192789,0
OKE.US,60,20240415,200000,78.34,78.34,77.71,77.91,232837,0
OKE.US,60,20240415,210000,77.92,77.94,77.66,77.7757,184863,0
OKE.US,60,20240415,220000,77.77,77.94,77.545,77.85,790920,0
OKE.US,60,20240416,160000,77.95,78.28,77.34,77.405,125971,0
OKE.US,60,20240416,170000,77.4,77.4,76.61,76.875,313576,0
OKE.US,60,20240416,180000,76.88,77.15,76.785,76.915,304464,0
OKE.US,60,20240416,190000,76.9199,76.979,76.665,76.69,250520,0
OKE.US,60,20240416,200000,76.7,76.78,76.29,76.64,412129,0
OKE.US,60,20240416,210000,76.65,77.02,76.495,76.97,297360,0
OKE.US,60,20240416,220000,76.97,77.17,76.7,77.08,955631,0
OKE.US,60,20240417,160000,77.45,77.88,77.195,77.75,117084,0
OKE.US,60,20240417,170000,77.785,77.98,77.51,77.53,161544,0
OKE.US,60,20240417,180000,77.55,77.69,77.19,77.33,124656,0
OKE.US,60,20240417,190000,77.31,77.32,77.01,77.31,149550,0
OKE.US,60,20240417,200000,77.3,77.79,77.27,77.75,128030,0
OKE.US,60,20240417,210000,77.75,78.2,77.67,77.82,150878,0
OKE.US,60,20240417,220000,77.82,78,77.68,77.68,855350,0
OKE.US,60,20240418,160000,77.72,78.22,77.38,77.95,99414,0
OKE.US,60,20240418,170000,77.9,78.08,77.61,77.905,100321,0
OKE.US,60,20240418,180000,77.9,78.01,77.7,77.95,145487,0
OKE.US,60,20240418,190000,77.97,78.11,77.78,77.805,151115,0
OKE.US,60,20240418,200000,77.79,77.8968,77.63,77.79,138433,0
OKE.US,60,20240418,210000,77.785,77.87,77.59,77.65,136768,0
OKE.US,60,20240418,220000,77.66,78.05,77.59,77.88,789303,0
OKE.US,60,20240419,160000,78.1,78.82,77.92,78.795,194028,0
OKE.US,60,20240419,170000,78.795,79.55,78.795,79.325,173415,0
OKE.US,60,20240419,180000,79.31,79.68,79.23,79.61,253821,0
OKE.US,60,20240419,190000,79.61,79.74,79.36,79.74,134841,0
OKE.US,60,20240419,200000,79.75,79.95,79.71,79.72,217068,0
OKE.US,60,20240419,210000,79.7,79.7,79.36,79.55,98708,0
OKE.US,60,20240419,220000,79.56,79.875,79.469,79.64,460075,0
OKE.US,60,20240422,160000,79.56,79.63,78.888,79.59,131523,0
OKE.US,60,20240422,170000,79.6,80.11,79.53,80.02,175499,0
OKE.US,60,20240422,180000,80.01,80.01,79.65,79.89,158089,0
OKE.US,60,20240422,190000,79.89,80.255,79.89,80.22,86559,0
OKE.US,60,20240422,200000,80.23,80.715,80.15,80.67,110647,0
OKE.US,60,20240422,210000,80.68,80.84,80.505,80.66,161635,0
OKE.US,60,20240422,220000,80.634,80.64,79.81,79.91,833587,0
OKE.US,60,20240423,160000,79.67,79.97,79.32,79.87,78484,0
OKE.US,60,20240423,170000,79.86,80.09,79.56,79.99,152877,0
OKE.US,60,20240423,180000,79.98,80.26,79.895,80.16,119043,0
OKE.US,60,20240423,190000,80.17,80.46,80.16,80.36,75054,0
OKE.US,60,20240423,200000,80.35,80.44,80.2301,80.4199,96890,0
OKE.US,60,20240423,210000,80.41,80.45,80.19,80.25,82091,0
OKE.US,60,20240423,220000,80.255,80.47,80.115,80.35,786728,0
OKE.US,60,20240424,160000,80,80.31,79.56,80.21,96585,0
OKE.US,60,20240424,170000,80.235,80.66,80.135,80.16,127809,0
OKE.US,60,20240424,180000,80.1683,80.385,80.11,80.32,101267,0
OKE.US,60,20240424,190000,80.32,80.45,80.2,80.45,81311,0
OKE.US,60,20240424,200000,80.45,80.83,80.4035,80.82,87375,0
OKE.US,60,20240424,210000,80.8,80.8,80.6,80.71,79087,0
OKE.US,60,20240424,220000,80.71,81.12,80.66,80.95,670249,0
OKE.US,60,20240425,160000,80.87,81.2,80.2851,80.5,75118,0
OKE.US,60,20240425,170000,80.51,80.89,80.43,80.86,104612,0
OKE.US,60,20240425,180000,80.84,81.11,80.75,81.1,257555,0
OKE.US,60,20240425,190000,81.1,81.36,81.06,81.27,67516,0
OKE.US,60,20240425,200000,81.2501,81.69,81.23,81.645,113030,0
OKE.US,60,20240425,210000,81.65,81.71,81.49,81.65,136996,0
OKE.US,60,20240425,220000,81.665,81.81,81.36,81.38,748473,0
OKE.US,60,20240426,160000,81.3,81.38,80.65,80.695,87570,0
OKE.US,60,20240426,170000,80.68,81.2,80.59,81.11,140704,0
OKE.US,60,20240426,180000,81.11,81.35,80.95,81.2741,84044,0
OKE.US,60,20240426,190000,81.265,81.405,81.2,81.29,107735,0
OKE.US,60,20240426,200000,81.31,81.34,81.01,81.1,71822,0
OKE.US,60,20240426,210000,81.095,81.27,81.095,81.27,80214,0
OKE.US,60,20240426,220000,81.265,81.345,81.05,81.06,484732,0
OKE.US,60,20240429,160000,80.84,81.35,80.84,81.09,124036,0
OKE.US,60,20240429,170000,81.1,81.44,80.89,80.99,232521,0
OKE.US,60,20240429,180000,80.975,81.17,80.95,81.13,105193,0
OKE.US,60,20240429,190000,81.11,81.39,81.09,81.385,98928,0
OKE.US,60,20240429,200000,81.38,81.42,81.195,81.235,89973,0
OKE.US,60,20240429,210000,81.22,81.37,81.15,81.27,136923,0
OKE.US,60,20240429,220000,81.26,81.42,81.0525,81.42,722268,0
OKE.US,60,20240430,160000,80.36,80.45,79.59,79.61,147144,0
OKE.US,60,20240430,170000,79.62,79.73,79.16,79.59,180230,0
OKE.US,60,20240430,180000,79.61,79.765,79.41,79.6,264966,0
OKE.US,60,20240430,190000,79.595,79.635,79.0207,79.12,243651,0
OKE.US,60,20240430,200000,79.11,79.27,78.835,79.23,166281,0
OKE.US,60,20240430,210000,79.22,79.3,78.96,79,158550,0
OKE.US,60,20240430,220000,78.99,79.36,78.885,79.12,1919699,0
OKE.US,60,20240501,160000,77.59,78.995,77.1512,77.67,300456,0
OKE.US,60,20240501,170000,77.71,78.19,77.141,77.5723,343997,0
OKE.US,60,20240501,180000,77.6,77.7,76.57,77.04,471886,0
OKE.US,60,20240501,190000,77.04,77.56,76.83,77.42,360234,0
OKE.US,60,20240501,200000,77.42,77.585,77.15,77.26,250997,0
OKE.US,60,20240501,210000,77.26,78.01,76.94,77.69,250634,0
OKE.US,60,20240501,220000,77.695,77.89,76.78,76.92,1471145,0
OKE.US,60,20240502,160000,77.98,78.19,77.02,77.2,151728,0
OKE.US,60,20240502,170000,77.22,77.23,76.655,76.85,220068,0
OKE.US,60,20240502,180000,76.865,77.26,76.81,76.83,145871,0
OKE.US,60,20240502,190000,76.82,77.07,76.8,77.06,129307,0
OKE.US,60,20240502,200000,77.075,77.6,76.99,77.6,159295,0
OKE.US,60,20240502,210000,77.6,77.65,77.335,77.54,142212,0
OKE.US,60,20240502,220000,77.53,77.57,76.865,76.95,857242,0
OKE.US,60,20240507,160000,78.52,79.01,78.32,78.5571,174711,0
