<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPY.US,60,20240411,170000,37.7801,38.06,37.76,37.85,1500,0
OPY.US,60,20240411,180000,37.84,37.84,37.84,37.84,100,0
OPY.US,60,20240411,190000,38.02,38.04,38.02,38.025,450,0
OPY.US,60,20240411,200000,38.03,38.18,37.9101,38.07,1942,0
OPY.US,60,20240411,210000,38.065,38.17,37.88,37.92,2293,0
OPY.US,60,20240411,220000,37.885,37.93,37.78,37.92,3724,0
OPY.US,60,20240412,160000,37.83,37.83,37.76,37.76,1796,0
OPY.US,60,20240412,170000,37.71,37.72,37.49,37.6865,4136,0
OPY.US,60,20240412,180000,37.59,37.68,37.56,37.63,852,0
OPY.US,60,20240412,190000,37.67,37.69,37.6,37.6,600,0
OPY.US,60,20240412,200000,37.61,37.61,37.565,37.61,300,0
OPY.US,60,20240412,210000,37.54,37.54,37.45,37.535,888,0
OPY.US,60,20240412,220000,37.455,37.62,37.43,37.62,1857,0
OPY.US,60,20240415,160000,37.95,38.1,37.63,38.1,1040,0
OPY.US,60,20240415,170000,37.53,37.64,37.31,37.5,4875,0
OPY.US,60,20240415,180000,37.59,37.59,37.49,37.58,1211,0
OPY.US,60,20240415,200000,37.61,37.65,37.43,37.545,3145,0
OPY.US,60,20240415,210000,37.5,37.57,37.45,37.45,907,0
OPY.US,60,20240415,220000,37.4,37.49,37.38,37.42,3175,0
OPY.US,60,20240416,170000,37.55,37.59,37.26,37.26,962,0
OPY.US,60,20240416,180000,37.36,37.42,37.36,37.39,775,0
OPY.US,60,20240416,190000,37.26,37.26,37.26,37.26,400,0
OPY.US,60,20240416,200000,37.17,37.17,37.01,37.01,710,0
OPY.US,60,20240416,210000,37.071,37.22,37.01,37.22,4623,0
OPY.US,60,20240416,220000,37.34,37.415,37.19,37.37,5459,0
OPY.US,60,20240417,160000,37.54,37.6,37.2,37.6,2500,0
OPY.US,60,20240417,170000,37.6,37.87,37.5,37.69,3673,0
OPY.US,60,20240417,190000,37.54,37.68,37.45,37.45,1600,0
OPY.US,60,20240417,200000,37.5,37.5,37.5,37.5,698,0
OPY.US,60,20240417,210000,37.28,37.28,37.05,37.05,207,0
OPY.US,60,20240417,220000,37.25,37.3,37.11,37.19,5280,0
OPY.US,60,20240418,160000,37,37.01,37,37.01,1807,0
OPY.US,60,20240418,180000,37.44,37.44,37.44,37.44,200,0
OPY.US,60,20240418,190000,37.34,37.35,37.22,37.22,700,0
OPY.US,60,20240418,200000,37.19,37.19,37.19,37.19,300,0
OPY.US,60,20240418,210000,37.15,37.15,36.93,37.06,2422,0
OPY.US,60,20240418,220000,37.23,37.48,37.13,37.48,9269,0
