<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORCL.US,60,20240411,160000,121.72,122.48,121.38,122.2,328296,0
ORCL.US,60,20240411,170000,122.17,122.7,121.69,122.62,470009,0
ORCL.US,60,20240411,180000,122.62,123.38,122.585,123.35,532026,0
ORCL.US,60,20240411,190000,123.335,123.38,122.4446,122.56,284754,0
ORCL.US,60,20240411,200000,122.545,123.35,122.545,123.16,373306,0
ORCL.US,60,20240411,210000,123.17,123.82,123.15,123.53,429135,0
ORCL.US,60,20240411,220000,123.54,123.71,123.2,123.24,2482607,0
ORCL.US,60,20240412,160000,121.74,121.82,121.14,121.43,277815,0
ORCL.US,60,20240412,170000,121.45,121.69,121.04,121.11,568293,0
ORCL.US,60,20240412,180000,121.09,121.76,121.09,121.53,351232,0
ORCL.US,60,20240412,190000,121.52,121.67,120.66,120.67,334007,0
ORCL.US,60,20240412,200000,120.7,120.95,120.415,120.62,323125,0
ORCL.US,60,20240412,210000,120.62,121.09,120.52,120.7,425136,0
ORCL.US,60,20240412,220000,120.685,121.13,120.57,121.11,1938389,0
ORCL.US,60,20240415,160000,122.18,122.47,121.76,122.31,357736,0
ORCL.US,60,20240415,170000,122.315,122.39,120.925,120.93,452410,0
ORCL.US,60,20240415,180000,120.9501,121.3504,120.89,121.2393,237918,0
ORCL.US,60,20240415,190000,121.23,121.41,120.68,120.98,203532,0
ORCL.US,60,20240415,200000,120.97,121.085,120.07,120.33,406436,0
ORCL.US,60,20240415,210000,120.275,120.34,119.68,119.87,397615,0
ORCL.US,60,20240415,220000,119.86,120.02,119.44,119.88,1713304,0
ORCL.US,60,20240416,160000,120.09,120.54,119.75,120.405,203309,0
ORCL.US,60,20240416,170000,120.38,120.61,120.15,120.39,366898,0
ORCL.US,60,20240416,180000,120.41,120.9499,120.36,120.63,399332,0
ORCL.US,60,20240416,190000,120.635,120.85,120.44,120.76,250548,0
